Vol.01 为什么互联网大厂这么爱春晚？
时长：00:12:34
来源：网易云音乐电台节目 · 商业就是这样 · Vol.01 为什么互联网大厂这么爱春晚？

[00:00:07] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 大家还记得2020年B站的跨年晚会对吧那被认为是一个以小博大或者说投入小产出极高的一个品牌营销的案例但其实我们后来有问过B站市场的负责人他们当初原本的计划就是赞助一个跨年晚会他的市场负责人还说过如果我们预算足够的话最好的选择可能还是赞助春晚
[00:00:57] 大公司花这么多钱去赞助春晚背后其实有一个很简单的数学题现在抖音决定今年说要在春晚上发12个亿的红包但是它还是一个对于抖音来说很便宜的饮料方式虽然春晚能够为大公司的很多新业务导到流量但这不代表说撒钱就完事了它还要考验公司能不能把这些新用户留住别花了这么多钱买到流量最后发现都是薅羊毛的
[00:01:35] 这里是商业就是这样大家好,我是肖文杰大家好,我是徐冰青我们两位都是第一财经杂志的记者这是我们的第一期节目是在除夕前一天播出大家应该都已经处在等放假的状态所以我们还是应景一下聊跟春节有关的生意
[00:01:53] 我们都说现在春晚只是除夕的一个BGM嘛而且随着赵本山也不演小品了能把我们的注意力从牌桌或者手机屏幕上拉回到春晚的这个电视影屏上的有可能只是这台晚会上负责给大家撒红包的公司了今年本来说春晚红包已经摆上地丁了是拼多多来发但是呢这个红包才经历了一个易主的过程
[00:02:19] 如果大家还有印象的话应该记得在今年元旦的时候拼图涉及到了一系列跟员工管理相关的负面新闻他的行为与主流的价值观出现了偏差然后呢他就最后丢掉了在互联网上撒红包的这个机会对他失去了独家撒红包权但是呢春晚的主办方央视倒是很稳啊因为没几天他就确定了替代者就是抖音
[00:02:45] 抖音这次要在2月11日除夕当晚在全网撒出12亿元的现金红包这创下了春晚从开始有发红包活动以来金额的一个新记录据说12亿这个数量级也是远远超过了其他竞争补位的公司包括了快手和阿里巴巴我们也查了一下春晚有红包合作伙伴这个比较特殊的赞助商名录大概也是从2015年开始的
[00:03:12] 从2015年到现在包括微信阿里巴巴百度快手抖音这些互联网大厂都是这个项目的有力竞争者他们加在一起总共花了61亿给大家发红包那么为什么他们要在春晚这个项目上面竞争上岗发红包呢简单的来说在春晚上发红包是一个对内和对外都很有好处的事情对外春晚还是一个创造这些品牌影响力的一个最好的机会
[00:03:40] 对内这是一个能够锻炼自己运营能力的一个大项目大家还记得2020年B站的跨年晚会对吧那被认为是一个以小博大或者说投入小产出极高的一个品牌营销的案例B站花的钱别说跟春晚比了就算是和一些大卫视的元旦跨年晚会相比都少了很多但是它获得了全民的关注度但其实我们后来有问过B站市场的负责人
[00:04:07] 他们当初原本的计划就是赞助一个跨年晚会他的市场负责人还说过如果我们预算足够的话最好的选择可能还是赞助春晚因为对于做市场的人来说在中国你要凭借单次的活动获得全民的品牌认知度和美意度春晚还是一个最好的机会先说影响力吧在春晚上发红包对于品牌来说最基本价值还是打广告
[00:04:30] 所以除了春晚的红包合作伙伴春晚还会有电商合作伙伴以及各种各样的大小赞助商仔细数一下就可以发现春晚主要的赞助商都是那个时代最主流的品牌中央电视台的春节联欢晚会是从1983年开始的至今也已经将近40年了几乎是每年都有赞助商但是画风不一样在物质相对匮乏的头十年里我们看到的主赞助商有康巴斯手表海鸥手表
[00:04:59] 和中华自行车这个有可能都是那个年代的大件经济有了起色以后呢就迎来了酒厂和药厂的品牌在2000年之后呢房地产是主角再之后又连续好几年美的集团为代表的家电是春晚的主赞助商
[00:05:20] 七十九八七六五四三二一
[00:05:33] 从2001年到2017年央视春晚的全国病机总收视率一直保持在30%以上大家想想这个是一个什么概念我们可以举一个例子2012年的时候当年的央视春晚的收看人数达到了4.98亿这个收看人数的数字被吉尼斯世界纪录认定为全球收看人数最多的电视节目
[00:05:54] 虽然说有很多好玩的东西现在可以分散我们在春节期间的注意力但是春晚和家族团聚强保定的属性还是能保证它圈住了中国最大多数人的注意力就类似于珠三角地区春节发红包发的历史历史里面呢钱是很少的所以拿钱是其次主要呢是为了一个热闹以及获得一个好的人员而当那些互联网的大公司入场之后
[00:06:23] 春晚的作用就不仅仅是品牌传播了还有更实际的就是货客因为移动互联网所以呢手机和电视屏幕的互动在技术上就变得很可能这才让春晚的广告从一个单纯的背景版变成了一个具有极高价值的一个货客的渠道开拓春晚红包这个新传统的还是2015年赞助春晚的微信不知道大家还记不记得依靠摇一摇现金红包的这个互动
[00:06:49] 当年春晚过后微信一夜之间新增了2000多万的微信支付的用户微信金融的用户数提升到了1亿人那个时候微信其实已经是一个拥有5.49亿用户的国民级应用了但是大家还是习惯在微信里面聊天而不是用微信转账微信支付的这个功能其实刚刚起步他们当时选择用红包这个跟春节关联度很高的项目作为一个切入点
[00:07:15] 然后将历史这种人均低金额高互动性的玩法通过春晚普及开来连这个很小的切口微信让集在自己平台上面聊天用户变成了在自己平台上存钱花钱理财的用户最后微信就变成了一个全能的超级APP这也成了当时刚刚步入移动支付领域的微信打败支付宝一举改变中国移动支付版图的一个破局之举吧
[00:07:41] 同一天阿里巴巴其实在自己的支付宝上也发了很多红包发了将近100多万个但是这个影响力和历史地位是远弱于微信的春晚红包后来马云是直接评价这件事情为偷袭珍珠港然后我们第二年就看到淘宝赞助了春晚大公司花这么多钱去赞助春晚背后其实有一个很简单的数学题现在抖音决定今年说要在春晚上发12个亿的红包
[00:08:09] 但是它还是一个对等应来说很便宜的应用方式因为目前大公司单纯依靠自己的力量找到一个全新的用户的话一般要花费几百甚至上千块钱的营销费用而如果把这十几个亿均摊到每个观众身上不过是几块钱所以说这是一个很便宜的一个流量所以在春晚上发红包已经成为很多日回用户在数亿级别的国民级应用的一个标准做法
