Vol.04 各种“破产”到底有什么区别
时长：00:25:20
来源：网易云音乐电台节目 · 商业就是这样 · Vol.04 各种“破产”到底有什么区别

[00:00:06] 一家公司如果宣告了破产就像是在冰死的这个状态下面叫了一辆救护车了但只不过这个救护车上载过来的不是医生是债主和法院在现实生活当中当时日本政府确实也成立了一个处置小组然后他要求日本航空的这些债权人一共要放弃85%的债权就比电视剧里还要多呢对对对那当然这个现实生活中也没有半则直述啊
[00:00:35] 瑞幸我们都知道它本质上是一家中国公司但是它为了在美国申请上市的话它设立了一个离岸的VIE架构它的核心是要在开曼群岛设立一个公司所以说在瑞幸的这个案子里面就涉及到了中国开曼群岛和美国三个地区的情况这里是商业就是这样
[00:01:07] 大家好,欢迎收听这一期的商业就是这样我是肖文杰我是许明星我们都是第一财经杂志的主笔我们这档新的播客到这一期已经是正式节目的第四期了我们也非常感谢大家对我们的支持在各个平台也收到很多大家的回复反应比较多的是我们两人的声音大家都抱怨说我们太低沉了,太沉闷了所以我们决定从最近几期开始声音一定要昂扬一点
[00:01:35] 变得happy起来虽然我们今天讨论并不是一个非常happy的主题那我们就用happy的声音尽量对冲一下这个悲伤的主题现在我们讨论的是一个非常沉重的词叫破产对过去的这个2020年很多公司都过得很惨毕竟疫情这件事情一开始很多公司都没有想到它会影响的时间这么长然后这么深远
[00:01:59] 其实很多市场和政府也提供了很多的扶持政策但我们还是看到很多有名的大公司在2020年或者2021年的初就没有挺过去走上了这个破产之路比较典型的可能是美国市场标准普尔一直在统计美国的破产公司的一个数量2020年的统计显示在全美范围内有630家公司宣告破产这是10年以来的新高如果大家对10年这个
[00:02:28] 数字有点干你的话十年之前就是金融危机的那个时候里面有些已经破产的公司呢还是美国人心目中的百年老店比如说卖奢侈品的百货公司Neman Marcus然后一个很经典的西装品牌叫Brooks Brothers还有绣衔服品牌J.Crew甚至还有美国人可能到哪里都要去租一辆车的一个很大的租车公司叫Hertz他们都倒闭了中国其实也会看到很多公司在2021年初扎堆的
[00:02:56] 破产我报几个名字啊海航集团华晨汽车北大方正宇润集团还有大家都比较熟悉的瑞幸咖啡很多公司都相继传出了这个破产重整的消息这些公司都挺有名的但是其中有些公司名气归名气但是受困于债务问题其实都已经很久了选在一月底二月初这几天宣布消息呢主要就是想让涉事的那些公司呢先安心过个年
[00:03:24] 对就是像让你靴子先落个地大家都能唠叮一下但是对于普通人来说呢你一直看到破产这两个字还是觉得挺吓人的气氛上就觉得这些公司都已经凉凉了对这个词看上去就很负面但其实在不同的公司不同的市场里面破产这个词所代表的意思差别还蛮大的如果再加上一些后缀比如说破产重整破产清算破产保护它们所代表的意思就更不一样了
[00:03:52] 所以我们这一期节目呢就稍微做一个小的科普介绍一下各种破产的区别就是赚钱的公司都是赚钱的是吧但是良好的公司各有各的良法所以我们就想给大家稍微科普一下各种良法还要稍微提醒一下破产在法律意义上呢是很专业的一个词汇我们今天呢主要是做一些很基础的介绍如果我们的介绍里面有疏漏或者不足的话非常欢迎大家在评论区向我们提出来
[00:04:19] 首先先掉一下书袋就破产这个词在中文里面最早的出现是在司马迁的史记里面怎么这么久远呢意思就是说丧失了全部的财产就一分钱都没有了那就是彻彻底底的破产了但比较接近目前的这个法律意义上的破产其实是一个日语的博来词就跟我们现在很多中文的词汇一样其实都是近现代的一个日文的博来词它指的就是资不抵债很简单的意思
[00:04:46] 对 资不抵债的话它可以是一个长期的状态比如说你这个人长期来看这个自己的钱一直都还不上债这是一种现象但也有可能就是说你可能是暂时还不上债所以说我们国家的破产法的话是给资不抵债加了一个时间的限制也就是说把破产进一步解释为在某一个时间点不能清偿债务的一个状态打个比方吧比如说有一份贷款的合同要求你在今年1月1号要还1万块
[00:05:15] 但是你在那天无论如何也拿不出一万块就哪怕家里有车子房子但是你没有办法卖掉所以当天就还不出那一万块即使你在1月2号就能还上但你前一天也可以陷入一个破产的状态所以如果你频繁的债务违约就是没有按时的还上足够的钱的话或者你老是东拼西测的在最后一天才还上钱就经常就是一个公司破产的一个前兆了所以说我们看到很多公司
[00:05:42] 宣布债务违约的消息的时候投资者都会非常紧张因为这个基本上已经宣告这个公司不太行一家公司如果宣告了破产就像是在冰死的状态下面叫了一辆救护车了但只不过这个救护车上载过来的不是医生是债主和法院如果他这个公司还有得救情况还可以的话他们就会选择去破产重整他如果这家公司已经彻底无力回天凉透了就会宣告破产清算
[00:06:10] 对这个医生可能还要稍微给你把把卖把卖了不行了才能会叫破产清算一般来说都会选择所谓的破产重整我们先来讲这个两透的破产清算这个情况吧因为比较简单现实世界中有很多人持有一种比较极端的朴素价值观觉得一个没有办法按时还债的公司就是信誉扫地无药可救那这些公司就只配备破产清算了破产清算其实是一个很简单的过程
[00:06:37] 就是会成立一个清算组把这公司直接接管过来把公司所有的资产都评估一下算算该有多少钱然后按照债权方的规模体量排一个顺序最后把这些资产卖掉以后按比例分配给这些债权方公司整个变成一个空壳以后就可以推出市场了当然这个过程当中还有很多很复杂的事情比如说这个债权人的排序先还谁的钱后还谁的钱这个就很复杂
[00:07:06] 我们这边就不具体介绍了当然市面上更多的情况
[00:07:34] 用通俗一点的话来说就是这家公司还有得救所以就想办法救一救他用重整这样的一种方式看看能不能把他救活了让他有能力赚更多的钱把钱都还上整个破产重整的过程实际上是受到法律保护的比如我们以美国的破产法来举个例子美国的破产程序一旦开始的话债务人可以拥有120天的重整保护期
[00:07:59] 对于体量比较大或者情况比较复杂的公司来说的话整个破产重整的过程可以拥有18到20个月的保护期这个就是我们有时候也会听到的一个词叫做破产保护也就是有的公司快不行它就会申请破产保护其实就是重整当中的一个法律过程我们前面说的这个过程好像有点太长了但实际上在美国的有些案例里面大公司的破产重整也有非常非常快的
[00:08:27] 比如说最有名的之一就是2009年金融危机之后通用汽车公司申请了破产保护大家可能就会想了通用汽车不是现在好好的吗怎么还在卖车呢对当时通用汽车账面上的资金一共是823亿美元多了对吧但它的债务有1728亿美元如果它真的破产的话这个规模按照当时来算是算得上
[00:08:55] 整个美国历史上第四大的一个公司破产
[00:09:22] 我们前面提到破产清算的道路的话美国就会一下出现大量的失业工人包括通用汽车的上下游产业链上的公司也会受到影响最后的话美国政府就以债权方的身份介入了通用汽车的破产重整过程所以才这么快简单来说通用汽车的破产重整方案就是老通用汽车公司里面有价值的那些资产卖给了一家新的通用汽车公司
[00:09:48] 然后美国政府就成为了这家新的通用汽车公司持股比例达到60%以上的第一大股东
[00:09:56] 当然这个方案其实没有获得全体债权人和股东方的认可因为这等于把通用汽车变成一个国有公司本来你有可能在里面这样的股份或者债权还挺多的然后现在其实美国政府变成了第一大的股东但是在美国的破产改革法案里面对于法院的权限的话实际上给的是挺多的如果说法院认为这个重整的方案比较合适的话它其实可以越过所有的债权人或者股东方直接来判定说这个方案我就可以这样执行了
[00:10:25] 这样总体来说可以避免比较漫长的重整过程对于投资者和外部的消费者产生很大的心理压力比如说你听到通用汽车要破产了那这个公司的车可能就更加买不出去了它的股票可能就跌得一塌糊涂这件事情对于公司的重整来说并不是很好的大家可以发现美国的破产法其实是更倾向于去救助公司也就是采用破产重整这种方案当然也有一些国家的破产法是倾向于救助债务人
[00:10:53] 但是在这个过程中
[00:11:19] 刚刚也提到了美国政府就深度的与新的通用汽车
[00:11:47] 在破产充足的过程中政府就参与的越多这就是所谓的too big to fail大而不能倒因为这个公司倒了我们前面也提到对整个社会的影响会非常大不仅在就业上面会有影响甚至对资本市场到国家形象都可能会有一定的影响
[00:12:06] 其实不单单是中国市场我们东亚的另一个邻国日本也有类似的这种案例大家都看过那个半泽直述二对吧我觉得应该还是有人没看过你要不要再讲一讲吧就是一个硬钢的射出的故事一个爽剧我们假定大家都看过了我们就讲他这部剧后半部分都在讲的一个非常庞大的案例没看过的就先跳过这段或者你不在意剧头也没关系
[00:12:37] 这个剧后半部分都在讲一个叫帝国航空的公司破产重整的一个故事
[00:12:46] 那其实这个帝国航空很多朋友都知道它就是取材于真实的历史影射的就是现实生活中的这个日本航空对大家看日本航空现在飞机还好好的但是在2010年的时候它就已经宣布破产重组了对然后在这个电视剧里的剧情呢就是这个帝国航空要不行了然后当时的日本政府的交通大臣就牵头搞了一个小组要去救这个帝国航空
[00:13:14] 最主要的方式呢就是要求这个帝国航空的债权人放弃他们的债权就是这个钱不用还了那这些债权人呢主要就是日本那些大银行对电视剧里面的半泽指数那个时候是东京中央银行在这个项目上的负责人他作为帝国航空的债权人他也想去救帝国航空但他主要做的就是我们前面所说的破产重整的那个部分就是帮助公司想怎么样摆脱业务上的危机
[00:13:42] 他并不想放弃这个债务问题这个很难理解啊就是如果别人欠了我的钱然后现在法院参和进来了然后说我们要想个解决办法办法就是你不用再找他要钱了他钱不用还了那你这个当院大头肯定不乐意是吧而且这个规模非常非常的大所以电视剧里面败责指数就是在跟整个日本政府硬杠最后竟然杠赢了对当时在电视剧里面那个政府的这个
[00:14:11] 处置小组要求各大银行是要放弃70%的这个帝国航空的债权那在现实生活当中当时日本政府确实也成立了一个处置小组然后他要求日本航空的这些债权人一共要放弃85%的债权就比电视剧里还要多呢对对对那当然这个现实生活中也没有半则直述那些银行都是答应的果然是日本的
[00:14:40] 然后日本政府还派了这个经营之神道胜和夫空降去做他的公司的经营者后来日本航空对吧那么多钱都不用还了然后又有各种各样的这个改革的措施裁员啊什么的这家公司现在还算是过得不错我觉得核心还是因为钱都不用还了无债一身轻嘛对当时现实生活中日本航空一共欠了286亿美元的债
[00:15:08] 这只是债朋友们我们前面提到几个公司的话基本上都是在本国范围内破产的但是还有一个问题比如说是一个跨国公司牵扯到破产的时候情况就会相对复杂一些比较简单而且规范的做法就是跨国公司会在各个市场地区设立一个子公司这个地区的子公司如果经营出现了问题那么只要这个子公司破产就可以了别的地方就不会受到影响
[00:15:36] 你破产不关我事举个例子吧就是2020年7月的时候我们大家都知道的无印良品的美国公司就破产了这个消息传回中国大家说是不是无印良品破产了那实际上并不是了美国无印良品的破产的话就没有影响到这家公司在中国继续赚钱也不会影响到它在日本的总部的赚钱
[00:15:56] 顺便说一句无因良品的美国业务其实在新冠疫情之前就一直亏然后到了2020年新冠疫情开始了对吧都得关店但是你租金还得付各个方面压力就变得更大了他就选择申请破产保护另一个有点类似的例子的话是我们前面提到的一个租车的公司他在全球很多地方都有业务当然他是一个以美国为主的公司
[00:16:20] 大家的日常生活不要受到影响吧
[00:16:42] 但是现在
[00:17:08] 最近有个比较有意思的例子就是瑞幸的这个破产瑞幸我们都知道它本质上是一家中国公司但是它为了在美国申请上市的话它设立了一个离岸的VIE架构VIE架构的话在很多中国的上市公司里面都很常见它的核心是要在开曼群岛设立一个公司所以说在瑞幸的这个案子里面就涉及到了中国开曼群岛和美国三个地区的情况
[00:17:37] 简单介绍一下就因为这个大家都比较熟悉的财务造假的这个问题瑞幸的股票呢就在美国退市了然后部分的债权人呢就向美国的法院提起了诉讼瑞幸最初呢他是希望通过第三方主导这个债务的这个重组来解决这个问题的所以他本来并不想破产对但最后呢演变成了他在法律上申请破产重整我们也提到了瑞幸他上市的公司实体其实是注册在开卖群岛的
[00:18:03] 然后他也就更希望所有的破产重整的工作是在开曼群岛的法律体系下进行的所以他后来是在美国提起了一个破产保护是希望美国的诉讼能在这个破产保护的前提下全部都终止这样就可以把整个破产重整方案的决定权移交给开曼群岛的法院而不是在美国和开曼双线作战总结一下大家可以发现破产重整其实是给了那些经营不善的公司一个机会最终它的目的其实是实现多盈就解决问题
[00:18:32] 对吧就你这公司经营不善了然后债权人也不行你这公司也不行社会上也会有影响那大家一起想一个办法让你把钱也能还上这公司也能重新经营起来所以在历史上也确实有很多公司在经过了破产重整之后重新经营的不错的除了我们前面提到的通用汽车啊或者是像日本航空之外的话还有很多
