Vol.06 MANNER咖啡凭什么做到好喝+便宜+连锁？
时长：00:27:03
来源：网易云音乐电台节目 · 商业就是这样 · Vol.06 MANNER咖啡凭什么做到好喝+便宜+连锁？

[00:00:06] 好像有一个说法是如果在一家星巴克的对面开一家Minder那个星巴克的客流会掉30%Minder做到了这三件事便宜 好喝 还能大规模地连锁房租 人工 装修 设备 包材这些都会影响到一杯咖啡的最终售价这里是商业就是这样大家好 我是肖文杰大家好 我是许冰心我们都是第一财经杂志的主笔
[00:00:49] 今天故事的主角是一个我们自己身边的品牌Manor这是一家连锁的咖啡品牌在我们公司周围一共开了五家而且我们两位都是它的忠实用户这是真正意义上的身边的品牌
[00:01:03] 除了我们个人都很喜欢这个品牌以外在商业上Manner引起我们好奇的其实是两个点第一个它其实是过去一年多以来扩张速度最快的咖啡品牌之一了除了大跃进式开店的瑞幸以及在上海开店速度也挺快的另一个品牌叫Tim HortonsManner应该是中国目前开店速度尤其这两年开店速度最快的咖啡店之一我看了一下它的官网截至3月8日Manner一共已经有110家店了
[00:01:32] 当然它目前还算是一个上海品牌可以这么说因为它有94家店都在上海但是在北京 成都等大城市它已经开店了其中大半都是过去12个月新开的另外一个点就是有喝咖啡习惯的朋友只要在自己的办公室或者是住处附近开一家Manna的话你很快就会成为它的忠实用户Manna可以说有一个珍香定律只要喝过Manna的人都说好
[00:01:58] 因为自己关注了Manna的公众号他们每发一个推文下面都会有很多很真挚的评论就说Manna真好其实对于消费者来说我个人其实是很好理解为什么Manna真香的它一杯美式是15元一杯拿铁是20元如果你自己带杯子的话都还能再减去5元所以如果你的工作的写字楼下面开了一个Manna的话等于你每天可以花10元就能喝到味道很不错的一个咖啡哪怕你每天喝两杯也只要20块
[00:02:27] 而且每开一家店的话它的口味基本上是差不多的
[00:02:31] 你每天喝的那两杯或者喝三杯它口味也是差不多的这点也很厉害而且它也获得了投资者的一个认可就是去年年底还有接近年初的时候它拿到了H Capital和戴玛西的A轮和A加轮的融资虽然我们没有看到具体的细节但是媒体的报道都是它的估值已经到了13亿美元的这样一个水平很难想象一个上海的创业公司能够估值到10亿美元以上简单的总结一下等于是Minder做到了这三件事
[00:03:00] 便宜好喝还能大规模的连锁这个就是咖啡店品牌非常常见一个不可能三角所谓不可能三角就是他没有办法同时把这三件事都做好你自己想一想便宜又好喝的咖啡店是不是没有办法做到连锁然后便宜又连锁的咖啡店是不是都很难喝但麦德好像目前为止是做到了这三件事所以我们很好奇他是怎么做到的并且也想讨论一下他能不能维持这件事情当然声明一下这期节目不是一个广告麦德也没有给我们钱
[00:03:29] 我们还是从曼娜的发源地开始说吧需要知道曼娜是从哪里发源的吗我听说是在南昌路是吗上海的南昌路南是对的路也是对的但是不是南昌路南昌路是现在上海非常著名的精品咖啡一条街但是曼娜的起步其实是从一条完全没有精品咖啡的路起来它叫南洋路OK
[00:03:49] 南洋路呢是大家可以想象就是上海市中心那些非常高档的写字楼背后一条非常没有人注意的路就是很普通的一条都是小区的那种路它那里原来没有一家咖啡馆他们租了一个相当于是临街的一楼的一个窗口对
[00:04:06] 大家可以想象一个大概两三平米的像家用厨房一样的空间然后把它改造了一下然后就开了店把窗户打开来就可以做生意直观上它感觉就像是那个时候比较常见的那种基于兴趣的年轻人会开的一个小咖啡馆对的所有的年轻人可能都有开咖啡馆的兴趣但是你能在一个两平米的店里面做这个事情我觉得也挺厉害的
[00:04:32] 它的第一家店是在2015年的当时打的这一个招牌就是平价的精品咖啡而且现在比较流行的自带杯减5元然后都在街边开尖边店这些特征其实第一家店都已经具备了对它的第一家店的价格和现在价格是完全一样的Mana创始人叫韩玉龙他是一个南通人刚刚肖老师说凭着兴趣一门心思想做咖啡的一个年轻人
[00:04:59] 他最开始做烘焙师后来做咖啡店开始做咖啡店的时候就想说能不能把窗口店做成一个连锁品牌他现在做到了我们在2020年的夏天采访过他那个时候的Mana已经奔着100家店的目标去了
[00:05:17] 敢去开几十几百甚至未来几千家店我们会有这样的一开始你就会有这样的一个想法当然了想法不想法你也不确定自己能不能成其实从最开始的时候你看你看Memo的方式我们做这个我们在做这个其实我第一个选择就想在这个CVD的一个挖地然后你说很快我就开到600后嘛为什么要进商场然后跑到上海商场大风投机因为因为你进上海你才能成品牌
[00:05:45] 成为一个输的品牌反正你就是一个小众品牌我一直以来就希望是大众品牌
[00:05:52] 其实对开咖啡店这门生意来说连锁还是只开一家店这个区别是非常大的大家都听说过很多开一家店但是不赚钱的生意也听说过开一家店然后爆火的生意Mana其实在第一家店的时候它就是一个只有一家店但是爆火的生意但是如果它变成一个连锁品牌一般的要求就是最好每家店都赚钱然后如果说他还想拿新的融资的话基本上也是来根据每个店赚多少钱来讨论的
[00:06:21] 如果每家店都能赚钱的话这就很有利于发展一个直营品牌如果你做出了品牌效应的话你的每个店都可以拿到租金更低位置更好的点位对于发展一个早期品牌来说是很有价值的说到直营这件事情顺便说一句Mana有一个挺土的地方就是它的官网名字叫做Mana咖啡唯一官网
[00:06:44] 你点进去就会发现它在首页上面就写着我们真的没有家门店所有的家门信息都是骗人的只有这里才是正宗的官网听起来不是Maina是茶颜悦色呢对顺便吐槽一句我觉得Maina这个英文的名字起的不是很好他们本来是想表达的意思是把喝咖啡作为一种习惯所以用了Maina这个词但是你实际上你用英文去说这句话的时候你其实不会用到Maina这个词你可能会用别的表达方式它有点生硬
[00:07:13] 但是这不妨碍它成为一个还不错的品牌说回连锁这件事情如果你在某一个区域某一个城市连锁店开的足够多密度足够高的话其实你可以进一步的提升消费的频率你不管到这个写字楼还是到那个商场都可以去消费麦能这一点其实非常重要的这也就引到了为什么它一开始会在上海高密度的开店因为上海市场的话大家可能
[00:07:37] 稍微了解一下就知道上海的咖啡市场是中国最复杂最难做甚至在全球范围内都能排得上号的一个消费市场你做好了上海市场其实做别的市场会容易一些另外一个连锁的好处就是大家都比较了解的规模效应你开了很多家店你就可以大规模的采购咖啡豆采购牛奶
[00:07:58] 甚至采购或者租赁咖啡机这样的话都会使你的成本更低还有人力的成本因为你可能会雇佣很多的咖啡师如果把他们一直闲着每天只做几个小时的生意的话对他们来说也是不利的大量的咖啡师可以在很多门店里面轮转着使用这样可以提高人效简单听下来就感觉你开一个连锁的咖啡店就更像是一个比较正规的在商业上面要有很多考量的一个生意
[00:08:24] 对它就是一个正规化的生意而不是一个自己想想的小生意了说完连锁的话接下来其实就要讲到Mana的一个开店或者选址的策略大多数的店都是在商场或者写字楼里面的大家还记得吗我们一开始说的时候Mana还是一个街边店而且是在一条不为人知的小马路旁边对它最早进商场的过程其实也非常曲折
[00:08:48] 自己非常想进商场因为商场的客流非常稳定消费力也很高对咖啡的认识也可能比街边店的人要充分一些但是那个时候没有商场愿意让他们进因为他们是一个非常小的品牌当时是他们在南洋路附近的一个商场那是一个其实是一个百货商店为主的商场他们可能对于小空间的利用比较有想法就觉得Mana这个品牌很有趣所以邀请了他们去试着做一做没想到效果非常好
