Vol.08 小米造车，可没造“全家桶”那么容易
时长：00:20:30
来源：网易云音乐电台节目 · 商业就是这样 · Vol.08 小米造车，可没造“全家桶”那么容易

[00:00:00] 今天我们终于迎来了一次小米历史上最重大的决定小米正式进军智能电动汽车行业我们今天的小米已经有一点点积累说实话还有我们亏得起这一回呢我决定了亲自带队这将是我人生中最后一次重大的创业项目
[00:00:54] 我深知做出这个决定对我来说意味着什么我愿意压上我人生所有积累的战绩和声誉为小米汽车而战这里是商业就是这样
[00:01:26] 大家好,我是肖文杰,我是徐明清这是一期临时录制的节目听过我们之前节目的听众可能会有感觉就是我们这档节目不太追热点都是一些日常的商业现象,我们来分析它但这次我们来追一个热点,就是小米造车录这期节目之前我们刚刚看到的消息当然现在肯定已经传开了就是说小米准备在未来十年内投入100亿美元
[00:01:50] 进军电动车市场说是追热点但其实在这期节目里边我们也不会真的去追我们是想借着这个新闻来分析一下小米现在是一个怎么样的公司它到底有什么特点在了解了这个现状的基础之上我们再来试着分析一下小米造车这件事情为什么那么特殊以及它到底靠不靠谱先回到新闻本身吧就是100亿美元的投资大概是个什么概念呢我们可以拿小米之前刚刚公布的2020年全年业绩来比照一下
[00:02:19] 100亿美元折合成人民币的话大概相当于小米2020年净利润的5倍所以第一个跟大家直觉不太一样的就是如果你是一个谨慎的或者有点悲观的小米投资者此刻你应该是挺崩溃的因为小米有可能会借着造车用钱的名义未来几年都不分红当然我们也就可以期待一个市场的连锁反应就是说小米会不会通过定增或者引入站头的方式继续对外融钱
[00:02:47] 当然大部分的旁观者包括我们看到的市场反应还是非常兴奋的对于我们普通人来说年轻人的第一辆四轮电动车是不是终于要来了而且更重要的是对于小米这家公司来说它这个小米全家桶又要扩容了我记得韩国的民间有过一句玩笑话说每个韩国人一生都无法避免三件事分别是死亡纳税和三星
[00:03:12] 当然在中国小米对于日常生活的渗透力可能没有三星这么强但是它的广度其实也已经在接近于三星的状态了从充电宝 旅行箱 插线板 床垫到空调 造具 吸尘器 螺丝刀你家庭空间里面出现的任何需求现在基本上都能找到一个小米牌的产品有这种覆盖能力的产业生态链其实过去我们在行业里面不太能见到这也是现在小米最特殊的一个价值
[00:03:38] 说起来广义上来说用车也是一个挺高频的家庭的需求所以小米造车从这个角度上来考虑和它进入其他消费品的大的逻辑是类似的那么我们就要不先来搞搞清楚小米的生态链到底是怎么回事
[00:03:55] 上市的时候小米在招股书里面列过一个蛮奇特的指标就是说每卖出一部小米手机市场同期会消费多少钱的米家产品2018年小米上市当年的这个数字大概是369块钱到2020年我算了一下大概是460块钱增长速度不是很快
[00:04:15] 只能说是比较稳健也没有高到哪里去对吧但是你从这个数据可以看得出小米很在意手机这个主产品和它其他的这些生态链的产品之间的这种联动的效益
[00:04:26] 相比于其他竞争对手小米的产品往往看起来更清爽用起来更智能价钱还更便宜这些都是能够抓住现在消费者的一些重要的优势但是为什么小米的产品能发展成生态链全家桶或者说它们互相之间能够带动消费的话背后其实有一些更底层的逻辑这其实也能帮助我们来理解小米造车这件事情首先的一个特点就是设计以前我们家里买大小家电基本上是先看看市面上有什么再挑挑看性能
[00:04:55] 之类的就买了很少讲究家电之间的搭配结果就是各种品牌的产品凑在一起长得都不太一样和家里面的装修都不太协调但现在大家都更加注重装修了对吧那小米做生态链产品的时候在设计的一致性或者说是一贯性上面是非常重视的我们说的直白一点就是它很明显复刻了MUJI的那种成功的思路讲究简洁自然做简法所以不同的小米的产品它们看起来都是高度一致的
[00:05:22] 我们差距就是说设计对于车的一些影响就因为现在智能化程度的更高的电动车发展起来以后对于汽车设计这件事情带来很多很大的变化比如说对于科技感或者未来感的强化以及软硬件结合的设计思路这些都很重要虽然说小米以前没有设计汽车的经验但是相比传统车企来说互联网公司的背景还是有点优势汽车设计的这个变革的话题以后我们有机会我们再展开讲讲
[00:05:49] 相比硬件设计这个比较直观的设计其实软件层面的统一是小米能够显著的超过它那些竞争对手的一个最大的优势简单的来说就是小米做了这么多的硬件产品它的初衷就不是为了赚钱而是想做一个统一的完整的物联网的体系所有的小米智能硬件产品其实都可以用一个APP来管理比如你可以通过米家来设置空调的定时开关或者调节你的灯的明暗
[00:06:15] 2020年小米的这个平台上面连接了3.25亿台智能设备其中不光是小米自己的产品也包括用了小米系统的其他品牌产品在这个部分小米已经超过了Google和苹果这些更早就想发力做消费级物联网的公司它现在是全球最大的智能硬件物联网平台如果大家还有印象的话早几年的时候电动车还没有真正发展起来的时候所有的互联网公司进入汽车市场最简单的方式就是帮车企来做一些智能操作系统
[00:06:44] 比如说阿里和上汽合作的斑马OS小米现在其实也是一样它的人工智能的助理小爱同学已经进入了一部分汽车的操作系统里面像威马就搭载过基于小米物联网的一个车展的互联方式但是这个其实都是比较浅层次的或者小范围的一些试水顺便说一句不赚钱一直都是小米的口号之一2018年的时候雷军就强调过小米的硬件业务的净利润不会超过5%
[00:07:10] 我们看了一下小米2020年的数据这个数字已经大概被小米压到了1%以下所以说真正赚钱的空间都不是在硬件上面它其实都留给了小米的软件业务所以你可以将小米的物联网理解为一个无处不在的收集数据的一个终端这些数据喂给了人工智能的AI之后就可以满足用户的一些个性化的需求当然也可以用来推送更适合你的广告2020年小米的广告业务收入大概是238亿
[00:07:39] 算特别高所以之前市场传闻小米造车是由负责过小米电视的王川来切头主导的时候就有评论说小米的车会不会强制让用户看完开机广告才能发动我觉得这个有可能不一定是一个玩笑我们一直有一个常规的概念就是好看好用的消费品一般都会价格比较高
