Vol.101 国产动画电影，一直在“崛起”
时长：00:40:48
来源：网易云音乐电台节目 · 商业就是这样 · Vol.101 国产动画电影，一直在“崛起”

[00:00:00] 大家好,我是肖默杰我是叶小亚这期我们来聊一聊国产的动画电影这是一个很特别的电影产业因为人们对它的态度总是在很乐观和很悲观之间横跳徘徊因为每隔几年国内就会出一部大热的票房非常好的国产动画电影大家就会说国漫崛起了但之后又会很快冷下来几年就没有什么声音等于是一直在崛起,一直在路上是的
[00:00:27] 那在2023年这个史上票房最高的春节党里面呢也有两部这个话题蛮热的动画电影一个是深海一个是雄出没之伴我雄心这两部电影加在一起的票房也是超过了20亿元啊并且都进入了国产动画电影这个票房的历史前世但是这两部作品的全民讨论度好像没有那么高毕竟这个春节党也太拥挤了一点对讨论度最高的还是那几部真人电影吧
[00:00:56] 不过从商业的角度看其实就会发现这两部动画作品很有意思因为它们恰好代表了中国的动画电影里面两条最主要的商业路径它们就有点像线头一样如果对它们稍作深究的话能够串起这个产业过去十来年的一个发展的历程而且再深一层的话我们还能从中搞清楚动画电影它本身到底是一门怎样的生意第一财经杂志的记者叶宇辰老师是长期关注影视行业的
[00:01:24] 最近他就写了一篇深度报道来剖析国内的动画行业的现状里面有不少的独家采访和细节今天在节目里面我们也会引用一些来分享给大家没错另外还要强调一下就是虽然大家经常说国漫国漫但这个概念里面其实包括了电影剧集漫画等等的内容形式今天我们的讨论范围仅限于国产动画电影这个门类也不会讲太多海外的例子
[00:01:52] 至于其他的部分呢我们以后有机会再聊嗯好那我们就开始吧这里是商业就是这样我们先来说一说深海
[00:02:13] 深海的出品方叫彩条屋它是上市公司光线传媒下面的一个子公司彩条屋也可以说是我们这一条线的一个主角因为它是最近七年来中国动画电影最大的一个投资方或者说化石人我们也稍微看了一些就是什么工商数据彩条屋目前投资的动画制作公司就有18家这只是做动画的公司还没有算上上下下的这些别的关联公司
[00:02:41] 而这些公司主导或者参与的动画电影有哪些呢就是有这次提到的深海然后大家可能也比较熟悉另一部叫哪吒之魔童将士还有江子牙和大禹海棠甚至一会我们讲到熊出没的制作公司彩条屋其实也投了其中一家对基本上是涵盖了这七年来院线上映的一大半的话题的动画电影了而且还有个问题就是在这些公司当中彩条屋的持股比例基本上在20%以上
[00:03:10] 对就相当于它不是一个蜻蜓点水的而是深度参与投资的那么问题就来了说为什么这个彩条屋这么热衷于做动画而且布局还这么广呢关于这个问题呢其实有心的听友可能前面已经注意到了我们一直在说七年这个时间节点为什么是七年这么精准呢因为彩条屋是在2015年成立的而那一年呢有一部动画电影横空出世
[00:03:34] 就是《西游记之大圣归来》说这个电影是横空出水真的是不为过因为当时根本没有人预料到这部电影会火我记得15年那个暑期档好像大家讨论比较多的是郭敬明的《小时代4》还有一部电影就是陈凯歌的《道士下山》所以说《大圣归来》一开始的排片率是不太好的好像一开始排片率只有大概不到9%8.7左右对 我们看过那个数据是8.7
[00:04:03] 然后后来它是一路靠口碑达到了一个很高水平大概后来的排名率到过24%最后的票房有9.56亿这个就是当时中国票房最高的一部动画电影了这甚至是超过了2011年的那个功夫熊猫2对在那个之前比较热的那种全名相的这个动画电影基本上都是来自于好莱坞皮克斯的而国产的动画电影呢基本上只有面相儿童为主的那种作品我印象里边
[00:04:31] 很早之前有一部全民高讨论的一个作品还是宝莲灯宝莲灯我查了一下宝莲灯是1999年的作品这相当于中间有20多年中国其实是没有什么很优秀的或者说讨论度很高的动画电影的是的在大盛之前其实也有像魁八这样的一个大制作的一些电影但是票房是很惨淡的而大盛归来它其实就证明了国产动画电影也可以像皮克斯一样受到全年龄段的欢迎
[00:05:00] 这个其实也是我们前面讲的横空出世的另一层含义而在这个之后国产电影就迎来了一个投资的热潮彩条屋就是在这股热潮里面成立的
[00:05:10] 我们看到叶宇辰他写的那个报道里边之前就写到当时彩条屋他的投资其实是什么样的就是他找遍圈内所有他们觉得有潜力做动画电影导演的这个人才然后问你们有什么想拍的吧然后我们就给你一笔钱让你们成立工作室感觉他更像是一个孵化器嘛主要是在投资一些人没错这个其中呢就包括大盛归来的这个导演田小鹏
[00:05:34] 彩条屋在他这个大圣归来大获成功之后就和他共同成立了一个叫十月文化的公司那么这家公司之后的一部作品就是今年上映的深海另外呢还有一位导演叫饺子彩条屋和他一起成立了这个可可豆动画这个公司第一部的院线作品就是2019年的哪吒之魔童将士
[00:05:56] 这部哪吒它的票房是超过了50亿元在整个中国影史都是排名第四位的目前为止可以想象这部作品对于彩条屋和它的母公司光线传媒这个经济的收益有多大虽然这50亿不都是归彩条屋的因为其中有半数要给电影院还有很多要给其他的合作方但是根据各个证券机构的估算这个光线传媒在哪吒上面获得的营收就超过12亿元而当年就是2019年当年
[00:06:24] 光线整体的这个营收才28亿元这个几乎撑起了这个公司营收半边天是个大爆款是的就是一部作品就能吃半年这个也是这种爆款在这个内容行业里面这种特殊的价值那么在这个哪吒的成功之后其实彩条屋也正式的奠定了它在国内的动画电影产业领域的一个地位不过这个只是彩条屋这条发展故事的一个明线但它背后的暗线其实跟产业会更加相关一点待会我们再来继续讲看
[00:06:55] 那刚才听起来彩条屋这个做法就很像是做风险投资或者说用早期一些投资就是用广撒网的方式然后把所有行业里面的公司都摸一遍就是指望着他们中间总能孵化出一个爆款是的其实乍一看的话是感觉这种气氛但其实如果你深究一下的话并不是这么一回事因为当时国产动画这个产业链还太不成熟远远没有到说什么你撒一下网然后它就自己可以涨出来那种程度
[00:07:22] 你像大圣归来和哪吒它的口碑虽然是很好的但其实它在制作端或者说是产业端是存在非常多的问题的比如你去看媒体报道这两部电影它的一个幕后故事都会提到说他们这个导演或者主创团队历经数年什么大圣归来是八年对吧哪吒是四年他们呕心沥血的终于完成这部作品然后制作的过程非常的辛苦
