Vol.102 欧佩克的成功，“锂佩克”很难复制
时长：00:30:36
来源：网易云音乐电台节目 · 商业就是这样 · Vol.102 欧佩克的成功，“锂佩克”很难复制

[00:00:00] 大家好,我是湘文杰,我是云小亚新能源称的是这几年很热的一个产业然后它连带着一种金属的地位也越来越高了它就是锂锂是电池当中最核心的一个元素而电池则是一辆电动车上面最贵的一个部件
[00:00:16] 去年不是有很多电动车一度涨价吗它的主要原因就是因为理矿时的这个价格飙升到了6万美元一吨的这个水平而这个数字在2020年的时候还不到1万美元当然这个价格今年在2023年初又降下来了反正是一个很大的波动那从这个事情里面就能看出理矿其实是越来越有战略地位了这个就引发了我们今天想聊的一个话题
[00:00:39] 之前的由头是去年11月的一条消息说当时阿根廷 玻利维亚和智利这三个国家正在草拟一份文件希望推动建立一个理配客大家都知道世界上有一个欧配客也就是石油输出国组织那么这几个国家呢也想在理这个矿产上面建立一个类似的组织这样呢他们就可以在全球理价格大幅波动的情况下面通过比如说达成价格协议或者签一些长期的合同来锁定一些长期的利益
[00:01:10] 那根据美国地质调查局2022年的一个报告数据从全球已经探明的锂资源分布来看南美三个国家合计占掉了57%除此之外澳大利亚的锂矿也有8%但是从实际的开采量来看澳大利亚虽然它储量不是很大但它现在是全球的锂开采量最多的国家也是第一大出口国
[00:01:35] 所以据说南美三国也想把澳大利亚拉入火我们查了一下南美这三个国家筹备建立李佩克这个事情也不是一天两天了早在2011年的时候他们就提出过了一次的方案但当时玻利维亚和智利这两个国家关系不太好所以这个计划就搁置了现在这三个国家不是闹很大的矛盾了然后李又这么抢手所以他们就又提起了这个话头
[00:02:00] 不过我们看一下最近的进展好像这个事情说了好几个月也没有什么特别实质性的一些确定的消息感觉有点符合南美人性格特点一方面激情洋溢另外一方面又有点效率低下不过李佩克这个事情本身还是引起了我们的兴趣所以就想做一期节目来聊一聊因为我们查了一下资料发现不单单是李像印尼在2022年其实同期也提出过要跟加拿大合作造一个聂佩克
[00:02:28] 纹液也是动力电池里面非常重要的一个原材料像更早以前的1967年智利又是智利智利 赞比亚 秘鲁和扎伊尔他们四个是当时的主要的同生产国也商量过成立一个叫同配客的组织后来时间不长也失败了实际上全球运转比较良好的所谓配客的组织目前还是只有欧配客或者是说扩大版的欧配客家所以这个问题就很明显了
[00:02:57] 为什么同样的这个思路放在石油这里就能成立这欧佩克能够运行下去但是对于锂啊镍铜这样的一些重要的金属它就不成立所以本期节目呢我们就尝试探究一下这个问题的答案那我们开始吧这里是商业就是这样
[00:03:27] 那要回答这个问题呢首先我们还是要解释一下欧佩克本身我在此之前先说一句其实李佩克这个中文名字我觉得是有问题的因为欧佩克是石油输出国组织它的英文是Organization of Petroleum Exporting Countries的缩写这个佩这个音对应的应该是石油对欧是组织佩是这个Petroleum是石油对吧岳老师非常严谨啊
[00:03:53] 那这样的说的话其实南美三国那个的话应该叫欧里克是不是好像是这样不过这个里佩克感觉念起来比较顺就允许我们这期节目里面就将错就错这样顺下去吧好吧那说回正题我们先说欧佩克诞生之前在20世纪70年代以前控制世界石油市场的其实不是这些中东的产油大国而是欧美的七家大型石油跨国公司他们也被称为石油妻子妹
[00:04:21] 关于石油七子妹的这段历史呢在播客忽左忽右里面它有个能源系列有一期节目讲的其实非常详细了我们也会把那期节目的链接放在声乐词里面那我们这里就简单来说吧简单来说石油七子妹当时是基本控制了全球的石油产量以及分配运输销售等等各个环节当时能够做到这一点呢一方面还是因为有一些比如说殖民统治的历史背景啊
[00:04:47] 另外一方面就是当时的西方国家已经开始介入中东事务而且希望控制这些潜在产油国的石油开采权还有一个小原因的话就是早期的时候其实石油开采主要还是集中在像美国德州这些地方对的那现在我们就很少讨论石油七姊妹这个说法了就是因为欧佩克现在已经是占据在这个
[00:05:08] 能源这个市场舞台的一个C位了嘛欧佩克是1960年成立的它最初只有五个成员国分别是伊朗 伊拉克 科威特沙特阿拉伯和委内瑞拉除了委内瑞拉的话其他都是中东国家嘛是的当时欧佩克成立的一个重要背景就是我们前面提到石油七子妹他们不断地压低整个市场的油价然后就导致这些产油国的实际利益是受损的
[00:05:34] 他们就决定联合起来维护自己的权利是的而且我们看当时有个很大的背景就是整个所谓阿拉伯世界的民族主义大家都要第三世界联合起来反抗这些传统的发达国家之类的不过刚成立的时候其实欧佩克的影响力没有那么大但是在他成立之后或者之前有几个巨大的国际形势的变化就让他变得越来越重要提几个点首先就是美国在战后经济复苏非常繁荣
[00:06:02] 然后石油的需求量也大增它其实从一个石油的输出国因为美国自己产油它也变成了一个进口国它需要靠进口来维持经济的发展然后还有一些欧洲各个国家经济复苏就等于石油在全球的需求量是一下子提升了第二个点就是当时的中东产油国和驻扎在当地的那些传统的西方石油公司其实一直在争夺石油的控制权
[00:06:27] 当然最后这些产油国一般都是胜利的胜利之后他们就把这些公司资产国有化相当于他们自己的开采能力也提升了然后相应的也会带来一笔收入的提升其实这个是从供需两端奠定了这些产油国这些国家本身它在能源市场当中的一个地位的基础了然后其实就是1973年因为以色列而起的两件大事一个是第一次世界石油危机还有就是第四次中东战争
[00:06:54] 当时的欧佩克已经成立了十来年了那为了打击以色列和其他西方国家欧佩克就宣布了我们要减产石油而且要有一个禁运的计划那这个就是著名的他们动用了一个石油武器然后这个效果也是非常的显著嘛就从那个时候开始全球意识到了原来大家这个原油需求啊都得跟欧佩克这个供给方的联盟要商量着来了之后的1979年又发生了第二次石油危机嘛当时全球的原油价格就确实是攀升了
[00:07:23] 从1970年代出每桶大概只有1.2美元这个是白菜价然后上升到了1979年底的每桶接近40美元每桶1.2美元现在我们每升都不止1.2美元也就是说这个全球经济形势和地缘政治的一个变化其实是共同推动欧佩克成为一个重要的一个国际组织之后呢欧佩克其实成员国也扩展到13个
[00:07:46] 就是吸纳了很多别的国家的兄弟姐妹们感觉刚刚叶老师讲的其实是一个有点像第三世界国家利用自己的自然资源的禀赋团结起来站上世界舞台的一个感觉一个故事对这个故事听上去还蛮美妙的但是其实也没有那么团结你像原来在欧佩克体系里面也很重要的一个国家卡塔尔他在2019年就宣布退出欧佩克这个其实就是一个大事
[00:08:11] 因为他退出的重要原因之一就是伊斯兰内部有不同教派的争端宗教因素其实在欧佩克内部一直是一个重要的问题
[00:08:20] 另外呢不同的策略其实也会导致这个同盟内部有些分化举一个例子早期的欧佩克是可以同时调整石油的价格和产量来影响整个市场和垄断收益的那在第一次石油危机之后呢世界经济的一大问题就是美元一直在贬值欧佩克就认为我们应该开始使用一些价格工具也就是上调基准油价来降低所有产油国的损失这个方案很明确但是具体要涨多少呢这个成员国之间就产生了很大的分歧一直在炒
[00:08:49] 最后在1976年的欧佩克会议上面给出了一个方案就是沙特和阿联酋提价5%其他成员国分两个阶段合计提价10%少提价的话其实对这两个产油的大国的利益是有点损失的但另一方面的话也是将就其欧佩克当中一些小的国家让他们能够留在同盟里面没错实际上到2001年代欧佩克就基本上不使用价格工具了
[00:09:14] 那主要是靠调整产量也就是整体配额的数量以及一些增产和减产来间接的影响市场那这种产量调整其实也会面临一样的问题就是这个产油大国和小国之间你很难去平衡这个配额方案怎么去分配那小国为了收入增长其实很容易就倾向于我不跟你这个同盟玩了其实的话它就是一种囚徒困境吧就是你这个石油价格上升的时候其实对于这个欧佩克里面的国家如果我能够破坏协议偷偷的去增产的话
[00:09:43] 那我就可以获得一个非常高额的利润当石油这个价格下降的时候你那些主动的遵守减产这个协议的国家的话又会承受一个经济上的损失了没错
[00:09:55] 好在欧佩克里面还有像沙特这种非常佛系的大国佛系吗它其实起到了一个很重要的兜底作用假设说有一年欧佩克计划说整体配额要降100万桶但是里面几个小国呢他不是很想执行这个计划他想要大大方方的增产来捞点钱那么他们总计呢可能说增产了总共100万桶然后呢这个时候怎么办呢为了维持表面的和平就是沙特自己减产200万桶相当于一己之力的吃亏
