Vol.105 鼎泰丰：传奇还是过誉？
时长：00:40:11
来源：网易云音乐电台节目 · 商业就是这样 · Vol.105 鼎泰丰：传奇还是过誉？

[00:00:00] 大家好,我是肖文杰,我是叶小雅首先我们做个小广告就是小宇宙平台最近上线了赞赏的功能然后我们节目也开通了在每一期节目的show notes我们下来到最后就能看到这个打赏的这个按钮反正各位听有愿意的话,有兴趣的话可以给我们打一点赏随缘啊,随缘这个是一个现实广告,以后我们就不说了啊好
[00:00:27] 就正题啊上周看到一个消息就是3月25号知名连锁餐厅鼎泰峰的创始人他叫杨炳怡炳是炳功执法的炳怡是遗族的遗杨炳怡先生去世了他是享年96岁
[00:00:43] 今天我们就借着这个由头来讲一讲这个在全球都很有声誉的一个中餐品牌可能不是所有的听友都了解鼎泰丰这个餐厅要不约老师先介绍一下鼎泰丰主打的是江南传统小吃小笼包上海人其实叫小笼馒头也煎做一些其他的点心和小菜然后口味上会做一些调整比如说我有一个朋友就认为他觉得鼎泰丰最好吃的是蛋炒饭
[00:01:11] 但是我呢其实也不是最喜欢吃小笼包我最喜欢吃的是他们家的红油抄手我也喜欢红油抄手每次都会点这个那要说点台风为什么出名的话其实也有几个点啊首先是它的价格呢有点偏贵它在国内基本上都开在一些高档的商场里面我们录音地方附近呢正好就有一家然后大众点评显示呢它的人均是157块
[00:01:35] 而且我们这个录音的地方附近不是只有一家小笼包另外一家我们看了一下仍然只有25块其次就是鼎泰峰在香港曾经连续四年拿过米其林一星是一个很好的成绩打响过民气的一个事件最后呢他还算是一个就是全球扩张非常成功的一个连锁中餐品牌之一目前大概有
[00:01:58] 不到140家门店其中大概有50多家是在大中华区然后另外有50几家是在以东亚和南亚为主的亚洲市场此外的话它还在美国有13家店非常多而且澳洲也有10家英国有3家
[00:02:13] 在欧美有这么多家其实是它一个和其他品牌很不一样的地方而且顶台风我经常有个印象就是是老外比较喜欢的一个中餐对的但是它在中国的话就不是说或者说整个亚洲市场就不是说特别的出跳对而且是大家对它的感觉有一点复杂尤其它的价格和它这个餐品是吧对就是大家可能对它印象是一个又贵又一般的米其林
