Vol.106 B站“赚钱难”背后
时长：00:36:34
来源：网易云音乐电台节目 · 商业就是这样 · Vol.106 B站“赚钱难”背后

[00:00:00] 大家好,我是肖文杰我是袁晓亚今天我们来聊B站由头就是最近沸沸扬扬的所谓B站up主挺更潮4月初陆续有一些媒体报道说有许多up主也就是B站话语体系里面的所谓视频创作者宣布停止更新了其中不乏粉丝超过百万的一些热门up主
[00:00:21] 挺更的一大原因就是因为他们说在B站上面赚不了钱对 这个事情也引起了不小的讨论并且延伸出对B站本身经营状况的一些担忧
[00:00:31] 大家都知道在2022年B站也做了比较大规模的一个人力优化缩减了它的员工规模你这个说法还是很婉转的没办法而且B站的管理层也开始对外明确地表示他们的近期主要目标是要降本增效缩减亏损给人感觉好像B站现在处在一个不太景气的状况里面
[00:00:55] 其实哔哩哔哩是一家我们长期关注的公司好几次其实都想在节目里面聊这个公司但是没有找到什么合适的由头没想到这次的由头是这个对吧对就是不太好的由头其实2020年下半年我们在第一财经杂志还做过一个封面专题专门讲B站然后那个封面专题的标题就叫前方高能那次杂志封面设计也很精彩推荐大家去看一看当时的B站正好是在一个势头最盛的时候
[00:01:23] 因为当年疫情之后呢它的月月活跃用户的规模已经突破了2.7个亿之后呢又凭借像跨年晚会之类的活动获得了很大声势然后成为当年最炙手可热的视频网站和年轻人社区所以到2021年的2月初B站当时的市值也突破了500亿美元其实是个很高的数字了
[00:01:43] 没想到不到两年它的市值就已经跌到百亿美元以下了而且大家对它的关注点也完全变样了是啊其实B站的商业化也是个老生常谈的问题了因为当时我们做那个封面的时候就很关注这次呢我们就借这个不太好的由头我们来好好地关注一下小破站的赚钱问题当然我们的讨论还是会分不同的层面啊
[00:02:06] 首先我们会从这次的舆论热点切入来说一说所谓的停更潮到底是怎么回事并且讨论一下这个背后的一些问题就是up主到底赚不赚钱第二部分呢我们会从品牌方的角度来看看在b站上卖广告的一些难题第三部分呢我们会从财报的角度来分析一下b站的盈利模式到底是什么样的
[00:02:27] 第四部分我们会综合前三个部分来最后讨论一下B站到底是一家怎样的公司然后什么是最适合它的商业化路径本期节目的素材包括我们已有的一些采访资料B站的公开财报一些证券公司的研究报告以及我们对B站员工和前员工的一些访谈还有对广告主的访谈
[00:02:49] 那为了避免一些不必要的麻烦我们会模糊掉个人和公司信息大家也不必对号入座还有一句话就是本节目肯定不构成任何的投资建议一直说这句话好那我们就开始吧这里是商业就是这样
[00:03:19] 那首先呢我们来聊聊这次的热点就是所谓的停更潮先说结论啊就是所谓的B站up主停更潮这个潮是并不存在的其实这个事情也不难理解就是如果你去看传的最多的那几篇报道就会发现他们举出的up主的名字也就那么几位比如说游戏区的怪异君还有美食区的徐大王等等的那几位的话肯定就不能称之为潮了是的而且他们之间互相也没有关联或者说是集体的行动
[00:03:47] 还有一位暂时停更的2022年的百大up主Lux他还专门留言说自己只是放个假给自己休息休息在这个时间点停更纯属巧合当然除了这几位以外的确还有一些比较大的up主或者是一些工作室他们暂停更新了不过据我们了解B站今年以来的这个新增的投稿量和up主的数量的增长其实相比较于之前没有太大的变化所谓的停更潮其实也没有一个数据的支撑
[00:04:15] 其实如果大家长期关注B站的话就会知道up主停更真的是一个很自然的事情你看我们播客其实也有很多会停更的甚至不乏一些头部的up主离开这样的问题所以这几位up主的停更本身并不是什么稀罕事那么问题就来了为什么这次这几位up主的停更就会引起这么大的讨论呢那我们觉得这个背后真正引发讨论的其实是一种焦虑的情绪而焦虑的原因呢就是现在做B站的up主赚钱没有以前那么容易了
[00:04:44] 那说到这个就要先解释一下目前如果在B站做up主你想获得收入的话有两个主要来源一个叫激励计划另外一个就是接广告做商单对那激励计划呢顾名思义就是B站会给视频的创作者以前的激励嘛这个钱的数量呢是由一套不对up主公开的公式来得出的一般我们认为啊比较重要的变量包括他的这个视频的分区播放量时长点赞数收藏
[00:05:12] 投币等等的过去呢根据一些up主自己披露的一些数字大约每千次播放这个b站会给他的激励是几块钱的水平那低的呢也有一两元那么一个播放十万次的视频也就几百块钱的一个激励的数字说实话这个收入其实不算多但是如果你是一个单干的up主而不是一个要养人的工作室的话其实也不算特别少这对于所谓中部的up主来说其实是很重要的
[00:05:39] 我记得当年我们写过一位up主叫阿木将林他当时决定全制作up主的原因之一就是他觉得这个激励计划能给他一些保底的收入而且这里面还有一个事情比较特殊就是B站也会跟一些头目的up主签独家协议就是这些up主的内容只能在B站上面发那这种情况下面他们每条视频所获得的激励就会高很多
[00:06:04] 对 我记得有段时间字节跳动的西瓜视频不是和B站抢创作者抢得非常厉害吗那个时候就听到许多B站要跟他们签独家的一些新闻其实激励计划就是这种时候B站在面临一些很严峻的竞争情况下会倾向于采取一些措施当然这些激励的具体数字大部分就是不便透露而且其实它也只覆盖少数up主
[00:06:26] 没错,但是对于大多数的APP主来说他们最近一段时间可能真的会感受到激励计划的收入减少了我们听到的一些说法就是一条各个数据都跟往常差不多的视频现在的收入可能是少了三分之一到一半的另外他们还感觉到这个计算方式上面它会越来越倾向于一键三连的重要性如果这个视频在一键三连上面特别多的话它有可能激励会相对多一些
[00:06:53] 当然这个信息我们在B站这边没有得到明确的证实不过我们倾向于相信这个激励计划计算方式是有变化的然后它确实导致了一部分收入是减少了是的另外这边要说明一下就是在B站的财报里边有一项叫做创作者的分成
[00:07:10] 这个数字呢2022年是91亿元2021年是77亿元那你看上去是增长了但这个当中啊有很大一部分其实是直播的收入分成和激励计划并不是一回事情直播呢我们后面也会提到的
[00:07:24] 那么影响up主收入前面提到另外一个很重要的部分有可能是更重要的部分就是广告也就是B站上面常说的欺压饭对关于这一点社交平台技科上面有一位叫起小点的机友也是一位B站游戏区的知名up主他最近就发了一条还挺火的动态描述他看到的情况就是他认识的很多up主在2023年第一季度他们接单的广告的商单大幅的减少了
[00:07:52] 而这些up主呢他们往往都成立了团队成立了工作室所以他们做一个视频的这个软硬件成本都很高的那他们对于广告收入的减少就非常敏感这其实也是触发这个真正那些停更的up主他们停止更新的一个重要原因不过这也是他自己的一个说法目前没有说官方的一些数字来作证
[00:08:11] 我们能看到一些情况就是2022年整个B站的广告收入增幅从前一年的145%锐减到12.8%然后这个也跟我们从up主和品牌方这边了解到的情况基本上一致这可能是前面我们说的那个焦虑情绪最主要的一个来源那如果我们认同这一点的话接下来要讨论的问题就是为什么B站的up主他们接广告变得困难了
[00:08:38] 这个问题其实也能更好地帮助我们了解B站的商业化到底难在哪里
[00:08:45] 那么要解答up主恰饭为什么变难这个问题先要介绍一下广告主在B站能够投哪几种广告其实一共分三种第一种B站官方叫做品牌营销这个说法有点模糊简单理解起来就是品牌直接投给B站这个网站和应用的钱他们的买卖的权益主要就是类似于开屏广告搜索的关键词 焦点图等等的
[00:09:10] 其实也就是各种各样的广告位或者说把这些广告位打包在一起的一些方案对的那这类型大概占B站广告收入的四分之一左右而第二种叫效果营销其实就是买流量为主了让你的广告内容能够更多的出现在用户的推荐位增加你的曝光量这个大约占整个广告收入的一半
[00:09:31] 第三种就是商单广告也就是广告主投钱给up主请他们制作恰饭视频然后b站从中会抽成这个收入占整个广告收入大概四分之一当然在实际操作当中第二种和第三种经常是组合来投放的就是广告主花钱请up主做了视频之后再花钱买b站的流量来推广这个视频其实这里面跟up主相关主要就是第三种没错那么问题就出在这第三种
[00:10:01] 哔哩哔哩在2018年上市之后呢它最大的一个招牌或者名声就是它有上亿的年轻活跃用户然后这些用户每天在B站上花的时间超过一个小时他们不仅消费内容还有大量的互动发弹幕那么这种用户年轻的来源呢就是超过300万的一个活跃创造的up主群体他们对于粉丝的影响力啊要有远远大于像抖音快手这类短视频的平台也大于其他的一些长视频的网站
[00:10:29] 所以那个时候大家都会说B站的商业化潜力是巨大的那么当时指的就是中国那么多年轻人都在B站你这个品牌如果不抓住年轻人的话就不是就不行了吗那么最直接办法就是让这些up主来为你打广告对的所以2019年之后我们就可以看到B站的广告收入都是大幅增长的很多头部的up主呢也是在那个时间点开始
[00:10:54] 成批量的接商单然后也使得up主能够成为许多人的一个全职工作那么还是话说回来为什么现在up主就会反馈说最近商单减少了呢首先肯定是因为大环境吧整个宏观经济还在复苏当中那么很多品牌就会削减投放的预算这个我觉得都很好理解但问题是在这样一个等同的前提下很多品牌选择削减对up主的投放而保留对抖音啊小红书等等平台的投放
[00:11:22] 也就是说广告行业整体都不景气但是不同平台它的体感却是冷热不均的这个其实才是我们要讨论B站时要关心的一个问题那继续问啊所以说问题到底出在哪里呢一句话来说的话就是B站的up主相比于别的平台总体上面不太适合接效果类的投放你要么展开讲讲那针对这个问题呢其实我们也和几位在B站投放过的消费类的品牌聊了聊
[00:11:51] 我们先解释一下所谓的效果类的广告其实也就是带货了就是广告主我投了这个广告费我是希望能看到实实在在的我的产品销售我的一个提升比如你在抖音直播间或者在小红书看那种种草的笔记都属于带货类的广告有一个做日用消费品的朋友他们就说之前他们刚在B站做了一个带货的这个投放他整体的感觉就是在B站做这个投放啊他有些把握不住
[00:12:17] 这个说法还是很婉转呀具体怎么叫把握不住呢它确实比较婉转我们问了一下首先就是结果上不是很容易人意啊因为带回来的广告它最大的要求就是你这个效果可测量方案可改进而所谓的效果呢它一个核心的指标就是ROI嘛大家也比较熟悉了它的算法很简单就是这个广告投放产生的真实的销售额除以这个广告投放的成本
[00:12:43] 如果大于1的话那理论上你就是赚钱的一般来说能够大于1.3 1.4的话那么就可以反复的进行投放继续投下去但是这个品牌在那次B站的投放上面整个ROI刚刚过了1如果算上一些别的一些细节的成本的话其实总体来说是亏的另外一个所谓把握不住的点就是他感觉整个投放的过程当中网站平台能够提供的一些基础设施的服务也不是很充分
[00:13:11] 什么叫基础设施啊这边呢要先介绍一下一些背景信息就是你一个品牌要在B站上投一个up主的广告有几个比较主流的方式第一个呢就是你找代理的服务商他们会推荐你一下up主然后也会帮你去采买B站的流量另一种呢就是你直接在B站的一个广告平台上面下单这个平台呢就叫花火平台
[00:13:33] 好像现在互联网大厂基本上都有一个广告平台比如说字业跳动有巨量引擎小红书有普攻快手那个叫磁力引擎是啊其实你就可以理解为一个交易错误的平台嘛品牌方的体验就有点像在大众点评上面选美食或者在视频网站上面选电影一样你可以勾选几个筛选的项比如说预算范围啊粉丝量啊内容的分区啊等等的然后平台就给你推荐那个推荐的app主上面也会写着它的报价
[00:14:02] 这个就是第二种还有第三种就是你直接去联系up主因为你很多up主都会在介绍页上面写上你他商务合作的一些联系方式但是最终B站都会要求你在花火平台上面来下单而且他也会限制up主去接私单就是跳过这个平台那么在花火平台上面下了商务合作的单之后平台也会从中抽成的也就是说up主无论接什么样的广告怎么接广告B站都是希望从里面分一倍的对的
[00:14:31] 当然啊据我们了解整个平台分走的比例总体是在个位数的就5%到10%左右吧听起来不是很高呀对但是要注意啊就是虽然这部分收入B站自己拿不了多少主要给了up主但是这个商单啊往往会带动其他类型的广告比如说我们前面讲到采买流量或者是买广告为因为对品牌来说B站最独到的资源其实是up主它最看重的往往是这个那这样听上来也就是我们之前讲到的
[00:14:58] 第一种投放和第二种投放的一个结合了没错当然这种带货类广告的效果好不好主要就看这个投放的内容和流量之间能不能结合好能够发挥一个成熟的效应那这个事件的基础就是我们刚才讲的它要有足够的数据来分析要有可测量
[00:15:18] 在这方面抖音毫无疑问是行业的翘楚它的后台数据能够清楚地告诉你哪一秒用户的下单是最多的互动是最热烈的投放给哪一个细分的人群包是最有效的同时抖音从内容到购买的整个动作也是最顺畅的所谓的一个闭环对真的是一个闭环有了很细的这些数据品牌方才会去改善自己的投放策略然后放大自己做对的地方那么下次还会再重复的购买
[00:15:45] 但是这一套事情呢在b站上面整个运转起来可以运转但是没有那么的顺利啊一方面up主这个上传视频主要都是一些10分钟以上的长视频而且他带货的方式呢一般都是在视频的评论区置顶一个链接转到淘宝啊京东上面去
[00:16:03] 这个过程相比较于短视频或者直播那种马上下单马上发购物车链接的方式肯定就是要松散很多对不对你是广告行业所那些用户掉落或者用户流失的量其实是有点高的对那这个问题呢其实不是B站独有的你像另外一个也很红的平台小红书也有这样的问题或者这么说吧除了抖音以外也没谁能在这个基础设施的建设上面做到那么极致
[00:16:30] 所以广告主对这个的抱怨就是他们也是属于可以接受的范围之内相比较而言B站更大的一个问题是什么就它社区的用户土壤就不太适合单纯的带货的种草的视频怎么说呢虽然不想开这个地图炮但是我相信绝大多数的朋友都可以认可像小红霜的用户的消费力肯定会比B站上的用户整体要高一些对不对
[00:16:54] 我反正是认可的因为我觉得B站可能还是比如说一二三线城市的年轻人为主相比之下小红书的城市分布比较类似可能更高一点但是整体的消费力肯定是更强的抖音和快手都是更下沉而且覆盖面更大的平台对这里边有一个小tricky的点就是虽然B站经常我们说它破圈破圈了但它主要的用户还是集中在一二三线城市的尤其是一二线城市除此以外不仅是人群的消费力
[00:17:22] 还有用户对于不同平台的内容的心理预期其实也是不一样的你到小红书上面就可以非常的接受种草但是我到B站上去看的话我就是去看up主的同样一个人在不同的平台上他心态不一样大多数时候我就没想要在B站上买买买像我们访谈的一个品牌因为他做的是服装类的他们投放的几位up主当中有一位是专门做种草视频的当然他是各个平台都投放的
[00:17:47] 那他在B站上的粉丝呢也都是这个目标的年轻女性看上去这个投放就非常合理对吧但是啊他们为这个视频买了流量之后做了推广结果迎来了更多的呢其实是一些男性的用户因为这个up主呢他是一位形象很好的一位小姐姐所以呢弹幕和评论区里边比较多都是关注up主本人的这个产品的事情呢倒没人太多管了所以就是跟预想的差别还蛮大的等于说这个流量投放效果就不是很好了对的
[00:18:15] 当然流量投放有非常多很细的讲究比如说大家都会说投一个人群包就是不同的细分人群投放但是细分都是分精细度的你这个目标受众是否精准很多时候是要靠积累的比如说如果有很多的坚果类的食品的品牌都在B站上投放成功了那么它肯定会沉淀一批能够识别的出来的特别喜欢这类产品的一个人群
[00:18:40] 那么以后有一些临时的或者同类的品牌去投放的话他就会找这个人群报就会更加有效一点但是在B站上面呢这个沉淀显然就是还没有那么的成熟因为之前他们各个品类在上面效果投放还不是积累那么多案例嘛还有另外一方面啊就是我们前面不是讲这个品牌主角的在B站上投放把握不住吗
[00:19:02] 它会出现一个问题就是虽然我投了一个流量然后每天都可以看到它是ROI的变化但是我无法来分析这个ROI变化的这个原因就今天它是零点几过一天以后又是二点几一会儿高一会儿低的这当中也没有什么特别大的变量的变化那这个大幅的变动品牌方就会发现它找不出原因来
