Vol.108 “五常牌”大米
时长：00:32:59
来源：网易云音乐电台节目 · 商业就是这样 · Vol.108 “五常牌”大米

[00:00:00] 大家好,我是肖文杰我是袁小亚我们之前节目有好几次都涉及到农产品有比较具体的像鸡蛋也有像国家战争储备和共港食品这样更加宏大的话题确实我们对于农产品这个话题是有偏爱的因为了解的越多就越觉得自己了解的还不够多所以本期我们就决定延续这个话题来聊一个所有中国人都很有概念的农产品大米
[00:00:26] 真的吗我觉得大米是属于那种我很熟悉但其实没什么概念的东西我只能顶多分辨得出它好吃还是不好吃好不好吃本身其实已经是个很重要的点了说到这个就要提到我们今天的主角五肠大米相信很多消费者提到好吃的大米基本上都会提到这个名词的确就像我爸妈也是经常会这么说五肠大米怎么会是好的那我就想问肖老师两个问题了首先你知道五肠是什么意思吗
[00:00:53] 我只知道它是一个东北的地名Bingo武昌是在黑龙江准确来说它是哈尔滨夏夏的一个县级市因为当地的地形比较独特而且土壤很肥沃高品质的水稻也就成了武昌最出名的物产甚至当地的一个地标建筑就是一座大米博物馆那么第二个问题就来了武昌大米好吃这个概念
[00:01:18] 在你这里除了你爸爸这么告诉你还是有哪些方面让你形成这个概念呢你这么一说的话感觉是一个很难说清楚的事情啊就是好像不知道从什么时候开始听所有的人都是这么说的而且自己吃过了之后确实也能够印证这个印象总之就是一个模模糊糊一知半解的一个概念吧但是我觉得既然他就是这个人家卖的米上面都会写五长大米然后消费者也都比较认可的话至少是一个有道理的东西吧
[00:01:47] 嗯 有点意思啊实际上如果我们仔细分析五常大米这个概念就会发现如你所说它其实是一个很复杂的概念这期节目呢我们就试图通过三个层次来聊一聊这个概念在商业上的意义第一层呢叫品种它其实决定了这个大米好吃与否的一些先天因素啊我们就会从最出名的五常米的品种之一叫大花香二号说起
[00:02:11] 来简单讨论一下为什么选种育种和品种改良对于农产品来说这么重要第二层呢叫产地它就是大米好吃与否的一些后天因素其实早在2003年五常大米就被认定为所谓的中国地理标志产品但在之后的20年里面呢这个产地里面反而出现了很多影响五常大米生育的乱象我们会讨论到一些具体的原因
[00:02:35] 第三层就是品牌目前国内其实已经出现了以五长大米为卖点的一些公司然后有些公司的销售规模已经能够冲刺港交所IPO了这个公司其实就是十月稻田我们会从这家公司的招股数以及它的一些具体销售策略出发来看看五长大米未来是否有可能通过这样的公司来走通品牌化之路这三个层次可以说是一个从所谓农业技术出发逐渐延伸到商业的过程我们是一点点来推过来的
