Vol.109 当今最重要的基础设施，在海底
时长：00:38:57
来源：网易云音乐电台节目 · 商业就是这样 · Vol.109 当今最重要的基础设施，在海底

[00:00:00] 大家好,我是肖文杰,我是叶小燕过去几年我们有时会听到一个词叫疫情红利新冠在全球的大流行肯定是对整个经济生活影响是非常负面的但也不用讳言,有的行业和公司也是因为疫情大大的发展了他们的业务,的的确确是吃到了红利这里面除了最直接的医药行业,我能想到的另一个最典型的例子就是各种线上的服务没错,比如说最典型像什么视频会议这种服务
[00:00:28] 还比如说像B站或者TikTok这样的视频平台等等总之人们因为不能出门跟人交流了就必须在线上沟通没错那我们今天想来的主题呢就和叶老师刚才举的这些例子有关但是我们既不准备讲短视频也不准备讲在线的这些会议的软件的竞争我们想讲的是线上服务这个词里边最不起眼的一个字就是线
[00:00:50] 你是说网线本线吗没错没想到是这么微弱的关系呢虽然有点微弱但是你仔细想一想互联网可以说是我们这个时代人类最重要的一个基础设施之一了吗没有它的话像我们刚才讲的这些公司和行业别说红利了存在都不可能包括这个播客大业可能也就我还是听不到了对的对的那这就引起了我们突然想到一个很基础的问题就是互联网啊它在物理层面的这个实体到底是个什么东西
[00:01:17] 或者说人到底是怎么把这么多这种所谓的信息数据传来传去的什么东西你这么一说的确是啊因为互联网现在在我们生活中实在是太自然了就像空气一样但是它也不像什么公路或者水电煤那样看得到一个很显形的一个实体最多你看到你们家里的路由器坏了对吧所以气氛上你总觉得互联网大部分时间是一个很虚拟的存在没错
[00:01:42] 那么在网上搜索这个问题答案的时候呢我就找到了今天这个节目的主角就是海底光缆如果让我自己现在想象一个互联网的话我可能会设想有很多无形的数据在空中传输嘛或者这个数据中心和数据中心之间的数据都是在云端的我们经常会用这个词总感觉互联网是在天上的但实际上啊我查了之后才发现互联网很大程度上可以说是在海底的
[00:02:07] 整个互联网99%以上的数据都是要通过沉入海底的这个海底光缆它来传输的如果把整个互联网看作一个人体的话那海底光缆绝对属于它的一个大动脉了海底光缆这个词好像是有时候会在新闻里看到它好像断了的话确实会造成一些影响但是没有想到这么重要对就是那种什么地震了之后海底光缆就断掉那种新闻实际上它不仅重要而且越查的话会发现它有非常多超出想象的一些部分比如说规模
[00:02:36] 有一个叫Telegeography的一个网站它每年都会制作海底光缆的一个全球的地图那我打开这个网站之前我对这个海底光缆的全球地图想象是可能每个大洲就有几根这个干线连在一起是一个比较简洁的一个图样等于说你只想象这个海底有一些大动脉对吧对真的大动脉那种感觉
[00:02:58] 但实际打开之后我发现它是一个密密麻麻的网络远比大动脉要厉害实际上就是目前全球实际运用和在建的海底光缆有529条它的总长度超过140万公里这个长度其实超过了整个地球直径的100倍怎么理解这个100倍我就突然想到一个比方就是如果你想象地球是一个直径10公分的溜溜球
[00:03:23] 然后呢整个地球上的海岚连在一起是这个溜溜球的线但你如果要耍这个溜溜球要玩的话那你就要至少爬到三楼往下甩下去
