Vol.112 三四线城市的居民，买电动车吗？
时长：00:41:02
来源：网易云音乐电台节目 · 商业就是这样 · Vol.112 三四线城市的居民，买电动车吗？

[00:00:00] 大家好,我是肖文杰,这一期节目的话,叶老师还是不在,但是我们又请来了一位新的嘉宾,聊的是一个汽车相关的话题,我们有请易燃老师。大家好,第一财经的观众朋友好,肖老师好。易燃老师他的title是公路飞行咨询的创始人和依然一刻的制作人,包括音频的小语桌上也可以搜到,然后视频抖音B站,包括视频号都可以看到他做的一些节目。
[00:00:27] 一岸老师的话是我们认识很多年了他对汽车行业尤其是新能源汽车的行业品牌市场包括战略的一些洞察经常会写一些大家阅读非常多的然后讨论非常多的一些文章我们经常聊一些话题也会觉得很有收获今天找一岸老师录这个播客已经是四月的上海车展的时候就订过的那个时候我们聊了一次
[00:00:49] 当时有很多听友在听友群里面许愿说想要听一期上海车展的话题我还在考虑要不要把我们这个聊天可以放出来但后来在聊的过程当中我就觉得要缓一缓因为有一个更有意思的话题我觉得是要沉淀一下再约时间跟易燃来聊一次就是他在4月底和5月初的时候
[00:01:07] 跟他的团队一起去做了一个中国三四线城市的消费者对新能源车的一个消费心理或者行为的一个调研那我觉得这个调研这个话题特别的有意思它和我们现在整个舆论或者说是普通人一个笼统的概念就有很大的反差因为我们普通的一个概念是什么呢就是从2022年开始
[00:01:29] 就是一个新能源车取代燃油车或者说所谓的新势力取代老车企的一个过程但是这样的一些描述其实它都有很多的一些值得厘清或者说是争辩的一些问题并不能这么笼统的一个二论所以当一眼说他要去做一个专门针对三四线城市的新能源消费的一个调研的时候我就觉得正好是一个很好的契机能帮助我们来厘清一些对于新能源市场的一些模糊的概念
[00:01:59] 因为我们知道汽车是一个万亿级别的这么大的市场中国又是一个如此庞大的一个消费市场这两个庞大叠加在一起就是一个非常复杂的情况那么燕老师要么先介绍一下吧为什么你们要做这样一个调研为什么选择这样的一个切入点我觉得从内到外都有很多的原因需要去看三四线电动车我们都知道自从2020年的私人市场大爆发几乎每年都在翻翻的速度在快速的增长所有人都在喊电动车要彻底的干掉燃油车了
[00:02:28] 但是如果我们真的去看很多的品牌的销量分布虽然不能说是所有但是相当多的品牌实际上现在还非常依赖一二线城市三四线城市和广大农村地区的朋友很可能对于电动车和咱们一二线城市的市民朋友们有巨大的认知的差别对吧所以我就在想我们每次在审视中国的时候是不是容易有偏见我们是不是因为比如肖老师生活在上海我也生活在上海
[00:02:56] 实际上是发达城市的这些大车企和发达城市的媒体人发达城市的KOL发达城市的种子用户先锋用户一起形成了一个舆论的狂欢然后在这种时候其实大家没有人管三四线城市的使命到底是怎么想的所以我就想带我的团队一起去看一看这就是动机我也想分享一个我在上海车展的时候印象最深的一句话很多人都在说今年车展上面全都是看到的是新能源的车
[00:03:24] 主要都是电动车纯电动的车但我在采访宝马集团的董事长的时候他就说了一句话他说宝马集团的目标和很多车企一样他说的是2030年要达到50%的新车销量都是纯电动车他说但是这句话还有硬币的另一面没有表达他另一个意思是仍然有50%的车上面是有燃油的发动机的
[00:03:47] 意思是什么就是说即使到了2030年其实燃油车对于很多的车企来说仍然是非常的重要同时所谓的新能源车里边还有混动和纯电的这样一个区别同时又有刚刚你讲的非常重要一点就是一二线城市和三四线市的差别所以我觉得通过城市切入其实是非常好能够帮我们厘清这个点的
