Vol.114 可持续是大公司的面子工程吗？
时长：00:43:01
来源：网易云音乐电台节目 · 商业就是这样 · Vol.114 可持续是大公司的面子工程吗？

[00:00:00] 大家好,我是肖文杰,这期呢,岳老师有事请个假,葛老师来代班啊,不过我们节目也时隔三期,回归一个常规的模式,而且这一次呢,是一个久违的商业合作的一个节目啊。嗨,正做起来了啊,大家好,我的也不装客气了,反正我们都是老熟人了。
[00:00:17] 这期我来带班呢要聊的是一个我们很早以前其实就想过要尝试但始终想不好能怎么聊的话题就是可持续没错找我们来聊这个话题的是欧莱雅集团我们这一期节目呢是在6月8号上线这一天正好是世界海洋日那往前倒三天6月5号呢又是世界环境日三天之后6月11号探博会又会在上海举办
[00:00:44] 反正感觉整个六月这个可持续这个话题都很热闹是吧是的欧莱雅呢她也是参加这一届探博会的为数不多的消费品的公司他们在当天会发一个可持续相关的报告所以也是借着这个氛围了我们就来聊一聊大公司做这个可持续工作的一些具体的know-how
[00:01:04] 大家也知道可持续这两年是一个很热门的话题但我们节目一直没有涉及是因为我们总觉得它有点虚或者说找不到和商业的一个结合的角度对 而且在公众观念里面包括其实我们自己做媒体很多年我们也很了解包括可持续在内的这部分一般会被公众认为是企业公关手段的一种办法而且过去很多年老实说我们自己也接触到一些公司比较擅长把可持续作为一种对外的话术
[00:01:33] 但这种情况首先是它在最近几年我们感觉发生了很大的变化无论是外部的一个大环境还是全球各个市场的一个政策的转向还是许多公司它从具体的业务运营当中确实是非常的重视可持续这个话题所以我们觉得也到了一个可以重新来理解它的一个时候我觉得好像我们后台也老是收到听有留言希望我们聊这个话题对吧没错
[00:01:56] 另一方面就是我们和欧莱雅深度沟通了之后而且我们采访了好几位相关的工作人员包括一些欧莱雅的合作方就觉得这个话题真的是可以聊因为我们看到了许多非常有意思的具体的案例欧莱雅这个集团大家都比较熟悉它是一个总部在法国的全球最大的一个化妆品公司很多听众我相信应该也多少都用过它旗下的产品但在这次节目里面其实它就会涉及很多跟日常我们用这些产品包括生活很相关的一些科普
[00:02:25] 比如说一瓶洗发水它整个生命周期里边产生碳排放最多的是哪个环节又比如化妆品的这个包装这个标签和剪的剪排有什么样的关系还有欧莱雅如何在印度收薄荷的这些故事反正就我听的时候觉得蛮有意思总之就是了解了这些案例之后我们就感觉到对一些公司来说可持续已经不再只是一些悬浮的数字或者说是口号了他们必须通过非常非常多具体的项目才能实现
[00:02:53] 那这些项目虽然未必直接产生利润或者说未必短期内能有回报但它其实已经深度的融入到这些公司做生意的细节里面而且是在have to这个层面上不是说说而已那我们今天的节目呢就很简单就想跟大家分享这些我们刚刚学习到的也觉得很有意思的一些案例一起来看一下可持续这个工作到底是怎么深入一家快销公司的这个骨髓当中的我可以负责任跟大家讲绝对是非常长知识的一期
