Vol.115 蜜蜂经济学
时长：00:35:45
来源：网易云音乐电台节目 · 商业就是这样 · Vol.115 蜜蜂经济学

[00:00:00] 大家好,我是肖文杰我是余小漾首先还是要跟大家说明一下前段时间我是休假然后请高老师替我代班了一期节目不是跑路啊
[00:00:11] 只能说休假还是很好的可以换一个环境放松身心听上去感觉去了什么疗养圣地那倒不是只是去一趟东京但是就是有很多体验项目就是那些过去几年里面我只能在未来预想图团队的作品里面读到那些新东西然后顺便也去观了一些鸟
[00:00:40] 每个人的玩法真的是太不一样了所以这期节目就要聊蜜蜂了确实因为我休假之前正好看到一篇很长的文章他是经济学家张武昌教授讲他在美国上学和做研究的过程其中就提到过他早年一篇自己比较得意的经济学论文叫蜜蜂的神话
[00:01:00] 他说这篇文章从他开始收集资料到投稿投出去这个过程只用了三个月就完成了他自己说这个相当于天才的水平当然张文长大家有可能比较熟悉他当过香港大学经济金融学系的系主任也算是世界范围内比较有名气的经济学家了
[00:01:19] 然后他的著作我感觉学术的成就我不太懂但是相对而言他的文字都比较生动当然关于他本人也有很多的一些争议比如说他说话比较狂等等的我觉得是所谓三个月写完相当于天才的水平就蛮自吹自擂的是的我觉得他算是一个个性很鲜明的人当然才华也肯定是有一些的《秘方神话》这篇论文我后来专门找来看了一下它原版是英文的现在有一个中文版的翻译
[00:01:47] 中段呢涉及到一些比较简单的数理分析但是它其实比较吸引人的部分还是开头就很有感染力然后呢也一下就抛出来很多就是一看就是调查得来的这种行业细节就看上去不太像一个正经的论文反而像一篇就是那种写的比较好的杂志专栏像我们这种商业故事特稿是吧有一点这篇文章当时对于
[00:02:10] 经济学界是还蛮大冲击的因为他直接否定了一位诺贝尔经济学奖得主的一个著名的论文的观点
[00:02:18] 但是我们更感兴趣的其实是他里面提到的养蜂这个行业养蜂听上去有点简单就是你搞一个装置养一堆蜜蜂
[00:02:48] 蜂行业的发展思路的确也发生了很多变化它变成了一个其实挺精细的所谓交易的体系这个都有交易制度了吗养个蜜蜂而已确实有一些超出我们的常识认知当然我们对于养蜂本来就没有什么常识所以这期节目我们就想从这篇和蜜蜂相关的经济学论文出发来
[00:03:06] 讨论一下养蜂产业的面貌也看一下学界对于这个行业的判断然后也看一下就是学界的一些讨论对于美国和中国两地的养蜂行业是否就是产生足够的影响以及这两个国家现在蜜蜂产业又发展到了什么地步没想到又是一次农广天地的节目就像之前节目说的就是农业是一个我们很想长期讨论而且经常讨论的话题养蜂其实是一个很小众的行业一般人确实很难关注到
