Vol.116 成为吉卜力：创业篇
时长：00:38:12
来源：网易云音乐电台节目 · 商业就是这样 · Vol.116 成为吉卜力：创业篇

[00:00:00] 大家好 我是肖文杰我是小亚今天我们来聊一聊吉普利这是一个在我们选题库里压了很久的话题这次终于找到一个合适的时机了一方面是今年的6月吉普利的名作《天空之城》登陆了内地的影院
[00:00:17] 然后到7月份的时候呢宫崎骏导演的新作你们要如何活着也将上映了大家要知道这已经是宫崎骏第七次复出了没错啊这隐退见最没有诚信的人当然大家肯定是非常乐见他这个言而无信反复出现啊这个因为吉布利作品永远是多多益善
[00:00:37] 把目光放到全球来看吉普利可能是影响力仅次于迪士尼和皮克斯的一家动画制作公司即使你没有看过他的作品也肯定听说过龙猫天空之城千语千询即使你连这些作品也没有听说过呢也肯定在某个场合听过他的配乐那即使你没有听过九十样创作的这些配乐呢你也肯定听过宫崎骏这个人的名字所以呢吉普利就是这么一个在全球至少在日本他是有一个全年龄段知名度的一个招牌
[00:01:05] 没错当然了这个对于吉普利作品本身的讨论已经太多太多了而且我们两位也只是普通的影迷嘛也提供不了什么专业的见解所以我们今天还是从商业的角度来聊一聊这家公司本身
[00:01:18] 是的其实吉布利在商业上的成功一点也不比他的这个作品本身逊色甚至说是一个奇迹啊因为他从1985年到2016年这30多年里面他是以平均每两年一部的节奏持续的在推出长篇动画电影他累计票房收入超过了1400亿日元在鼎盛的时期吉布利的作品几乎铁定成为当年的日本国产电影的票房冠军而做到这一点的是一家
[00:01:47] 员工数在100人上下的小公司没错所以这期节目呢我们就来聊一聊最后一门生意的吉布利哦不不是一期节目啊而是两期节目嗯两期哦因为研究着研究着我们就发现吉布利的商业故事有很多可以说的就是一期的量放不下上半期呢我们主要讲故事这个故事的主人公并不是前面提到宫崎骏而是吉布利的幕后化石人叫林木敏夫
[00:02:12] 林穆敏夫是吉普利几乎所有作品的制片人吉普利在商业上的成功很大程度上也归功于他我们会以他本人的一些回忆录包括一些书来作为主线来帮助我们理解吉普利长青和大麦的奥秘下半期我们则会有更多比较硬的商业分析我们会基于公开的财务数据来看一看吉普利辉煌的票房之下实际的经营状况以及他在电影以外的一些商业实践
[00:02:39] 那最后呢我们还是会花一点时间来讲述一下吉卜利进入中国的一些幕后的故事这个量实在是很大话题很吸引人我自己已经开始搓手了那我们就开始吧这里是商业就是这样
[00:03:07] 那夏老师要不先跟大家介绍一下林木敏夫这个人吧好呀因为他的这个生平的履历和吉卜力的创立也是息息相关的林木敏夫他是出生于1948年比宫崎骏呢小7岁比高田勋小13岁他和我们其实都是同行啊在这个庆应艺术大学这座名校毕业之后呢就进入了日本当时的一家大型的出版机构德坚书店担任旗下一本娱乐杂志的编辑
[00:03:35] 那么德坚书店呢其实在当时经常是领风气之先的一个媒体集团了他在1978年的时候呢就创办了日本的首本专门的动画杂志叫Animage就是动漫这个Animation和图画Image的这个结合
[00:03:51] 在1978年的日本当时呢动画这种形式就已经在一个兴盛的一个状态了当时正好有一部作品就火遍全日本就是宇宙战界大和号它现在也被认为是日本动漫产业的一个重要的起步点那Animage这个杂志的创刊呢很大程度上也是因为这部作品实在是太红了对那这个时候呢林木敏夫妇就被领导突然就派过去担任这本新杂志的一个编辑了
[00:04:15] 在这个川康号上面呢他就想去采访一下1968年上映的一个动画电影叫太阳王子的团队
[00:04:23] 那这部作品呢在当时这个风起云涌的时代是受到很多听人的好评了虽然已经过了十年但是大家还是都记得他那么这部作品的这个导演就是高田勋然后原画师呢就是龚其骏结果啊这个高田勋和龚其骏不但拒绝了林慕敏夫的采访还吐槽了一个小时不过三个人呢也是因此结缘了之后林慕敏夫在Animage当中还是多次的报道了龚其骏和高田勋还请他们来做一些特辑然后三个人就越来越熟了啦
[00:04:52] 之后宫崎骏就开始在Animage上面连载他的一个漫画作品就是《风之谷》后来这部作品的这个改编而成的动画电影呢也就成了吉卜力的一个开山之作这里要稍微说明一下很多朋友会把《风之谷》作为吉卜力的首部作品但其实当时吉卜力还没有正式成立啊对的这个德坚书店呢是《风之谷》这个电影的投资方之一他也就是在日本所谓的这个制作委员会的成员了那么高田勋呢是《风之谷》的制片人宫崎骏是导演
[00:05:21] 然后林木敏夫当时的角色是什么他原本就是漫画所在杂志的编辑所以他就参与了很多电影相关的一些宣发的工作和一些策划的工作就变成了和公积金的一个工作的搭档了而且他同时也从当时的制片人高田勋这边学到了很多电影制片工作的一些入门
[00:05:40] 其实在那个时候林木敏夫就已经体现出这个人有一点组织和动员能力了就是为他以后正式加入吉布里就马下了一个很大的伏笔对有一个小的段子就是说林木敏夫在推动这个项目就是风之谷这个电影对外宣发的时候就跟人家吹牛说这个漫画的原作是一个大热的作品就风之谷的原作但其实当时的Animage的时候这个风之谷并没有那么的受欢迎
[00:06:04] 那风之谱这部作品获得了不错的成绩呢高田勋就供其进决定说我们拍下一个我们想拍的电影吧这次是一部真人纪录片不是动画片啦叫柳川哭歌物语他讲的是福冈县柳川市运河水网中人们的生活故事但是呢拍到一半这个预算超支钱不是很够了典型的这个高田勋的作风对的高田勋几乎每部作品都会超预算然后时限也都超的
[00:06:32] 这个时候呢林木敏夫就建议说之前我们风之谷不是赚了一点钱吗不如还是再拍一部动画电影赚了钱以后继续拍六川吧嗯然后林木敏夫就拿着宫崎骏一个已有的作品企划呢去找了德坚书店的老板叫德坚康快那这位人物呢之后我们还会重点提到啊那林木敏夫呢就在这个提案里面说要么我们就索性成立一个专门的动画工作室来拍动画电影你看我现在现成的企划都有了然后德坚康快呢就
[00:07:01] 非常爽快一口答应了就这样吉卜利工作室就作为德坚书店旗下的一个部门成立了然而林木敏夫拿给德坚康快的那个作品的企划呢就是天空之城顺便说一句吉卜利的这个工作室的名字是撒哈拉沙漠上的热风它同时也是二战时候一款侦察机叫卡普罗尼的逆称
[00:07:22] 一看这个名字就是宫崎骏自己起的这宫崎骏真的是太喜欢飞机了对真的是超喜欢当然这个地方大家要注意一点就是在这个时期吉卜利的一切其实都是未知的就并没有说一定要围绕宫崎骏来搭建一个团队也没有说要成为一个一直持续下去的一个制作的组织甚至高田轩和宫崎骏他们当时在业界都还处于一个叫好不叫座的一个民生的状态所以吉卜利本身是一个随时有可能终极的一个企划并不像
[00:07:51] 现在设想的这么好的一个状态
[00:07:54] 当然后面的故事我们都知道吉普利之后的作品不断的热卖然后他的名声包括商业价值也不断的扩大但这个是最早的时候想不到的一个事情那在这个不断上行的过程当中呢宫崎骏他本人天才的这个创作能力当然是吉普利的一个原动力但是让这一切能够有效运转起来的往前滚的则是林木敏夫搭建的一套商业模式而他的一个核心贡献呢就是找到了怎么把动画电影卖作的一套方法论
[00:08:23] 其实林木敏夫自己总结过吉布利的电影宣传主要就是靠六个手段一是发行公司的宣传渠道二是制作委员会的自由渠道三是商业合作四是适应会五是公众媒体六就是现场见面会和全国推广其实每一次电影上映之前他都是努力将这六个手段用到极致才实现了吉布利的一次成功但是如果只谈这六个角度好像有一点太
[00:08:48] 所以我们还是更好奇就是林木敏夫他作为吉布利和整个商业社会之间的一个重要的协调者是怎么做这些协调工作的所以呢下面我们准备从编辑能力量化分析和商业合作这三个方向来看一下林木敏夫到底抢在哪里
[00:09:07] 好 那我们来具体来分享林木敏夫的一些商业的技巧了那先说说编辑能力吧 袁老师我们自己都是搞文字工作天天都是跟编辑在打交道对这个事情还是很敏感的看林木敏夫自己写的《吉布利的伙伴》这本书其实最主要的感觉就是它是一个天生的顶级编辑其实你提这一点的时候我一开始还觉得没有那么的特别因为它本身不就是一个漫画杂志的编辑吗做得也蛮好的感觉说不管什么形式的内容它这个底层的方法论应该也是相通的对吧
[00:09:36] 我觉得略有差别吧因为吉布利在他那个生产流程里面策划部分的介入其实是非常早的这本书里面引用过一位广告大师叫细锦仲理的话他是曾经帮吉布利写过很多著名文案的一个人他曾经说就是他在接到吉布利的任务的时候其实从来没有看到过剧本他看到过只有些零零碎碎的什么创意意图啦世界观啦就是一大堆跟关键词类似的梗概性的东西
[00:10:04] 那他写出来的那个文案是什么作用呢就这个文案得让整个工作室里面负责绘图上色然后画分镜的这些工作人员理解说这是一部什么样的作品然后等这些工作人员理解完了以后才能让说观众理解这是一部什么样的作品等于导演自己本身没有这样一个很有逻辑的想法对的就他的工作相当于就是你要钻进这个导演就是
