Vol.117 成为吉卜力：守成篇
时长：00:36:59
来源：网易云音乐电台节目 · 商业就是这样 · Vol.117 成为吉卜力：守成篇

[00:00:00] 大家好,我是肖文杰我是叶小亚本期我们继续聊吉布利的话题啊
[00:00:05] 前一期我们讲了很多故事主要是擅长策划和经营的林木敏夫这个人是如何把吉卜力做成日本最成功的电影制作品牌的今天我们会更多深入数字的部分从更客观一点的视角来看一下吉卜力这家小公司的经营状况为什么我们一直强调吉卜力的这个公司属性呢其实上次节目也提到了一点点就是吉卜力他在日本动画界的地位不仅在于他能够持续的产出高质量的作品
[00:00:34] 还因为他在制度上面其实相对于当时的很多行业惯例而言是有所创新的其实早期的杰布利和很多的动画工作室一样就是在一个企划开始执行以后才会去市场上招募那些画手然后等电影制作完成以后这个团队就原地解散比较像一个剧组所以他其实没有办法做到所谓人才培养的而正是为了稳定整个制作的品质然后持续的生产高质量的画稿
[00:01:02] 从模拟宅急变之后呢龚其骏就主导改革了这个工作室的制度把所有的画师都转为了全职员工这个决策呢其实是有效的保证了吉卜力能够长期做出好的创作当然啊我们要说就是日本这个动画业界的薪酬和工作强度的问题仍然是一直存在的也是比较严重的吉卜力这个全职化这个动作并不能彻底解决这个问题嗯对的这个问题我们先不展开啊
[00:01:27] 另一方面跟这个全职制度很矛盾的一点就是吉布利这个工作室其实从一开始就没有想到要做长期的发展这个我们也强调过好几次了因为它本质上呢它还是服务于公企军和高铁军的创作欲望的一个组织这个组织呢既不想说要扩大规模也不打算储备什么资金如果说没有林慕敏夫他运作下这个一次次票房都创纪录那么这种组织上的重模式在成本端一定会压垮吉布利
[00:01:55] 但好在吉卜力的作品质量比较高为他在电影之外创造了挺多长期赚钱的机会也就是我们现在比较常说的IP的运营随着高田勋的逝世以及宫崎骏进入一个比较长期的退休状态之后这部分的价值对于吉卜力这家公司来说也会越来越高所以本期节目我们就主要从两个部分来介绍吉卜力的生意一个就是电影的部分一个就是非电影的部分
[00:02:22] 电影的部分主要是票房收入和成本端的一些分析然后非电影部分就是主要包括吉卜利基于IP的一些衍生业务比如说他的美术馆展览以及刚开的主题公园以及一些IP的周边销售在介绍的过程当中我们会用到吉卜利和他关联公司披露的一些经营数据也会用到一些公开的票房信息或是他访谈当中提到的一些票房的数据
[00:02:46] 聊完这些数字之后我们最后还会把视线拉回到国内来看一下吉普利和中国的恩怨情仇以及为什么过去几年里面我们又开始能在大萤幕上面看到吉普利那些经典作品了我们就开始吧这里是商业就是这样首先我们先花一点时间来看一看以制作动画电影为主业的时期吉普利的一个经营模式
[00:03:24] 其实也很简单,吉布利早期的一个经营负责人也是一位著名的动画制作人叫袁彻他曾经用三个词概括过这个公司的状况,叫高成本、高风险和高回报我们开头其实提到了吉布利的这个雇佣制度改革这个改革不仅仅是所谓人才的稳定,当然也肯定会带来成本的上升因为当时宫崎骏有一个疯狂的想法他就是想让这些动画制作人员的薪水有显著的提升他希望是至少达到寄件工作值
[00:03:53] 另外吉普利还有两个特征也是抬高了他的人力的成本
[00:04:13] 第一就是G5E的员工他不仅在电影的制作阶段享有一个比较稳定的在当时也高于同行那个收入而在两部电影的制作间隙就是闲着没什么事干的时候他也可以拿着三分之二的薪水去海外度假也好或者做自己的事情也好甚至去别的工作室接活都没问题
[00:04:31] 按照林木敏夫的说法呢这个制度是希望说员工在返回吉卜利的时候能够精神焕发但是从公司的角度这个显然就抬高了人力成本嘛对啊你不在公司干活公司还给你发薪水哪里找得到这么好的公司啊是第二个还有一个小点呢就是吉卜利他几乎是始终坚持手绘作画的只是到了后期才少量的引入了一些CG作画那这个显然也会抬高他的一个制作的成本
