Vol.118 英伟达如何变得“不可替代”？
时长：00:40:12
来源：网易云音乐电台节目 · 商业就是这样 · Vol.118 英伟达如何变得“不可替代”？

[00:00:00] 大家好,我是肖文杰,我是小亚这次我们来聊一聊目前最炙手壳的一家公司,就是英伟达今年6月,英伟达是成为了芯片行业有史以来第一家市值破万亿美元的公司这是连英特尔都没有做到的事情而且截至目前,比英伟达市值高的也只有苹果、微软、亚马逊、Alphabet还有沙特阿美这五家公司此前特斯拉和Meta都曾经达到过万亿美元的门槛但现在都股价回落了
[00:00:30] 而且仔细看一下这个名单里的公司除了沙特安美其他好像都是英伟达的大客户他们每年要花数亿甚至数十亿美元来买英伟达的芯片是的这也是英伟达近期在二级市场受追捧的重要原因就是因为随着这个ChatGPT的爆发人们发现现在想在人工智能尤其是大模型方面有所建树的公司都必须大量采购英伟达的这个AI芯片
[00:00:56] 所以人们称其为AI时代的一个军火商或者英伟达自己的说法是AI时代的一个基础设施的提供商那从这个角度看是不是说英伟达和沙特阿美也没有什么差别了是有点这个感觉而且今年的正好是英伟达成立30周年30年前英伟达只不过是数十家想要为游戏做3D显卡的小公司当中的一家甚至他没有自己的办公室都要在乒乓桌上面来办公
[00:01:22] 但现在的话它成为了一个新时代不可替代的一个基础设施的提供者那这期节目呢我们就来讲一讲这样一个转变的过程是怎样发生的嗯这期节目除了我们两位之外呢还特别请了一位嘉宾就是我们同事王杰夫大家好我是王杰夫也可以叫我Jeff
[00:01:39] Jeff呢是第一财经杂志旗下新皮层团队的成员新皮层啊就是大脑皮层的那个皮层是一个我们专门报道人工智能相关内容的一个品牌在微信里面搜索这三个字的话就可以找到他们的公众号Jeff呢他长期关注科技领域的大公司可能有的听友会有印象就上次我们微软的那期节目里边其实就引用过新皮层发布的一篇关于微软和Google在AI上面竞争的一个文章就是Jeff写的
[00:02:07] 这次Jeff又写了一篇关于英伟达的研报其实我们今天的节目也是在他这篇文章的基础之上衍生的而且这篇文章在本周三也在新皮层的公众号上发布了里边有更多关于图表和专业技术的一些分析大家也可以结合节目一起来服用这期节目我们会分三个阶段来回顾英伟达的发展
[00:02:28] 第一个阶段是生存就是它如何在游戏显卡时代就活下来第二个阶段是转型它是通过软件研发把GPU从单纯的显卡转变成了一个通用计算的工具这是怎么做到的第三个阶段就是乘上风口也就是在AI大潮来临的时候英伟达是如何快速抢占最佳位置的
