Vol.119 A股史上第四大IPO，是什么来头？
时长：00:31:05
来源：网易云音乐电台节目 · 商业就是这样 · Vol.119 A股史上第四大IPO，是什么来头？

[00:00:00] 上期节目我们讲了一个热门的大公司英伟达这期准备继续讲一个带达字的热门大公司叫先政达不禁的唱出了南方考虑到我们有时候是一个农广天地的节目所以讨论先政达还是很正常的因为先政达是一个世界级的农业化工巨头整个公司的发展史是超过250年
[00:00:25] 它的两大核心业务农药和种子在全球的市场占有率排名都分别是第一和第三名那考虑到我们还是一个商业节目讨论先政达就更正常了因为它很特殊首先先政达的总部在瑞士业务是覆盖全球却是有中资控股的2016年当时的中国化工集团以430亿美元的高价收购了先政达多数股份这也是中国企业迄今为止规模最大的一次海外收购
[00:00:53] 其次上个月先振达也通过了上交所主板上市前的审核会如果上市成功的话它的IPO的募资规模将是650亿元人民币在整个A股市场上这是可以排到第四位的一个数字排在它前面的三家分别是660亿元的中国神华666668亿元的中国石化还有685亿元的农业银行
[00:01:16] 那其实考虑到现在A股的环境先政达这种体量的公司选择这个时候上市也是很罕见的选择其实2021年的年中先政达就申请过当时是想在科创板上市那时候其实市场条件好一点但是进度上有点搁置了直到今年5月它突然转向主板然后过汇的速度也是飞快这个背后显然有些战略考量
[00:01:39] 这两方面的因素结合在一起呢都使得我们对先振达这份700多页的招股书十分的好奇啊所以我们就想来今天研究一下不过看完了之后呢再结合当年中华的这个收购案以及这次的IPO本身其实我们的问题反而是更多了
[00:01:57] 所以本期节目我们主要是想分享我们研究先振达的过程当中的几个困惑和大家一起来探讨一下首先是核心业务层面先振达所属的农业化工行业战略地位很高覆盖市场也非常广泛甚至它还有不小的技术门槛但是为什么反映到公司的利润率上就没那么好呢这是一个困惑其次是新的业务层面在先振达财报里面有一个叫现代农业服务的板块
[00:02:23] 这个板块在2021年到2022年之间实现了收入从110亿到202亿的这个翻倍增长这个业务到底是做什么的我也很好奇
[00:02:34] 然后就是市场层面从收入结构看先振达是一家真正的全球企业那近年来全球几大农业国的波动多少都能反映在它的业绩上相反中国市场对它的影响却没有想象中那么大这个是为什么最后呢是资本层面让一个全球的大公司在中国上市本身这件事情就是史无前例的而先振达到底要怎么用这650亿元又能为这个市场创造什么新价值我们可以再分析分析这件事情的小效率
[00:03:01] OK 因为涉及到IPO的项目所以我们照例还是要提醒一句本节目内容不构成任何的投资建议好 那我们就开始吧这里是商业就是这样
[00:03:22] 我觉得熟悉先振达的人应该还是远远的少于熟悉英伟达的朋友所以约老师要不还是先给大家介绍一下这家公司先振达的历史非常悠久也非常杂肉因为它本身就是一个多次并购形成的一个公司体目前先振达的基因里面至少涉及到20家公司其中最老的是瑞士的一家医药经销公司叫加基它诞生于1758年而决定先振达目前规模的一次交易是发生于2000年
[00:03:51] 当时全球的两大药企诺华和阿斯利康分别把自己的农业化工部门拆分出来然后再合并到一起就形成了先政达当然又经过了后来中国化工集团收购以后目前计划上市的这个叫先政达集团体系里面还多了一部分中国化工在化肥还有智能农业领域的业务20多家公司感觉是个顶级混血你既可以说它是历史悠久又可以说它是一个横空出世的一个集团没错
[00:04:19] 但是从具体业务来看呢先政达其实远没有他的基因那么复杂
[00:04:23] 我们看只看2022年的数据吧它的主营业务其实就是四块第一块叫植物保护俗称农药可以占到公司收入的65%然后第二个是农用种子占15%第三个叫作物营养俗称化肥就是这个部分可以占10%以及现代农业服务也占10%感觉它完全贯穿了农民整个的工作环节似乎是这样但是这里有几个问题首先就是农业实在
[00:04:53] 但是太基础太重要了即使是先振达这么大的公司它覆盖范围其实也很有限比如说农药领域先振达的全球市场占有率是24%虽然是第一名但是只比第二名的拜尔高4%左右那种子这个市场的竞争就更激烈了先振达说是第三名其实它的市场占有率只有7%
[00:05:12] 其次我们具体来看一下先知达这个最主要的农药业务也会发现这个行业因为本身竞争就过于激烈出现了很多不利于大公司的因素怎么讲农药虽然在外人看来是一个很接地气的产品但是其实从研发
[00:05:28] 这个环节来看它跟真正的医药行业的药品很像前期的研发成本都很高也有所谓的中间体纺织药创新药这些概念都是药看到一个行业机构的统计在1995年一款新农药它的平均总研发成本是1.52亿美元从研发出新农药到投放市场整个周期是8.3年其实蛮长了到2010至2014年间
[00:05:54] 一款新农药的平均总研发成本就已经上升到了2.86亿美元就涨了很多了然后周期也上升到约11.3年就比原来更长了这个成本再加上这个时间这两个数字都能体现出这个研发农药是一个高风险高投入
