Vol.120 “你想成为宝可梦训练师吗？”
时长：00:34:57
来源：网易云音乐电台节目 · 商业就是这样 · Vol.120 “你想成为宝可梦训练师吗？”

[00:00:00] 大家好,我是肖文杰我是于恒雅今天我们来聊一个看似比较轻松但实际上非常硬核的话题叫集换式卡牌
[00:00:09] 又进入到了一些我们不是很懂的游戏领域了如果有什么错漏之处大家一定要原谅我吗岳老师还没开始讲就认怂了吗摊牌了摊牌了我其实平时最喜欢的是一些无脑小手游什么2048俄罗斯方块什么的像什么棋牌的游戏哪怕是麻将和斗地主对我来说都是hard级别基本上是不玩的我一直安利岳老师来参加一些棋牌活动但他都是非常强硬的婉拒了我觉得你这个就属于有点为难情绪就麻将有什么难的毕竟外国人都能学会的东西外国人
[00:00:38] 现在外置牌官方2022年的销售额
[00:01:05] 据说已经超过10亿美元了而其同类的卡牌在中国好像也有点破圈了岳老师破圈这个词现在我们听的实在是太多了你说的这个破圈是说有更多的人开始玩这个集换式卡牌了吗还是说有更多的人知道这个东西这个问题提的很好在中国其实比较接近于后者
[00:01:24] 最近有一个新闻是万智牌在跟魔界的一个联动系列里面放了一张全球只有一张的叫至尊魔界卡而且这个卡最近已经被人开出来了有其他人为这张卡开了个价是200万美元是一个很高的价格如果成交的话这就是全球有史以来最贵的单卡之一之所以说的是这个卡牌的收藏价值已经非常高了没错这个是集换式卡牌现在在商业上面比较为人所知的一个亮点但是另外一方面这个游戏
[00:01:53] 本身在中国的玩家规模似乎也有点热起来了开始出现越来越多专门用来玩这个卡牌的牌店了没错我们第一财经杂志的记者陶子东前段时间正好就写了一篇相关的报道里面就提到说有的从业者甚至说觉得最近做这个集换式卡牌的生意是属于躺着赚钱
[00:02:13] 所以我们今天就是来聊这个躺着赚钱的生意是吗对的这期节目呢我们和上期也一样啊就邀请了陶子东一起来参与他对整个这个ACG行业都一直比较关注相比我们俩的话陶子东现在肯定算得上是集换式卡牌的行家了没有没有大家好我是陶子东其实我也是为了写这个题目才去献学了一点知识和规则如果把集换式卡牌比作一个游戏的话你们两位可能在刚打开游戏界面的阶段但是我也还没有走出新手村呢
