Vol.123 成为“更适合中国宝宝体质”的奶粉公司
时长：00:28:39
来源：网易云音乐电台节目 · 商业就是这样 · Vol.123 成为“更适合中国宝宝体质”的奶粉公司

[00:00:00] 大家好,我是肖文杰我是黑亚第一财经杂志的最新一期封面报道很有意思它关注的其实是一个社会话题就是低生育率以及它所带来的一系列问题这期封面的设计也很巧妙是一片蛋托里面只放了一个鸡蛋我们以前的节目里面也讲过所谓的高贵的蛋吧但说的是真正的市场上的高价蛋而不是这种象征意义上的珍贵的下一代人口问题这两年也确实是热点话题
[00:00:27] 今年年初国家统计局发布了年度人口数据之后这个讨论就更多了数据显示2022年全年中国的出生人口只有956万人而死亡人口有1041万人这个是自1961年以来中国首次出现人口负增长的一个局面
[00:00:45] 分开来看的话其实死亡人口数因为受到疫情的影响有一些波动是可以理解的但是在生育政策不断放宽的背景下面2022年的出生人口数依然远远的低于此前10年的平均水平也就是1620万人这个其实就会带来一系列的社会和商业上的变化而且这种变化或者说动荡是一层一层传导会延续十几年的
[00:01:08] 一开始可能是比如说一些医院的产科没有那么忙了很快就是婴儿奶粉和儿童玩具都卖不动了然后就是民办学校的生意不行了最后有可能就是某几节大学生的就业变得宽松了怎么最后一个又导向了这个打引号的光明的未来当然我们这一期节目对于这些社会议题不会涉及到太多我们想讲一个和新生儿比较相关的公司就是中国飞鹤号称更适合中国宝宝体制奶粉的那个公司
[00:01:35] 在第一财经杂志最近的这一期里边其实也专门写了一篇言报来讲它如果从这家公司的前身是一家1962年创立的东北牛奶厂算起飞鹤历史其实已经超过60年了改革开放以后完成商业化转型的飞鹤其实又切中了当时日益商品化的中国育儿需求从此就逐渐起飞了目前飞鹤是在港交所上市上市以来业绩基本上一直是往上走的
[00:02:02] 加上它的利润率长年也比较高所以也有所谓奶粉毛的说法我发现中国股民真的有点过于喜欢茅台了宁德时代叫电池毛中原海控叫航运毛飞鹤叫奶粉毛总之一切营收和利润率很高的大企业都可以是毛对吧不过在2022年这个奶粉毛的业绩也发生了动摇它出现了港交所上市以来首次明确的营收和净利润双降在飞鹤自己解释里面业绩的下滑有三个原因
[00:02:30] 包括行业竞争的加剧比较激烈的去库存但是排在首位的还是内地出生率的下降所以这期节目我们就来聊一聊飞鹤这家仅仅依附于人口变化趋势的公司以及它如何开发出所谓更适合中国市场体制的这样一个商业模式此外我们还会看一看在新的人口格局下面飞鹤这家公司是否已经摸索出了下一阶段的一个解决方案
[00:02:55] 这期节目我们还是会分三个部分来展开首先是飞鹤这家公司的起飞阶段就是它如何连续完成改制以及上市的多级跳又如何在食品安全和政策变化的背景下确立一套比较大胆的销售策略其次是它的飞行阶段也就是在其他高价品牌都忙着在一线市场厮杀的时候飞鹤在哪里靠什么方法拿下了中国广泛的低线市场
[00:03:19] 最后是他最近一两年的业绩动荡是会让飞鹤走向所谓的硬着陆呢还是走向一个相对更优雅的滑翔路线呢还是照例说一句我们选择讨论飞鹤是因为它是一家很有代表性的公司但是本期节目的内容和观点都不够成任何的投资建议OK 那我们就开始吧这里是商业就是这样
