Vol.124 北京见面会：商业也可以这样
时长：00:50:23
来源：网易云音乐电台节目 · 商业就是这样 · Vol.124 北京见面会：商业也可以这样

[00:00:07] 大家好,我是肖文杰我是宇小亚这是一期比较特殊的节目8月12日上周六我们在北京举行了第二次的听友见面会不论是到现场的还是没有买到票的听友都给了我们很多的鼓励和支持非常的感谢大家这个活动现场相当热烈我们几个爱人一开始都有点拘谨靠着大家热情回应我们才逐渐打开自己
[00:00:32] 回答这些问题的过程呢让我们自己也很受益
[00:01:00] 所以这期节目我们就把这部分内容脱水以后剪成了一期节目或许也能让大家感受一个有点不一样的商业就是这样那我们就开始吧这里是商业就是这样大家好那我们活动开始吧然后那个大家好
[00:01:36] 然后我是那个商业就是这样的制作人董思哲然后今天非常开心能在这个箭头书局和大家相聚然后因为这是我们这个节目第二次做线下活动又因为我们这个节目的制作组都是比较就是偏挨的人所以就是如果我们这个一会儿流程上啊表现上有什么做的不到位的地方然后就欢迎大家通过各种渠道不管怎么样就是多多跟我们提意见或者多多反馈
[00:02:06] 那我就现在先请我们的主创团队上场吧我就一起介绍一下请大家有请那个我们的陈锐老师陈锐老师是我们杂志的副总编辑然后肖文杰肖老师还有岳老师有请三位跟大家打个招呼大家好我是肖文杰非常谢谢大家来参加我们这节目大家好我是岳小牙
[00:02:46] 我是不是沒說我叫陳睿我可能是舔鋸在此了我本來要求不要上台的因為我覺得我並該跟兩位主播對對對
[00:02:58] 说得非常对就我不是很配但是但是两位主播盛情邀请我就上来了大家就看着吧谢谢我们一般叫陈锐老师叫葛老师就是我们有时候大家以前听节目对他其实是我们的是我们是我们的领导然后我带过两期班吧就对有很多期包括之前疫情期间一期几期是那个陈锐老师带班的是我也替过小文姐
[00:03:23] 就是我们谁养了就是葛老师就会来替谁我一直没养就那我接下来会先跟那个三位主创然后做一些简单的快问快答帮他们也帮大家就是找找状态那就先分别各自说一下做过最难做的一集节目吧先说他已经拿好东西了啊逐字搞节目就是要准备好东西
[00:03:52] 最难的应该是第一集那我就说第二集我不难我不难我就问题没有资格回答准备时间最长的一期节目
[00:04:03] 费德勒那一期就是那一期写起来其实很快但是从费德勒2020年就是受伤的时候我其实已经在想要准备一个内容了因为我想要他要退役了那时候应该没有播客还那个时候连播客还没有但是其实已经开始准备了对稿子我是加道理那一期吧加道理那一期大概前后从提出来到做出来花了大半年吧
[00:04:32] 最满意的一期和最不满意的一期先说最满意的一期吧最满意的一期我举两个就是播放量比较你刚才问的是一期你选一期吧我得留一期给我那我两个里面选一个那个日美仿制品贸易战我最满意的一期是那个机票价格为什么变化多端我
[00:05:05] 我可以作為旁觀者聽眾說一句我蠻喜歡蜜蜂經濟學的最不滿意的呢
[00:05:17] 没有真正不满意的真正不满意的我们就不会放出来最不满意的就相对来说滴滴那一期我不是很满意因为里面出现了一个事实的错误今天我们有滴滴朋友来现场就是里面有个事实的错误然后对我们里面的有一个逻辑的推论其实是有影响的那个我觉得是一个滴滴错误所以不是很满意我要是不满意的话那都是前面几期就是制作水平有限的原因我没有
[00:05:46] 那有什么想做但是一直还没做出来的题有一个比较实际的就是我们想做国内的几个大厂的系列的我觉得应该是会做出来但是没有具体的计划
[00:06:03] 我最近在心里面先开了一个坑但这个应该要读蛮多本书的就是现在连第一本都还没有开始读就先不确定时间可能是一个民国时期的烟草行业的中国和外国的贸易战或者说大公司战争之类的你没有跟我们讲过所以说我是心里开的一个提案上个礼拜开的
[00:06:35] 你们觉得人们对记者或者编辑最大的误解是啥我觉得最大的误解就是觉得我们善于交际我觉得大家对于我们误解就是善于写作其实还有一个误解可能认为都很有情怀最近在听的觉得比较好的播客节目我最近迷上了任宁可以说吗
[00:07:01] 我以前我听的不多后来有一次约姐跟我推荐了一下我也就去听了一下这个任宁的声音蛮好听的然后他那个读是独角戏的那种播客他准备的也蛮充分东西都蛮有料的所以我听了两期就挺喜欢的任总听到了吗任总我推荐阿斯匹林电台就是一个闲聊类的就是一个粗糙版的nice try
