Vol.125 风口来之前的迪卡侬
时长：00:32:13
来源：网易云音乐电台节目 · 商业就是这样 · Vol.125 风口来之前的迪卡侬

[00:00:00] 大家好,这期节目开始前先做两个小广告第一个是本周日8月27日在上海BFC外滩金融中心第一财经杂志将举办一场读者见面会和大家谈谈商业和设计的话题看过我们杂志的朋友都会认可第一财经杂志的设计是国内顶尖的而这次活动的主角就是我们杂志的设计天团我们的主创的设计团队欢迎大家来报名参加
[00:00:26] 第二个广告呢是第一财经杂志发起了本年度的新国货榜样调研这次的问卷还设置了价格很高的奖品啊欢迎大家花几分钟来填个问卷分享一下你对于各个品类当中中国品牌的一些观感那这两个活动的链接呢我们都会贴在shownotes里边欢迎点击今天的广告就到这里那我们开始正式的节目大家好我是湘文杰我是叶小雅今天呢我们来聊一聊迪卡农这家公司这几年随着这个户外运动的流行啊
[00:00:54] 这家公司感觉一直都处在风口之上只要这个城市里面开始流行一些新的小众运动像是露营啊滑雪啊钓鱼滑板飞盘骑行等等的迪卡侬感觉都会吃到一波红利不光是风口啊甚至连消费降级对于迪卡侬来说都是一个利好因为迪卡侬毕竟是一个运动用品超市嘛它最大的特点就是性价比很高而且无所不包
[00:01:19] 所以一些原本小众的运动热起来以后去迪卡侬买装备都是很多人入门的第一选择但反过来想一想其实迪卡侬是一个模式很重的生意你想他开几千平米的大卖场然后自己开发销售上万种的产品包含了大概80多种近百种的运动他在中国就有200多家店他显然不可能只靠一个个社交网络上面的热闹来做生意肯定是需要一个更稳定更健康的模式的
[00:01:45] 而且机会基本上是留给一些有准备的人这些红利也不是坐等就可以吃到的这背后其实也需要很多经营细节的磨合没错所以这期节目我们就想来讨论看看迪卡侬在风口来之前究竟靠什么能够稳定的经营下去我们大致会分三个部分第一是从迪卡侬在法国和欧洲的历史出发来勾勒一下迪卡侬核心的商业模式的一些特点
[00:02:08] 第二部分我们主要讲一讲过去20年迪卡侬在中国的一个扩展和经营思路上面的一些变化最后我们会回到开头的这个影子来看一看迪卡侬为了等风来做了哪些准备此外我们还会讨论一下迪卡侬近几年来在中国遇到的一些挑战
[00:02:25] 迪卡侬虽然会定期公布一些自己的财务数据但是其中不太会单独列出中国市场的数据只在个别年份公布过一些基础数字所以我们今天的节目主要是基于已经有的公开资料包括一些期刊的研究论文以及第一财经杂志对于迪卡侬多年的报道综合而来那我们就开始吧这里是商业就是这样
[00:02:59] 那我们就先从这个历史开始讲第一家迪卡侬运动超市其实是在1976年在法国的里尔北郊的恩洛斯这个地方开张的那里尔其实是法国北部的最大的一个城市当时运动超市的定位可以说是开封器之先的因为它有将近1000平米的这样一个面积而且又开在郊区不是市区里边
[00:03:21] 此前欧洲主流的一些体育用品的专卖店一般都是开在市中心的然后面积也不大就是一两百平米在一些商场或者街铺上面其实现在这个模式也是全球的主流我们在第68期耐克的左右手里面也提到过这个事情对的而迪卡侬之所以这么做他其实有两个原因一个是他从一开始其实就瞄准了一个新的目标客群就是家庭的周末采购的需求所以他在郊区开大店然后你开车过来来采购
[00:03:49] 而且品类就一定要齐全了迪卡侬这个法文的名字它不就是十项全能的意思吗对的对的第二个原因就是迪卡侬有一个很重要的靠山就是法国的穆里耶家族我们稍微展开讲讲这个家族它在20世纪在法国可以说是影响力巨大它目前旗下有130多个品牌它掌控的这个公司在全球一共有大约70万名的员工而且这个家族的管理制度非常的完整
[00:04:18] 2022年的时候啊这个家族已经传至第五代了那整个家族的成员有1400多人然后其中800人呢都是一个叫做家族联合会的成员这个联合会我们就可以理解为是整个家族的一个股东会而800人里边呢又会选出七位成员组成这个家族的委员会相当于是一个董事会那他们会决定谁能够进入这个股东大会然后在这个董事会之下呢又有一个家族的控股公司
[00:04:46] 它代表整个家族来持有旗下那些资产的这些股权而家族成员他不会自己亲自本人持有那些子公司的那些股份的就是绕了一大圈最后相当于这个控股的公司才是迪卡侬的管理层对对对控股公司是这个迪卡侬的股东感觉我们又复习了一遍这个什么CEO为什么不像你那一期刚开始我们就略了前两期过往的节目了所以你可以看到整个的这个物理业家族其实非常像一个现在的公司它有股东会董事会管理层非常清晰
[00:05:14] 而这个家族在欧洲最知名的最为大众所知的一个品牌就是一个商超的连锁品牌就是欧尚欧尚其实1997年就进入中国了只比他的法国同胞加勒夫玩两年不过在2020年的时候欧尚已经把自己持有的中国业务的股权以36亿美元价格卖给了阿里巴巴现在欧尚中国和大人发通属于阿里旗下的高薪零售是的这个地方就要说回迪卡侬了因为迪卡侬的创始人叫米歇尔雷勒克他的表兄
[00:05:43] 就是欧尚的创始人叫拉德穆里耶就是穆里耶家族的一个继承人而在创办迪卡侬之前雷勒克就是在欧尚的一个IT部门工作的所以为什么迪卡侬第一家店开在郊区呢因为这家店的旁边就是一个欧尚超市所以某种程度上迪卡侬其实是脱胎于一个大型超市的超市对 没错
[00:06:04] 其实在现在我们其实也可以看到迪卡侬的选址经常会和一些大型的商场很靠近比如说我常去的那家迪卡侬它的旁边就是一个麦德龙超市怎么不跟法国品牌改成跟德国品牌贴贴了那个迪卡侬旁边还有一个板安居就是你感觉一下这个氛围话说回来就凭着欧上带来的客流再加上郊区开店带来的成本优势其实迪卡侬很快就起事了
[00:06:29] 所以说称不上有什么服务
[00:06:57] 然后店面的装修的感觉等等的就是肯定不能算好了但是迪卡侬就很注重员工的培训尤其强调这个店员和顾客的互动他还会专门聘请很多的运动员来当店员并且跟他们来讲就是我们这个企业的文化就是你不是在卖这些运动产品而是在从事体育民主化的事业体育民主化这听上去太欧洲了这不就是全民健身吗就是这个感觉
[00:07:20] 当然就是它其实也有个历史背景因为我看到有些数据说比如说1967年代的时候其实法国习惯于从事体育运动的人口也就占个大概六成不到左右的水平到了90年代的时候它全民大概90%的人都有一个定期运动的习惯所以它是在这个过程当中发展起来的与这个所谓体育民主化相关的就是成本上面迪卡诺有非常重视
[00:07:43] 此前我们已经讲了它有这个郊区店的这个成本的优势了但在这个基础之上呢它还通过更大的折扣等方式加速了它这里面的这个库存的周转那有这个更快的库存周转之后呢它就能够从大的运动品牌那边拿到更低的价格同时又可以继续加速它的周转那通过这种这个薄利多销的方式呢到了1997年阿迪达斯瑞布耐克这些大品牌在法国20%的营业额都是通过迪卡侬来销售实现的
[00:08:10] 我注意到迪卡侬在这个发展过程中间还扩大了自己店面的这个标准面积他最开始大概标准店面是900平米左右后来是提升到了1600平米这个其实也加大了他的零售优势对的那这个呢就是作为零售商的这个迪卡侬这个故事线那另一条线呢就是这家公司其实从比较早的时候就开始自己生产运动产品了这里面的有一个契机啊我们看到一篇论文里面写的就是有一次迪卡侬想引进一个比较高端的自行车品牌
[00:08:39] 大家现在知道迪卡侬这个商店里面自行车是一个非常亮眼的其实销量也很不错的一个产品当时他想引进一个比较高端自行车悲剧了所以他就在1986年的时候成立了一个自己的子公司叫迪卡侬制造然后开始自己开发和生产一些运动的产品而他一开始的路数呢我们说就其实非常的义无啊就是一些低成本的模仿
