Vol.13 为什么有越来越多电动车门店开进购物中心？
时长：00:30:45
来源：网易云音乐电台节目 · 商业就是这样 · Vol.13 为什么有越来越多电动车门店开进购物中心？

[00:00:07] 要知道在这些汽车品牌到来之前这些购物中心最好的铺位的话
[00:00:32] 我最近也听说过有一些老牌电动车创业公司他们最早那些开的一些大店已经开始遭到了竞争对手的挖角这里是商业就是这样
[00:00:50] 大家好,我是肖文杰,我是徐明清今天我们聊的话题还是和汽车有关哎,最近怎么一直在谈汽车呀一方面是因为我是第一财经杂志的汽车条线的记者所以对这方面比较熟一些另一方面也确实因为电动啊,智能这些技术的变革再加上有很多新的玩家对吧所以这两年汽车行业确实有不少新的现象所以我们在日常生活里也经常能感受到
[00:01:18] 其中一个是我们今天的话题我难得也有一次发言权的一个话题就是说电动车品牌都把一些自己的门店开到购物中心里去了这两年如果你去你所在城市的市中心的这些商场可能会发现一楼沿街的那些好的铺位都变成了特斯拉未来理想之类的电动车新品牌这个现象在一线和新一线城市特别明显甚至很快在二三线城市也会出现
[00:01:45] 过去大家买车或者看车都是去4S店对吧有很多城市都有那种4S店的一条街有的城市都不止一条街N条街这些4S店集中的区域呢一般都不是在市中心的而是会在偏一点的市郊但现在呢越来越多的汽车品牌把店开进了购物中心里面而且是那些很核心的铺位所以这个事情我们觉得对汽车业也好对商业地产也好都是一个挺有趣的现象
[00:02:10] 我们关注这个趋势的话已经有一段时间了也专门写过报道最近的话还听说有一些新的变化所以说就想把这个趋势稍微整理整理跟大家聊一下汽车品牌的话是怎么一步一步占领购物中心的一楼的我们自己大致划分了三个阶段第一个阶段是大概从2017年到2019年左右第二个阶段是从疫情之后的2020年春天开始第三个阶段是从今年我们观察到了一些新的现象
[00:02:39] 这个分段是我们主观的一个判断不一定那么准确但是每个阶段都有一些各自的特点主要是为了帮大家梳理整个故事的一个脉络讲到这里的话我觉得你是不是漏掉了一个阶段就是第一个阶段之前有一个第零阶段确实是这样因为在中国也不是说汽车公司从来就不跟购物中心或者商场发生关系也会有一些品牌把店开到商场里边的但是很少而且也不是自己开的而是经销商开的
[00:03:07] 这种我们一般就称之为城市展厅也就是说它只有销售和展示的功能但没有售后服务而且能做到这种事的都是那些很有钱的豪华车品牌甚至是超豪华品牌比如在上海的南京西路上就有一个保时捷展厅它是中国最早的一批保时捷展厅它是由保时捷当时的经销商杰城集团来开的说到杰城集团其实也是一个很有意思的公司
[00:03:32] 他在中国另一个很大的功绩就是把戴森这个品牌引入了内地当然这个故事我们以后再说说回汽车品牌对于大多数的汽车公司来说其实他们的主要销售渠道就是靠经销商的4S店这个模式的核心其实就是定向批发也就是说车厂只会把他自己生产出来的车批发到他那些授权的4S店里面去销售和保养
[00:03:57] 对于那些4S店来说他们就不太会选择购物中心这样一个地址这个其实道理也很简单首先就是购物中心没有那么大的地方因为一个4S店一般要几千平米的店面的空间还得配一个停车场就算有这么大一个地方给你地价和租金也很贵其次的话4S店重要的收入除了卖车还包括很多售后的保养
[00:04:21] 比如换机油啊搬金啊喷漆维修这些都不可能在购物中心里面来做现在大城市的市区范围内对于环保的要求非常高要做这些保养项目的话都需要很严格的资质说到底就是在购物中心开4S店是不可能的率先打破这样一个常规的呢就是特斯拉对吧它是在2013年的时候开始在中国内地开始开店的它就是改变了这个4S店的模式
[00:04:49] 把销售主要的渠道都放到了市区的一些门店里边他的第一家店就是开在了这个北京的高尚社区对吧乔福芳草地这个当中有一个很重要的改变其实就是直营啊因为特斯拉他是自己造车自己直接卖的那些店都是属于他自己的关于这个零售品牌做直营的好处其实我们很多地方都已经看到了我们之前也讲到过很多
[00:05:12] 比如说你能够直接跟消费者接触能够跟这些消费者保持联系你能获得更高的毛利率你能控制你的销售动作等等的除了直营的话特斯拉给这个行业带来的另一个变革就是它的门店是展厅为主而不是说开4S店了这主要有两个原因一个原因就是说电动车的保养项目没有燃油车那么多那么相应来说产生的利润也不会有原来那么多了也没有必要配那么多售后维修和服务中心了
[00:05:41] 其次就是说销售思路的变化过去开在郊区的那些4S店本质上是有一点潮难做的思路就是服务那些已经想好了我就是要来买车的人而在市中心开店的思路是要让更多人知道有这么一个品牌对于传统的有知名度的品牌来说就是说4S店就已经够满足这些需求了所以它也不用吸引那么多流量但是对于新品牌来说的话在市中心开店就很有必要了
[00:06:07] 这就把我们这个话题终于回到了这个前面讲的第一个阶段就是从2017年左右开始比较标志性的一个事情就是蔚来这个品牌开了三个旗舰的店就是它叫newhouse也就是蔚来中心最关键就是第一批的选址都非常厉害上海的那个在南京西路的这个星夜太鼓会还有就是陆家嘴的上海中心对吧中国的第一高楼
[00:06:31] 北京的那个是在长安街边上的东方广场临街的最大的店铺都是大城市中心最贵的地方了比如说那个东方广场那个店它是正对着长安街两层楼三千平米当时的报道都说它一年的租金就要七八千万而且蔚来是一千就签了六年那个时候蔚来好像只有一部车吧对它那时候只有一辆ES8这个车型而且是刚刚开始卖
[00:06:56] 要知道在这些汽车品牌到来之前这些购物中心最好的铺位的话天然是为奢侈品品牌或者快上品牌准备的那些品牌对于商铺都有些特别的要求比如说你要离主入口近有很大面的玻璃橱窗整个铺里面需要视野比较开阔所以柱子要比较少等等你说这些优势谁不想要呢未来就很想要对吧他瞄准就是这样的一些位置因为当时对他来说主要有两个原因
[00:07:24] 一个就是这样的铺面是最吸引流量的刚才也说到这个新品牌他就是希望要吸引流量要让更多的人认识自己而且关键是这些人流都是和他的品牌定位是比较匹配的对吧那些在那个市中心的购物中心里的人群和他想要卖车的那些人群是比较接近的另外一个就是要打响自己的品牌这个名声要立这个排面要塑造品牌的形象
[00:07:49] 你有能力在这样的一些购物中心开店就显得自己很靠谱而且对于当时的未来来说他还有一个考虑就是开这么大的店他其实还有很大一块部分是留给车主给他们喝咖啡聊天休息用的让他们觉得很舒服很体面这个也很符合他当时想要塑造的一个豪华品牌的一个形象
[00:08:08] 多废话一句就是说这些车的品牌都会集中扎堆去选购物中心的一楼或者说地下一楼这种比较好的位置的话还有个客观原因就是因为车没有办法很方便的上下楼所以说放在一楼是最好的选择不过我们之前的采访里面也听到过一个特例就是一个在北京的商场他想把自己的第五层楼全部用来放汽车品牌这是一个很有意思的现象
