Vol.130 老乡鸡，千店之前与千店之后
时长：00:34:20
来源：网易云音乐电台节目 · 商业就是这样 · Vol.130 老乡鸡，千店之前与千店之后

[00:00:00] 大家好,我是肖文杰,我是依晓雅连锁餐厅一直是一个我们很关心的行业之前讲过鼎泰丰、萨利亚、麦当劳、包括星巴克都可以算那今天我们再来讲一个中式的快餐公司,就是老乡鸡不少朋友知道老乡鸡这个品牌可能是因为2020年疫情刚开始的一段时间老乡鸡的创始人叫述从轩,他发布了一个视频
[00:00:25] 他在这个视频里面撕掉了员工当时签的一份自愿降薪请愿书当时还保证说工资照发也不裁人这个引来了不少好评我记得苏同学在那个视频里面说到说疫情啊保守估计让公司要亏5个亿当时我就心想那这个品牌的规模倒是不小嘛那事实的确如此啊中国目前门店数破1000的快餐品牌不到10家
[00:00:50] 那跨国的呢有肯德基麦当劳必胜客汉堡王本土的呢有德克士华莱士塔斯汀大多数都是做汉堡的嘛但中式快餐只有一家就是老乡鸡而且它的绝大多数的店啊都还是直营我们都知道在中国餐饮业是一个规模巨大但是又极其分散而且形成代谢很快的市场中式快餐呢又是里面尤其让人纠结的一个细分领域
[00:01:16] 一方面快餐是餐饮业最主要的需求之一那中餐呢就是又符合我们绝大多数消费者需求理论上这个方向呢是很有可能孕育大公司的但是另一方面中式快餐的重点经常是落在快这个字上面比如说水饺面条盖浇饭很快给你上上来像麦当劳肯德基那套极致的标准化那在中餐的推行当中呢似乎总是遇到挑战过去十几年我们也看到了不少失败的案例而老乡鸡可能是目前最接近于成功的一个案例
[00:01:43] 即使如此它也面临着很多挑战对的其实这期节目的一个新闻的由头就是老相机它主动的撤下了它在上交所的一个招股书就等于暂停了它在A股主板的一个上市的进程我们看到有的媒体用老相机冲击中式快餐第一股折戟这样的一些说法当然倒也没那么吓人因为其实大家都可以了解这个决策的主要原因还是因为目前整个IPO都收紧了所以不少公司其实都选择撤回了招股书
[00:02:13] 但是这倒也是一个不错的机会能够让我们以老乡鸡为例来探究一下中式快餐这门生意这期节目我们会首先讲一点老乡鸡的创业故事然后重点关注它两个重要的发展节点然后我们会基于招股出和财报数据把老乡鸡和它的同行尤其是在西式快餐领域的标杆同行做一做对比看一看它目前做到了什么又欠缺什么最后我们会讨论看看老乡鸡在上市受挫以后接下来会怎么办
[00:02:49] 这里是商业就是这样
[00:02:52] 老乡鸡的创业故事是一个很典型的改革开放初期白手起家的故事创始人肃从宣他是安徽合肥人原来在部队当兵1980年代初人民解放军第七次大裁军肃从宣就退伍返乡了我们都知道安徽是一个农村改革的先行之地很早就开始搞了丰田稻户大大的解放了农村的生产力所以其实80年代初那几年各家都有不少的余粮了这个当然是好事但是也带来了新的烦恼
[00:03:20] 就是多出来的粮食啊大家都拿到那时候的粮站去卖因为供给变多了嘛反而卖不掉那在这个过程当中呢树丛轩就找到了一个当时刚开始实行起来的生意就是养鸡因为养鸡呢就可以把这些鱼粮当成饲料又可以卖鸡赚钱又能解决这个多出来粮食的问题树丛轩他就拿了父母给他的1800元的这个结婚的钱买了1000只鸡开始养鸡的事业了
[00:03:45] 需要说明的是当时流行的养鸡的养的品种是白羽鸡就是肯德基和麦当劳用的那种肉鸡白羽鸡的生长速度很快48天就能够出篮就可以拿出去卖了但是呢苏丛轩当时没有从众他选择了一种出篮时间更长但是口味更好的本地的肥鸡老母鸡这个选择对未来的老乡鸡的发展其实至关重要的对的很快事情证明这个选择没有错
[00:04:13] 因为这个老母鸡的口味好所以它的价格卖的更高利润也更高所以树丛圈的这个养鸡场的越开越大他甚至开始技术输出啊带一些村民一起来养鸡到了90年代的时候他的这个养鸡场的规模就已经达到了每期出栏要在50万余以上就这个规模能够到50万只鸡这个水平是合肥乃至安徽最大的养鸡户之一了我们看到树丛圈的字数里面曾经讲到他有好几年都是一直待在鸡舍里的
[00:04:40] 对于养鸡这个事情已经熟悉到仅仅听声音就知道这个鸡长到多大程度了可以说是一个顶级的养鸡专家了是但就像改革开放初期很多生意一样一开始因为物资紧缺所以你卖什么都不筹卖但随着市场发展起来供给逐渐充沛了那你先发这个红利就逐渐消失了养鸡也是一样它的利润在90年代就逐渐的变薄了这个时候树丛轩就想着要转型那么到了1999年的时候一个偶然的机会
[00:05:07] 树丛轩就参加了一个特许经营的培训在那里呢他了解到了连锁快餐这样的一个特许经营的模式就是启发到他了他也可以开个快餐店嘛而且还能利用上自己的养鸡的优势我们也讲过特许经营这个事情我们是不是也算是一种培训放到现在的话他有可能就是听了一期播客产生了一下灵感自夸一下自夸一下但是难的还是实践嘛总之就是树丛轩他自己就非常认真地开始琢磨这个新的想法了
[00:05:35] 而且他一开始的思路就非常的对他没有贸然的去开店而是先开始撰写一个他的这个还没有开的餐厅的经营手册就是模仿麦当劳手册那一套把快餐店每一个工作的步骤都规范下来同时他还开始研发菜品据舒同学自己说他前前后后花了近两年的时间试了一千多只鸡才研发出现在老乡鸡的招牌菜品就是这个老母鸡汤当然这些细节我觉得可能属于事后美谈你也无从证明他到底试了多少只鸡对吧
[00:06:04] 但是管理细则和招牌产品这两点确实他招的很准说明树丛轩那个培训的课程也没有白上而且鸡汤确实是现在老乡鸡都是一个招牌产品在他的招股书里面可以看到其他菜品都是按类别分的比如什么米饭类啊肉类等等的但是鸡汤单独占了一个门类而且占到这个公司营收的10%对这个就体现出当初那个树丛轩选择养本地的这个肥鸡老母鸡的这个价值了
[00:06:31] 因为鸡汤对鸡本身的这个风味和品质要求比较高嘛你白羽鸡是做不了鸡汤的你很难想象肯德基那个炸鸡去熬母鸡汤对吧但同时呢鸡汤又很适合大规模的这个标准化的生产因为你这个鸡汤可以做成半成品然后到了门店你只要蒸箱里边加热一下就可以符合这个上餐的要求了反正我自己去吃老乡鸡的时候鸡汤都是必点啊而且这一盅鸡汤就要19元而老乡鸡的平均客单价就30元出头所以说他其实贡献了很多的营收
