Vol.135 考编挤破头，为什么中公教育反而跌到谷底？
时长：00:28:30
来源：网易云音乐电台节目 · 商业就是这样 · Vol.135 考编挤破头，为什么中公教育反而跌到谷底？

[00:00:00] 大家好,我是肖文杰我是Yaya在中国我们看一些跟人数相关的统计可能都已经大到无感了但是仔细想想这些人数还是很惊人的比如说2023年的中国高校应届毕业生人数达到了1158万这个数字是什么概念呢它已经比整个海南省的常住人口规模都要大了而明年毕业的2024届毕业生其实更多啊预计有1187万人可以说是名副其实的好多人啊好多人啊
[00:00:30] 如此庞大数字在叠加整个社会的就业环境有一个很主观的感觉就是很多年轻人的就业目标和现实可能都被重塑了这其中一个最有特色现象就是考工考编变得很热就这一方向一直以来都有一种稳定感这个跟整个社会上的求稳心态也是非常匹配的所以说在这个领域形成了激烈的竞争我们看了一下今年的中央和国家机关公务员考试报名人数有303万
[00:00:56] 在拿总招录的人数算一下的话相当于平均的录取率只有1.3%那与这个需求最直接相关一个生意呢就是考工的应试培训在双减之后呢很多教育培训机构都受到限制但是考工不在此列而且这个行业里面其实已经有一些比较大的公司就拿公务员考试这一个方向来说呢国内就有三家以此为主业的著名教培公司分别是中工教育粉笔网以及华图教育
[00:01:24] 这里面前两家都已经上市了华图也正在第六次冲击上市第六次冲击上市听起来感觉怎么像跟第六次考工考研一样就越心酸越努力不过今天我们的主角不是华图是中工因为中工这家公司有一个很反直觉的现象现在的考工考编这么热中工教育又是深耕这类培训很久规模也挺大的一家上市公司那么直觉来看它这两年股价应该会涨得挺好的对吧
[00:01:53] 实际上从2021年初开始这家公司股票就从40块左右的一个高位向下浮冲了最近一年多都在三四块钱这个水平上面躺平了可谓是一蹶不振虽然我们说股价不能代表一切但是在本应该最赚钱的周期里面flop了的确是很奇怪应该是这个公司出了什么问题对的所以这期我们就来聊一聊彩球公考热点这个中共教育为什么变得这么冷
[00:02:18] 因为是上市公司所以我们大部分的分析判断还是从公司财报披露的一些重要变动得来的这个里面主要有三点第一就是中工教育的产品也就是它这个培训模式本身发生了什么变化第二就是产品层面的变化是如何同时影响到这家公司的收入负债和现金流的第三点就是在产品和市场影响之外还有哪些动作加速了中工教育的崩塌照例啰嗦一句以下分析不构成任何的投资建议那我们就开始吧
[00:02:56] 这里是商业就是这样线下的教育培训其实想想的话是一个商业模式挺传统的行业就老师教学生学然后收学费主要的机构之间的差距可能也就是课程的开发和运营的水平很少能看到在商业模式上有什么特别的创新如果一定要说的话我小时候印象比较深的也就是新东方的所谓第一节课免费试听了
