Vol.14 刘擎、罗翔们是如何一步步变成明星的？
时长：00:20:23
来源：网易云音乐电台节目 · 商业就是这样 · Vol.14 刘擎、罗翔们是如何一步步变成明星的？

[00:00:06] 所以我真的希望有一种力量能够帮助我诚实地面对自己
[00:00:26] 理想的一个知识分子他是什么样子呢他是一个要很在地要有非常强的敏感性对古典的东西当然要熟悉但是一定要化到这个现在的这个时间当中去他的神经一定要是跟着这个时代去跳动的你的出发点必须是现在的困惑必须是大众的困惑必须是最新的变化这里是商业就是这样
[00:01:02] 大家好 我是肖文杰我是徐明清我们两位都是第一财经杂志的主笔先跟大家汇报一个个人信息就是我的那个本科专业是社会学入学的时候我印象就很深了就是入学手册上面就写着社会学是当代的显学我们专业的入学手册上就不会写这种话对 但是我读着读着就发现有点问题就是说你说自己是显学的肯定是其实不怎么显的那些学科
[00:01:30] 你看人家经济学就从来不会主动的说自己是当代的选学对吧因为这是一个不正自明的一件事情不过最近呢我是发现社会学包括和它相关的一些社会科学是真的有点小出圈了最鲜明的一个例子就是我就算可以在一些当红的网络综艺里边听到我本科时候学的那些社会学的理论名词了小老师我知道你其实不是一个看网络综艺的人呀但是我估计你说的是这一季奇葩说的倒是刘晴对吧
[00:01:58] 对这个我也不隐晦了对吧就刘勤老师虽然是一名研究政治哲学的一位教授但他主要的研究方向是西方思想史嘛其实和社会学有很多的重叠比如说他在这个奇葩说里面提到了马克思韦伯提到了哈贝马斯这些都是我们读书时候重点要学习的一些理论家话说回来我们今天这个节目不是来回忆我们本科到底学了点什么的我们讲的还是商业现象这个商业现象就是说以刘勤为代表这个世界上出现了一批新的文化明星
[00:02:26] 我们最近就观察到一个很有意思的现象就是以刘勤为代表有不少人文社科领域的学者走向大众这个代表人物还包括了罗翔 向彪这些老师这当然是一个文化现象但是我们在采访之后发现这背后也有商业的推动这是一门生意当然在我们这边商业和生意都是一些中性词我们不是在这个节目里面做什么评价我们接下来也不是要接一些什么背后的内幕
[00:02:53] 只不过我们想把这些学者走红
[00:03:23] 对于品牌和商业机构来说这些学者的价值跟那些演员啊歌手偶像是一样的他们都是在贩卖知名度和个人形象所以他们其实已经拥有了艺人的身份是明星当中的学者类明星当然这个区分也不是我们自己深造的就还是举刘勤教授的例子他是去年下半年接受了奇葩说的主持人马东的邀请成为了这个综艺节目的导师的
[00:03:48] 然后在节目播出之前呢奇葩说的这个制作公司也就是米卫他的CMO刘旭就又一次拜访了刘晴和他签订了一个商业经济的合约也就是说刘晴以后学者工作以外的一些商业合作比如说接广告啊然后参加活动啊走穴啊等等的都会通过米卫来代理米卫这家公司的话它的收入主要来自于两个部分一个就是做像奇葩说啊或者乐队的夏天这样的综艺节目
[00:04:16] 通过这些节目来赚钱另一种的话就是去签约一些艺人主要是这些节目的参与者比如说奇葩说的一些辩手所以从这个角度来看呢刘晴确实已经是米卫签约的艺人了那么接下来我们就以刘晴教授说为例来讲一讲这个学者是如何一步步成为明星的以及他这个背后有哪些推动的力量最先想到的呢肯定是奇葩说这个网络综艺本身对吧
[00:04:42] 就奇葩说而言它现在是一个影响力一流的一个娱乐产品比过去许多电视台的一些节目影响力可能都更大而且现在的传播有一个特点是微博热搜变成了一个评判事件是不是热或者一个人是不是出名出圈的一个重要指标而像奇葩说这样的综艺呢它运营微博是它的一个常规操作了比如说它里边的遍体也好啊选手的发言也好啊导师的发言
[00:05:08] 这些文字视频都可以在微博上面变成热搜然后持续地扩大节目的影响力而像刘晴她走红的一个最大的标志就是她的几段发言上了微博热搜有些学者在通过奇葩说这个影响力非常大的节目红了以后自然就会接到身为艺人这个职业的工作据我们了解的话刘晴教授现在的日程表已经排得非常满了几乎每天都要往返于不同的城市之间
[00:05:33] 他也有了一些代言比如说教育产品啊汽车啊酒啊这些产品可能都能体现出品牌对于学者这类艺人类型的定位就是说这些人知名度可能没有那么高但是格调不错可以用来帮忙提升品牌的形象
[00:05:49] 其实对于手握赞助费的品牌来说他们找代言人大致是两个思路一个是为了扩大知名度对吧或者说直接用来提升销量那这个时候去请一些当红的偶像可能会很有用另一种就是要塑造品牌形象的就是有点类似于我们说的品牌广告做branding比如说一些钟表奢侈品或者一些银行他们没有那么多什么扩大销量的需求所以找代言主要就是要让消费者认同他们的品味
[00:06:18] 所以他们有的时候会去赞助音乐会啊赞助一些电影导演啊当然另外最近也有一种趋势就是年轻化对吧他也要刷新自己的品牌形象比如这些高高在上的品牌会找一些年轻人但是他们的根本目的都是为了塑造形象的这里我们要回到刘庆教授身上了对他来说的话在上奇葩说之前他只是一个单纯的学者但是录了几个月以后他就要进入到艺人的状态
