Vol.141 2023失意大公司·全球篇
时长：00:35:09
来源：网易云音乐电台节目 · 商业就是这样 · Vol.141 2023失意大公司·全球篇

[00:00:00] 大家好,本期节目开始前先打个小广告12月28日22点整东方卫视携手第一财经亲力打造的年度财经人文新知分享秀2023年终奖将在东方卫视播出本节目由梅塞德斯奔驰VG MPV特别呈现这个奖是演讲的奖当然你也可以在第一财经的APP和各种社交网络账号上面同步收看直播12月28日22点整期待年终奖与你一起迎接2024
[00:00:29] OK那广告打到这边我们正式开始今天的节目
[00:00:34] 大家好,我是肖文杰我是小亚本期我们继续2023年失忆大公司全球部分的盘点这也将是我们2023年发布的最后一期节目了虽然聊的是失忆大公司还是希望所有的听友明年都能尽量得益也感谢各位在过去一年里面对我们的各种支持与鼓励那稍微复习一下上期节目上期我们聊的是五家在2023年过得不太好或者行业整个发生巨变的国内大公司分别是京东、中职
[00:01:03] 未来 李宁和万达顺便我们也聊到了很多与他们近况相似的一些公司这周我们在盘点几家失忆的全球大公司分别是三星 X 也就是之前的推特雅诗兰代 马世基以及 WeWork挑选的标准跟上次说的一样首先是公司要够大其次是令这个公司失忆的主要事件得发生在2023年那话不多说我们就开始吧这里是商业就是这样
[00:01:42] 那我们先进入第一家公司就是三星其实三星并不是今年一整年都很失忆主要是上半年失忆的比较厉害其实它的三级报已经扭转了颓势收入和利润都有所回升不过很多观点都认为导致它今年失忆的半导体部门业绩想要恢复到理想水平还需要一定的时间其实我们现在讨论三星主要讨论的肯定不是它过去非常辉煌的手机业务了而是它这个半导体
[00:02:08] 要知道2017年三星的存储半导体一度占据了全球市场45%的份额还打破了英特尔长达25年的垄断当年这个公司半导体业务的盈利甚至超过了苹果和沙特阿美成为了一家全球最赚钱的公司没想到短短几年时间这个业务就亏得不成样子了这个边要先说明的就是三星在做手机之前其实它的核心的业务就是生产存储芯片
[00:02:34] 哪怕三星的手机逐渐在中国市场销声匿迹了但是三星依然能够靠这个DRAM的内存条和NAND的这个闪存条这两项存储芯片的主要的产品他们的收益能够稳坐全球的一个头部的科技公司的交易但是因为三星做的是半导体零部件嘛所以它其实受终端消费市场变化出息还是很大的
[00:02:56] 今年其实全球的消费电子就陷入了一个消费疲软期全球各地的智能手机、个人电脑和服务器这类产品的需求都在放缓芯片市场的买家纷纷暂缓下单这就导致了存储芯片不但价格暴跌甚至一度是卖不出去造成了严重的库存欺压数据是显示截至2023年6月底也就是年中三星的半导体库存已经超过了1800亿人民币
