Vol.142 串台《晚点聊》：安利2023，挖坑2024
时长：01:05:17
来源：网易云音乐电台节目 · 商业就是这样 · Vol.142 串台《晚点聊》：安利2023，挖坑2024

[00:00:00] 大家好 我是肖文杰我是小雅听众朋友们新年好去年的最后两期节目我们用市议大公司的盘点回顾了2023年这期继续是一个年终盘点节目但是不太一样
[00:00:11] 我们这次很高兴请到了我们两个都非常喜欢的
[00:00:40] 三年的12月28日在东方卫视播出了那大家有兴趣的话还是可以去第一财经的各个平台搜索回看里面的内容还是有一些蛮有意思的我们今天节目里面也会Q到一些那么这次年终奖呢他就和很多的播客合作想来聊一聊过去一年我们经历的一些财经啊商业生活方面的一些内容所以就促成了商业就是这样和晚点聊的这次串台
[00:01:05] 然后整个这些播客的系列的话也会在小有助上面有一个专题大家去搜索2023年中奖的话也可以搜到
[00:01:12] 其实我不知道曼琪和汉阳是怎么样就是我个人对于过去一年晚点聊的很多的节目有很多喜欢和好奇吧所以我们就设计了一个串台的形式就四个话题我们来互相提问第一个话题是这个选题怎么来的第二个话题是有什么想做但还没有做的节目第三个话题是这个节目录完了之后对你个人产生了什么样的影响
[00:01:38] 第四个是有哪些节目在录完了之后这个事件又起了变化我们觉得我们两个商业的节目或多或少还是涵盖了一下过去一年商业世界里面尤其是中国的商业世界里比较有趣或者有价值的一些事情所以我们回顾自己的节目
[00:01:55] 多少也算是对于过去一年的一个回顾是吧既然是一个相互提问的模式我们就强行决定把这个节目分成两期在这期节目里面你将听到的是商业就是这样对晚点聊的提问而在晚点聊的节目里面你将听到商业就是这样对上面四个问题的回答所以这是一期真正的互相安利的节目我们就直接开始
[00:02:32] 这里是商业就是这样首先在第一个问题之前我觉得还是想要请曼琪和汉阳介绍一下晚点聊
[00:02:59] OK 首先非常感谢有机会可以在头部主播上介绍一下就是晚点聊我是曼琪因为我自己是晚点的科技报道的编辑相当于我是全职人员我可以先讲一下比较官方的版本然后刚才肖老师说的不一样的部分很多是跟汉阳是有关的汉阳等会儿可以讲一讲那一部分就是我们最开始想做播客也是因为在文字报道之外其实有一些东西是没有办法全部用图文来覆盖的
[00:03:25] 我们也没有说一个非常明确的定位但是中间有几期节目的时候我们也有推微信公众号所以有写下了一个成文的描述大概是说在文字报道之外用音频访谈的形式去捕捉商业世界的变化的潮流和不变的逻辑还有这其中的人和故事这里面有几个关键词一个是文字报道之外就是我刚才说的其实文字的逻辑它和对话还是很不一样的另外就是不管是时效上还是话题的
[00:03:52] 类型上我觉得有一些可能它更适合音频来做然后第二个关键词就是用音频访谈的形式因为对话也是提供信息量的不过它还有一个和文字挺不一样的特点就是对话这种形式本身也是人类最古老最自然的一种交流方式它其实是包含了更多的多意性和混沌的然后这个可能在文字里是没有那么好呈现
[00:04:16] 以及即兴的对谈中间我觉得他有的时候通过大家相互的追问和讨论其实有很多灵光乍现或者说让模糊的东西变得水落石出的这么一个过程就可能在这个对话开始之前参与对话的人对某一个事情都是有一个模糊的认知但是没有那么清楚的表达或者想法那这个对话结束之后他反而会有一个更清晰的想法我觉得这个算是对谈的一种魅力吧
[00:04:41] 我有个插问的问题就是因为我们平时做采访的时候也是两个人对着然后看着录音笔然后做播客的时候也是两个人对着看着录音笔你觉得有什么特别的差别吗我觉得区别是在于因为采访有很多类型有一类采访它有的时候可能就是比如说我这个采访的有20分钟或者30分钟但我可能里面要的是一些关键的信息和表态
[00:05:05] 然后中间可能有些东西是一些博弈你知道吧就绕来绕去的这种你最后要它那个关键的东西所以可能这一种它就非常不适合让一般的听众去听当然也有一类比如说专访类的我觉得它这个其实和播客是有一些相似性能汉阳讲讲吧你感觉购献了玩点聊里面很多不是很像玩点聊的节目对就是我突然意识到就是你们去年那个节目的年底是
[00:05:31] 盘一盘公司你这节目本账就在盘我们然后大家好我是汉阳我是晚点聊的主播然后也是晚点的特约中老人然后自己也有几个别的播客但就不说名了因为很多也不怎么更新了然后因为我其实在和晚点合作晚点聊之前就晚点已经当时准备做节目了所以很多人以为是因为我跑晚点这来写稿所以晚点才做了播客其实这是个误解是因为我在接触晚点之前晚点就像曼琪说的就有想做播客的想法了然后当时是这样
[00:06:00] 就是晚点那个时候招记者然后我寻思我是不是可以试一试然后就给晚点写了封邮件然后曼琪正好收的邮件然后她觉得我那个邮件是个正常人写的把话说明白了就是能把话说明白应该是能写点东西可以尝试一下毕竟大部分人写不明白邮件现在然后我来了来了之后因为我15年做博客15年当时和Lawrence做IPN的节目然后我当时到晚点的第一反应就是
[00:06:26] 跟晚点的人聊完之后跟曼琪跟小婉聊完之后我意识到他们有很多东西这个其实应该是通过音频更好呈现的所以我就做了个PPT然后我去给晚点我就讲为什么晚点应该做节目然后当时我拿我自己的节目数据说的就是我的其他几个节目有几个比较有意思的数据第一个是有70%的听众来自于这个节目播出一个月之后然后另外一点是这个节目如果短于40分钟的话会收到明显的听众们的不喜欢他会说你这节目太短了我这一周只望听你上班然后你这
[00:06:55] 第一天还没到公司就听完了所以当时我和晚点聊的就是很多晚点有些东西是可以没有时效性的这些东西可以更深入的去聊而现在很少有媒介可以让你一次听一个人说一个小时甚至更长的时间那有一些文字不太适合呈现的选题应该可以放到播客里面去呈现因为晚点是有很多独家新闻的但在这个之外的很多信息可能会被独家新闻的光芒给掩盖住那不如放到播客里面去做我说如果你们要没人的话我可以帮你们试一试然后我帮你们
[00:07:23] 整一下感受感受不行就当不行对吧因为我们当时说的咱先录三到五期再正式发布然后录了三到五期之后觉得的确这东西是能给人听的然后才做的晚点聊所以大家看晚点聊第一期节目是2021年的11月11号但其实晚点聊就是曼琪小婉他们想弄然后我来一起说这个事是2021年的上半年的事中间也是准备了一段时间才上线的但另外一个核心的原因我们前两天听众
[00:07:50] 见面会说了我们早就想上线了结果因为苹果那边搜不到我们的节目在中国所以就一直没上线然后我就给苹果的人打电话我们就约了个求助然后那客服在加州他能搜着我就说在中国搜不着他说可以搜着我说那你要不然找你中国同事试试这是个苹果播客过去两三年常见的一个问题对
[00:08:15] 所以就特别麻烦正好在这如果有听众朋友你是定的晚点聊然后你后面有一个晚点聊括号中国区那个是当时我们的权宜之计你现在可以在各个博客客户端搜索晚点聊定标准版的晚点聊我就不说名了毕竟不是我们自己节目我们自己节目就直接说名字罢了我们中国区的原是一个国内某头部的音频提供商他从前几个月开始不允许提供外链了
[00:08:37] 所以相当于晚点的报道是没有办法被嵌到那个里面的因为我们的很多节目引用了晚点的报道还有一些其他的文字资料所以我们就没有办法把那个文字资料嵌到show notes里面所以如果朋友你定那个标准版的晚点聊的话是能看到那些文字的show notes的刚才曼琴汉阳的回答我感觉不是单单的晚点为什么要做播客的问题而是为什么要做播客或者是媒体为什么要做播客的一个解答了我觉得要插入一个问题问汉阳就是你要不要解释一下你的身份和你跟晚点的关系
[00:09:06] 身边的朋友认识你的好像都搞不清楚你到底是干什么的这是对我的一个不能说常见误解毕竟你从某一方面看都没有错我自己主业还是创业自己有自己的创业项目然后我业余时间帮晚点写稿合作晚点聊这是我业余时间花最多精力的事情比如现在我有六篇稿子在给晚点写此时此刻但什么时候写出来就不一定了希望能快点写但就不好说了然后另外我有自己的几档音频节目和视频然后还有自己的一个newsletter
[00:09:35] 但其实主要的时间还是放在网点聊上面但一般我后来发现就是对我的误解最大的不是在于我是干啥的就大家户头户脑都知道王汉阳这人吧他就是到处瞎混但很多人会对不上号因为我什么都写我前一段在写BN的文章然后我之前写东北的文章写特别多然后我写完BN的文章之后就有朋友说说我操有一哥们跟你名字重名他写BN的你们俩是不是应该认识一下有两个人找我说这个事然后我就跟他说那其实也是我
[00:10:03] 因为我实名上网嘛所以就这么多年一直用的汉阳这个名字或者马斯帕那个网名
[00:10:08] 所以好多人就以为那个马萨帕是讲东北的然后叫汉阳这个给腕点写稿的是另外一个人然后写币安的是一个海外版本的我但其实是一个人这个按照小红书的说法就是你这个号已经养杂了小红书我可纯粹了小红书我们就美妆博主小红书我们最纯粹对你在小红书上面还有个身份是一个直男化妆美妆博主但我们就是没多少期反正对小红书应该今天我们后面还会聊到
[00:10:32] OK接下来的话我们就进入四个主要问题的环节就像刚才我们讲的这个串台我们是分成两期所以在商业就是这样的这一期里面你会听到的时候我们问晚点聊来回顾过去一年他们做的这些节目里比较有意思的东西在晚点聊那期里面听到说商业就是这样的东西所以我们希望给大家有点新鲜感所以在这边听到的很多东西有可能是各位听友还
[00:10:55] 不是太熟悉或者是没有聊到的一些话题我们有可能在聊之前也会跟大家简单的介绍一下第一个问题就是刚才我们提的就是这个题是怎么来的说实话我过去一年听到的很多我觉得非常精彩甚至是在国内的内容市场上面只有晚点聊能够讲到的东西我个人非常想要了解学习一下第一个话题就是关于芯片的
[00:11:18] 然后这三个是不是一个策划的系列
[00:11:30] 我可以先讲一下这三期节目就是确实今年还挺密集的一个是32期的时候是和B站的一个up主他是刚从德国的一家汽车芯片公司回来的芯片工程师叫谭三圈我们聊了一个科普向的节目更多是关注晶圆制造还有芯片工程师的生活接下来没过多久是36期的时候那应该是5月底
[00:11:52] 这个是新闻引发的是回顾了今年5月中旬OPPO的芯片子公司哲库突然关停戛然而止的这样一个事件以及这4年来因为哲库当时是有差不多4年的历史这个公司大概的一些发展情况然后最近的一期是49期的时候和出版社合作是与芯片简史的作者汪波博士聊这个芯片行业一些广为传播的谬误包括这个3纳米到底是指什么然后摩尔定律到底是怎么回事
[00:12:20] 其实我觉得我们做的不太够的地方就这个并不是一个策划的系列它刚好是一些不同的选题来源然后构成了在今年做了比较多的芯片的节目这几期节目它刚好是几种不同的我觉得比较常见的选题方式吧比如说谈三圈的一个就是你可能在网上或者你自己认识到了一个你觉得有趣的它能分享的人然后我也非常推荐大家去B站看这个up主他做的一系列的晶圆制造的分享它是从最开始
[00:12:47] 这个沙子怎么做成硅片然后怎么切成晶圆然后包括这个晶圆工厂怎么搭建
[00:13:15] 我们本来是想写一篇报道的
[00:13:42] 最后就是把录成了一个音频
[00:14:08] 那最后这个书的这种方式就是当你开始这个节目赚起来之后就会有一些合作找到嘛然后有些内容合作书确实是比较多的一个来源反正总结而言我觉得为什么刚好会有这么多芯片就是因为芯片其实是科技商业领域非常重要的一环但它确实是现在这个环境里面文字报道不太好展开的一面对这个其实
[00:14:31] 这两年会感触比较深吧道理来说芯片其实是一个就是我们比较正常的产业应该可以是正常报道的一个产业但它现在确实牵扯到了很多商业以外的东西包括我印象其实最深的是OPPO的那个公司这个库的突然的这个关停的这个事件对当时对应该是对于关注商业科技的媒体都非常的震撼嘛然后我其实获得了最多信息增量就是通过晚点聊的这些节目
[00:14:57] 包括你们有一位记者之前也是在我们杂志实习过的邱豪我们也非常喜欢他很优秀的一位记者所以当时那期我就会觉得非常的清晰然后没有一句废话但是所有的关键的东西都点到了还有很多别的地方没有的信息增量你刚才也提到就是觉得这个类型的节目应该是晚点聊会多做的吗为什么没有多做以及为什么这一期能够做出来我觉得没有多做的主要的领域我是指的互联网领域比如说像阿里像拼多多其实今年我们写了不少报道
[00:15:26] 然后没有做一个原因我觉得是记者挺忙的因为这一期是没有写成稿件但如果说真的大家平时的操作里面记者的大部分精力肯定是要先去完成图文报道的这个是最重要的他们的工作然后他有空闲的时间的时候你才好找他做节目要不他也需要准备什么的我觉得这个是一个原因我觉得明年会有改善因为我们在讨论说是不是可以给记者录播客算个分什么的然后第二个
[00:15:53] 想要问的就是这个题怎么来的这个主题就是小红书约老师可以聊一聊这个我来问吧对因为这个题是汉阳在发稿之前有把他的初稿给我看过所以我相对别人更早一点点看到
[00:16:08] 你是第一整篇人是吧没有没有只是提供一些小小的参考意见但我也不知道他有没有参考但我反正当时拿到那个稿子的时候就觉得很神奇因为小红书其实这两年已经是讨论力都很高的公司了但确实对于他一直以来都没有特别系统或者说特别深入的报道因为我们跟这个公司也接触过挺多次就觉得确实
[00:16:32] 突破起来比较难但是就是为什么是汉阳拿出了这么一个稿子来给我看我当时就有点震惊然后他后来其实看翻那个形式上面他也跟我说过就是他们想做很多图和很多字的结合体但这个其实在中国目前的这个阅读市场上面是一个非常不受欢迎的一个模式就是你要么是很多图要么就是
[00:16:54] 一些字加上很多图但它如果字数都到这么长的话确实是一个比较罕见要不汉阳你自己讲讲吧你为什么要做小红书这个稿子对我觉得可以先说做小红书这个之前要先介绍一下那稿子怎么回事就是我其实今年晚点聊在音频里面有两期半是跟小红书有关的第41期44期和50期
[00:17:14] 有一期其实不是就着小红书聊的但采访的对象是小红书的一个博主其实他后面也聊了很多小红书的事情然后其中有两期是完全关于小红书的然后其中第41期就是和刚才岳老师说的那个稿子是相关的然后我们其实主要就是聊的是小红书这个公司的生态是什么样就谁靠他活着靠他活着的人是怎么活着的当你作为一个博主的时候你的体验是什么样然后这个里面他对你个人的影响是什么在这社会之间他有什么新的跟其他公司比相比不太一样的影响
[00:17:44] 然后这个点其实和我们知道我为什么做晚点聊是有关的就很多时候听众会觉得说在这个里面汉阳讲的部分可能不是那么商业但我其实反而觉得这是我们做音频节目应该要聊的一个事就像之前看于英时先生他讲思想史他就说你绝对不能把思想史等同于哲学史因为思想史还涉及到社会的很多方面我觉得其实商业也是一样就在今天没有一个
[00:18:09] 环境里面有一个真空中的球形商业说这个商业只和商业有关只有看不见的手其他什么东西都没有我觉得不存在这个事就这个商业一定是和这个社会有很深的互动的而研究这个社会和商业之间的互动是我感兴趣的话题就我好奇就是你是怎么影响我们的其实这个小红书完全就是这个原因写出来的我是去年的7月份和晚点当时小婉说你要不要写写小红书因为我当时说我想写因为我的创业公司本身和社交有关她说那你要不要写写社交网络因为你懂这个东西说那知乎我写过了
[00:18:38] 然后B站我觉得我对他有点过于熟了就对写他没兴趣所以就说那写小红书吧然后就准备了一个大纲去我后来查了一下我是8月23号找的小婉然后我跟她说这是我想写小红书的大纲然后她跟我说无聊我想想地震无聊有点没意思然后我就就想我不知道咋写因为我其实不是小红书的typical user我不是怎么用它在那段时间里头然后后来我就一直放着一直想但是去年年底的时候去年11月份我去上海和约老师观鸟
