Vol.152 竞业协议，边界何在？
时长：00:27:01
来源：网易云音乐电台节目 · 商业就是这样 · Vol.152 竞业协议，边界何在？

[00:00:00] 大家好,我是肖文杰我是叶海亚这一期节目和平时不太一样没有财报的数据,也没有商业故事严格来说都不是一个商业话题但是我们觉得有必要聊一下因为这个话题和许多的公司人息息相关它就是竞业协议这个话题的由头有的听友可能会猜到就是近期媒体上会有一些报道说在某些互联网大厂工作的员工因为违反了与公司签署的竞业协议而被判要赔偿数十万甚至数百万元
[00:00:29] 这些员工中不乏一些一线基层或者说工作没几年年轻人他们要承担这个赔偿款可能比他们原来在公司拿到薪水还要高我想大多数人凭直觉就能感觉到这个现象不是很对劲一定是哪里出了问题但要搞清楚到底是什么问题仅凭直觉是不够的我们需要弄明白进业协议它在法律原则和实践上到底是怎么回事那抱着这样的想法呢我们的同事崔述前段时间做了一系列的采访
[00:00:57] 从相关的当事人当事公司还有专业的法律从业者那里获得了许多一手的信息和资料然后在第一财经杂志2024年3月刊上发布了一篇报道名字就叫敬业协议边界何在顾名思义这篇文章核心想要表达的就是敬业协议在法律原则上是一个中立的工具公司与员工的权责是对等的或者说应该是对等的
[00:01:22] 但是在实践中随着互联网大厂的规模不断膨胀进业协议的边界也在不断延伸它变成了一个对于员工很具有威慑力的大棒这也是目前一些超出常理的案例出现的实际原因那本期节目呢我们就将基于这篇报道的内容来探讨一下进业协议的四大边界问题
[00:01:42] 第一什么样的员工该被竞业限制第二竞业协议是否可以与入职来绑定第三到底是什么样的公司算是竞争对手第四竞业协议的赔偿款到底是怎么来定的那最后呢我们还会简单探讨一下竞业协议对于公司经营的影响那出于保护司法公正和保护当事人的原因我们在这期播客节目里面基本就不提真实的公司名和人名了大家对事不对人这里是商业就是这样
[00:02:15] 那在具体展开之前我觉得有必要先向大家解释一下什么是进业协议OK那进业协议呢它准确的说法应该叫做进业限制或者进业禁止的协议那协议的双方呢是公司和员工根据中国的劳动合同法第23条规定啊这个协议的目的是为了保护商业秘密防止不正当竞争的这个点大家一定要注意啊而具体的方法呢就是双方签一个合同那员工呢他答应说我离职之后的一定时间内
[00:02:45] 一般是不超过两年啊我不能加入原来公司的竞争对手公司不然的话呢我就要赔给原公司一笔钱那这一段时间呢就是所谓的进业限制期那与此相对的呢就是在这个进业限制期里面原公司每个月也要给员工一笔补偿款
[00:03:01] 从这个法律条文里面我能大概理解你前面说的法律在原则上面公司和员工应该是一个对等关系因为员工如果违反协议要赔给公司钱而如果员工遵守这个协议公司也是要给员工补偿的没错这一点我们会在最后一个边界的问题里面具体探讨接下来我们就就着这个基本的定义来探讨一下第一个边界问题就是什么样的员工该被竞业限制这个其实也是最近的新闻里面最具争议的点之一
