Vol.153 菜单经济学
时长：00:28:34
来源：网易云音乐电台节目 · 商业就是这样 · Vol.153 菜单经济学

[00:00:00] 大家好,我是向文杰,我是薛小亚去年我们有期节目讨论了明码标价这个概念那期节目的主题就是书为什么会直接把价格印在书上当时我们还给自己挖了坑说之后会聊一聊关于价格的其他概念所以今天就是一期填坑的节目本节目填坑的速度经常赶不上挖坑的速度但是还是要勇于填坑那这次填坑正好有一个由头虽然不是特别新这个事情发生在今年二月底
[00:00:26] 美国当地有一个很有名的连锁炸机品牌叫Vendis它的CEO宣布要投资2000万美元给这个公司升级改造电子餐牌来实现动态定价动态定价的实际案例其实还是挺多的除了我们之前节目里面提到的像变化多端的机票价格还有更常见的例子有可能是网约车根据路线拥堵情况还有车辆供给它其实每次的价格都是由系统算出来的没错
[00:00:53] 那Vendis的这个新闻一出来呢在美国当地反响就非常的激烈啊这样的吗因为大家第一反应是说这公司不就是想涨价吗你有可能中午人多的时候这个套餐会更贵啊天热的时候冰淇淋也会更贵啊等等的那尽管CEO很快就解释说他所谓的动态定价更多是指的在非高峰期我要做促销的降价
[00:01:13] 但是消费者愤怒已经没有办法撤回了大家觉得浮动这个词一定是上浮对吧没有下调的可能性我觉得大家不相信在美国通胀的大背景下面还有良心品牌选择降价也是挺符合逻辑的这个计划因为还没有落地所以还要等一段时间它真的去动态调价了以后它到底会不会往下压才有结果不过趁着这个机会我们就正好把上次没有展开说的菜单成本解释一下
[00:01:39] 菜单成本是一个20世纪后半叶提出的经济学概念顾名思义就是说一个餐厅或者广义的企业它在更改商品价格时候所需要支出的一部分成本比如说你设计印刷一个新的菜单员工的重新培训还是说Wendys面临的这种小消费者解释以及平息消费者怒气的成本都在里面听上去还是挺有道理的而且是日常经营当中很可能会忽略的一块成本但是在Wendys这个案例里面我们已经可以看到
[00:02:07] 企业好像正在想办法消灭这部分成本比如他要用这个电子餐牌还有像现在很常见的扫码点单啊或者说动态定价都是已经被广泛应用的手段那这些手段到底有没有效果它能不能让整个商业社会的运行效率更高更接近于这个经济学模型当中的理想形态呢本期节目我们就从菜单成本这个概念出发来讨论一下那这次讨论我们还是分为四个部分
[00:02:33] 首先来看一下经济学家为什么吃饱生长会提出菜单成本而且为什么这个概念一度听起来很重要然后我们会回到真实世界来看一看到底有没有所谓的菜单成本这回事接下来我们再通过几个例子看一看一些新的技术手段是怎么降低这部分成本的最后我们再讨论一个问题就是为什么理想的模型总是在现实生活中难以实现这里是商业就是这样
[00:03:07] OK我们还是从经济学本身开始有时候蛮好奇的经济学家为什么造出这种奇奇怪怪的概念比如说跟菜单成本相对应有一个概念叫鞋底成本他讲的是通货膨胀的时候因为货币的购买力下降了大家会倾向于说平时少持有现金但是因为要频繁的去银行取钱所以说鞋底损耗的速度会更快觉得鞋底成本都不能算一个概念简直是个烂梗
[00:03:35] 但是它跟菜单成本一样都是经济学当中有一个流派叫新凯恩斯主义学派创造出来的概念说新之前就先说一下古典凯恩斯主义学派的核心观点就一句话国家应该采用扩张性的经济政策通过增加需求促进经济增长也就是说要扩大政府的开支实行赤字财政刺激经济来维持国家的繁荣这个我们还是很熟悉的反正凯恩斯主义关注的是整个市场的总体行为
[00:04:04] 并且他们认为宏观的经济趋向会对于个人的特定行为产生影响所以呢他其实就是目前这个宏观经济学的基础那到了1970年代呢以弗里德曼为首的一部分经济学家就开始抨击凯恩斯主义说这个主义也太宏观了你很难对个体产生什么积极的影响而且让政府通过经济政策如此积极的去干预市场是非常有害的于是呢就产生了所谓的凯恩斯主义危机而新凯恩斯主义呢就是在这次危机的背景下诞生的
[00:04:32] 他主要就是在古典理论的基础上打些补丁然后再做一些更微观的论证有点后备位老师晚尊的意思所以新凯恩斯主义具体性在哪里他们首先还是肯定了古典理论当中几个核心点比如说市场一定是失灵的政府一定是很有用的在这个前提下他们要继续论证说为什么宏观政策是难以落到微观个体上的这里面就有可能有几个问题比如说个体没有那么理性还有价格变化没有那么及时等等
[00:05:01] 有各种各样的原因导致这个市场失灵了最后导致了效果不及预期政策是好的下面的人把经念歪了多么熟悉的感觉呀新凯恩斯主义倒也不是一味的指责是个体的不理性他们还是花了很多精力去看各种实例去论证为什么会这样的所以在新凯恩斯主义学派里面有不少经济学家后来都从政了
