Vol.155 体育赛事到底能为城市带来多少收益？
时长：00:29:02
来源：网易云音乐电台节目 · 商业就是这样 · Vol.155 体育赛事到底能为城市带来多少收益？

[00:00:01] 大家好,我是肖文杰我是小亚本周我们迎来了久违的商务合作节目而且是连续两期的一个特别系列鼓掌鼓掌鼓掌鼓掌而且我们这位合作方也有些特别是英国商业贸易部哦我们接到这个offer的时候也很好奇就不知道英国商业贸易部希望我们讲什么话题呢后来这个关键词出来了就是服务贸易我们日常理解的全球贸易可能更多的是实体货物的贸易
[00:00:28] 但实际上还有很大一块贸易它交易的是非实体的商品比如说是数字技术专业服务文化活动等等根据WTO的统计2023年全球的出口总额里面超过五分之一是服务贸易而英国恰好是一个服务贸易特别发达的一个国家它的出口当中服务贸易是占半壁江山的这个比例就远远高于全球的平均水平而中国近几年的服务贸易也增长非常快
[00:00:55] 你像2023年全年的进出口加在一起有6万多亿元其中进口就超过了3万亿元我们看到2023年9月中国举行了福贸会英国就是主宾国它组织了一个4年以来最大的商业代表团参加这个会议福贸会是一个国内级别很高的一个贸易展会所以这么一说我们就get到他们这个合作的想法了所以这次英国商业贸易部和商业就是这样的合作希望传达一个基础信息就是
[00:01:20] 在服务贸易领域英国的公司和中国公司有很多合作机会但口说无凭我们还是要看看具体的例子我们研究了一下对方提供给我们的一些中英服务贸易的合作案例这个行业就很多有10个制度比如说像医疗科技教育金融等等的当然我们不可能两期播客把他们都讲一遍这样也讲不透而且我们觉得除了单纯的介绍大家有很多潜在生意可以做之外
[00:01:46] 这些案例还有一个很大的价值就是看一看英国在这些领域里边的经验对于我们有什么样的帮助对 他山之石可以公寓没错 所以我们仔细研究了一下就从中选出两个领域想来展开讲讲第一个就是体育赛事另一个就是城市里的老建筑更新这两个话题都是当下中国越来越重要而且今后发展空间也很大的领域同时它又是英国已经躺了很多坑经验很丰富的领域对 所以我们选这两个方向
[00:02:12] 这一期节目我们就先来讲一讲体育赛事这个其实是一个商业就是这样的此前节目的延续我们在第26期和第88期分别给奥运会和世界杯这两个全球的大型体育赛事算过账分析过他们的商业价值但是有一个问题其实我们一直没办法讲得很清楚
[00:02:32] 就是这个体育赛事对于所在城市就是个举办地来说到底有多少的经济价值像国际奥委会国际足联收入其实都有清晰的财报所以我们能把这个账算清楚但是体育赛事和主办地经济之间的这个关系往往不是那么显性不是那么直接的它是有点复杂和难以量化的我记得当时我们节目里边能归纳的往往就是所谓国际形象或者开放这个态度什么基础设施的开发这些比较虚的一些话题
[00:03:01] 甚至我估计主办方自己都不太能说得清楚对吧那么反过来说英国的特点呢恰好是他举办过很多全球范围内的顶级赛事说像综合性的比赛然后有一些专项比赛像网球F1斯诺克马术帆船在英国都有顶级的比赛而且举办时间是足够长的这个就能帮助我们挑战一下我们前面说的这个难题
[00:03:22] 所以这期节目我们就试着用一些英国的故事来看一看体育赛事对于一座城市到底会带来哪些影响我们准备用微观中观和宏观三个层面的案例来聊这个故事首先我们会聚焦一个体育场它对于社区的影响以及背后的商业博弈接着我们会看一看一个赛事如何改变了一座小的城市最后我们会用数据来看一看体育赛事到底为伦敦这座大都市带来了什么这里是商业就是这样
[00:03:55] 那下面呢我们就进入第一个故事关于一座具体的体育场那先问于老师一个问题啊你知道2006年整个伦敦最大的住宅开发商是哪一家吗我对伦敦房地产没有任何研究啊而且我们不是在说体育场吗怎么又开始问我住宅啊因为2006年伦敦最大的住宅开发商就是一家足球俱乐部就是大名鼎鼎的阿森纳阿森纳的原因是兵工厂没有想到他还会造普通的房子所以是怎么回事呢
[00:04:23] 这个就要介绍一下背景了啊阿森纳呢是英格兰超级联赛也就是英超的成员而英超呢就是全球最赚钱的体育赛事之一了根据德勤的报告啊2022到2023赛季英超20支俱乐部的总收入就达到了58亿英镑相当于一支队伍的年收入是3亿英镑对而阿森纳呢他作为英超的一个豪门俱乐部上个赛季的收入就达到了4.65亿镑是超过这个平均水平的嘛但这么多的收入呢主要是分为三块
[00:04:52] 转播收入占四成然后球艺啊赞助等等这些商业收入呢占三分之一多剩下的百分之二十二啊就叫比赛日收入顾名思义呢主要就是球迷买票来球场看球的这个收入等于说这个比赛日收入换算下来大概正好超过一亿英镑这也是很惊人的一个比例子对如果你看过英超比赛的转播的朋友都知道这可能是全球氛围最好的足球比赛之一吧你像阿森纳这样的球队主场比赛的话它几乎是场场爆满的
