Vol.158 如何管理一艘“移动的工厂”
时长：00:28:07
来源：网易云音乐电台节目 · 商业就是这样 · Vol.158 如何管理一艘“移动的工厂”

[00:00:00] 大家好,我是向文杰我是小亚本期节目开始之前先有个小通知啊本周末就是5月18日至19日我们的友台大内密谈它主办的播客活动叫声量的Power of Voice将再次在阿纳亚举行去年的活动呢就给了我久违的面对面交流的体验啊今年也很高兴能够再次参加也欢迎大家来阿纳亚找我还有很多的播客主播一起来玩今年我不去啊,明年我争取去嗯,明年你可以去观鸟他们还有一些观鸟的活动
[00:00:29] 那回到今天的话题啊熟悉我们的听友都知道我们经常会关注一些平时默默无闻但是对我们日常生活其实影响重大的行业或公司比如以前聊过海底光缆对吧那今天我们的主题呢也是一个这样的行业而且仍然与海有关就是航运行业航运行业其实算不上什么默默无闻吧我们之前有些节目其实也聊到过然后最近呢像是加沙的军事冲突引发了红海的安全危机
[00:00:56] 从去年年底就陆续有货船在红海海域被袭击这就导致连接亚欧市场的苏伊士红海航线很大程度上被阻断了大量亚欧航线的货船就选择去绕一下去走好望角那条路甚至是横穿太平洋通过巴拿马运河整个航运业的价格也因此有一些比较大的波动这类航运的特点就是一切正常的时候它就不声不响但一旦受到大众关注了就说明出了很大的异常情况这次我们就想就着这个异常情况的由头
[00:01:25] 来满足一下我们对于航运的好奇心
[00:01:54] 这一期节目光报菜名都不够啊别说稍微深入展开一下了所以这期呢我们就只聊整个链条里面最简单的一个小问题就是究竟是谁在开船这个问题看上去有点过于小白啊那船总归就是船长和船员开的嘛但如果稍微探究一下的话就会发现让一艘船运转起来这个概念它到底意味着什么这背后其实涉及了一个对航运业十分重要的细分专业就是船舶管理
[00:02:22] 这期节目我们就来探一探船舶管理背后的故事我们首先会聊一下货船的商业模式然后再去解释船舶管理这个角色其次呢我们会通过一些有趣的案例来探讨船舶管理在航运当中的商业价值那听完你可能会有个感觉就是船上的世界跟陆地上的世界真的是太不一样了这里是商业就是这样
[00:02:59] 在开讲之前首先要感谢一家名叫贝氏集团的公司贝壳的贝 仕途的仕这里不是一个恰饭声明因为船舶管理相关的资料网上公开的非常有限后来我也愈发感觉到船舶航航运都是专业壁垒很高的行业所以这一期的节目里边有很多专业的能耗其实都是来自于对于贝氏集团的采访这家公司它有140多年的历史是一个家族企业
[00:03:25] 他不仅自己拥有一个规模相对稳定的船队大约有90多艘船还为其他的船东管理了超过650艘船他可以说是一家全球领先的专业的海事服务公司因为我正好有个朋友在这家公司工作然后我跟他正好聊起说我对这个话题感兴趣他说那你知道我们就来聊吗所以有机会我就可以和几位资深的船长老鬼来聊一聊甚至有机会登上了一艘货船参观了一下
[00:03:52] 就没有这些体会的话就光靠公开的资料我们可能很难对传播管理有一个准确的认识那接下来就进入正题问一下这位速成的传播管理专家肖老师那货船的商业模式到底是什么呢对为什么要先讲这个就是货船它是什么那当然是一个运输工具对吧或者说是一个生产资料但是货车也是生产资料嘛它和货车不同的是
[00:04:15] 它的使用寿命很长就可以长达二三十年同时呢它的造价又很高动辄是数亿元对吧再者呢它能产生的运费收益长期来看又相对的很可预测所以听上去有一点像房地产没错所以事实上啊现在的船是一个和金融深度绑定的行业就是你一条船的所有者也就是船东
[00:04:39] 它造船的资金往往是来自于金融机构的而一个新的趋势就是金融机构直接就是船东你像交通银行它有一个金融租赁公司目前就持有447艘船舶是全球最大的一个金融船东这些金融机构它自己不会去运营这些船队去运货的所以它就会把这些船租给船运公司
[00:05:01] 或者是和其他的船东一起组成一个同类型船组成的一个船队然后再请船运公司来运营这个就叫连营池相当于是做一个资源整合大家一起去接一些比较大的货运的订单那这种金融船东的这种情况下呢经常就是我花钱造了一艘船然后租给船运公司我每个月就可以稳定的赚取这个租金那这就是一个算得出收益率的一个投资项目吧那船运公司它组建了船队之后呢就可以去获取航运的订单
[00:05:29] 只要这个船带来的收益大于它的租金还有各种的支出那么船运公司也能赚到钱简单粗暴类比一下船东其实就是开发商或者说一房东船运公司就是二房东或者说平台这个角色可能有点类似但这里边有一个重要的区别就是房子它是一个不动产而且它的日常维护保养相对还比较简单至少你不用去驾驶和操作一个公寓
[00:05:54] 但船不一样从实际运行的角度来说它其实更像是一个工厂它在汪洋大海上面面对的环境要复杂和极端的多而且驾驶一艘船并且确保它能够长期安全稳定的完成运输任务是需要非常专业的团队的这就是专业的船舶管理公司的价值那么肖老师就给我们具体介绍一下船舶管理到底平时做点什么呢首先的最重要的一部分就是负责招募或者组建船舱的整个团队就是从船长到船员开始
[00:06:24] 那这里就涉及到一个概念就是现在的船长和船员啊很多他们更加就接近于自由职业者freelancer或者说是合同工比如说有一艘船接下来9个月有一个出海的这样一个任务了那么船管公司呢就开始招募船长招募老鬼还有招募下面的海员那这个团队这个规模啊或者它的编制是非常的规定严格的一般而言就是政府主管当局就会根据你这个船型还有这个船的
[00:06:49] 比如自动化程度就规定一个每艘船上面最低的一个配员的要求然后各个船舶公司呢在此基础上还会适当的再增加一些岗位所以在一个船上面其实每个人都是有自己不可替代的任务的那这个团队的专业与否是不是团结对一个船来说很重要就驾驶这个船的团队首先就是船舶公司来建立的那后面我们还会提到一个船上的团队它很大程度上决定了一艘船的安全和效率
[00:07:13] 所以能不能为这艘船招到最适合最优秀的团队就是一个船管公司很重要的一个竞争力当然啊这个船员的收入也是很高的你像这个资深的船长在整个行业里面都是稀缺资源所以他们一个月上万美金的收入都是很常见的所以说船舶管理公司首先要有一个人才库然后从这个人才库里去捞人对这个行业里面叫船员池其实船管公司很多他们本身的管理者就是资深的船长或者老鬼出身
[00:07:40] 夏老师你要不要解释一下老鬼是什么我刚刚没有打断你听了好几次到底是什么黑话这个老鬼不是那个就是ghost他这个鬼是轨道的鬼确实是一个船上的说法其实他指的就是轮机长什么是轮机长呢就如果说船长他是负责航行的话那么轮机长就是负责船上所有机电设备比如说像发动机这些东西的正常的运转也是一艘船上面非常有权威的一个人
[00:08:05] 换句话说就是船长类似于一个企业的CEO那机务长就类似于CTO是的那这个人这个团队是船舶管理最重要的一部分其实船舶管理确实有很多跟企业经营类似的地方因为它还有负责很多别的东西比如说证照的资质然后这个船本身的日常的运营维修保养等等的就会产生很多你有可能一下子想不到的一些细分工种到底能有多细分我就以这个贝士集团的这个公司为案例
[00:08:34] 它旗下有接近20个各司其职的专业服务机构你像我们刚刚讲的这个船员团队这个不说了啊它还有造船的建造还有专门做海事上面的软件的还有专门做这个船的维修保养的还有专门做物资供应的另外还有专门对接这个港口码头的专门做船底清洁的专门做这个船上的人员的伙食供应的还有为海员专门做差旅的都有一个专门的一个旅行社专门给他们订机票的
[00:09:03] 这么多的工作加在一起才是一个完整的船舶管理所以一艘船的船舶管理费用也不低具体的因船而异而且涉及机密我们不太方便具体提供数字但大家可以想象一下我刚刚说过船长的工资然后下面还有很多的船员每天的工资其实就不少了如果大家去看一些公开的船运公司的财报在一艘船的支出里面大头主要是燃油和港口费用此外还有折旧和保险剩下的其实就是固定的运营支出这些主要就是船舶管理的范畴了
[00:09:34] 那刚才肖老师介绍了传播管理的角色和他内容具体而言就比较类似于在一个房地产公司里的物业公司负责一个巨大的东西的日常的运营就让它运转起来嘛但是我还是有个根本的好奇就是为什么这些传动公司不自己做传播管理而是把这个东西分出去让别人来做呢
[00:09:55] 我们简单说三个理由第一个很简单就是船舶管理很专业很细分它和货运贸易这些事情其实需要的能力完全不一样的所以专业的是在给专业的人这个后面我还会专门的详细讲开讲那些例子的时候大家能感受得到第二个点就是船舶管理它也是有一定的规模效应的就有许多专业的软硬件和人力资源它可以附用那么大规模的船管公司比如说我管很多的船的话
[00:10:20] 那相比你一个船东自建团队来管理它的效率更高然后成本也更优第三个点呢就是我们前面讲到的船舶的金融属性或者说金融船东越来越多的话那对于这些船东来说他们并不是真的我要深耕航运这门生意吧我只是看中了船这个资产的保值增值的能力那么能外包的部分就外包了那这样的船东越来越多也让专业的船舶管理有了市场的空间当然啊要说明的就是
[00:10:47] 在实际的情况当中其实许多大规模的船运公司也是有自己的船舶管理业务的只不过专业的船舶管理呢越来越成为一个主流简单来说就是Inhouse也可以做Offsource也可以做那有的时候呢也会出现一艘船原来是交给一个专业的公司来管理的后来呢又收回自己的管这个都是很正常的东西还有个好奇的问题就是为什么会有这种就是业务很多元但又很专业的这种专门的船舶管理公司出现呢就像你前面说的就是说这些业务其实很复杂嘛
[00:11:16] 照理来说一个公司其实很难掌握你上面说的所有的这些东西的那这些船管公司又是怎么获得这些能力的呢对这么专业他凭什么能够会对吧好问题啊就一句话回答的话就是许多船管公司原本就是船东甚至现在还拥有船队就像我们刚刚讲的贝斯其实就是这种类型的那我们还是以这个贝斯的这个发展过程就是稍微介绍一下大家就可以理解他们是怎么慢慢变出来的啊
[00:11:41] 他们这个百年的家族企业第一代就早在1883年的时候就开始做船舶的经纪人了然后到1893年的时候就在德国的一个港口城市叫爱姆登开始做这个船舶的贸易了顺便说一下爱姆登到现在为止还是欧洲的三大汽车贸易港口之一也是一个造船中心对的我看到这个资料上面写大众的车很多都是从这里出口全球的
[00:12:05] 还有这个蒂森克鲁伯就现在还在这个城市里面开始造货轮和潜艇那说回贝斯这个公司就他们到了1913年的时候很早就已经买了自己第一艘的蒸汽船了之后呢反正他们经历了两次世界大战的这个臣服啊等等的很长时间自己呢买过非常多的船然后自己还造过船然后也做过贸易这个船的类型就涉及到什么集装箱啊散货船啊邮轮啊天然气轮啊等等的
[00:12:30] 因为他们拥有过这么多船还造过这么多船所以他们逐渐的发展出了与船舶相关的这些服务与行业简单说就是因为他们自己拥有过很多船然后开过很长时间的船所以他们经验很丰富知道其他的船东在进入这个领域的时候是要什么的没错那反过来就有个问题竟然他们有过那么多艘船那为什么他们现在不做船东还是要做这个船舶管理呢刘老师不停追问
[00:12:56] 我觉得当然不同的公司有各自的单独的情况然后有不同的选择我们这边就提供一个基础的背景船舶管理它提供的因为是专业服务所以它是一个轻资产的生意而坐船东则是一个重资产的游戏风浪来临的时候其实风险也会大很多而全球的航运业又是一个周期性非常明显的行业举个例子1960年代后期航运业曾经有过一段繁荣期因为当时有中东战争它导致了苏伊士运河关闭
[00:13:25] 很多货船必须绕行好望角然后导致航运运费暴涨所以船东的收益大好我们刚才是不是已经说过这一段了话风过于熟悉是吧而且当时又叠加一个背景就是全球的贸易在不停的增长所以说金融机构和船东现在变得非常的乐观有一时间大量的订单涌入各地的造船厂然后他们也开足马力的造船很快就出现了船供大于求的情况到了1973年之后因为有了再一次的石油危机
[00:13:53] 让油价暴涨然后全球贸易也进入了一个增长的停滞所以大量的首先是邮轮它被闲置了进而货船也开始出现了订单不足运费下降的情况导致整个船的价格是一落千丈就有很多船它腰斩都不止最后没有办法就有很多我看到超大型的散货船和邮轮他们不得不拆解因为它放在那边每天都是成本只有拆掉了它还可以变卖一些零部件能止损
[00:14:18] 整个行业就进入了一个很大的萧条期一直延迟到1980年代这其实是一个非常典型的行业周期就是好的时候是什么样的坏的时候是什么样的那你可以想象这个过程当中有很多大的船东就因此这个风浪顶不住就有可能整合或者说是破产那像我们前面提到贝士其实在这个过程当中他的这个船队的规模也缩水了不少后来呢我们就看到这家公司它是逐渐的整合了力量把主攻的方向放到了第三方的这个船舶管理上面
[00:14:47] 相信有很多的这种传播管理公司其实也是这样慢慢过来的另外一种情况就是有的专门的传播管理公司本身就是从一个大型的传语公司当中拆分开来的就它原来有这个部门然后拆分成一个独立的公司也是有的
[00:15:00] 那简单小结一下前面这部分我们其实主要是在说这个传播管理公司作为一个第三方的生意模式为什么能够成立啊它本质上是一个资金比较集中竞争又很激烈的周期性行业那在这个周期比较好的时候呢就有可能产生一个不可或缺的专业性的分工那么接下来我们就看一下我们说了这么多遍专业这个专业到底能为行业提供什么价值
[00:15:26] 前面都是一些比较大而化之的分析啊接下来请孝老师给我们举一些故事和例子吧大家还记得我们前面报的那个船舶管理的这个所需的这个子公司的这个菜名吗就报这个菜名就十几种这个细分的业务所以我们肯定没办法面面俱到的就我想了想呢还是从人货船三个角度来举举看例子吧要么我们先讲货感觉货还是跟钱更相关一点你直接挑了当中一个可以
[00:15:53] 那一个好的船舶管理团队呢其实货是非常重要的就是他首先就是要做到能把这些船上的货安全稳定的从一个地方按约定时间运到另一个地方这个其实就是航运的本质吧对吧那怎么运这些货呢其实就有很多讲究了我们就以这个散货船为例啊现在我们这个新闻里面看到比较多的都是集装箱船吧一个大的集装箱但其实散货船也是全球航运当中非常重要的一种
[00:16:20] 所谓的散货船就是它一般里边船体里边有几个货舱就是在这个甲板下面的然后甲板上面的还能堆很多的货它比较适合比如像粮食啊煤炭等等不太方便装集装箱运输的那种产品它等于这是一个仓库移动在海上看了一下2023年数据就是全球的干散货海运贸易量其实占到了世界海运贸易量的45%左右这其实比想象中要多很多对大家都一直在说集装箱的数量什么其实这个干散货是非常多的
[00:16:48] 那我们就来简单的举一些这个具体货的例子啊比如说装粮食的船他们的这个运输的要点之一呢就是货舱的湿度不能太高所谓的货舱里面不能起雾否则粮食就湿了嘛就一方面会有损坏另外一方面也会让这个货舱增重影响整个船体的平衡另外呢这个粮食的货舱里面还要喷一些杀虫的气体这个叫熏舱但是这个气体呢对人也是有毒的所以说必须要做好气体的检测防止有毒的气体进入船员生活的区域
