Vol.159 平替当道，能让1688飞升吗？
时长：00:30:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.159 平替当道，能让1688飞升吗？

[00:00:00] 大家好 我是肖文杰我是小雅听到这期节目的时候相信各大电商平台的年终大促都已经开始了或者说在大家为自己的购物社解敷的过程中这个大促已经差不多结束了不知道肖老师是什么感受反正对于我来说现在除了那种真正的必需品之外这种例行的大促对于我的消费拉动已经真的非常非常有限了我这两年因为有一些新的消费需求而且是那种不太计较性价比的模式
[00:00:28] 所以大促还是会买一点东西的当然同一个商品具体在哪个平台上买就要看他们的诚意了了不起了不起进入人生新阶段了你确实是我身边经济学当中一抹亮色消费主义的一抹亮色我最近看到主流趋势其实都还是偏精打细算注重性价比那一挂的线上比如像拼多多的高速增长线下像这种零七电的扩张都是很典型的例子包括前两天我在小胡书上竟然看到一个什么上海低价菜场的笔记
[00:00:57] 我还随手转发给了一个朋友他那个时候刚刚从外地回到上海家里看上去就说我想一脚油门出去买菜了要不要再算一下油门的钱不过确实性价比这三个字对于中国消费者的诱惑力现在可能是一个挺空前绝后的一个程度了不过小红书上面都有低价太长的笔记了看来小红书上的博主是越来越细分了性价比博主的竞争还是非常激烈的
[00:01:22] 像之前有一类比较火的主要是介绍那种大牌评题的叫1688博主据说带有1688购物分享这个tag的小红书笔记目前已经有接近200万条了那它总浏览量也接近30一次嗯今天呢我们主题就是讲1688啊之前我是在这个平台上买过一些东西的所以知道这是个什么神奇的网站啊
[00:01:43] 不过叶老师还是给听友当中的这个富哥富姐们先介绍一下1688是什么简单来说呢1688是阿里巴巴这个大集团里面相对不太受重视一块B端业务它在财报里面有一个正式名字叫做中国批发商业我们平时接触更多的淘宝天猫在阿里的财报里面都属于中国零售商业这是相对那个关系
[00:02:06] 批发业务顾名思义呢就是它是撮合国内工厂和批发商的一个平台那1688呢就有点类似于那种我们线上的义乌小商品市场但是因为平台上面是有大量的工厂资源工厂货呢普遍比较便宜又是整个品牌的上游嘛那它天然就带有所谓性价比和大牌品质的标签C端消费者发现这个东西以后呢就把它炒起来了
[00:02:29] 一个标志性的事件就是2023年阿里第四季度财报的这个分析会上阿里现在的CEO吴永明他就宣布1688是和咸鱼丁丁夸克一起被提升到了阿里巴巴第一批战略及创新业务这样一个地位丁丁和夸克先不说1688和咸鱼显然是两个品牌方向不是很同但是都主打真性价比的这个业务那考虑到
[00:02:56] 阿里和他的主要竞争对手们都是上市公司虽然1688对于阿里每季度的营收贡献率只有2%左右但我们还是照理要啰嗦一句本期节目的内容不构成任何投资建议其实关于性价比低价还有去品牌化这个消费的大趋势第一财经杂志在今年的4月刊做了一组的封面专题的报道1688在其中也专门占了一篇
[00:03:20] 本期节目我们就不赘述报道的具体内容了大家可以自己去看一下我们希望把这个思路重新整理一下看看现在的1688消费潮当中C端的消费者B端的厂家以及1688这个平台本身这三个角色他们各自的动力是什么又面临怎样的挑战或者说陷阱分析到最后你可能对于一种性价比的浪潮到底意味着什么会有一个更深的理解这里是商业就是这样
[00:03:53] 那我们先来讲第一部分就是这股浪潮中热情最高的普通的消费者消费者能跟风到这么陌生的这个地方肯定低价是个硬道理那这点其实已经被拼多多充分验证了只不过1688又重新验证了一遍而已除了低价这个硬道理之外我觉得还是有几条软道理的首先就是1688在2016年前后自己是做了一个当时比较强的业务模式创新就是让以前主做批发的商家开始支持所谓的一键待发
[00:04:21] 比如说衣服工厂传统上面是按照尺码从小到大从S到XL或者XXL做一整套然后再交给品牌商或者经销商就是你一套一套货去拿但是在一键待发这个模式之下品牌和经销商在手里都可以不压货而是根据他们收到的订单需求直接在工厂侧组织代为零散的发货就是一个订单规模变小的变灵活的一个方式是的
[00:04:48] 这个模式其实本来就是比较方便小的商家但是意外的现在也可以天然的承接很多大量的C端普通个人消费者的需求对吧我想这也是1088现在能够在消费者当中活起来的一个功能上的一个基础毕竟一键就可以启发你发谁不是发对吧对其次就是在日常生活当中其实仔细想想就是有很多情况下是不太需要注重品牌
