Vol.161 元宇宙虚火？在工业界它是真火
时长：00:38:06
来源：网易云音乐电台节目 · 商业就是这样 · Vol.161 元宇宙虚火？在工业界它是真火

[00:00:01] 大家好,我是肖文杰,我是小亚很高兴,本期又是商业合作的节目而且我们的合作方又是一家大名鼎鼎的公司,就是西门子大家可能都知道西门子是一个科技巨头它在工业、基础设施、交通等等领域都是一个很重要的存在那支撑我们日常生活的很多重要设备和技术其实都有可能来自西门子对的,不过本期节目呢我们并不是要笼统地介绍一下西门子各项业务等等的
[00:00:27] 而是希望聚焦在西门子的一个技术理念来具体讲讲这也可以说是目前西门子的一个重点的方向就是工业元宇宙说实话元宇宙这个词这两年在大众语境里面可能有点冷下来了这个词最火的时候它描述的是一个所谓所有人都在一个虚拟的世界里面以各种方式交互创造体验的这么一个状态我看这个说法实在是虚了一点
[00:00:55] 反正能想到最实在一个应用就是游戏包括数字人之类的对就是现在能看得到的一些东西对除此以外感觉是没有什么可以期待的商业模式没错所以大家现在会觉得元宇宙似乎是一个比较虚火的概念但这个虚火其实是有一个限定范围的就是它是大众市场当中这个名词有点虚对于普通用户来说所谓的虚拟世界能干嘛的确是看不清楚的但是在工业领域里边元宇宙这个概念所包含的一些具体的技术
[00:01:24] 则是能够真正解决问题并且创造价值的说白了
[00:01:53] 同步映射实时交互进而能够让人们解决很多真实世界里面的一些问题当然这么说可能有点抽象啊没关系那这一期节目呢其实我们就采访了很多西门子实际应用的一些工业元宇宙的项目那我们希望从这些例子出发能够跟大家讲清楚西门子的这个技术它到底能够创造哪些价值那具体来说呢我们会从数字软身和人工智能这两个技术领域来展开聊聊
[00:02:21] 这两个技术是工业原理说的主要组成部分也是具有广阔应用前景的领域接下来你会听到西门子在这两方面的积累能够包住到不同行业和各种类型的公司那其中有全球瞩目的一些顶尖的机械也有你意想不到的身边的一时住行这里是商业就是这样
[00:02:47] 那我们先从数字孪生这个词开始要不然肖老师还是跟大家介绍一下数字孪生到底是个什么概念吧我觉得如果跟工业相关的一些朋友的话有可能对这个概念还是比较熟悉的它最近十多年开始在工业界兴起然后也非常的流行顾名思义孪生孪生它就是把真实世界里的机器工厂建筑等等的一些东西它在虚拟的数字世界里面塑造一个双胞胎所以它的英文就叫Digital Twin
