Vol.164 欧盟对中国电动车的反补贴调查，到底是怎么回事？
时长：00:30:43
来源：网易云音乐电台节目 · 商业就是这样 · Vol.164 欧盟对中国电动车的反补贴调查，到底是怎么回事？

[00:00:00] 大家好,我是向文杰这期我们来讲一个我已经关注了大半年的非常重要的汽车行业的新闻就是欧盟对于中国电动车的反补贴调查在6月12日,这个调查的靴子可以说是落下了一半欧盟宣布对中国车企到欧洲的电动车征收不同额度的关税
[00:00:20] 其中税率最高的上汽达到了38.1%就是额外的再加上欧盟原有的10%的关税相当于上汽在中国生产的电动车出口到欧洲就要缴接近50%的关税这个反补贴调查从2023年9月13日欧盟委员会主席冯德兰宣布以来就引发了行业的很大的关注它可以说是目前中欧之间最关键的贸易问题
[00:00:45] 因为电动车这个行业不论对欧洲还是对中国来说都是极其重要的战略支柱产业它都影响着上千万人的就业这个上千万人不是虚数两个国家在汽车产业上的关系又是那么紧密所以这个问题还是需要解决的或许是因为它太重要了所以我们听到的声音不论是政府层面的企业层面的媒体层面的个人层面的我感觉都是表态为主
[00:01:09] 当然在这种事情上面态度和立场当然非常重要比如说我们要反对贸易保护主义要支持中国电动车到海外去等等我觉得这些说法这些态度肯定都是对的但我们想做的是在立场之外做一些基础的工作就是把事情本身搞清楚所以这期节目我们会从四个问题入手尽可能从一个相对客观的视角解释清楚说欧盟这次的反股贴调查到底是怎么回事以及它到底会产生什么影响这里是商业就是这样
[00:01:43] 那首先就是第一个问题就是所谓的反补贴调查究竟在调查什么其实在中国加入WTO之后中国和欧盟之间的贸易摩擦就有两个关键词就是所谓的双反反补贴和反倾销那反倾销我觉得可能是这个当中听有更加熟悉的一个词而且它的意思也很好理解就是你用明显过低的价格把一种商品大量的出口或者倾销到另一个市场上去占据了他们很多的市场份额那这个行为就叫倾销
[00:02:12] 历史上欧盟对于中国的光伏产品就发动过反倾销的调查也是个非常著名的案例而反补贴其实也有很明确的定义指的就是出口国的政府给某种商品特定的补贴然后补贴的目的是为了提升出口的业绩或者说补贴的行为是和出口本身挂钩的
[00:02:32] 这个就是反补贴要针对的那种补贴行为所以说反补贴的反的东西其实是有特定限制就是这个补贴是仅限在进出口贸易上不是指所有补贴的对的但是我们说这两个定义都是来自于WTO体系里面的一些法规和条例的欧盟和中国都是WTO的成员所以在此之前双方关于反倾销和反补贴的交锋也都是在框架之下的但是这种情况在2023年又发生了一个很重要的变化
[00:03:00] 在23年的7月12日欧盟是生下了一个新的法案叫做关于可能扭曲欧盟市场的非欧盟成员国的政府补贴的规定好长的法案就简而言之就通过这个规定之后呢欧盟要反的那种补贴的行为它的范围大大的扩大了首先它的对象是从物理的商品拓展到了金融或者是一些服务业的这个上面其次
[00:03:27] 他要反对的补贴行为也从原来的仅限于进出口这个关节拓展到了各种的政府补贴包括但不限于像注资啊补助啊贷款啊贷款担保啊财政激励啊债务豁免啊债务重组啊等等等等的他这个逻辑是什么呢就这些补贴行为啊很有可能产生你这个出口国本国的这个产业的产能过剩而过剩的产能呢会引导这些产品涌入欧洲进而扭曲欧洲的市场
[00:03:54] 刚刚讲到这两个改变的第一点就是从物理到金融这个其实跟车没有关系因为车本来就是物理的一个产品但第二个点就和这次电动车的这个反补贴调查紧密相关了简而言之就是说只要欧盟认为这个国家政府补贴给了这种产品提供了一些竞争的优势然后最后这个产品又影响到了欧盟的市场我就不用管这个补贴是不是专门针对进出口的都可以去调查和处罚没错
