Vol.169 奥运会哪来这么多新项目？
时长：00:30:01
来源：网易云音乐电台节目 · 商业就是这样 · Vol.169 奥运会哪来这么多新项目？

[00:00:00] 大家好,我是肖文杰,我是小雅我们到底还是来做奥运的话题了毕竟2024年这个体育大年从7月26日开始就迎来了最大的高潮想象时间过得有点快上一届东京奥运会的时候我们做了一期专门聊奥运会到底赚不赚钱的节目一转眼间三年就过去了我还记得上一次我们开头就说奥运会就是那种开幕之前大家都说这一届奥运会热度很低,没人关注的
[00:00:26] 但一旦开始了呢肯定还是毫无疑问的全民焦点的那种项目但我们录制这期的时候呢其实巴黎奥运还没有正式开幕不过我有信心啊在这期节目推送给你的时候一批新的奥运明星和名场景已经诞生了所以奥运呢无论如何还是要聊一下的那上周呢因为刚刚有比较重磅的恒隆这期节目所以这期呢我们也简短轻快一点就聊一个相对轻松话题就是奥运会上的新项目
[00:00:52] 这几届我不知道大家有没有注意到就是其实可以发现很多新兴的运动进入了奥运会的这个舞台比如说像滑板啊冲浪攀岩霹雳舞等等的那我个人其实对于这些新项目是非常感兴趣的会专门看看他转播的时间去看一眼因为新的项目嘛总有很多看点比如说像今年中国代表团最年轻的一位选手叫做郑好好他就是来自于滑板队现在只有11岁
[00:01:19] 我们也算了一下从2016年到2028年这四届奥运会里面新增的项目有12个那这个数字是什么水平呢这个是和奥运会从二战之后到2012年这50多年里新增的项目总数是一样的对就是50多年里面才加了12个这最近三届就加了12个所以这期节目呢我们就想探究一下以下几个问题
[00:01:43] 第一为什么这几年有这么多新项目进入奥运会第二他们是怎么入奥的当中有哪些门道第三加入奥运会对于一个运动来说到底意味着什么
[00:02:00] 那么就先进入第一个问题就是为什么这几届奥运会会有这么多新项目呢这里面其实有一个非常明确的时间节点就是2013年这一年德国人托马斯巴赫接替雅克罗格成为了新一任国际奥委会的主席巴赫在上任后的第二年就推动一个重要的文件通过这个名字就叫做奥林匹克2020议程你可以把这个议程理解为巴赫的一个奥运改革方案
[00:02:28] 里面总结了40多条改革的提议其中非常重要的一条就是为引入一些新项目铺路的它的名字叫做从大象本位转为小象本位怎么搞像全球金融体系一样金本位银本位那种概念而且这个大象和小象又是什么意思呢这指的是项目啊我觉得确实需要厘清一下概念航空运会的这个比赛项目是分为大象和小象的
[00:02:51] 那大象比如说像田径啊游泳啊乒乓啊那小象呢就是比如说乒乓球里面的男单女单就是一个个小象就等于是单象的概念对其实在英文一般就不会搞错的因为大象名字叫sport小象呢叫event就分得很清楚但在中文里边其实你说大象小象我们会搞不清楚吗而且一般来说就经常会出现一些混用所以说分的不是特别的明确嗯理解了那这个
[00:03:15] 大象本位转为小象本位的改革为什么就是你说的为引入新项目铺路呢我们先解释一下什么叫做大象本位啊是这样在这个奥林匹克宪章也就是我们可以理解为奥运会的一个像宪法一样的章程里面有一个规定就是一届奥运会它的大象就这个sport是不能超过28个的那此前呢其实每届奥运会的这个大象数量就是卡在这个上限的这就客观上面使得一个新的项目要进入奥运会变得很困难
[00:03:42] 因为比如说我们刚刚提到那些新项目什么冲浪滑板啊你肯定不能归到什么已有的田径啊或者说什么体操里面去对不对它必须是一个独立的大项那么你要新加一个大项的话就意味着你要砍掉另一个大项这个阻力就会比较大对你要砍一些很成熟的东西为了放你这个新的东西那么改为小项本位是什么意思呢就是我原则上我不去限制大项这个28这个上限了而去限制小项的总量的上限那这个数字一下就变得很多了能超过300个
[00:04:10] 那这个时候你要加入一两个新项目的话其实这个阻力就要小很多你只要从别的一个大项里边比如说这个举重或者是别的项目里少几个这个重量级之类的稍微少几个金牌那你可以新加入一些新的项目了这个调剂的难度就小了很多等于说对于奥运会来说这个项目的删减是一个类似于分蛋糕的过程那么现在就是让分蛋糕这个切块稍微小一点这个就比较容易动刀子嗯就这个意思那么接下来的问题就是为什么巴赫上任以后要推这么一个改革方法
[00:04:39] 两个原因啊第一个就是为了奥运会能够吸引更多的年轻人的关注第二个呢就是吸引更多城市来主办那这个背景是什么呢就是巴赫上任前一年就是伦敦奥运会结束的时候当时其实奥运会的这个收视率啊它的这个增幅啊已经有点放缓了可以说就见顶了吧那从门票的销售来看呢一些传统项目的门票销售实际上是很不理想的同时呢
[00:05:03] 他们也能观察到一些别的现象比如说一些新兴项目的一些体育比赛一些商业的这个比赛它的收视率是大幅的增加另外一个更大的下滑呢就是城市就是在2012年之后呢申办之后几届奥运会的这个城市啊是锐减的没人想来办了比如像东京那一次正式申办的城市只有六个那这届巴黎呢是五个最终候选的呢只有巴黎和洛杉矶这两个所以就倒是没有这个投票了直接奥委会就分配给24年是巴黎28年是洛杉矶了
