Vol.17 SpaceX和“红顶商人”马斯克
时长：00:25:18
来源：网易云音乐电台节目 · 商业就是这样 · Vol.17 SpaceX和“红顶商人”马斯克

[00:00:00] This is an experiment to see if an innovative private company such as SpaceX can fly NASA astronauts and reinvigorate space exploration.It's an honor to be not only representing NASA but SpaceX as well in this next step of space exploration.It's a scary thing to be launching people, you know, and the risk is never zero.Sometimes things do blow up.Space is hard.
[00:00:29] 这里是商业就是这样
[00:00:51] 大家好,我是肖文杰我是徐冰青今天我们要聊的公司是SpaceX它算得上是目前最炙手可热的创业公司之一了吧仅论估值它就已经有400多亿美元而且更厉害的是它做的事情几乎以一己之力把航天技术提升到了一个新的水平而且现在雄心勃勃地要去火星建立殖民地了虽然说炙手可热但是我之前对于SpaceX完全没有兴趣啊
[00:01:17] 但最近他有一个新闻就是他的下一代航天飞行器叫星舰已经实现了升空回落帮着马斯克朝着前往火星的目标迈出了重要的一步这个属于是SpaceX这两年来各种非常振奋人心的消息中最新的一则但是要聊到SpaceX就不得不提到他的创始人马斯克他无疑也是现在世界上被报道次数最多的企业家之一了吧
[00:01:42] 而且他可以算得上是乔布斯之后新一个就是身上背着很多神奇光环的一个企业家就人们说他是天才也好啊颠覆者也好啊有很远大的理想也好啊做事特立独行然后现在还给他一个新的绰号叫硅谷钢铁侠对吧我对这个人的印象只有他在电视台戏大妈怎么办
[00:02:04] 顺便说一下就是他现在在简体中文世界里面最流行的马斯克的传记名叫《硅谷钢铁侠·埃隆·马斯克的冒险人生》这本书是很不错今天我们有一些故事和细节也是从这本书里面而来的不过这个标题我忍不住要吐槽就是首先马斯克本人他现在不在硅谷对吧他2000年卖掉配货之后就搬到洛杉矶去了去年的疫情之后他又说要搬到德克萨斯去住其次他的名字应该读作伊隆而不是埃隆
[00:02:34] 然后这本书其实原来的名字就叫Elon Musk没有那么多复杂的副标题中文版可能是选择了一个更好的营销点所以给它加了这么一个绰号不过我们觉得就是前面提到这些标签可能里面漏掉了一个就是马斯克是这个时代最擅长跟政府做生意的人他是一个美国的红利商人这可能是帮助马斯克在现在获得如此巨大的成功的一个很重要的潜质今天呢我们就想通过讲一下SpaceX这个公司的故事
[00:03:02] 来讨论马斯克红顶商人的属性为什么讲SpaceX呢除了这个公司最近新闻比较多还有就是SpaceX是马斯克本人真正亲手创办的一个公司像特斯拉一开始是另外几个创始人来创办的马斯克最早是一个投资者后来成为了董事长然后成为了CEO而SpaceX可以算的是他的亲儿子并且这个公司创办之初的目标就是为了实现马斯克本人的志向就是去火星
[00:03:29] 至于这个目标是如何一步步
[00:03:57] 一块是商业航空运输也就是他用自己研发的火箭比如说猎鹰9号来把客户的东西送到太空里面第二部分是商业载人航天也就是说他还是用自己造的火箭比如说龙这个飞船可以把人送到国际空间站第三个部分就是星链星链的话是马斯克用自己的火箭把成千上万个通信卫星准确来说是大概4.2万个然后发射到近地轨道上形成一个太空互联网网络
[00:04:25] 给地面上人来提供互联网服务然后买互联网服务来收费当然除了这些以外SpaceX这个公司最重要的一个工作之一就是要建立火星殖民地对吧然后以此要建立一整套的很多很多新的技术要往火星运探测器运物资运人这个计划目前还没有赚到一分钱但是是花钱最多或者说是马斯克本人花心力最多的这个我们后面也会讲到我们还是回到这三个已经有进账的业务上
[00:04:54] SpaceX的已有的主要客户包括一些潜在的客户的话其实都是美国政府下属的机构我们在维基百科上面查了一下数据就是SpaceX的猎鹰9号火箭是它现在最主要的商业发射工具从2010年到2021年的5月15号一共发射了121次其中有119次是成功的而发射任务的这些客户排名第一的就是NASA美国航空航天局
[00:05:22] NASA的发射任务的话就有33次排名第二的才是SpaceX自己的那种任务说到NASA和SpaceX的这个关系这个已经有很多很多的报道了大家都知道就是SpaceX最初能够生存下来然后一步步壮大很主要的就是靠NASA的订单还有就是美国政府对于航空航天这个事业的这个政策的变化
[00:05:44] 简而言之我们复述一下就是之前美国的这个航天业和全球其他一些大国一样都是国有的而且有的时候是跟军事目的相关的在SpaceX成熟之前其实全球大多数的这个商业航空的卫星发射所依靠的技术还都是几十年前冷战时期美苏两国所发明的多么成熟的技术呀对当然到了21世纪之后中国也是一个非常重要的一个参与者了
[00:06:13] 但是进入21世纪以后这个就变成了一个商业问题美国政府觉得航天实在太少钱了尤其是那个时候主流的技术是航天飞机每次发射一趟都要花掉几亿甚至十几亿美元而且还出过很严重的事故关键是这个事情没有什么商业回报它的主要目的就是往宇宙空间站送宇航员它回来还是空的对吧美国政府就觉得划算就让航天飞机退役了接下来的话美国就进入了很长一段时间
[00:06:41] 航天发展的停滞期他的宇航员都要靠俄罗斯的火箭来送上天后来美国人就觉得不行了就虽然冷战已经结束了对吧但是不能自己在这个技术上面真的开始落后了他就开始了一个商业航天的计划就是让一些商业公司来做把那个货物或者人运到太空上的这样一个工作由此再出现了SpaceX这样的公司其实在SpaceX之前亚马逊的创始人贝索斯也已经创办了一个蓝色起源
[00:07:09] 现在也是一个非常主流的一个民营的一个商业航天的公司也就是说太空变成了一门非政府的组织或者机构也能参与的一个商业活动
[00:07:37] 他们都是出于这些创始人个人的兴趣他们自己对于航天有向往甚至说有一些野望才成立了公司比如说马斯克的所有设备名字都是在置进一些经典的科幻小说贝索斯也特别喜欢星际迷航对吧但是这些都不是新鲜事就是上个世纪的八九十年代的话陆陆续续有很多有钱人都参与了这个航天生意但是他们都失败了在马斯克的那本传记里面就提到就是一开始他接触那些工程师
[00:08:05] 看到马斯克跟他们滔滔不绝地讲太空的一些计划或者畅想就觉得又来了一个这个人傻钱多的一个有钱人对吧他有可能就是现在一时兴起投个几千万或者几亿的美元等他把钱烧完了失败之后他又会退出这个行业但是为什么现在这一批从硅谷走出来的富豪的话能够把这个太空生意真的做起来变成一个有营收的事情的话这当中肯定有一些他们自己的天才或者是一些努力这些我们后面也会提到
[00:08:33] 但还是回到那个重要的背景就是政府开放了这门生意而且政府还愿意投资来资助这些创业公司还记得我们一开始说到马斯克在2002年卖掉PayPal之后就搬到洛杉矶吗他搬到那边的一个很重要的原因就是因为洛杉矶是美国一个非常重要的航空航天工业的一个基地马斯克也是在那边加入了一个民间的科学组织叫火星协会而且他还资助了这个组织也是通过和这个组织的一些活动
[00:09:02] 他第一次明确了自己要开一个太空公司的目标并且在洛杉矶那边建立他在航空业的一些人脉尤其是技术方面的人才这些人才很多都日后成为了SpaceX这个公司的一个核心团队我们还是举SpaceX跟NASA合作的一些数字来说没问题就是我们想知道NASA到底给SpaceX塞了多少钱我们在公开资料里面查到的这个交易总额的话接近80亿美元这其中包括哪些呢我们简单举一些例子
[00:09:31] 比如说2006年NASA给SpaceX塞了一笔种子投资那笔钱就有3.96亿美元到2008年的时候签了一笔商业运输合同是16亿美元到2017年去研发载人航天的龙飞船的话花了26亿美元最近的话是一笔29亿美元的订单是用来让SpaceX实现登月计划的
