Vol.175 “飞机坟场”做的是什么生意？
时长：00:33:51
来源：网易云音乐电台节目 · 商业就是这样 · Vol.175 “飞机坟场”做的是什么生意？

[00:00:00] 大家好,我是肖文杰,我是叶小亚我们都说飞机是工业时代皇冠上的名著你想一架民航客机,它能有三万五千多个零部件然后要把它们成批的生产组装成一架符合标准的飞机确实是需要人类社会最高水平的工业技术和组织能力的所以我们也可以看到中国和波音空客动辄都有一些大几百亿美元的订单一架飞机的均价其实就要上亿美元了,这也不意外,这毕竟很
[00:00:29] 合理对但是有没有你想过一个问题啊就是如此高价值的飞机当他们退休之后会去往哪里我觉得现在大家关心的主要是人类退休的问题没有人关心飞机退休的问题啊我们今天关心一点比较高价格的退休啊我们搜索了一下呢就发现了一个颇为惊悚的关键词叫做飞机坟场
[00:00:52] 有叫Airplane Boneyards还有叫Graveyards反正就是一个坟场大家可以看一下我们show notes里面的图片这个所谓的飞机坟场它在一片广袤无垠的沙漠上面停着一排排退役的民航飞机能在这些客机上面看到来自全球各地的颇为斑驳的航空公司的涂装整个场面可以说是既宏大然后又有一种工业废土的感觉确实是很符合这个坟场崩压的这种感觉听起来有点惊悚啊
[00:01:21] 如果我们从商业的视角出发稍微研究一下就会看到一幅完全不同的景象飞机坟场的背后其实是一个十分有趣的商业模式并且在未来很长时间我们预测它应该是欣欣向荣反而欣欣向荣充满了商业的机会这一期节目我们就来聊一聊飞机坟场的生意并且能够帮助我们重新理解一下当一架飞机走向死亡到底意味着什么这里是商业就是这样
[00:01:55] 在我们走经营飞机粉厂之前呢先打一个补丁啊我们今天主要讲的是民航客机的案例因为其实在飞机粉厂里面会有非常多类型的飞机比如说军用飞机那这些飞机的生命轨迹其实很不一样的商业链上最丰富的还是民航客机对的那么有了这个补丁之后呢我们接下来就要引入一个概念叫做飞机的全生命周期价值管理简单而言呢就是一架飞机的生命周期它是分为三个阶段的
[00:02:24] 分别是引入阶段运营阶段和退出阶段那我们今天主要要讲的其实就是第三个退出阶段吧也就是一架飞机的退休后的生涯但是呢这个阶段具体有怎样的商业模式其实又和前两个阶段是紧密相关的我们就先说第一个引入阶段其实就是一架飞机造好了之后卖给谁的问题
[00:02:45] 直觉上呢我们可能会认为就民航客机嘛当然是卖给航空公司因为他们来买下来对吧我们其实经常听到说某某航空向波音或者空客下一个大单这样的新闻的对的但是实际上你乘坐的客机的所有者很有可能并不是航空公司而是一些飞机租赁公司或者说是一些经营体那航空公司呢只是向这些租赁公司租了这个飞机
[00:03:10] 我们根据必马威的数据在2021年其实空客和波音他们交付的所有的飞机当中有60%就是由飞机租赁公司买下来的也等于是一般以上航司其实是有点像租车概念去租一个飞机对这个模式其实是上世纪六七十年代开始逐渐兴起到现在已经是超过了半壁江山了那么这么做在商业上的好处也很明显就是航司它能够拥有更好的一个流动性
[00:03:37] 而租赁公司的背后往往是资金雄厚的一些金融机构他们可以把飞机当做一个资产稳定地获取收益甚至再来做融资就跟我们之前讲船舶管理那期就非常相似了对在这个方面船舶和飞机实际上是非常类似的当然这个租赁当中有很多的门道比如同样是租飞机有的是经营性租赁有的是融资租赁
[00:03:59] 这个有什么差别吗简单而言啊就前者就是航空公司没有想过买这样的这个飞机我租这个飞机就是为了运营这段时间的这个租期呢会比较短一般是五到八年租完了之后这笔租金付完之后呢这个飞机还是归属给租赁公司的就是真正像租车一样的去租一个对我就是使用它那后者所谓的融资租赁呢其实就是指这个航司一般来说他会租更长的时间来个十年
[00:04:24] 在这个之后呢他会再付一笔钱最终把这个飞机买下来归自己所有那么实际上我还是通过一个漫长的周期一笔笔的付钱把这个飞机买下来的那前面付那个租金其实有点像是分期付款那种感觉其实现在有些租数码产品也会是这样子就是你可以选择买断它对其实包括车的行业里面也有这种融资租赁的模式那我们还看到这个租赁里面还有很多有意思的概念比如是像甘租和失足什么叫失足
[00:04:53] 甘租就是纯纯的只租这个飞机这个本身那么失租呢就是除了租飞机本身以外还要租一些机组的成员包括维修的团队还有一些燃油的附加的设备等等的一整套等于就是你这个飞机租来了就可以直接开始执行飞行任务了等于一个只租的毛坯房一个是租的这个精装修拎包入住房就是这个概念总而言之啊就是飞机乃至各种工业品的这个租赁业务实在是博大精深
[00:05:21] 我们以后有机会再详细的展开做节目专门来讲那在这一期节目里面我们其实要知道的关于飞机租赁的一个核心事实就是租赁模式的普及呢让飞机的金融属性变得更强了这就使得它的这个供给端还有它的整个的需求啊其实和金融市场的环境也会息息相关比如说在现代比较宽松的时代往往就会有更多的租赁公司下更多的单那航司呢也会去租更多的飞机这种充足的供应呢
[00:05:49] 对这个问题实际上非常的复杂
[00:06:16] 从工程的角度来看其实每架飞机都有一个设定的寿命就是我造完之后我对它有一个产品上的一个要求嘛那不同机型的这个寿命是各不相同的它受很多变量的影响啊比如说你这个飞行的时长飞行的次数还有你这个总共飞行的这个载荷量就是你载多少东西这都是相关的比如说我们举一个例子啊就是我们看到一个术语叫做增压循环这什么东西就是为什么这个飞机它的寿命跟它的飞行的次数相关呢
[00:06:43] 一架客机你起飞之前舱内要增压吗对不然人就不行了呼吸不上来了对不然在高空当中这个人在机舱里面是没法生存的这个增压的过程其实对飞机的这个整个的机身包括它里面的很多金属的部件是一个损耗如果次数多了之后其实就会产生金属的疲劳那这个增压的次数其实对一架飞机来说就是有个上限的飞机的寿命其实就受这个指标的影响就等于它增压多少次这个飞机就
[00:07:09] 一定要报废的每次起降都会有一次增压再有个减压有这样一个循环所以这个跟次数就相关当然这个领域实际上非常非常的专业我们也不敢多说这个只是我们查到的一些比较好理解的例子我知道我们听友当中也有不少航空领域的专业的从业者也欢迎大家就是在评论区里面能够展开讲讲或者是来批评指正我们一些说的不太准确的一些地方对于大多数听友来说关于运营阶段我们要知道的也只有一个基本事实
