Vol.178 如何为天灾买保险？
时长：00:33:55
来源：网易云音乐电台节目 · 商业就是这样 · Vol.178 如何为天灾买保险？

[00:00:01] 大家好 我是肖文杰我是小亚跟大家插播一个小通知我们要进入国庆长假了对 这是我们长假前的最后一期更新对 下一期更新的话会在10月10日准时播送那我们就进入这一期的正式节目经历过刚刚过去的这个七八九月我觉得大家在体感上应该都会同意一句话就是极端天气越来越多见了那不论是之前华南大雨多地的旱灾还是海南以及华东地区接连遭遇这些强台风
[00:00:30] 都让我们切身感受到的一些天灾的威力自然灾害的一个特点就是难以预测但又破坏力极强我们看到世界银行在2020年出过一份报告它统计了自然灾害对于中国的经济社会的影响其中有一组数据实际上是超出我的想象的从1989年到2018年这30年里面自然灾害在中国总共造成了19.58万人死亡
[00:00:55] 然后直接造成的经济损失占过去30年GDP的2.25%所以是30年GDP之和的2.25%吗对累计这30年一共的2.25%都是自然灾害损失掉了课本里面经常说中国是一个自然灾害多发的国家现在其实有一个很直观的数字来说明这件事了是的其实不单单是中国应对自然灾害是一个全球性的问题而且极端的天气越来越频发这个问题就越来越重要
[00:01:23] 从商业的角度来看呢很多时候其实我们无法避免受灾只能尽量来降低灾害带来的影响那这个呢就要提到我们本期节目的主角聚灾保险顾名思义呢它是一个针对地震台风洪水海啸等等突发的然后特别容易造成巨大损失的自然灾害的一种保险而这些灾害的影响范围往往很广所以聚灾保险呢经常是和政府关系密切的
[00:01:49] 它其实上和政府的拨款慈善救助等等结合在一起是一个国家或者一个地区来应对大型灾害的一整套体制当中的一个部分而且是里面非常重要的一部分根据瑞士灾保险研究的数据全球灾害造成损失里面有大概40%会得到保险的赔付但是在中国这个数字就很低只有5%到10%在这个背景之下这些年聚灾保险制度的话题也越来越引人关注
[00:02:18] 那这期节目呢我们就来探究一下聚灾保险这个话题我们大致会分为三个部分首先我们会介绍一下聚灾保险的由来还有一些成熟的案例然后我们再把视线转回国内看一看聚灾保险为什么在中国一直在试点但一直没有普及最后呢我们会看一看科技的力量能不能帮助改变这一局面这里是商业就是这样
[00:02:51] 那我们就先来看一下聚灾保险的起源吧如果真的要说这个起源的话其实要从保险业的起源来说起这么早吗其实你想保险的初衷就是为了减少生活中各种风险带来的损害生老病死天灾人祸这个当中天灾实际上是保险最初来应对的一个对象
[00:03:11] 我们说保险的雏形其实就是诞生于古代的海上贸易海上贸易那个时候受风浪的影响很大一旦一艘船沉了那就血本无归了所以船只之间就想了很多互助的办法来分散风险一开始是把货物分散来运输比如说我们有10艘船运的是不同的货物那么大家就把这些货物分散的装在这10艘船上而不是一个船装一种货物后来它就演变为有的人出面收取
[00:03:37] 每艘船十分之一的这个货款那如果这艘船成了呢就赔付你所有的货款如果没有成了这十分之一就收给他了都是一些人民的智慧啊这就是保险业的雏形了对的后来到了大航海时代英国呢就成立了全球第一个保险商会保险就真正成为了一个行业而专门的应对灾害的保险呢其实也离这个不远因为英国这个保险商会是16世纪诞生的那在17世纪的英国呢
[00:04:04] 就出现了真正的这个灾害保险他应对的是火灾在1666年的9月2日伦敦是发生了一场延烧五天的大火据统计是有13200户住宅被毁然后20万人无家可归在那个时候实际上是非常大规模了那在第二年呢一名叫做巴盆的牙医他就开设了一家火灾保险公司并且组建了这个相关的自己的消防队之后这个公司是大获成功很多人来买这个保险
[00:04:31] 在一个世纪之后美国也有人效仿他成立了第一家火灾保险公司这个创办者就是本杰明弗兰克里巴蓬被认为是现代保险之父不仅因为他做得早还有一个很重要的原因就是他开始有了所谓差额保费的概念就是根据保险对象的风险程度和可能的损失不同定不一样的保费比如说当时对于木制房屋的保费费率是5%那砖块结构就会低一点是2.5%对的这个其实是之后保险业的一个核心理念之一
[00:05:00] 因为差额的保费不仅能够更加公允的反映出不同对象的风险而且也能反过来用价格的方式促使人们去建造更安全的房屋来规避风险这个理念在聚灾保险里面其实非常关键的后面还会提到之所以铺垫了这么多背景就是想说明现在的保险大家知道已经是一个非常丰富金融的行业了它包含的这种类型上非常非常多有很多有可能跟我们直观理解这个险已经不是那么相关了但它也属于保险的一类
[00:05:28] 但是保险业的起源或者说它最早的目标就是帮助人们更好地应对各种不确定性应对风险而对于当时人类来说呢这种不确定性有很大一部分是来自于大自然的聚灾保险兴起呢其实就是保险业面对大自然不确定性的再进化那为什么说是一种进化呢其实现在我们常见的一些像人身血啊财产血其实里面都包含了一点
[00:05:52] 对于自然灾害的保障比如说意外险车险农业保险里面其实都有一些相应的条款尤其是人身险一般都会包含你因为这些大型的灾害如果是人身的这种伤故的话都还是会保的但问题就是真的遇到巨大的灾害时候如果我们从整体来看这些险种实际上是不够的一方面它覆盖不了所有类型的损失比如说财产险一般来说只有车险里面会包含这个部分
[00:06:16] 但是有很多这种比如说住宅比如说你的住宅被洪水淹了房子里边的财物大多数情况下实际上是不被保险覆盖的又比如另一个方面就是大多数的财险实际上是不保地震种情况这后面还会提到如果你一个险种要全覆盖的话其实保费往往就会提得非常高这个又会降低人们投保的积极性使得这些保险的渗透率不够高但是我们知道巨大灾害对于一个地区
[00:06:43] 人员财产的破坏这个渗透率是可以达到100%的所以此前如果没有配置这些保险的个人或单位一旦遇到这种聚灾就会损失惨重我觉得这个背后是聚灾这种风险它有一些特殊的属性就人们对于风险有一个经典的四分法就是按照频繁程度和危害程度把风险分为四类聚灾是属于那种频率很低但是危害程度很高的一种风险对 这是所谓的低频高损
[00:07:12] 这个损其实是站在保险公司视角来说的他指的就是说灾害发生以后我需要赔付的金额是更多的对这个叫保险损失嘛是一个专有的一个术语啊那对于保险公司来说呢低频高损是最难搞的一类风险因为低频就意味着巨灾啊它在历史的当中的数据是很少的这个少指的是它很难帮助保险公司建立一个准确的精算模型
[00:07:36] 这个难度有多大呢我们引用自然灾害模型专家叫格罗西还有经济学家昆鲁瑟他们在2005年有一篇论文这个当中实际上是简单的介绍了一下聚灾保险的产品设计模型通过这个介绍大家可以能get到为什么说聚灾保险非常的难在这个模型里面它主要分成四个模块灾害模块存货模块易损性模块和损失模块这个当中的易损性和损失模块我觉得大家顾名思义都比较好理解
[00:08:04] 这个存货模块稍微解释一下它指的就是在被保险的这个区域当中建筑物的各种信息包括它的数量房龄材料建筑物价值等等等等的这样的话就比较好估算这个当中就相当于这个地区我需要保的这个财产或者说这个量有一共有多少这个都属于相对比较容易建模的这个部分大家都有很多的数据对吧和其他的一些类型的保险其实也比较接近但是最难就是第一个灾害模块因为这个模块当中它要预估哪些东西
[00:08:31] 要预估这个聚灾可能发生的地点它发生的频率它的严重程度以及这个灾害在这个区域当中不同位置局部之间的这个烈度的变化等等等等感觉是一些几乎无法预测的东西对任何一点都非常难对吧能做到就很厉害了因为我们能知道一个地区比如说它地震高发或者台风经常过境这种定性的概念肯定是有的但是你一旦要对应到非常精准的数字上面就是到底这个地方受灾的损失我们
[00:08:58] 最后落在一个数字上面一个概率上面是一个怎样的模型或者到最后应该对应怎样的保费这个事情上是非常困难的这也是为什么历史上经常出现就一次巨大的自然灾害就让一个保险公司破产的这种情况比如说1927年美国的密西西比河发了大洪水就让一批保险公司破产了也让洪水保险这个产品在那个区域是消失了很长长时间的再也没有人做这个产品了对这个点我们买个伏笔之后还会提到
[00:09:26] 又比如说像1990年代美国有一次地震也使得几十家保险公司是直接破产的这里还有必要给大家一些数字上的概念就是为什么这些公司会破产这个数字概念就是一次巨灾到底能带来多少损失那中国在2008年南方经历的雪灾是造成了200亿美元的直接经济损失而美国在2005年经历的卡斯里纳飓风是造成了1400亿美元的损失
[00:09:52] 2011年的东日本大地震是2100亿美元2100亿美元什么概念啊相当于新西兰葡萄牙匈牙利这些国家差不多一年的GDP
[00:10:01] 一次灾就损失掉了那你想想看如果我们按照我们开头讲的比如30% 40%左右的保险的赔付率来看的话没有多少公司能够承受这样的巨大的损失的所以说我们可以看到目前虽然说部分地区的部分巨灾保险依然是那种纯市场化运营的公司在卖
[00:10:19] 但是大多数情况下聚灾保险其实都需要政府的介入而且要形成一套完整的风险分散的制度才有可能有效的应对这种巨大的风险所以我们说聚灾保险它不单是一个保险的产品更是一个公共的制度接下来我们就举两个比较成熟的保险市场的例子来看看他们是怎么应对聚灾的
[00:10:41] 那我们要讲的两个例子呢一个是日本的地震保险制度第二个呢是美国的洪水保险计划这个都是行业里面非常经典的案例啊当然我们不准备完整的这个照本宣科的介绍他们的全貌那有可能要一本书的篇幅了我们就剪这个两个项目其中的一些重点来说也是为了方便大家能够理解聚灾保险制度的一些重点那我们就先说第一个日本地震保险的例子我相信日本有这个地震保险的制度大家不是很意外啊
