Vol.187 合肥，出钱的决心
时长：00:37:39
来源：网易云音乐电台节目 · 商业就是这样 · Vol.187 合肥，出钱的决心

[00:00:01] 大家好,我是肖文杰,我是月小亚本期节目正式开始之前呢,我们又迎来了老朋友,就是滴滴之前呢,滴滴给我们的听友送了不少用户侧的福利啊这一次呢,他们的关注重点转向了另一侧的司机朋友身上11月26日,滴滴刚在成都举办了滴滴司机节这也是滴滴第六年举办司机节这个活动了那在22个城市的分会场呢今年已经有全国各地的数千名优秀司机获得荣誉奖项共同庆祝了这个属于他们的节日
[00:00:30] 此次活动前夕滴滴已经通过车主的APP详细披露了前一年司机节上提出的十大承诺的落实情况针对司机师傅们普遍关心的收入奖励保障等问题相关负责人也在活动现场做了专门的回应值得一提的是滴滴还将从今年开始落实安排员工实际参与跑车全流程的活动那发现问题并做出针对性的改进是他们的目标
[00:00:55] 如果大家之后出门坐到一些滴滴员工的车也可以不吝向他们提出你们自己的困惑那为了优化司机车主端的使用和接单体验滴滴此次提出了六大改善包括找单更容易导航更好用操作更简单保障更全面优待好司机要求更灵活那这些体验改善呢都将逐步体现在最新的9.0版车主APP里面那欢迎师傅们体验并且持续提供反馈和建议
[00:01:22] 相信师傅们体验更好的话对于我们的乘客来说也会有更好的乘车的体验
[00:01:45] 看了一下日历今天是周四不是周一感觉这个主题更适合我们周一做的城市就是这样的主题其实我们在讨论成都的第一期城市就是这样的节目里面其实最后就已经聊到了目前中国城市有几种常见的发展模式就包括了产品驱动营销驱动供应链驱动和资本驱动等等的现在的合肥号称是中国最牛风头城市在外界看来这恰好就是一个所谓资本驱动站上风口的城市
[00:02:15] 确实是好多年都在讨论这个话题了我们说两组背景数据来看看目前合肥的状态有多好首先是硬指标就是GDP2023年合肥的总GDP是1.27万亿元是它10年前自己的2.45倍但按照常住人口来计算的话它的人均GDP在23年已经突破了13万元这个数字是全国人均的1.85倍另外就是可以举我们维度更丰富的新鲜榜单
[00:02:42] 合肥是在2020年首次进入了新一线城市的行列那年正好也是合肥GDP破万亿的时候而从2022年开始合肥就一直稳定在了新一线榜单的第18到19名在部分一级维度上它的排名可能还会更高一些比如说今年合肥的未来可塑性就可以排到全国的第15名我感觉这个排名的提升也和这两年大家对于所谓合肥模式的讨论的热度的提升是一个同步的
[00:03:08] 那所谓的合肥模式呢其实也是今天我们这期节目想要讨论的一个主题如果说到地方政府传统的招商引资模式呢大家可能有一个印象就是无外乎就是给地给投资或者给补贴其实主要还是用各种税收优惠来吸引企业你在我这里落户的而合肥模式和吸引思路呢稍微有点不同官方把它概括为三个关键词第一个关键词叫以投代引
[00:03:33] 也就是以政府投资带动招商引资第二个叫链式招商也就是顺着一整条产业链来做招商第三个叫科创驱动也就是它投资的方向主要是一些高科技或者战略新兴产业此外我觉得还可以增加一个关键词叫增值循环也就是说政府的投资可以在市场上以很高的收益率来收回来然后赚的钱再用于下一轮投资
[00:03:55] 所以官方其实对所谓的合肥模式已经有一个大致的总结了然后我们又补充了一个点感觉还是和传统的政府工作有一定的差别更像是一个投资机构去做投资管理包括投后的这样一些项目直至实现资金的推出的这种日常的感觉对这个模式下的成功案例其实在全世界范围内也不是很多
[00:04:18] 比较典型的一个可能是新加坡对但新加坡既是城市又是国家所以我们也不太能这样去讨论问题那在中国范围内其实之前深圳在资本驱动上面探索也有一些而且比合肥更早那它的高光时刻其实就是不如合肥那么多那么近而且那么密集所以今天这期节目我们就想通过两个高光案例来给大家详细的看一看合肥模式到底是怎么回事
[00:04:45] 那今天节目呢大致分为几个部分首先就是我们去讨论整个合肥模式它需要哪些天时地利和人和其次呢就是在这种有点接近于逆袭爽文的叙事下有哪些容易被忽略的问题最后呢就是合肥的经济增长真的是全靠合肥模式吗合肥模式有没有可能发展成一种全新的中国增长故事呢此次呢赵丽还是会提到很多的上市公司但是我们的内容仅作为行业讨论不构成任何投资建议
[00:05:15] 这里是商业就是这样虽然岳老师前面已经把合肥模式的关键词都简单的解释了一下但我估计绝大多数的听友还是没有办法完全的get到有可能已经忘记了所以第一部分我们还是请岳老师用一个比较有名的案例
[00:05:31] 来把合肥模式从头到尾说一遍吧这个案例就是金东方他算是合肥模式故事里面出场频率最高的主角之一了那我们先来简单介绍一下金东方是个什么公司首先呢金东方的核心业务就是液晶显示屏就是你手机电脑电视上用的那个东西那根据官网的说法目前全球超过四分之一的显示屏都来自于金东方就他已经冠军到不隐形的程度了那第二呢金东方的历史可以追溯到
