Vol.189 2024失意大公司·国内篇
时长：00:34:07
来源：网易云音乐电台节目 · 商业就是这样 · Vol.189 2024失意大公司·国内篇

[00:00:00] 大家好,我是肖文杰,我是小亚本期是我们2024年中大盘点击的第二期进入到我们的保留曲目,失忆大公司和往年一样,我们会分两周分别来讨论一下国内和全球的各五家一共是十家失忆大公司本周就是国内篇我相信还是有一些前两年没有听过这个系列的听友再给大家介绍一下我们这个策划选择大公司的要求主要是两条
[00:00:28] 第一是规模要足够大这里的规模包括人员营收市值影响力等等很多指标第二就是说这家公司主要的失忆事件需要发生在今年另外还有一些非常重要的失忆大公司比如说英特尔因为我们今年已经用一整期专门的节目来做过系统的讨论了甚至在上周的简要盘点里面也提到过一遍所以我们在这边就不具体的展开了如果有兴趣的话可以直接找此前的节目来回听
[00:00:56] 另外在评论区以及一些社群的讨论里面经常能看到大家给我们出主意希望我们能聊一些实效性更强或者话题度更高的诗意公司这里面存在两种可能性一种就是它可能不太符合我们前面提到那个挑选大公司的标准另外一种就是它的讨论度热度和实际情况之间可能有些差距所以有些公司我们今天会简单聊两句但是他们可能真的没有大家想象中那么诗意
[00:01:23] 大致把我们这个筛选失忆大公司的标准给大家说了一下那这么筛下来呢今年我们想要聊的五家国内的失忆大公司分别就是阿斯利康 普华永道 农夫山泉 上汽 科金龙鱼那这五家公司入选的理由呢主要突出的是一个行业的代表性所以建议大家在听的时候呢不用特别在意为什么一定是他而是可以关注一下失忆背后的逻辑和背景就可以了那我们就开始吧
[00:01:58] 这里是商业就是这样
[00:02:01] 那我们今天要讲第一家失忆大公司就是阿斯利康那阿斯利康中国2024年的处境我觉得用失忆来形容其实都有点轻了这家过去十余年在中国增长最迅猛的跨国药企其实正在陷入一场从上至下的监管的风暴或者说危机10月30日呢这场危机升级到了一个新的高度就是掌管阿斯利康中国近十年的总裁王磊被带走调查了而在此之前呢
[00:02:30] 针对阿斯利康的调查其实已经持续了三年背后的关键词呢就叫做骗保案接下来呢我们就简单给大家梳理一下这个骗保案的始末是什么样的也可以帮助大家理解阿斯利康目前的危机我不是药神这部电影相信很多听友应该比较熟悉啊它改编自一个真实的故事就反映了当时一些价格高昂的进口原盐药它没有纳入医保所产生的一些的问题那么在这个真实的事件发酵之后呢其实
[00:02:58] 我国的医保体系已经开始把一批疗效显著的原原药尤其是抗癌药纳入医保并且大大的降低了这些药品的价格这其中呢就包括阿斯利康研发的一款著名的治疗肺癌的药物泰瑞沙这款药呢2018年进入医保之后价格就是从5.1万元一盒降到了1.53万元一盒那基本上这些患者是一个月就要吃一盒的这个降价的幅度其实非常的高之后呢又降到了5580元一盒
[00:03:26] 随着进入医保泰瑞莎的销售也从2018年的大约25亿元增加到了2023年的182亿元但是在进入医保的头三年如果一个患者想要用医保来报销来购买泰瑞莎的话有一个很重要的前提条件就是他必须去做一个基因检测检测结果为阳性才可以具体原因是因为泰瑞莎它是一款靶向药物同样是肺癌肺癌可能是由不同的基因突变导致它是不同的肺癌
[00:03:55] 那所谓的靶向呢就是针对某一种基因突变所产生的癌症这个药物是有明显的疗效的所以它叫靶向药泰里插就是这样它是针对某种特定的基因突变的非小细胞肺癌的疗效是非常显著的那么按照规定呢医院就要让患者去做一下这个基因检测看一下这个是不是这种突变如果是的话才能给你开这个药医保才能报销
[00:04:19] 所谓的骗保呢就是阿斯利康的有一些医药代表联合了一些基因检测公司共同炮制了一些假的阳性检测报告这样就可以让更多的患者通过医保来报销泰瑞莎的费用继而增加泰瑞莎的销量当然另外一方面也需要说明的是有一部分被调查的医药代表后来在这个接受调查的时候也称有一部分的假阳性报告呢其实是在患者知情甚至是要求的情况下出具的
[00:04:47] 因为虽然当时医保有这个检测的要求但在实际治疗的时候其实一部分基因突变检测为阴性的患者他使用泰瑞沙也会有效的而且检测本身也会有一定的误差嘛那有的患者从这个寻求深的希望的角度他总希望能够开这个药来试一试所以也会有这种知情的情况下开出的假阳性
[00:05:08] 其实到了2021年整个医保目录也扩大了泰瑞莎的适应症范围即使你没有检测出那种特定的基因突变医也可以去使用泰瑞莎来治疗的对所以这个骗保的行为呢其实主要是发生在2018年至2021年之间之后其实没有这个必要了那从2021年起呢就开始陆续的爆出阿斯利康各地的员工因为泰瑞莎相关的骗保问题被立案调查的消息先是个人层面
[00:05:36] 北京的医药代表高某他用假阳性报告偏取了医保基金8万余元后来是被判刑了地区层面呢一个标志性的事件就是2021年深圳的医保局接到举报然后开始大规模的调查阿斯利康在深圳的整个销售团队最后呢包括销售总监在内的17人的团队被全部带走调查此后福建江西等等区域也出现了这样类似的所谓骗保的窝案
[00:06:02] 之后还涉及到了跟阿斯利康有合作关系的一些基因检测的公司到了2024年这个调查实际上是突然上升到了阿斯利康整个中国区的高管层10月25日另外一家药企百济神州的首席商务官英敏被调查但他此前其实就是阿斯利康中国肿瘤事业部的总经理然后不到一个星期之后阿斯利康中国区的总裁王磊就被带到调查了
