Vol.19 链家是怎么长成贝壳的？
时长：00:26:49
来源：网易云音乐电台节目 · 商业就是这样 · Vol.19 链家是怎么长成贝壳的？

[00:00:08] 中国的线上平台里边交易流水第一名的是哪家呢那就是淘宝这个是毫无疑问的对吧第二名第二名就是贝壳从链家到贝壳找房这家公司的话实际上是一直在改善两组关系的一种是中介和用户之间的关系另一个就是中介和中介之间的关系通过改善这两组关系它让房地产中介这个生意变得稳定体面而且可持续这里是商业就是这样
[00:00:50] 大家好,我是肖文杰,我是徐明清今天我们节目的主角是贝壳这其实是一家我们一直想聊的公司但是没有什么特别好的契机去聊今年5月20日的时候贝壳公布了一个非常不幸的消息就是贝壳公司的创始人左辉因病去世,年仅50岁左辉这个人在网络上引起了很多争议不过我们觉得他还是一个非常值得纪念的企业家和创业者
[00:01:18] 因为他创办的这家公司很难找到先例所以今天我们就来具体分析一下贝壳这家公司然后大家看看我们对他的评价是不是有道理
[00:01:28] 首先来看一下贝壳是一家什么样的公司它有两块最主要的业务一块是房产中介其中最有名的品牌就是练家也是大家最熟悉的还有一个家门的中介品牌它叫德佑这两个品牌加在一起是中国最大的一个房产中介的机构有接近三万家门店另外一个贝壳的组成部分就是贝壳找房这个是一个2018年成立的线上房屋交易平台
[00:01:57] 相信这两年如果你买卖过房子或者说你租过房子的朋友的话或多或少都会知道这个平台根据贝壳2020年披露的数据当年中国每交易五套住宅就有一套是通过贝壳完成的贝壳这个平台到了一个怎样的规模我们讲一个有点超出常识的一个事实就是中国的线上平台里边交易流水第一名的是哪家呢那就是淘宝这个是毫无疑问的对吧第二名第二名就是贝壳
[00:02:26] 像京东啊拼多多这些很有名的这些平台其实论交易流水的话都排在贝壳的后面这个其实也很好理解啊因为贝壳这个平台上面他交易的是房子这是一个动不动就几百万元的一个产品所以他的流水很高也很正常但反过来再想的话这么重大的一个交易能在线上完成也很厉害当然这个我们具体后面再说
[00:02:48] 除了线下的房产中介和线上的交易平台这两块业务以外其实左辉还有一个独立的业务是做长租公寓的自如品牌这个公司在前两年也受到很多关注和争议不过自如这个公司的话目前是个相对独立的业务没有打包放到上市公司体内可以分析数据也不够多所以我们就不具体展开聊了
[00:03:10] 线下的这个房产中介和线上的交易平台这两块业务它现在是合并成一个上市公司就叫贝壳它是在2020年在纳斯达克上市的我们今天主要讨论的就是这两块业务和这个上市公司的事情先来看里面最传统的业务就是线下房产中介这个部分吧所谓是2001年创办链家这个中介品牌的
[00:03:34] 他当时是在北京的安真桥底下开了第一家门店那个时候中国的商品房市场还刚刚开始兴起北京的房价每平米还不到5000块钱很快的话链家就做成了北京房地产交易市场的第一名到了2020年就过了20年之后链家这个品牌已经有超过8000个门店旗下有超过15万名房产经纪人也就是房产中介这些门店都是贝壳公司自营的这些经纪人也都是贝壳自己的员工
[00:04:03] 当然这8000个门店肯定不都在北京啊其实从2007年开始呢链家就已经到北京以外的城市开始扩张了2015年的时候呢它是这个扩张速度大幅的增加迅速的铺开到全国各个城市那个时候全国各个其他地方的房地产中介公司听到链家都是弹虎色变因为链家一来到他们自己在的城市的话就很有可能把他们的生意全部抢掉当时链家有一个很重要的扩张策略就是做并购
[00:04:30] 比如说他把上海的德优地产甚至的中联地产等等都并购进来了这其中有很多整合和调整的过程尤其是对于人的管理总会都做得很不错我们举几个例子就是现在贝壳的CEO叫徐万刚他的西部区总经理党结和中部区总经理何生祥他们都来自于被链家收购的同一家公司是一家成都的地产公司叫做一城地产
[00:04:55] 那被链家并购进来的这些公司或者是一些房产中介的门店呢最后大多数都被并入了德佑这个品牌里边然后以这个品牌开始它也会直接到各个城市再去发展一些新的门店到了2020年底的时候家门的业务下面其实已经有将近2万家的这个房产中介门店超过19万名的房产中介这个规模还有它的成交额其实都是全国第一了
[00:05:22] 我们这么介绍起来就是链家做着做着就顺理成章的变成全国第一了听上去很容易实际上肯定不是这样链家能将传统的房地产中介这个生意做到这个水平的话还有很多内部外部的原因首先肯定是有一个历史的进程的对吧就是从2001年到现在正好是一段中国的这个商品房市场迅猛增长变成支柱产业的这样一个过程中国现在一年大概要卖出2000万套住宅
[00:05:51] 其中大概四分之一是二手房四分之三是新房这当中一半的交易都是要通过房产中介来促成的然后完成之后呢中介都会收取2%到3%的佣金粗略算一下的话仅仅是这部分佣金每年就是一个万亿级别的市场在这个背景下面这么大的一个市场规模下面链家才有可能成为一个覆盖全国的一个连锁服务品牌插播一下就是之前一期节目里面我们聊到过抽成这个话题
[00:06:19] 我们就再简单说一下为什么房地产中介可以抽2%到3%的这个佣金比例吧因为就是说这个佣金比例叠加到了一个很高的房子的总价上面大家有时候会觉得哇这个赚钱真容易啊这个我付这么多中介费很不值但是我们查了一下就是说各地在2016年之前执行的是一个国家指导标准国家指导标准是1995年的它当时是这么规定就是说房屋买卖的
[00:06:46] 过程中间是按照成交价格总额的
[00:07:12] 其实如果放到全球市场来说的话这个比例也相对是比较合理的如果你在美国或者是英国这些市场的话他们卖的很多是那种house比较大的房子然后中介在当中的作用会更大它的那个佣金比例有的时候达到5%以上甚至6%中国这边的市场情况当然不一样但是至少2到3这样一个比例还是属于比较正常的我们还是说回到链家成功的原因就是前面提到链家有历史对它的加成对吧
[00:07:40] 还有另一方面就是他自己做的比较好的地方也是他之后能够孵化出贝壳这个线上平台的一个重要基础就是他在服务上做了很多创新在房屋中介这个生意里边链家其实这个品牌他走的是高端路线也就是说我的服务比一般的中介要好一点但收费更高一点刚才我们讲2%到3%的这一个佣金比例那链家现在基本上是按照3%来收的
[00:08:04] 那其实如果乘以一个房价的话它是要比别的中介要多收很多的服务费的但为什么它能收这个服务费呢就是因为它相对来说服务更好一点那说的准确点就是更透明也更标准化我们在这里举三个例子吧第一个就是说它的员工有基本的职业底线这个基本职业底线就算服务好了就它不会吃差价第二个就是说链家能够展示或者提供的都是细细清晰的真实房源
[00:08:32] 而不是用那种照片看起来很诱人实际上根本不在卖的房源来调客户然后再给他们推荐一些其他的房源第三就是说店家内部这么多的门店的话他们不是相互竞争而是相互合作来推荐各自合适的房源和客源第二条真房源这件事情非常的重要尤其是对于二手房市场来说我们要注意前面讲到的这个信息清晰和准确这两个定语因为二手房呢它是一个非标品非常的复杂
[00:09:00] 就算是一栋楼里面同样的户型也会有非常多不一样的地方这个其实是对促成交易很不利的
[00:09:25] 他到底开了多少年开了多少公里经历过怎样的维修遇到过怎样的事故那他的市场价大约应该是多少就这个统一的公平的这个数据平台其实是没有的所以现在二手车还是一个很分散很传统的一个销售方式即便是前两年有一大堆的二手车平台对吧想要去改变这个市场比如说瓜子啊优信啊但他们其实都没有解决这个信息不准确或者说是不对等带来的不信任你这个问题那人家解决这个问题的方法非常的笨啊
[00:09:52] 就是他从2008年开始的话就独立做了一套自己的房源数据库也叫楼盘磁点
[00:09:59] 这个楼盘词典会尽可能地录入每套存量住宅的各项关键信息一个案例是说恋家当年雇了500个人用肉眼数清了全北京每栋住宅楼有几套房这么耗时耗力才只是完成了一个基础的工作可想而知后面还有很多事情要做另外一个事情就是刚才讲到的门店之间还有中介和中建之间的互相合作而不是互相竞争这也是很难得的一件事情
[00:10:25] 为什么说呢就是因为过去中介的这个收入是一个我们可以说是个零和博弈就是如果一个中介A我把这个单抢下来的所有的抽成都是这个A来赚的如果这个单被别人拿去了我就一分钱都赚不到即使我在这个过程当中有可能带看了一些客户或者出了一些利但我有可能还是一无所得所以说真的买过房子的人就会发现中介的工作中间很大一部分是防范性的工作
[00:10:51] 首先是防范客户要防着客户跟买家要私下接触这样会让自己赚不到中介费还有种防范就是防范别的中介他可能会用更便宜的佣金或者一些其他什么好处把你抬到一半的生意给撬掉如果说中介很多的工作都是在一个防范的状态下的话那就不会是一个很好的服务体验但是链家呢他就改变了这样一套生意的逻辑他在内部搞了一个叫经济人协作网络
[00:11:19] Agents Cooperate Network简称就是ACN这个ACN它的核心其实就是把一次性的一整块的房产交易产生的佣金把它切成好几份比如说你带看客户的人上传这个房源的人然后实地去勘查这个房源的人包括维护这个房源的人他们都能拿到其中的一部分
