Vol.191 2024年度话题公司：胖东来
时长：00:53:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.191 2024年度话题公司：胖东来

[00:00:01] 大家好 我是湘文杰 我是小亚先跟大家说一下新年快乐2025年的第一期我们就要来完成2024年度盘点的最后一期年度话题公司盘点的结束也是新一年的开始而且新年第一期节目本台的老朋友Gloomy老师又来了老领导来了
[00:00:20] 葛老师这一次可以说是主动请缨早在去年11月底就把这个选题定下了而且葛老师当时就表示说要给我留一个位置我要来这个节目上说两句简单讲两句新年快乐快乐确实过去几次我来节目我都是属于要补一个缺但这一期明显就不是因为我们今天要聊的这个年度话题公司我们杂志对它的报道那篇稿子是我带着记者做的
[00:00:46] 当时做完就觉得艾玛我可不得好好跟大家说道说道但是呢坦白讲这已经过去了一个月我的兴奋劲其实也已经有点过了不过后悔也来不及吧今天自己约的节目今天我就含泪录完它我觉得葛老师也不用客气啊这虽然说什么兴奋劲已经退掉了但是还是怒写了一万多字的竹子稿啊那气氛到这了我们就赶紧揭晓一下今天节目的主角我们要聊的2024年度话题公司就是胖东来
[00:01:13] 旁东来这个答案我相信争议不会太大它不能算是最有话题度的公司也可以算是最有话题度的公司之一了尤其考虑到这是一家业务范围只在河南省内两个四线城市的一个公司能在2024年给中国的零售界掀起这么大的水花不管是从行业还是民间的角度都能形成各种讨论而且能够不断登上热搜等等的我觉得还是会很想能够探究一下这当中到底发生了什么
[00:01:41] 确实从我个人来讲我第一次听说知道这个公司应该是有好几年前了大概在17 18年吧也是我们这个杂志的选题会当时的一个热门的概念是新零售应该大家相信还有印象啊我记得反正也是讨论一个跟新零售相关的选题的时候不记得是哪一个记者就提到了说河南有一家很神奇的超市他的生意挺好的而且关键是他的口碑特别的好
[00:02:07] 当时我记得反正也就聊到这里吧就结束了
[00:02:28] 你从基本的这个商业逻辑来讲你一个区域性的中等规模的超市它的报道价值就摆在那里而且当时有很多的报道我们看到这个庞东来的老板就是于东来他的各种的公开的宣讲都是在讲大爱善心什么幸福感等等吧都是很感性的一些发言你就觉得很难平
[00:02:48] 那么葛老师是最终怎么亲自把这个题接下来的呢我的一个比较关键的出发点肯定还是明川优品那个母公司俊才国际它控股永辉之后叶国富就对媒体明确地表示是去许昌看了庞东来觉得很有戏所以要把这个永辉买下来照着庞东来做
[00:03:08] 这就等于是你花一大笔钱买了一个A但你其实是因为觉得B很好是为了要把这个A改造成B那这个B到底是有多厉害对吧这个案例里面我们所指的这个A它还是中国本土连锁超市的第一名所以难道这个叶总他是不是看到了什么不为认知的另一面吗我就很好奇而且永辉这个公司其实去年因为业绩不太好是关了全国20%左右的门店的
[00:03:37] 但即便如此他截至2024年年底全国还有超过800家这个规模其实是非常大的而且比他现在要学习的胖东南其实规模要大很多这个也是很值得关注的杂志在2024年10月份也做了一篇永辉的研报当时是明创有品这个母公司俊才国际宣布收购之后不久永辉也已经把20来个门店拿给胖东南调改了当时是很需要从财报里面看看永辉的经营状况到底是什么水准的
[00:04:05] 对的基于这以上种种吧所以到了我们最后做年终特刊的时候庞东来就已经是一个绕不过去的公司了我们对他是个什么价值判断另说那你至少应该要关注他而且假如说此前有很多热搜还有一些媒体报道可能模糊了当中的一些事实那我感觉可能这个时候更需要有一篇详尽的报道来把这些事实捋清
[00:04:28] 所以葛老师就去了许昌一次对的在11月中旬吧也是我第一次去河南河南的天气非常不好熄了两天白但是收获非常大回来跟记者一起录写一万两千字
[00:04:42] 那我们今天节目呢就以葛老师的许昌之行为基础结合对胖东来的报道和永辉的研报我们试图来捋清楚2024年这家颇具话题度的公司胖东来到底是怎么回事我们会从以下三个角度来展开第一胖东来究竟是怎么走红的第二是更核心的问题胖东来值得学吗最后呢我们略略转一下角度看一下永辉到底能不能学会胖东来这一套这里是商业就是这样
[00:05:15] 那就先请葛老师为我们讲一些胖东来借文吧这个现场到底是不是惊为天人啊如果认真总结啊我觉得是既有也没有我先说没有就是非常客观的讲我呢已经在上海生活超过20年那你说你现在让我去许昌要觉得一个超市很厉害还是比较难的客观来讲胖东来超市的装修他的产品的陈列动线的规划还有具体的这些选品
[00:05:42] 我认为基本上算是上海一个中高档超市阵营里面的一个正常的水平有点类似于河马先生的大店它跟山姆和Costco还不太一样后面两个
