Vol.195 听完就会写港股IPO招股书（伪
时长：00:42:20
来源：网易云音乐电台节目 · 商业就是这样 · Vol.195 听完就会写港股IPO招股书（伪

[00:00:01] 大家好,我是肖文杰,我是小雅虽然我们是一个聚焦商业话题的节目但是不时还是会触碰到一些更专业的金融领域的内容之前我们给大家介绍过各种上市的区别也讲过像纳斯达克这样的交易所更古早的时候还讲过当时很火的SPAC那这些题目都有一个共同的关键词就是公司的首次上市,所谓的IPO在各种各样的金融活动当中IPO所涉及的资金规模其实不会是最大的
[00:00:30] 但它的话题度应该是最高的因为IPO正好处在一个公司私密与公开的交叉点上上市之前公司普遍是闷声大发财上市之后大家其实都可以通过看招股书和财报或多或少了解这样公司的运营状况通过让渡一部分商业模式的私密性公司可以吸纳到更多的外部资金也会引入更多的外部股东这对于公司的治理能力又会提出新的挑战
[00:00:55] 在上市过程中招股书可以说是一份最最重要的文件招股书本身是具有法律效力的专业文件有很多细致的规范要求但在此基础之上呢它更多的功能是讲故事从机构到散户再到新闻媒体和吃瓜群众所有人都会从这份几百页的故事书里面去找自己感兴趣的亮点进而形成对于这家公司的判断所以要写好一份招股书其实是非常有挑战的这个汇聚了很多人的努力
[00:01:24] 所以本期节目我们就斗胆带大家入门一下香港IPO招股处的写作等等等等 月老师突然起的非常的猛前面只是介绍一下上市现在直接交给你写作了吗这个是不花钱可以听的吗这个其实正好是我节前跟一位相关从业者的朋友聊天受到了一些这方面的点拨再加上我自己学习的港交所披露的很多规范文件以及招股处的案例
[00:01:50] 我觉得有些心得体会可以拿出来分享给大家讲一些故事主要是还是讲一些故事或者分享一些基本的一些概念大家可以分几个方面首先我们还是得给大家花一点时间为不熟悉的朋友们介绍一下一个IPO项目当中会涉及到的各方角色都有什么以及他们各自的分工是什么其次我们还会简单介绍一下香港IPO的流程这个其实可以帮助我们更好理解赵务书在其中的作用是什么接下来就是一些跟写作关系更紧密的部分
[00:02:18] 先会看一下一份标准的香港IPO的招股书的结构是什么样子其中哪几个部分是需要格外重视和认真撰写的
[00:02:27] 然后就是根据港交所要求具体谈一谈招股数的写作要求最后我们会用一家上市公司的招股数实例来看一看港交所的关注重点是如何反映在实际的修改当中的当然因为我们两个完全不是专业人士如果内容当中有什么不严谨的地方非常欢迎在评论区指正大家共同进步另外虽然会用到实际的上市公司招股数的案例但相关的讨论也仅作为行业的探讨不做任何投资建议这里是商业就是这样
[00:03:00] 那我们就先进入第一部分吧 袁老师就是IPO过程中的各方角色与分工说实话对于上市公司是一个团队工程这件事情我们应该是有一些概念的但是有可能不那么深或者不那么完整因为在相关报道里边主角一般还是这个股票的发行人也就是这个上市公司嘛因为它的股价涨了多少有多少员工财富自由了等等这些是一些新闻关注的一些重点但是帮助它上市的一些专业的机构大家听到会有一些名词但是具体有哪些有可能不是那么的清楚和完整
[00:03:30] 这就是专业机构打辅助一个主要特点相对比较低调而且因为工作很专业也不是很容易被外部理解这期节目也相当于是让他们翻身做主角了也归正传实际上一个IPO项目里面涉及的专业机构的确非常非常多也有各自的职能划分其中比较主要的角色有七种这么多都要讲吗都要讲我们一个个来一个个来
[00:03:53] 首先是保健人保健人一般是由投行担任的他其实是整个上市项目的总协调方对内他要帮助公司确定整体的融资方案对外他又是跟监管机构对接的一个主要联系人另外他还有一个职能就是要对想要上市这家公司做完整的净值调查这里面包括财务和税务调查也包括跟运营相关的各类现场考察以及第三方的访谈所以保健这个推荐的意思并不是说
[00:04:20] 保证IP的时候这些股票都能够卖出去不是这个保险对对对而是要审查过你这家公司确认没有问题了然后我再作为一个推荐人来协调各种资源帮助你能够上市确实是这个意思因为卖股票这个环节其实主要是由承销商来负责的这也是一个经常听到的名词承销商主要是由我们比较熟悉一些券商机构来担任的他们主要工作分为几块
[00:04:44] 首先是路演路演就是向机构投资者现场兜售股票的一个过程不是真的在路上就是有一个房间里对对对那对于融资规模比较大的项目呢承销商也要尽可能锁定一些能够大笔认购的基石投资者此外呢承销商还会接洽分析师根据招股书呢可以出一些报告来鼓吹不是来介绍一下公司OK
[00:05:06] 临近上市之前承销商最重要的工作其实还有部分就是跟发行人和保健人一起根据路演和散户认购的情况来确定整个股票最后的发行价是多少钱这个之前我们节目里面经常提到后续股票的发行的实际工作也都是由承销商来做假设说他签了一个所谓的包销协议也就是说如果这个股票没有全部卖出去的话他剩下这部分还要自己吃尽他是有点这种保底的这种感觉的
[00:05:31] 其实保健人和承让商我们经常能够在新闻里面看到但是我相信有很多的朋友有可能搞得不是很清楚我们刚才大致的给理解了一下可以大致的认为他们是一个最主要的一个上市过程上的一个代理方这样的一个角色对也有组织者的概念那么接下来除了这两个以外还有五个是什么第三个是律师或者说律所律所其实在一个IPO项目里面角色非常关键而且律所自己还要有明确的分工这里我们举一个例子来说明
[00:05:58] 假设说有一家实际业务在中国的公司他的注册地在开曼群岛他要去香港上市然后呢他选择了一家保健人和两家承销商来做他的IPO那在这种情况下呢你觉得需要有多少组律师来参与呢我感觉你在考我什么排列组合就什么C62什么C34不是叫排列组合你仔细想想有多少组呢你直接报答案吧六组哦这么多吗简单来说就是发行人自己就要找三组律师
[00:06:25] 分别是中国法背景的境内律师然后主攻开曼群岛业务的境外律师以及负责香港业务的境外律师刚刚这个三个你还是说到了中国境内和开曼境外的两组律师他主要工作就是公司上市前要做一些结构重组古改以及法律禁调之类的工作然后也要根据禁调结果出各类的法律意见书而香港境外律师他最重要的工作就是
[00:06:48] 撰写招股书另外保健人承销商也要有自己的律师参与项目其实加在一起就是六组人有多少方就要有多少组对然后如果说发行人涉及到多少的法律区域就要有多少组假设我们前面说他只涉及到中国如果他还涉及到美国业务他还要组美国律师所以我们今天讲招股书真正的撰写方式如果在香港IPO的话就是香港的律师来写是的
[00:07:13] 因为招股书是有法律效力的文件这合规要求很严的所以说对于非速律师来说写书就是他们的专业工作而且写书的过程同样要协调方方面面而且要对公司的商业模式有很深的理解其实要求还蛮高的把保健人 承销商和律所的工作讲完后面就好多了基本上都是一些专项的工作第四个角色就是会计师
[00:07:37] 角色很简单就是负责审计公司的财务报表以及做一些税务的处理同时会计师还要基于财务的数据给出公司在短期内的盈利预测和现金流预测这其实也是上市当中比较重要的一些财务指标这四个还属于大家经常听到的第五个也很常见的就是行业顾问这个其实我们之前看招股书的时候经常会看的一个部分他们主要就是通过调研一些行业的数据然后做一些分析来解答一些比较重要的背景问题比如说
[00:08:05] 这家公司所在的这个行业
[00:08:28] 第六个角色是资产评估机构这里又可以细分为两类一类是做物业资产评估的还有专项资产评估的物业资产评估就很好理解比如说一个公司的厂房土地在建项目这些作为资产写到财报里面的时候它的价格都是要有依据的这个对于房地产企业来说就特别重要专项资产评估主要涉及的是一些特殊的核心资产比如说像什么矿产油田农产品之类的这个需要一些专项的评估
[00:08:57] 好这是一共六个了对那接下来第七个角色非常有意思叫印刷商打印公司吗它表面工作听上去就是打印公司就是给你做招股书或者一些其他文件的排版打印和校对之类的但是因为IPO这个项目一般来说paperwork就是纸面工作非常的多然后你把各种角色聚集到一起处理问题又是很难得的那种机会
[00:09:20] 所以大家一般来说都会把这种重要的会议排在印刷商的办公室里面然后呢达成一致以后就快速的呈稿确认这就是所谓的印刷商会议除了排版打印之外呢印刷商还有一个职能就是翻译如果说大家看港股的财务文件看多呢肯定会发现一些不是很像正常中文的表述我举一个欣然宣布这个我们之前好像也吐槽过就是哪怕是一些不怎么好的事情他发个公告
[00:09:47] 这港股里面也会说我们欣然宣布这种伪中国语在这种港股财务文件里面遍地都是主要原因就是因为港股上市公司的所有官方文件都是以英文版为主的繁体中文版呢实际上主要是由印刷商根据这个英文版翻译出来
[00:10:04] 这因为是硬翻的所以说有些不是很像人画的部分那讲究一些公司呢当然可以自己调整但是理论上这还是印刷商的工作范围嗯所以印刷商其实还是比较重要的是不是单单只是打印啊在印刷商之后呢其实还有一些角色比如说什么公关公司啊他们这个事情就影响的比较少了主要就是什么上市前后的媒体沟通啊路演的实地组织
[00:10:24] 以及假设有些公司想做什么敲钟之类的这种上市仪式其实也是找公关公司不过这种上市的IPO的公关也是有专门的一些机构的就是他们比较专业对抗擅长做这个OK刚刚的七种角色其实加上公关的话有八种了整个月老师都介绍完了我们再回顾一下核心的就是你上市的公司也是发行人本身次核心的就是负责整体协调的保健人也是投行还有负责卖股票的承销商
[00:10:50] 还有就是负责写招股书还有保证各个方面合规的这个律所再往外一层一点的呢就是会计师行业顾问资产评估等等的那最外层呢是负责一些比如说paperwork的印刷商还有公关公司可以这么理解当然这里讲到还是一些主要的角色还有一些更零碎的工种比如说什么补记管理人收款行和公司秘书等等等等我们就不一一列举了简而言之就是一次IPO实际上就还是我们说的它是一个系统的工程
[00:11:18] 而招股数的所有内容实际上是整个团队的工作成果体现
[00:11:24] 那讲完了IPO有哪些主要的角色呢我们接下来要么就直接开始讲一讲招股书到底怎么写然后有哪些规范要求啊坑啊之类的我觉得在此之前呢我们还是非常简略的介绍一下IPO的整个流程因为这个流程的核心呢实际上是不同的机构对于招股书这个关键文件的各种审核提意见和修改就尤其后面这个部分那我们在讲具体招股书案例的时候也会涉及到当中一些步骤所以先大致介绍一下OK
[00:11:52] 对于招股书的审核和修改大致可以说有三轮
