Vol.196 哪些城市撑起了哪吒2的票房？
时长：00:31:57
来源：网易云音乐电台节目 · 商业就是这样 · Vol.196 哪些城市撑起了哪吒2的票房？

[00:00:01] 大家好 我是肖文杰 我是小亚 我是沈从乐这期节目开头先发一个重要的通知一个月之后的3月20日商业就是这样就要迎来第200期了鼓掌鼓掌啊 谢谢大家一直以来的支持在第100期的时候呢我们做了一个15年中国商业级间时的特别节目回顾了我们这个节目的诞生以及这个时代的一些商业大事件当然大家反馈最热烈的还是彩蛋的部分那个彩蛋我也听了很多遍
[00:00:30] 第二百期的企划呢我们想把彩蛋的部分交给广大听友们欢迎大家向我们提问或者是发表感想可以是关于节目本身的也可以关于一些商业话题我们会选一些问答来认真的准备然后在节目上面回答大家的问题而且除了文字形式以外这次我们还想要征集大家的声音欢迎你把对节目的好奇和感谢录成音频发给我们
[00:00:56] 可以关于具体的一期节目或者是人或者是某个细节都可以
[00:01:24] 那我们就进入本期节目
[00:01:46] 2025年春节党的话题随着哪吒二以每天刷新一个票房记录的这个节奏还在延续啊虽然已经是元宵节后了但是相信大家还会关注这样一个哪吒的票房数据我们刚开始准备这个选题的时候他的票房还是八打头等我们开始录的今天的已经是九打头了估计等播的时候就是肯定是一零打头妥妥的一零打头啊两位这个部电影看了没有如大家所知我一年就
[00:02:13] 三部电影的额度然后我今天春节一直在看书没有看电影啊这件事情已经是如大家所知这样as we all know了嘛对就是再跟大家说明一下我一年只有看三部电影的额度所以你春节打没有启用春节打没有看我从来也没看我也还没看我在等小平因为一些其他的原因我也没看就是春节大多数的假期时间都带小朋友唯一那个有空想要起心去看哪家的时候那个晚上还是觉得太累了最后我们看了甄嬛传的结束
[00:02:41] 所以我们三个人有资格聊这个东西吗电影本身确实没有资格所以我们今天还是从一些商业的或者是别的角度来聊一聊这个话题重点关注的还是哪吒二这个票房本身这件事情吧那关于哪吒的票房为何如此之高呢其实已经有很多的方向的分析了我们这边可以简单的总结三个方向
[00:03:01] 第一个是市场层面这当中一个关键词就是票价的提升如果大家对于一个比如说销售数字有概念尤其是偏零售的2C这种销售数字有概念的话它肯定是有两个因素决定的一个是所谓的ticket就是票价本身的或者说单价本身的变化还有一个就是traffic就是比如说它的流量或者是上座率之类的变化对就是一个是价格一个是销量今年春节当的总票房它创历史新高
[00:03:28] 当然首先是因为整个市场火热但如果我们具体拆分数字刚刚岳老师这样来拆分的话就会发现首先整个市场的放映的场次其实是比2024年更少的2024年的数字是368万场今年的话截止2月4日是346万场确实是有相当明显的一个下滑但是首先观影人次是提升了就是说每场做的更加满了平均的上座率是提升了
[00:03:54] 更重要的是票价更贵了我们看到今年春节档全国的平均的电影票价是50.82元50块了已经而且是全国平均2024年的平均票价是42.72元上奖的幅度是18%如果聚焦在哪吒一上映的2019年
[00:04:12] 当年的春节党平均的票价是44元等于说是假设说哪吒一和哪吒二它有相同的观影人数但是比如说它的票价本身上涨其实就会直接带动票房会有一个明确的一个提升对就是这个本身哪吒二的票房很高这是一个基础的事实但是如此之高呢这个当中肯定是有这个票价提升的这样一个部分的溢价的这是第一个市场的层面第二个呢就是我们所谓的产品的层面
[00:04:36] 就是《哪吒2》这样一个动画电影它的这个票房带动的能力从它的产品设计方面其实天然就有一个很大的优势这很好笑就是电影也可以讲产品设计这个东西肯定是有这个方向就是讲的比较直接一点就是这个电影的内容能不能吸引哪些客群就是受众的一个设计对除了我们天然会连接到的这个青少年的市场以外《哪吒2》这个产品它本身其实是一个面向全年龄的一个动画电影第一就是它当中的这个主角《哪吒》这个传统的文化形象它本来就是面向大众的
[00:05:05] 有个很广泛的一个认知度有可能仅次于孙悟空吧可能吧然后第二呢就是他的这个情节包括人物的设计实际上是面向很多成人的观众比如说这次他就用这个所谓的CP吸引了很多高年性的粉丝可以反复的说对就是这点我也觉得比较有意思好像中国以前的动画电影没有特意做这方面的设计其实《哪吒1》就有一个很明确的这个指向了然后《哪吒2》的话实际上是句句的发酵强化了这一点话说回来就其实全名相的这个动画电影
[00:05:34] 占据历史票房的高位已经是一个全球的普遍现象了全球你指的是可能其他市场尤其是像日本市场这个是比较明显吧那你像日本市场它这个历史的票房第一是鬼灭之刃无限列车片然后在全球历史票房前十里边排名第八的是头脑特攻队2就是有一个动画电影是起身到这个史上票房前十的然后在它之前的呢要么是漫威要么是星战要么是阿凡达
[00:06:03] 你特效怎么能不算一种动画呢理论上它也算半部动画作品是吧这是第二个层面产品的层面它就是能够吸引更广泛的人群第三个就是产业的层面就是中国动画电影的产业的成熟使得这个作品本身的质量提升了我们在第107讲国产动画电影的节目里面其实已经把这个点相对比较深的讲过了这里我们稍微多说两句来回顾一下背后的逻辑
[00:06:30] 当时在第107的时候我们讲了两个公司的两条路线恰好就是今年春节档的两部动画作品一个是熊出没然后他背后的公司是方特因为哪家伙大家都忽略了熊出没其实卖的也还可以虽然不比他最好的时候10亿以上的票房但是也是稳稳的有个六七亿熊出没的逻辑是他通过不断的
[00:06:52] 推出续集来强化了这个IP对于用户的粘性而且它因为是不断的出续集所以它从动画制作角度可以有很大量的富有的资产所以说它有效的控制了成本能够保证每一年都是稳赚不赔的另一个就是《哪吒2》然后它是光线传媒旗下专门投资动画的一个公司叫做彩条屋出品的这样一个作品彩条屋它其实已经孵化了非常多很著名的动画作品
[00:07:18] 他走的就是类似于股权投资加孵化器的这样一个方式他除了投资了很多动画制作的公司导演还有一些项目以外还会参与具体项目的一些协调和企划比如说一层层的外包他来联系他其他一些公司来一起合作做一个大的项目等等的通过这种方式他广撒网然后其实是这几年来孵化出了几个佳作比如说
[00:07:41] 最早期的大圣归来然后像哪吒的系列还有雄狮少年等等的这两种模式背后其实都是中国动画产业逐渐摸索出了一些相对成熟的路径这次哪吒有很多广受好评的制作细节包括说这两年其实中国在电影的工业层面有一些比较明显的上升我觉得这是整个行业整体工业能力的一个提升的体现是 我们看到一些真人的大片它的制作的水平的提升其实也是这些公司
