Vol.197 美国不降息，让日本人吃不起大米？
时长：00:37:25
来源：网易云音乐电台节目 · 商业就是这样 · Vol.197 美国不降息，让日本人吃不起大米？

[00:00:01] 大家好 我是肖文杰我是薛小漾这期节目开头还是先发一个重要通知可能上周已经听过了3月20日商业就是这样就要迎来第200期节目了鼓掌鼓掌谢谢大家一直以来的支持还是回顾一下第100期我们做了一个15年中国商业极简式的特别节目回顾了我们这个节目的诞生以及这个时代的一些商业大事件当然大家反馈最多的还是彩蛋的部分
[00:00:26] 第二两百期的喜欢呢我们还是想把彩蛋的部分交给广大听友们欢迎大家向我们提问或者是发表感想可以是关于节目本身的也可以关于一些你感兴趣的商业话题我们会选一些题目来认真的准备然后在节目上回答而且除了文字形式以外这次我们还想征集大家的声音欢迎你把对节目的好奇和感谢录成音频发给我们可以关于具体的一期节目或者是人或者是某个细节都可以你的声音也有机会出现在商业就是这样
[00:00:56] 具体的收集方法第一种呢你可以选择节目修Notes当中的链接填写一个简单的问卷文字提问的部分呢就可以直接填在问卷里了然后问卷最后也可以提交音频的文件第二种方式呢就是文字提问和音频文件也可以发到我们的邮箱或者是商业就是这样的微信号具体的邮箱地址和微信号的ID呢
[00:01:17] 我们也可以在每周四节目的show notes当中找到不过麻烦大家不要直接向微信号发微信与音条因为这样会导致无法导出音频素材同样我们也会抽取几位参与反馈的听友送出签名版的礼物期待看到大家的来信听到大家的声音好那我们接下来就进入正式的节目
[00:01:36] 这期节目的开头呢源自于我们在社交网络上看到一条非常神奇的新闻概括成一句话就叫做因为美联储迟迟不降息所以日本人吃不起大米了虽然美联储和日本大米都离我们的生活比较远啊相当遥远但这句话本身实在是太引人注意了刚听叶老师讲起的时候我也是缓缓打出一个啊给大家稍微把当中缺乏的这个逻辑链条补一下啊
[00:02:01] 这个新闻的由头呢是日本前一阵广受关注我觉得当下也还是广受关注的一个民生新闻叫做令和米骚动那令和是他们的年号嘛那2025年就是令和七年那所谓的米骚动呢指的就是从24年的8月到最近的这个25年的2月日本的大米价格持续的攀升根据日本农林水产省的这个零售店POS机的这个数据啊
[00:02:26] 米价在这段时间里面从2600日元每5公斤攀升到了3688日元部分超市甚至不得不限购每人只能买一袋米这样的情况针对这个新闻呢中国国内的不少机构媒体和自媒体就做出了一些解读说背后的原因之一是因为日本农协下属的农林中央金库这么一个银行购买了大量的美债
