Vol.198 农副产品和金融市场有什么关系？
时长：00:38:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.198 农副产品和金融市场有什么关系？

[00:00:00] 大家好 我是肖文杰我是小样这期节目开头发一个last call3月20日商业就是这样就要迎来第200期了鼓掌鼓掌谢谢大家一直以来的支持第100期我们做了一个15年中国商业基金使的特别节目回顾了这个节目的诞生以及这个时代的商业大事件当然大家反馈最热烈的还是彩蛋的部分因为一直念这句话我又去听了一遍确实很好笑
[00:00:24] 对真的很好笑第200期的企划呢我们想把彩蛋的部分交给广大听友们欢迎大家向我们提问或者是发表感想可以是关于节目本身的也可以关于商业话题我们会选一些内容来认真准备在节目上回答而且除了文字形式以外这次我们还想要征集大家的声音欢迎你把对节目的好奇和感谢录成音频发给我们可以关于具体的一期节目或者是人细节都可以你的声音也有机会出现在商业就是这样
[00:00:52] 具体收集办法第一呢你可以通过这期节目Shownotes当中链接填写一个简单的问卷这个问卷截止日期就是节目发布的今天了文字提问的部分呢可以直接写在问卷里面问卷最后也可以停交音频的文件第二呢就是文字提问和音频文件都可以发到我们的邮箱或者商业就是这样的微信号
[00:01:12] 具体的邮箱地址和微信号ID也都可以在每周四节目的show notes当中找到如果说过了截止期的话最后的机会就是往邮箱或者往微信号里面发了不过麻烦大家不要直接向微信号发送微信与音条因为这样会导致无法导出音频文件同样我们最后也会抽取几位参与反馈的听友送出签名版礼物期待看到大家的来信听到大家的声音好那我们就进入本期节目春天到了万物复苏
[00:01:39] 又到了讨论农广天地话题的时间不是东非大草原吗不是东非大草原不要想歪了上周的节目我们讨论一下日本的令和米危机算是给农广天地又起了个头本周我们加大力度马上就加大来聊另外一个跟农产品息息相关的金融领域也就是期货当中的农产品期货可以说是金融市场的一个重要大类了以前我们上财经新闻相关的课和培训
[00:02:07] 讲完股票证券基金那之后就是讲到期货了详细的期货定义之后会讲到但这边可以打一个不太恰当的比方就是期货交易有点像一个赌约吧它的赌的呢就是一段时间以后某个商品的价格会如何变化就这么简单一句话那参与者呢可以根据自己对于市场信息的一些判断
[00:02:27] 不断的给出价格那市场呢也可以在波动的过程当中最终形成这个商品的真实的价格这所谓的商品的概念呢也很宽泛也可以是代表数学像石油黄金也可以像是股票指数外汇这些金融产品那股指期货这个词相信大家也经常听到
[00:02:44] 还有一个大类呢其实就是穀物肉类糖油等等各种各样的农产品甚至可以说期货市场最早就是为了保障这些农产品的流通比较顺畅价格比较稳定才逐步建立起来的这次我稍微探究了一下就发现农产品期货真的有很多的门道还有很多反常识的东西比如说这次引发我对期货好奇的一个由头呢就是我发现有一种期货产品叫做冷冻浓缩橙汁然后早期呢美国人还炒过一种叫做
[00:03:13] 冷冻猪腩肉的期货这个猪腩肉指的就是猪肚子上那一大块适合做培根的部位就是到底谁在期货市场炒这些歪门邪道的农产品啊那听上去还蛮好吃的但是确实很奇怪啊那本期节目呢我们就来一起了解一下或者是探究一下农产品世界的期货知识当然啊我们不会教你如何炒期货而是找了一些比较有意思的现象试着理解一下农产品期货是如何运转的
