Vol.20 iPhone的隐私保护功能真管用吗？
时长：00:22:39
来源：网易云音乐电台节目 · 商业就是这样 · Vol.20 iPhone的隐私保护功能真管用吗？

[00:00:07] 我们曾经听过一个跨校品牌的营销负责人大致介绍过他们职场主要关心的数据是三类数据一类是互动行为数据第二类的话是个人信息数据还有一类是交易数据
[00:00:21] 据我们这个采访了解就是去年苹果的iOS14它推送了这个demo版之后那阿里内部其实非常紧张的他们是连夜召集了好多个部门跨部门之间开会要商量对策发现这个事情最后会对自己这个公司产生两个很大的影响这里是商业就是这样
[00:00:50] 大家好 我是肖文杰我是徐彬青苹果的广告一直都是业界的一个标杆不知道大家注意到没有就最近苹果投放了一系列新的视频广告重点是宣传自己的隐私保护功能我好像看到过也还蛮酷的对 我们举一个就是现在内地经常能看到的一个例子当然是这样的它把各个APP对于用户个人信息的侵犯它句话为了一个人比如说你没使用一个服务
[00:01:19] 其实就是用了一个APP然后就会多出一个人跟着你对着你反复打量很快就会乌泱泱一群人挤在你身边比如说看你什么吃了什么看你这个作业看你这个合同然后对你了如指掌这个时候主人公拿出了iPhone里面出现一个选项不允许这些APP来追踪你的个人信息瞬间这些人就蹦蹦蹦全都消失了然后这个时候出现一个苹果的标志苹果上面的这个果饼变成了一个锁扣咔嚓一下就出现了slogan叫PrivacyThis is iPhone
[00:01:48] 这个广告一如既往的苹果一如既往的出色当然我们这期不是来探讨苹果的这个广告做得有多好的而是谈谈这个广告内容的本身也就是说智能手机上面有哪些隐私保护的问题其实苹果这个iOS系统上面做的一些对隐私保护的工作这个事情本身也非常复杂它涉及到非常多的功能比如说最近iOS15其实是最新出了一个比较重磅的隐私保护就是所有用户在使用Safari的时候
[00:02:17] 它的浏览信息还有IP地址这些都会加密保证这个前端和后端都不知道你在浏览什么地方的网址当然这个更新因为在内地的话是因为一些法规的要求其实是无法实现的所以我们今天主要讨论的是一个在中国市场也能实现的一个隐私保护的一个功能就是在iOS的14.5上面更新的它防止每个APP对于用户个人信息的一个追踪防止APP对于用户个人信息的追踪的话不只是一个产品层面的功能
[00:02:45] 还有一个非常复杂的法律和商业问题而且它还涉及到了一个巨大的市场叫定向广告这期节目的话我们想先带大家搞清楚定向广告这个市场是怎么回事然后再来看看说苹果为什么要做这个隐私保护的技术以及这个技术到底管不管用
[00:03:03] 首先我们先要做一些概念上的一些区分和辨析我们平时习惯用的是隐私这个词但其实我们今天讨论的手机上的这个隐私如果更准确的说法的话其实是叫个人信息这两个概念其实有一部分的重叠但也有所不同比如在我们国家这个民法典上面是明确公民有隐私权的
[00:03:24] 这个隐私其实是比较直观的一个概念它更多的指的是个人的一些私事比如说你的日记或者你不愿意让别人知道一些过往这个属于是隐私我们智能手机里面那些APP获取的话其实都是所谓的个人信息关于个人信息的保护的话我们国家之前在民法典或者说数据安全法之类的法律里面都有条文然后现在还有一个已经出台了草案的叫个人信息保护法更有针对性在海外的话也会有类似的法律
[00:03:53] 最著名的就是欧盟的一个叫通用数据保护条例也就是GDPR我们今天讨论的隐私的话其实很多时候指的就是数字生活当中的个人信息这个个人信息其实有非常多的门类就从你的姓名年龄性别到你最近的消费记录浏览网页的记录在网上的一些留言这个都算这个个人信息这个概念变得非常重要其实是和数字经济的发达或者说跟移动互联网是紧密相关的
[00:04:21] 在移动互联网还没有成为这个现代社会的一个基础设施之前其实不会产生也不会流通那么多个人信息把你想象一下就是了过去你的个人信息如果都是在纸上的话或者是在一个电脑的硬盘里面的话就不太会被很多人看到也不太那么容易分享对吧但现在呢你一个手机上面可以开放的这个权限就有十几项而这些权限背后可以搜集的数据有可能有几百项你的APP能够搜索的数据维度是非常多的
[00:04:48] 我们曾经听过一个跨销品牌的营销负责人大致介绍过就是他们职场主要关心的数据是三类数据一类是互动行为数据比如说你在这个网页上面点了多少次啊或者你看了哪些网页第二类的话是个人信息数据比如说你的工作家庭背景指纹相貌之类的数据还有一类是交易数据也就是你买了什么或者说你用什么东西来付的钱
[00:05:13] 除了变多以外这个个人信息的数据在这个时代还有一个很大的变化就是它在技术上是很容易获得的很多时候只需要一袋代码就可以了就是所谓的买点对吧对那这个个人信息它这个数据又多又容易获取而且呢还很和消费者相关这就使它变得非常有商业价值了说的直白点就是这些个人信息的广告价值大家都是消费者估计大家已经很熟悉自己的广告价值了
[00:05:40] 简单来说就是说你的数据可以帮助品牌更精准的来给你推荐广告这个精准的意思呢就是说这些广告更有可能来引发你的消费它的效率是更高的这个基本上是过去十几年以来互联网巨头们最主要的商业模式之一了关于这个商业模式有一个经典的吐槽就是说这个时代最聪明的头脑都去研究怎么卖广告了对吧这个卖广告准确的说就是卖定向广告那这个市场有多大呢
[00:06:07] 按照2020年的数字中国大概一年有5000亿元在全球的话大概是三四千亿美元而且这是一个巨头站主导的行业也就是说一些领先的公司它的这个市场份额是非常高的比如说阿里巴巴它一年的这个广告收入就有上千亿元而最大的这个广告平台Google它一年的这个广告收入大概有上千亿美元
[00:06:29] Google的话给大家留下的之前的印象可能是它有一个很厉害的搜索引擎它有一些很酷炫的产品比如说什么机器狗啊无人车啊之类的但这些产品的话基本上都是靠着Google的广告收入来养着的Facebook的情况也是类似的它每年要收很多很多的广告费才能养活得起很多奇怪的新的产品
[00:06:50] 那么从技术上面来说这些公司是怎么了解到或者说获取到你的个人信息然后把广告再投放给你呢这其实是一个比较复杂的链条我们挑一个重点给大家解释一下在智能手机上面其实有一个很重要的东西叫IDFA它的中文就是广告识别符这是苹果这个手机上面搞出来一个东西你可以把它理解为你这台iPhone的一个ID那么这些APP呢就是通过这个IDFA来知道
[00:07:17] 我刚刚这个手机买了什么东西你刚刚玩了什么游戏或者点开了什么网页所以所谓的识别你个人信息并不是通过你的手机电话号码而是通过这个广告识别服IDFA来实现的其实就类似于我们日常比如说你带着一个身份证你拿这个身份证去买了车票或者去哪里开了个酒店房间这个系统都知道其实是通过你的身份证号码来知道的对吧
[00:07:41] 在安卓手机上面的话各系统也会有类似于IDFA的这样一个识别符早前这个识别符都是默认向各类APP开放的当然需要说明的是就是说这类IDFA获取的个人信息的话都是脱明的仅仅靠这个识别符的话它对应不到你这个本人也对应不到你的手机号只能对应这台设备如果你换了个人用这台手机或者你换了张卡的话这个信息都会变掉有了这个IDFA呢这个各个APP它就能知道这个手机刚才做了什么对吧
[00:08:10] 但其实单个APP它能获得的数据其实是比较有限的如果你真的要有针对性的投广告就是针对你这个人的画像对吧形成一个非常完整的用户画像那你就需要各个数据端能够联合起来共享这些数据所以就出现了所谓的广告联盟也就是说联盟里面有各个公司各种各样的产品他们把他们自己这个获取的这些数据共享出来然后呢又能帮助你这些新的APP开辟更多有效的广告位赚到钱
[00:08:39] 就举一个比较常见的例子比如说我们在应用A里面搜了一个水果然后过一段时间应用B就给我推水果的广告这其实是联盟的作用对吧就不是说A把这个事情告诉了B而是说大家都共享这个信息你有可能在C里面也会看到水果广告同时呢这个广告联盟还有一个很重要的一个工作它就是可以帮公司做很多数据分析的工作它能知道你这个APP的用户有什么特征对吧它是怎么用这个APP的
[00:09:06] 那么就可以帮助你这个产品更好的去优化对优化这个词真的是有浓浓的互联网的味像国内的话其实最著名的广告联盟就是友盟啊就朋友的友他的创始人是Google的前工程师蒋凡2013年的时候阿里巴巴就收购了友盟后来蒋凡很有名他就成为了淘宝的总裁对吧其实当时阿里巴巴已经有了交易的数据
[00:09:29] 还有一些金融数据因为他已经有支付宝了但是他缺的是一些个人行为的数据这就是马云一直想要的那些社交数据对吧对然后他就收购了友盟这样的话就可以让他知道自己的用户在阿里系的这些应用之外还在用哪些APP做哪些事情这个所谓的用户画像就更完整了然后他就更懂得怎么给你推广告了除了阿里巴巴之外像腾讯啊字节跳动现在都有自己的广告联盟
[00:09:55] 以这种联盟的方式来去对接品牌的话效果肯定是更好的这也是为什么现在整个广告行业都在朝着在线定向广告的方向去发展
[00:10:04] 因为这些技术的应用第一次让广告投放变得有理有据效果更好还可以监测整个广告投放不再是一个浪费一半广告费的事情它变成了一个很可控的事情
[00:10:15] 刚才其实我们基本理解了这个个人信息是怎么被这些公司获取的以及它是怎么帮助这些公司还有广告平台们来赚钱的接下来我们就可以看看苹果的这个隐私保护它到底是保护了什么对这个行业有什么样的影响iOS14.5里面最大的一个更新就是说用户可以开始自主选择要不要允许这些APP来追踪自己的使用数据也就是说你要不要开放这些IDFA给一些APP
[00:10:43] 苹果选择了一个很有意思的方式来告诉你它是弹出一个窗口然后告诉你说现在这个APP要开始追踪你的数据了你允许吗那很有可能你就不允许了对吧这样一个隐私保护的功能它背后的这个法律和伦理逻辑其实是非常简单明了的就是你这些公司拿我的数据
[00:11:02] 对吧拿我的个人信息去赚钱了也不告诉我然后呢我也没拉到什么好处我自己的体验就是点开一个APP广告弹出来都是我刚才浏览的商品好像你什么都知道我很受到冒犯那这个其实本质上是什么呢就是个人数据或者说个人信息它是一种个人的资产那么它的所有权和使用权是不是应该由这个个人来所有呢那如果是的话如果我个人为了获得更好的服务要去分享这些数据是不是应该经过我明确的一个允许呢
[00:11:30] 这也是目前个人信息保护法规的一个核心的原则就是你获取信息的话一定要经过同意回到商业的这个逻辑可以说对很多APP来说苹果的这个iOS14.5的这个更新是挺釜底抽薪的了就直接断了你获取数据的一个源头之一对吧所以可想而知这些相关的大公司会有很强烈的一个反应比如说Facebook就强烈反对这件事情它甚至在报纸上登了一整版的广告
[00:11:56] 然后告诉大家说苹果这么做根本不是为了保护隐私它其实只是想让自己掌握这些数据让竞争对手没有任何数据可拿而且苹果的iOS14.5这个更新的话本来是2020年9月份就要推出来的但是整个事情拖到了2021年才更新出来也是因为广告行业的反对声音非常大当然最后苹果还是坚持了这个更新而且它还回应Facebook那个广告它就说
