Vol.200 谢谢所有的鱼
时长：01:22:42
来源：网易云音乐电台节目 · 商业就是这样 · Vol.200 谢谢所有的鱼

[00:00:00] 大家好,我是向文杰我是叶小雅我是葛老师葛老师你今天怎么这么小心声音有点旺,我最近有点感冒但是200期的节目我必须要来一下那我们商业就是这样终于迎来200期对对对,这个叫做什么这个叫做,啥也没有想到但是它毕竟一定会来到叶老师前一阵的时候在即刻上面发了一条状态说这个节目做着做着已经做到了
[00:00:24] 原来说的是第四年其实已经是第五年了是我自己算错年数对不起你要想我们一百七的时候比现在小几岁你为什么要做这种算数题啊年纪大了就很喜欢回忆这种事情一百七的时候应该是二零一大概我们当时好像是二零二好吗二零二开头好吗对应该是杂志十五年二三年
[00:00:49] 两年前你看你只能记住杂志15年记不住我们的第五年但我现在其实还是对于我们节目第一期录制的时候还是印象很深的就感觉还是很近所以说约老师那天说五年的时候我就是也有一种恍惚的感觉真的很恍惚那这感慨的部分就到这边好吧我们进入这个200期的特别节目200期录什么呢之前其实将近一个月的时间我们都有在每期节目的开头跟大家预告我们会有以一个答听有问为核心环节的一个特别的节目
[00:01:16] 主要而言今天的节目会分为三个部分第一个部分和第二个部分理论上都是回答听友的提问但是这个提问当中分两种一种是很多听友提了一些关于商业的话题第二种是关于节目本身的一些好奇而在这个商业的话题当中也有一类的问题比较集中就是很多的听友想了解一些我们曾经讲过的公司那几年过去了这些公司有什么样的变化
[00:01:43] 我们想这个话题其实蛮有意思的索性从我们之前的节目里面筛选出了五家公司来简单的回顾一下看看过去的节目经不经得起时间的考验有没有被打脸好像是前一百期里面选的是吧对因为这个比较老一点看这个回顾会比较好一点
[00:01:59] 那第二个部分呢就是回答真正的听友的问题有的是大家语音给我们提问的有的是文字提问的那文字提问的部分呢我们就代为复述一下然后最后一个部分呢就是听友和我们团队成员给整个节目的留言那这期有彩蛋吗我觉得一百期的彩蛋大受欢迎你要说有没有彩蛋呢我觉得第三部分本身就算是彩蛋
[00:02:22] 一种我们早就已经预先预告的彩蛋但是还是内容令我们大为惊讶我就是跟大家打过招呼然后我再会以彩蛋的形式出现在第三部分节目里面对吗不你第二部分也可以回答一些大家对于本节目的问题好吗好那我们就进入第一个部分对对对感谢大家我先感谢一下感谢大家对两百期一直对我们持续的关注和喜欢感谢两位主播认真的付出你怎么感觉
[00:02:48] 这个你搞得像节目已经结束了因为葛老师要去开会了对我现在要去开会了但是一会就回来一会就回来好那我们就首先进入第一个部分就是一些老公司的回顾这个会比较像我们常规的节目我们挑选了五家公司是我们之前讲过的然后来看一看他们现在怎么样那第一家公司呢就是小米小米你聊聊车吧你也不要聊别的了因为我们是在2021年的3月31日就是雷军宣布小米要造车后的第三天
[00:03:16] 我们就发了一期节目可以说给期待小米造车的一些听友们泼了一点点冷水是不是已经给你泼冷水它造的好肯定对我们来说是件好事三年后其实小米的第一款车就是苏七它在2024年的3月份开始预售然后等于是卖了差不多一年的时间这一年的销量可以说绝对是开蒙红了到现在的话它基本上每个月能够维持在2万辆以上的销量作为一辆纯电动的轿车的话已经是稳居现在每个月的销量榜的前五位了
[00:03:45] 而且排在它前面的车型的话其实平均的售价都比它低不少所以说这个成绩确实是非常的厉害而且它属于是供不应求的状态就是它的销量是由它的产量来决定的而且我们从财务的表现上面看小米的财报它的这个汽车这个部分新车的销售毛利达到了17%就它最近的这个季报里面显示数字是17%这个数字也已经是行业领先的水平了那紧接着它在2025年第二款车就是一个SUV的车型叫U7也要上市了
[00:04:13] 所以说确实他小米的造车现在是势头阵胜其实我们经常被听友问到当年我们对于小米造车这个判断是不是有点打脸其实还好因为肖老师比较谨慎在当时节目里面其实没有给出什么明确的判断他只是基于一些
[00:04:30] 事实然后指出了就是小米当时造车并不是很容易有比较大的挑战那其中最大的挑战呢还是从零开始建立一个有竞争力的汽车供应链这件事情对而且当时我就有一个背景就是其实当雷军宣布这件事情的时候整个市场包括舆论的反馈都是非常的期待觉得它一定能成嘛那我们就是想要提供一些逻辑增量的话那肯定是从一些反的方向来聊一聊那现在看起来呢小米的汽车
[00:04:55] 之所以能够一炮而红前面叶老师提到这个汽车供应链的问题我觉得也是最关键的因为雷军和小米它的本身的品牌或者个人的号召率还有这个公司的销售能力产品定义的能力等等这些基本上本来就可以预想到是能够从它的手机业务复制到汽车业务的本来就是他们的一些强项但是小米在消费电子领域整合产业链的这个强项能不能复制到汽车业
[00:05:21] 这个当时我们是有一些存疑的那现在看来呢至少小米目前做的还是蛮不错的这个不错用一句话来解释呢就是它能够支撑苏七卖的那么便宜有体验过苏七这个产品的朋友应该可以发现就是它虽然在外形和营销上一直比较强调就是性能啊运动啊跑车那种感觉对吗但其实它是一个空间很大的C级车是能够覆盖家用需求的但如果它的尺寸只是一个B级的这个中级轿车的话它的吸引力肯定会大大降低
