Vol.201 博世的治理架构，全球找不出第二家
时长：00:44:37
来源：网易云音乐电台节目 · 商业就是这样 · Vol.201 博世的治理架构，全球找不出第二家

[00:00:01] 大家好 我是肖文杰我是小亚这期节目的主角是一家我们一直很想讲但是不知道怎么讲的公司就是博士不知道怎么讲的原因有好几个首先是因为博士这家公司就太丰富了它的历史有140年历经过两次世界大战和多次的经济危机还是屹立不倒其次博士是全球最大的汽车零部件供应商而这个行业现在也在剧烈变化当中
[00:00:28] 这个当中的博士也是很多核心话题的亲历者第三除了汽车以外博士还在很多领域是隐形的冠军比如说大家可能知道博士有家电业务然后还有工业技术能源建筑安防等等这些方向也有很多故事可以讲如果真的要展开可能就需要一整季的节目了而更重要的原因是我们有一个关于博士一直很想探究的问题此前是比较缺乏素材的这就是博士独一无二的企业治理架构
[00:00:55] 为什么说独一无二我们这边先简单的介绍一下首先按照2024年的数据博士一年的营收超过900亿欧元然后员工人数超过40万这么大一家公司它的股权呢主要是属于一家公益基金会的而这个基金会的它这个股份呢是创始人罗伯特博士他的家族成员长年的转移过去的第二个点呢就是最大的股东这个基金会对于博士这家公司的运营呢却是没有投票权的
[00:01:21] 第三点就是拥有大多数投票权的是谁呢是一个信托公司他在职责上呢其实更类似于董事会负责的是公司的战略而第四点呢就是公司的这个日常管理呢是由这个公司的管委会来负责的这样一个架构好肉啊所以简单来说这个公司的顶层就是有股权的没有投票权有投票权的没有股权然后创始人家族在其中的差异度还很有限但这公司依然很大对你这个总结就比较心眼球然后抓住了主要的矛盾点啊
[00:01:49] 那这个治理架构呢看似实际上是和我们熟悉的一些一般公司的这个治理的基本逻辑是相悖的我们一般来说就是谁有股权多那么谁就管得多是不是但就是在这样一个有点反常识的结构之下博士成为了一家长寿的公司而且像于老师刚才说的他不断的在壮大所以我们的好奇就是这个组织架构是怎么来的他带来了什么样的影响
[00:02:11] 这个问题其实比较复杂而且它在很长时间里面是没有什么清晰的答案的因为博士是一家非上市公司很多信息都是不公开的但是呢现在我们有了解答这个问题的最好素材就是一本书名叫《博士》冒号一家全球性企业的历史这是两位德国历史学家在2013年初的著作他们获得了博士官方最大程度的信息开放和自由度
[00:02:34] 把博士的历史做了一个非常完整和专业的梳理尤其是把博士如今治理结构的诞生过程讲得非常清楚这本书是在去年出了简体中文版博士中国就找到我们合作想聊一下这本书那我们就一拍即合
[00:02:50] 也感谢博士中国对于商业就是这样的支持所以今天我们就要来聊一聊博士我们会分成三个部分首先是前传我们会花一些时间来回顾一下罗伯特博士的创业经历和他在世时博士是家什么样的公司接下来我们重点展开来讲一讲博士的这个治理结构最后我们会简要的分析一下博士的这个治理结构给这家公司带来的一个最深一点的影响是什么这里是商业就是这样
[00:03:23] 那我们先来了解一下罗伯特博士和他的创业经历这不是什么例行公式的介绍因为博士的个人经历特长性格思想倾向其实都对于博士家公司本身产生了很深远的影响并且与我们之后要讲到的博士独特的企业治理架构是息息相关的罗伯特博士这个人他出生于1861年德国的一个可以说家境殷实的农民家庭他有11位兄弟姐妹那我们接下来就简称他为罗伯特了
[00:03:52] 罗伯特呢他对于原生家庭有很好的回忆他认为父母对自己的影响是非常的深远和有益的那这当中有很多影响我们就举两个最重要的花重点第一呢就是对于新兴事物的开放心态虽然是一个农民家庭但是罗伯特的父亲他对于一些当时很新的技术很感兴趣也鼓励孩子们自由的选择这些新兴的行业所以像罗伯特他就去学习了当时非常新的这个电器工程
[00:04:17] 第二个重点呢就是价值观尤其是罗伯特的父亲他是一个按照书里边写的很有正义感的人他非常的重视平民的权利和自由然后也很敢于批评当时的普鲁士军国主义他的父亲还曾经因为要营救一位蒙冤入狱的朋友然后自己被关在监狱里面关了两个月那罗伯特的这个原生家庭呢我们就简单的介绍这边就划这两个重点我后面都会提到啊接下来讲一下他自己的一个可以说学习和创意的经历啊在1879年
[00:04:46] 罗伯特在做了三年精密机械的学徒之后就开始了七年的游历生活就在很多的工厂里面打工1879年是什么年份呢就那一年爱迪生推出了改良的白质灯然后在前面一年第一批的西门子发电机在德国的巴伐利亚开始发电了等于说是罗伯特博士的职业生涯几乎是和电的普及是同步展开的我觉得这个背景还挺重要的再解释一下所谓的游历生涯是什么意思
[00:05:14] 当时德国的学徒有个常规的动作就是游历意思就是你跟着最初的师父学完一门手艺之后再到别的地方去短期的学习一下再到另一个地方去这样的话你的知识体系就能够相对的更加完备一些如今我们比较熟悉的德国的所谓双元制的职业教育其实就是继承了这个理念这两年中国其实也在大力推行职业教育而且德国的双元制就是中国这个部分的学习模板之一但那个时候一般的学徒游历也就是两三年时间
[00:05:43] 三四年最多了罗伯特博士这个七年绝对属于是长的甚至让人当时担心他是不是一个缺乏恒心的人但实际上根据罗伯特和当时未婚妻的书信显示他一直没有安定在一家公司开始正式的工作主要的原因就是他早已经想好了我要自己创业所以想多见见世面包括他其中有一年专门还去了美国
[00:06:05] 去的公司呢就是通用电器的前身感觉他就是有点想做电器这方面的工作因为要论这个行业的话美国在当时肯定是最领先的没错不过说回来就美国那年的这个游历生涯对于罗普特来说最大的影响并非他学习了什么先进的技术而是他对于劳工权益的保障有了深刻的理解因为那一年正好美国经济遭遇了危机然后大量的工人啊
[00:06:29] 在毫无保障的情况下就被裁员了包括罗伯特自己虽然他很快又在一新的地方找到了工作但是这段经历呢再加上我们前面提到的他父母的这个价值观的进入就让他日后非常的重视提升员工的劳动保障和权益那关于罗伯特年轻时候的个人经历我们就介绍到这里其实这个人还有很多丰富的未免和当时的大部分企业家都不太一样比如说他
[00:06:53] 不爱社交又喜欢打猎反正就是跟当时的德国企业家圈子是不太融在一起的格格不入的一个人不过这里我们就不展开了接下来我们就来讲一下罗伯特博士的创业过程好的这段经历始于1886年罗伯特在斯图加特创办了自己的工作坊博士这个公司就从这一刻开始了然后这段经历的终点是在1942年罗伯特博士在斯图加特去世
[00:07:18] 长达56年差不多是博士这整个公司历史的前三分之一还要多那如果真的要展开讲的话前三分之一的故事就可以出好多期小历史了那就像我们开头说的这期节目的目的并不是让你一口气来了解博士140年的历史所以这56年的故事呢我们会用一个关键词来透视然后再从这个背景出发之后再延展到博士的治理架构那这个关键词呢就是超前
[00:07:43] 现在来看的话19世纪末20世纪初的博士这家公司在很多的方面都非常的超前我们就举三个层面来展开讲讲需要特别说明的是这里的超前是一个中性词并不一定的代表先进正确为什么这么说呢我们看第一个层面就知道了就是技术产品的超前我们一般认为就技术的超前会带来竞争优势对吧但是在博士公司的初创时期这个技术的超前差点让公司维持不下去所以他们到底做了什么
[00:08:13] 过于超前的产品其实不是某一个产品而是博士当时的工作坊他的这个主营的业务就是聚焦在电气工程因为这是他自己的专业这当中包括很多用电设备的生产安装维修什么他都做因为博士就看到他觉得电气化的前景在德国已经非常近了因为在美国都已经开始普及起来了但问题是具体到他这个公司所在的斯图加特这个城市当时并没有发电站
[00:08:37] 是不是类似于你要在一个没有水的地方
[00:08:57] 那我就不禁要问了他不能去一个有电的地方开公司吗为什么一定要在斯图加特呢确实啊因为像那个柏林或者一些别的城市其实在德国已经有这个发电了那博士选址在斯图加特呢主要的原因是因为当时罗伯特的妻子在斯图加特附近住非商业原因对那就没办法了是吧对总之博士在创业的前五年呢他花了很多精力来打磨的一些技术啊产品在本地市场基本上没有什么需求
[00:09:23] 所以当时公司的生存呢除了一些零散的业务以外我们主要看一下就是靠亲戚借钱来维持甚至啊我们看到到了1892年就是他创业了六七年的时候博士不得不把他26名员工才知只剩两名就是一个公司没有什么生意要靠借贷过日子还要招26个人是不是也太多了本身就有点太多了是吧那这个未经呢是直到1893年才有了解除的希望因为当年啊11月份斯图加特当局终于决定了
[00:09:52] 我们这个城市也要新建一座发电站然后到了1895年的9月份就两年之后电站投入运行然后博士呢当时就获得了一大笔订单就是来负责安装一段这个道路的电气化设备
[00:10:05] 就这段道路我要铺电线了然后要装这个电的路灯了等等的这个安装的设备就是他一大笔的订单那以这个订单为契机呢在创业了十年之后博士这家公司总算是可以说是活下来了但话说回来我们前面说超前是一个中性词那主要是前面就讲了这个过于超前的这个技术布局差点让博士就夭折了是另外呢他们还有一个超前的技术布局是让博士在活下来以后迅速的腾飞的
[00:10:32] 这就是汽车发动机的点火装置这里要稍微插入一个汽车机械科普小课堂简单的解释一下汽车发动机的基本原理你说吧汽油的发动机它是汽油结合了空气它们就会燃烧在一起然后产生了很多气体然后就推动了机器能够不停的转动对吧但是因为汽油的燃点比较高所以你要让汽油和空气一直燃烧
[00:10:54] 就需要有一个设备不停地给它点火就是你要用点火来点一点它就可以不停地烧那博士做的就是这个点火的设备那这个呢在目前的发动机上面其实已经是一个再常见不过的一个部件了但是在汽车发明初期它是一个技术难题当时啊很多汽车的点火装置要么就是很危险要么就是用一段时间之后要充电这个现代汽车的发明人本词就是那个奔驰的那个本词啊
[00:11:19] 他就称这个点火装置为汽车发明过程当中最棘手的难题感觉历史真是很有意思最早这个油车开一段时间竟然要充电过了一百多年以后现在电车开一段时间也要充电怎么充电的东西不一样是的那博士的这个创新呢就是他有一位工程师大幅的改进了这个点火装置使得他这个我们说火花塞啊变得可以长距离的使用就不需要用一段时间就要充电了然后又过了五年之后呢又一位博士的工程师
[00:11:47] 还改进了点火装置的可靠性就让它不会用了一段时间就坏掉这两个重大的改进和提升使得博士在短短几年里面就从一个濒临关闭的小车间变成了汽车行业里面著名的一个供应商虽然当时汽车行业还是很小但是它一下子就成为一个行业里面的一个有名的公司了
[00:12:06] 但我觉得这个里面肯定有一些运气的成分因为最初像点火装置只是博士在众多的研发的方向当中选了一个没有想到就乘上了整个汽车也爆发的东风是的他最早做这个点火装置实际上不是完全为了汽车的发动机因为当时那个发动机也是可以做一些固定的装置的一个发动的但这个东风借到就是借到了汽车零部件也就就此成为了博士的主业博士也因此进入了一段高速的发展期
