Vol.203 雅思也能闹破产？
时长：00:26:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.203 雅思也能闹破产？

[00:00:01] 大家好,我是肖文杰,我是小样今天想聊一个教育领域的话题也是很多朋友在出国之前的必经之环就是英语考试想问一下肖老师,你在本科的时候考过托福或者雅思吗?还真没有啊,我就是跟大家一样背背单词但是因为我后来也没有出去嘛,所以我就没有考岳老师考过吗?因为你在香港
[00:00:23] 念过研究生应该要考的确实我的研究生是在香港念一年制的那种硕士项目照理来说是考雅思更好因为都是原来的英联邦的教育体系但是在大四准备的过程中我发现我这个人实在太挨了我没有办法接受面对一个活人讲话这件事情雅思口语面是要对着人讲对所以我最后选择考托福而且投的也都是一些可以接受托福的那种学校项目
[00:00:48] 说起来托福我也只考了一次就是因为分数不高但是够用了而且考虑到这个报名费实在是不是很便宜所以就完全没有刷分的意愿了又是一些离我们比较遥远的一些话题但是对于有的朋友来说可能是正当下的一些话题英语考试因为只要有留学的需求存在托福雅思这类的英语考试应该就是一个长期需求旺盛的市场更何况每年都能听到这些考试的考试费在涨价这种吐槽多多少少
[00:01:15] 不过我们还看到过一些段子比如说雅思考场上发的铅笔是世界上最贵的铅笔因为要2170元一支纯正英国黑选分店开遍全球开售马上卖空有事得找黄牛虚假的奢侈爱马仕真正的奢侈雅思考试刚刚那一段什么这是我第一次听说这种梗啊不过今天这个主角大家应该都能听出来就是雅思我们这次不聊托福只聊雅思啊
[00:01:42] 因为今年年初开始英国本地的几家大媒体都关注到了一件事情就是雅思考试的主办方之一也是一个办政府未经的文化机构叫做英国文化协会他出现了难以解决的财务危机就夸张一点说就是雅思的主办方可能要倒闭了要没了要没了雅思要没得考了我觉得对于大多数中国的学生来说这有可能是一个非常反直觉的新闻雅思一次性收2000多块钱的一个吞金兽
[00:02:11] 而且大概率很多的这个如果你去考的学生有可能还会付过几次两千多对啊这么贵就倒闭了到底是怎么能倒闭的对吧确实很反直觉所以我们花了点时间把作为一个生意的雅思考试大致研究了一下这个新闻呢就可以从这个研究当中补上很多缺失的部分那接下来我们就大致从四个方面来讨论这个问题首先雅思作为一个教育产品它的所有权是归谁
[00:02:37] 第二就是所谓英国文化协会濒临破产跟它的雅思业务有关系吗第三就是全球的雅思市场正在受到哪些因素的影响这又会如何影响到相关的公司和组织最后就是作为一个雅思大市场的中国对于这些公司来说又意味着什么本期节目我们会涉及到一些上市公司照例还是要说一下我们的内容仅作为行业讨论不构成任何投资建议这里是商业就是这样
[00:03:06] 那我们就进入第一个部分谁拥有雅思这个问题讲出口都怪怪的就是你考试对吧比如说四六级你很难说谁拥有四六级而且我们不太会想这个考试属于谁这个问题对所以证明我们离这个话题真的是比较远因为其实考生在交报名费的时候对这个事情其实就会有点感知那先说结论雅思考试的全球业务是三方共同维系的这三方分别是剑桥英语
[00:03:33] 英国文化协会以及一家叫做IDP Education的澳洲公司而这三方在整个合作协议当中的关系是平等的但是有分工这个也涉及到最终资金的流向的方向
[00:03:44] 具体展开一下吧他们这个合作分工是怎么回事三方里面跟雅思这个考试内容相关度最高的就是剑桥英语剑桥英语是剑桥大学出版社及语言评测部门的一个下属机构它的核心工作就是设计英语考试雅思只是它设计的一类英语考试在雅思考试当中剑桥英语会负责所有的提醒和体会的内容以及整个考试的流程制度设计
[00:04:10] 而且呢因为他背靠一个出版机构所以呢他们还可以卖各种各样的背靠材料好熟练啊不过呢剑桥英语他是一家非盈利机构也就是说他做这些工作主要目的并不是为了赚钱只不过他确实可以从当中获得收入简单来说就是剑桥英语就是雅思的出题方还可以卖教辅材料是的而当剑桥英语把这个雅思的
[00:04:35] 考试产品开发出来以后呢那他要在全世界范围内组织这个考试啊那就需要另外两家机构就是英国文化协会和IDP来帮助落地比如说确定考点去代收考试费按期组织考试等等这些都是英国文化协会和IDP的工作这两家机构主要的差异是在他们的就是守备范围上英国文化协会主要负责像英国本地欧洲非洲中东和亚洲的部分地区总计大概有100多个国家和地区的考试
[00:05:02] 而IDP呢目前是负责澳大利亚印度东南亚和中东部分地区大概有超过50个国家和地区的考试那在部分国家和地区呢两家机构会同时开展业务比如说在中国香港学生就可以选我是要考IDP雅思还是英国文化协会就是BC的雅思
[00:05:19] 因为两家都是用的是剑桥英语这个体库嘛所以理论上难度是一致的但是呢这两家在一些流程和服务上面可能略有区别比如说像那个文化协会BC的考位可能稍微少一点ITP会多一点然后在具体的考试上面这个BC的口语可以放到第二天再考ITP就是一般是要求你一天之内考完四项的另外呢就是有一些培训机构他这个方面比较钻研啊他也可能有些分析比如说
[00:05:45] 某一个月这两家在提库的更新速度上面可能会有些差别那么你如果是这家用的是旧提库那其实你作为我这个培训机构考试我就可以帮你可能能压到一点题你会有一点优势反正就是研发生产是这个剑桥英语然后在全球有两个这个销售的机构互相之间还有一些重叠
[00:06:08] 那具体到中国内地现在是哪个机构来组织雅思考试是英国文化协会所以说中国学生会觉得他这个破产行为莫名其妙就BC是吧严格来说中国内地的雅思考试是英国文化协会BC和教育部教育考试院共同运营的而且呢他还跟ITP有一些些关系这个我们放到最后一个部分再展开
[00:06:29] 前面提到这种三方共治关系还跟资金的流向有关系因为剑桥英语和英国文化协会以及IDP之间是一个所谓授权和备授权的关系那这备授权方也是后两家机构它所组织的每一场雅思考试这个收入当中都是要有一部分是交给剑桥英语的这个授权费是这个形式对还有一个就是因为做落地就是为了获得更高的收入英国文化协会和IDP还要
[00:06:56] 做雅思相关的各种营销和推广就是拉更多的人来考试所以说他们实际上这个收入和成本结构其实都是比剑桥英语是更差的所以说这个剑桥英语是一个其实没有太多的日常的成本支出的就是一个技术提供方但是另外两个具体的执行和推广的机构他们还是有一些
[00:07:16] 比如说市场营销的一些费用等等这些还是有的做一些苦活累活所以躺赢是剑桥英语这个比较苦的活是这个BC和IDP干的是的所以这个就是雅思这个考试到底属于谁然后谁来组织的这个问题
[00:07:31] 接下来我们就进入第二个部分就是刚才讲的新闻由头本身雅思考试的组织方之一英国文化协会怎么就搞破产了这条新闻确实是真实的但是它跟雅思的关系没有那么大更多是因为英国文化协会这个机构的性质所决定以及它在疫情期间有一些紧急措施相关
[00:07:50] 我们先简单介绍一下这个机构它成立于1934年它致力于英国文化教育国际关系的拓展和交流当然也包括英语这个语种本身的影响力的拓展它在全球100多个国家设有分支机构可以被视作是英国外交政策的软实地延伸机构之一我在高中时候而且还正好参加过他们组织一些课外比赛当时是一些什么气候变化之类的主题还蛮有意思的
[00:08:14] 在财务层面英国文化协会是一个半独立运营的机构它只有15%左右的收入是来自于英国外交及联邦事务办公室的补助大头收入都是要靠自己挣的雅思考试就是它最大的收入来源而在支出方面除了在全球各地产生这种直接的运营成本以外它有相当比例的资金是用来投资一些英国本土的艺术作品这个部分也是它的文化属性的一个强调也是它的一类特殊资产
[00:08:43] 所以这边的要点就是英国文化协会是一个半官方性质的机构但是它大多数的收入其实是不依赖于政府资金的然后它的支出因为它是一个非盈利机构它不能把这些赚到的钱都留在自己身上所以它要花出去花出去很大的比例都是留下了一些全球合作和艺术领域的一些部分如果没有雅思考试的费用的收入的话那它这些什么艺术品的支出有可能就完成不了了根本买不起
[00:09:11] 确实是这样啊单看雅思考试这一个业务我们预测它的利润率应该是比较高的英国文化协会的年报对于这个部分的披露比较模糊所以我们主要看两个指标一个是收入端的叫教学与考试收入还有一个是支出端的叫做非常期合同教师工资里面的一个特定的部分这里我们使用的是2023到2024财年年报覆盖范围是从2023年3月底到2024年的3月底
[00:09:38] 那在这个财年里面英国文化协会获得的考试收入是7.04亿英镑同比增长了17.1%其实长得很不错而他全年的总收入是9.89亿英镑那相当于他70%的总收入都是来自于考试那这些考试收入不仅仅是雅思考试但是肯定雅思在里面是绝对的主力
[00:10:00] 而在支出端呢我们看的是一个什么细分领域就是年报当中针对非全职口语教官阅卷老师和监考人员的工资支出人为的拆分了一下雅思考试那些成本到底是什么成本对就比如说那个我们前面提到他给剑桥英语的这个授权费肯定是一个成本租用场地去组织考试肯定是一个成本那考问人员工资肯定也是个成本但是呢这里面非常不幸只有工资披露是不公开的
[00:10:27] 这部分在2023到2024财年总支出是7400万英镑同比是增长了15.6%它这个增速其实是低于考试收入增长的这可能跟雅思这几年在推广机考也有一定的关系虽然只是一个部分但是我们大致非常推测的可以估算说雅思考试本身应该还是个利润比较高的一个收入的来源这个利润是指他自己考试本身要产生的费用
[00:10:54] 和他产生的收入之间的这样一个比对但是整个英国文化协会这两年的问题在于他的总表的收支是很适合的因为他每年都要应付在疫情期间借的一笔政府紧急贷款这笔贷款的数额并不是非常大是2.5亿英镑目前还剩1.97英镑的本金没有还听上去也就是一年考试的一小半
[00:11:17] 对吧收入但是这个贷款有两个问题首先它的利息是普通商贷利率那利息比较高对根据艺术新闻这个媒体的测算每年英国文化学会在这方面利息支出就是1400万英镑其次它不是一个长期贷款
[00:11:34] 它是一个类似于一年期的贷款就是每年都要去确认就是是否可以展期纯纯的商业贷款银行都比这个贷率要好一点对就是万一这个政府不同意这个展期怎么办呢这个一直是个心病所以说英国文化协会就一直要考虑说我能不能拿出钱提前还贷对万一这个不同意展期我就得联本代理一次性付清那这个其实就非常考验这个
[00:11:58] 协会他的财务的盈余水平了就我之前攒下来的钱因为可能都用掉了嘛我就没法一下子连本贷失都还掉了对啊就是我手上本来就没什么钱我怎么应付呢这个实际状况就是非常不好那好怪啊他是一个非盈利机构给他的这个贷款就是个商业贷款的要求对就是实际情况就是这样的
[00:12:15] 首先它面临一个问题就是它可动用的现金给予非常少它其实每年剩不下几个钱的而在资产方面又涉及到我们前面讲它文化投资的策略这个协会不是买了很多艺术品理论上它还是有这些可以卖出去的对 它的资产非常的丰富有9000多件艺术品然后市场总估价可以达到2亿英镑不就解决了吗就把这个解决了但是其中有一半是无法出售的艺术品
[00:12:40] 因为他们当年跟艺术家签的是捐赠协议那艺术家就是相当于无偿把这个东西捐给他那条件就是你要保留这些艺术品不能卖人家跟你合作也不是因为你是一个纯粹的商业的收藏机构了
[00:12:53] 对那即使说我真的走到变卖资产这一步那英国文化协会就已经发现了我只能最多变卖一半资产而且会折价对啊你说说什么两亿英镑就算折算成一亿你也不是说马上就可以全都卖出去的你肯定当中有非常大的损耗而且我们看到就是英国文化协会这个协会有CEO啊他提到过说他们好像跟英国政府商议过就说我们是不是可以直接把这些艺术品的所有权转移给政府然后你帮我把这笔贷款解记掉呢但是政府拒绝了咱就是说
[00:13:22] 刚才那个政府借给一个非盈利机构的贷款都是商业贷款的这个条件他能这个时候同意就给你这样剪辑掉吗显然不会的对就是这种很鸡贼的政府所以目前英国文化协会的主要的应对方案就是节流他希望一次性削减2.5亿英镑的预算这里面就包括了要裁员数百人以及要在全球可能最后要撤销40个点位这有点卖惨了
[00:13:46] 另外呢还有一个跟雅思相关的交易就是英国文化协会已经在2021年把它原本掌握的一块雅思印度业务以1.3亿英镑的价格卖给了就是我们前面说的另一家雅思考试的时候决方就是澳洲的IDP他们之间互相也是可以转让这个就是版图范围的是那不过根据英国议会讨论的这个记录呢这笔交易本身是非现金交易就我大致可以理解就是IDP增发了一些股票就交给协会来换这个
[00:14:15] 然后协会把这些股票再卖掉才能获得现金这个当中的折价还是非常大的所以说实际上英国文化协会只用这笔交易的所得还掉了5000万英镑的贷款本金还差很多所以简单的小结一下这个部分所谓的雅思主办方的破产主要指的是英国文化协会这样一个授权方他面临的财务危机
[00:14:39] 如果单看雅思考试的部分它的利润也实际上是非常高的可以说挺赚钱的一个部分但是整个协会的收支很不平衡资产的流动性也非常的差所以在它面临一笔每年都可能要还款的政府贷款的时候它的压力就非常的大了
[00:14:55] 其实我们前面讲的基本都是雅思考试的一个备受权方也就是英国文化协会的情况那接下来我们可以讲讲另一个备受权方就是这个IDP的情况如果协会的雅思业务都这么赚的话那它作为这个商业的机构就是IDP这个公司的话它是不是能赚得更多还真不一定我们还是也是先介绍一下IDP这个公司它是1969年由澳大利亚政府发起的一个
[00:15:21] 它最早是一个计划叫做澳大利亚亚洲大学合作计划所以它跟英国文化协会一样它早期是有很浓厚的官方背景但是到了2006年呢它50%的股份被澳大利亚一家上市的在线黄页公司收购然后这个黄页公司呢之后又把这个业务就拆分上市了反正倒来倒去最后目前呢
[00:15:43] ITP是一家商业化运营的澳洲上市公司它也是全球最大的教育服务机构之一那这个教育服务除了考试以外还有什么呢除了考试呢剩下一部分就是俗称的留学中介它主要覆盖的范围是澳洲英国美国加拿大新西兰和爱尔兰都是一些比较热门的留学目的地当然这两个业务之间肯定是有关系的就是你去这些地方除了去北美哪有比较卡雅思的就上下游的一个关系是吧
[00:16:12] 那讲完了这个背景呢我们再来看一下IDP的业务情况可能跟我们之前判断不太一样就它这几年出现了一个核心业务的轮替就是原来它的收入大头是雅思考试但这块在2024财年就出现了明显的缩水现在变成了就是留学业务是对它收入贡献更高的一个业务包括2025财年的上半年也就是覆盖到今年2月份的这个半年里面也是这个局面同时呢这个公司的净利润出现了比较明显的下滑显也是受到雅思业务的缩水影响
[00:16:40] 那关于雅思业务的缩水呢我们还可以再进一步拆分来看一下到底是价格的影响更大还是参与者规模的影响更大那刚才不是讲过吗雅思这考试费一直在涨所以它单价肯定是往上涨的那肯定是参与者的规模受影响了呗对 感觉我在说一些废话那还是拆开来看一下2024财年里面通过IDP参加考试的总人数是1.58万人次同比缩水的18%
[00:17:07] 而2025财年上半年同比缩水幅度更大是达到了24%价格方面确实是稳步在生长的2024财年公司平均的考试费用涨到了306澳元一次折合人民币是1402元同比是上涨了9%虽然涨价了但还是比中国的雅思考试要便宜一些便宜很多呢所以为什么英国文化协会的雅思业务在扩张但是IDP这个部分
[00:17:32] 缩水了呢就参与者就少了呢对IDP自己的解释是因为他们的客源去年是受到了各国移民和学生签证政策调整的影响
[00:17:41] 举些例子比如说澳大利亚是提出了要在2025年削减50%的海外移民进流入那加拿大的学生签证时长也缩短了变成两年了英国是提高了工作签证的门槛而且要限制配偶签了我们单纯从学生签证的发出数来看澳大利亚英国和加拿大在2024年第一季度发出的学签的总量同比也缩水了20%到30%
[00:18:05] 也就是说在这种政策整体收紧的情况下IDP的收入尤其是雅思考试的业务是受到了比较大的影响公司自己估计是2025年参加IDP雅思的考试人数会出现15%到20%的下滑那具体到国别层面像IDP雅思的主力市场印度就他买过来这个部分印度去年就已经出现了18%的考试人数下滑今年还会继续持续
[00:18:33] 不过在其他的东南亚国家比如说越南巴基斯坦
[00:18:37] 和孟加拉国他们还能期待一些业绩的增长你刚刚讲这IDP是主力市场之一是印度这印度不是刚刚就是英国文化协会卖给他的吗对啊就是因为他是一个很大市场所以说他们觉得这个业务就是可以一买过去就是他的主力的这是一个优质资产当然因为这些政策层面的变化看不到什么改善的预期所以说IDP自己是在总营收还在上涨的情况下依然在做一些成本改善的工作去年是裁了6%的员工
[00:19:04] 但是因为他收入是两条线而且政策变复杂情况下留学服务其实价值会有所提升的所以感觉上不用太担心他的整体收入问题主要是看一下利润层面能不能改善感觉这些留学目的地的国家的政策变化其实是一个市场大环境对他们来说所以他应该不光只会影响雅思这一个考试的生意
[00:19:24] 不像托福和GIE的生意应该也会受到影响确实我们可以简单看一下托福和GIE的主办方是美国的ETSETS也是全球最大的私营教育评估组织前两年ETS已经经历了一块重大的业务损失就是它失去了高中阶段的SAT的考试的运营权这个部分其实每年收入还可以的每年大概有3亿美元的收入占他们这些年收入30%而现在其实我们
[00:19:50] 看不到TOEFL的情况但是可以明显看到GIE考试的报名人数是快速的下降了2024年全球只有25.6万人参加了GIE考试这个相当于10年前的一半水平
[00:20:01] 所以说ETS这两年也在做组织价格调整它在2024年年中提出了针对2000名员工的公零买断计划这个就让我想到我们之前讲到的那个公司多灵国因为他们在2016年的时候就推出自己的付费英文的考试嘛然后在手机上就可以做而这个成绩也会受到很多高中和大学的认可其实在讲他们的生意嘛对 多灵国是上市公司啦而且也会在财报当中披露就是英语测试这部分业务的情况所以可以看一下
