Vol.205 我们研究了奥乐齐中国所有的商品，它到底便宜吗？
时长：00:45:03
来源：网易云音乐电台节目 · 商业就是这样 · Vol.205 我们研究了奥乐齐中国所有的商品，它到底便宜吗？

[00:00:01] 大家好,我是肖文杰,我是小雅本周又是一期田坑节目我们来聊一聊连锁商超品牌奥勒奇商超我们做过很多话题像山姆和马胖东来,Trader Jules奥勒奇其实是我们一个说了很久很久说要做但是一直没有做出来的话题目前在中国市场有70家超市而且几乎都开在上海最近才刚刚开始向苏州和无锡拓展之前其实我们在多期节目里边都cue到了这一家商超的连锁
[00:00:30] 所以这次我们要堂堂正正的来直面讨论一下他吗堂堂正正而且也充满了切身体会没错此刻在聊天的这两位我们两位是奥勒奇中国的V3会员并不说明什么只是说一下对
[00:00:44] 我们这期节目并不主要讨论奥勒奇的历史部分因为历史部分其实有一本现成的书叫《大道至简》我们之前节目里面可能也提到过这本书这本书的内容其实跟我的日常消费的感受之间出现了很多细小的差异
[00:01:00] 这里感觉有很多历史变迁的原因有很多本土化的原因那既然要讨论奥乐奇我个人觉得还是说研究当下研究奥乐奇中国的情况然后再把它和公司的整体的历史和发展做一个勾连可能会得出更有价值的结论至于这个研究过程呢我用了一个最直接也最传统的方法就是把它的所有商品或者说所有的SQ看了一遍你是说所有在奥乐奇中国上卖的商品吗
[00:01:27] 我能找到的所有在奥勒奇中国卖的商品具体的研究方法后面还会详细的介绍其实就相当于我非常仔细的逛了一遍奥勒奇然后每个商品都看了一下价有的商品还看了一下背后的具体的信息如果大家平时想找点事情打发时间的话我非常推荐这个活动还好是在线上如果在你这线下这样一个仔细的看然后还记下来的话确实有点形式诡异有点像商业间谍
[00:01:54] 今天这期节目主要就是请袁老师来跟大家分享一下在奥乐奇的自学成果
[00:02:00] 首先我们还是要稍微简单讲一下奥乐奇的发展历史和经营理念因为这里有很多可以跟后面的洞察产生关联的细节至于自学的部分主要拆成三块首先是给大家简单介绍一下奥乐奇中国的商品的整体情况以及它的自由品牌系列第二奥乐奇中国有一条叫做超值系列的低价产品线我们会展开讲讲最后我们还挑选了20种超值系列产品在奥乐奇和河马NB以及奥乐奇内部做了简单的对比分析
[00:02:29] 这里是商业就是这样首先要么还是请约老师结合一下大道致检这本书简单的先介绍一下奥勒奇这个超市吧这本书是从德文版翻译过来的它的主要作者叫迪特尔布兰德斯他当过奥勒奇德国北方公司的董事总经理也以顾问的身份推动过很多欧洲连锁超市的转型
[00:02:52] 奥勒齐的历史可以追溯到1913年他原本是德国卢尔区艾森市的一家夫妻老婆店那他主要最早就是出售一些日常生活用品艾森呢是一个位于德国中西部的城市他过去是矿业重镇然后他附近还有一些大城市比如说多特蒙德和科隆
[00:03:11] 虽然是夫妻老婆店但其实主要是靠老婆来维持这个生意的是吗夫妻主要靠老婆啊那奥德西确实是这样他的生意一开始是由一位叫做阿尔布雷希特夫人来打理的那二战之后呢阿尔布雷希特夫人就把这个生意转手给了他的两个儿子一个叫卡尔一个叫西奥都姓阿尔布雷希特那我们最近一直在讲一些德系品牌啊所以大家对于那段时间其实德国的经济状况应该也比较熟悉了四个字百废待兴普通人的过日子都紧巴巴的
[00:03:40] 那在这个背景之下呢阿尔布雷希特兄弟就决定说我们要做一个低价超市这么一个发展策略他们在1962年呢就把当时已经是一个小连锁的就是所谓阿尔布雷希特商店改名叫Aldi其中AL这个部分就是他们这个阿尔布雷希特的间隙阿尔对然后DI的这个部分是Discount折扣的意思那奥勒奇呢则是Aldi这个品牌在中国市场用的一个品牌的艺名所以就是阿尔布雷希特折扣店
