Vol.206 合资车企这40年
时长：00:31:49
来源：网易云音乐电台节目 · 商业就是这样 · Vol.206 合资车企这40年

[00:00:01] 大家好,我是肖文杰我是小亚2025年上海车展在刚刚过去的五一假期里面落幕了今年这届车展似乎在社交媒体上的声量有些平淡吧一些自带流量的品牌因为他们参与也不多也没有一些意外的事件来造成热搜最大的话题有可能还是在展览之前所谓主办方的纷争这个事情之前我们还看到听友群里面有一些听友让我们聊一聊
[00:00:28] 这实在是离商业的范畴有一点远我们也没有什么水面下的消息可以跟大家讨论是的不过还是能够从表面上面看到一些波澜的今年在这个车展的展馆内几个主通道的LED的广告居然在车展期间还是招租的信息没卖出去啊说明这个广告的招商还是受到一些影响的话说回来如果仅看整个汽车市场的规模的话其实车展的声量平淡一些并不奇怪
[00:00:55] 你像2024年中国新车市场同比是微增了4.5%2025年第一季度呢虽然增长了比较多但那个当中的出口实际上是贡献了比较多的那在国内的市场里面其实增长还是比较的低其实过去几年都处于这样一个微增的甚至是有年份是微降的这样一个水平
[00:01:13] 在蛋糕大小没有特别变动的情况下大家这两年对这个市场还是充满关注
[00:01:41] 我们从1984年上海大众成立算起,过去的40年里边,合资车企长期都是中国市场的主角。直到2018年,中国每卖出5辆新车,当中就大约有3辆是来自合资车企的。但仅仅是这5年,也就是一代车型的这个转换的时间,情况就发生了逆转。现在中国每卖出3辆新车,大约只有一辆是来自合资车企的。
[00:02:07] 所以问题就是合资车企为什么在中国示威了它会一直示威下去吗他们现在做了哪些事情来适应和反击呢这就是一个很庞大的话题我们接下来会持续的关注在这一期节目里面呢我们将基于第一财经杂志最近的一个封面专题的报道来对合资车企的这40年做一个整体的梳理也是为之后的一些节目做个影子这里是商业就是这样
[00:02:41] 合资车企在中国的发展大致我们分为三个阶段第一个阶段算成长期始于1984年上海大众成立第二个阶段是爆发期始于2001年中国加入世贸组织第三个阶段大约是在2018年这一年特斯拉在中国建厂第一个阶段源起以及其中最重要主角其实我们在节目的第39期也就是第一期小历史栏目里面重点聊过就是桑塔娜
