Vol.209 辣条的“南北战争”
时长：00:32:40
来源：网易云音乐电台节目 · 商业就是这样 · Vol.209 辣条的“南北战争”

[00:00:01] 大家好,我是肖文杰,我是小雅节目开始前呢,我们想先和大家聊一些关于健康保养的知识这些知识来自于我们最新的合作伙伴Swiss旗下专注高端抗衰的子品牌Swiss Plus我们都希望保持年轻,但是所谓的年轻究竟是什么呢?在细胞生物学家这里,更专业的说法叫维持细胞的活力这里有个关键的角色叫NAD家
[00:00:27] 根据自然杂志一篇论文显示它在氧化还原代谢衰老和长寿免疫系统以及DNA修复当中的重要作用已经受到了广泛的关注说的直白一点就是身体内的NAD加的水平和身体的衰老程度是相关的对不过到了30岁以后你体内的NAD加的含量就会出现断崖式的下降所以Swiss Plus就专门推出了一款能够有效的提升NAD加水平的明星产品就是NAD加新生瓶
[00:00:56] 它的核心成分是Swiss的专利NR特点是分子量小还有高的活性容易被人体转化也是目前已知的最安全有效的能够提升NAD加水平的方法品牌在产品上市的时候就曾经公开邀请消费者参与实测结果显示7天内NR确实能够提升人体内的NAD加的数值另外新商品里面还有两种成分一种叫PQQ一种叫麦角流音它们分别可以提升线立体的数量
[00:01:24] 包住细胞抵抗外界刺激这两种成分加上NR形成的抗衰配方是由两位诺奖得主带领完成的如果你也在关注真正有效的抗衰方式不妨从Swiss Plus开始它有多款面向细分年龄层的产品比如说如果你在30岁左右希望从基础的抗衰入手还有入门款叫NAD加换活瓶如果在40岁以上或者对抗衰有更高需求的朋友就可以选择NAD加新生瓶
[00:01:51] 你当然不能指望一种补给就能让你返老还童但是如果能够帮助你改善睡眠增强精力保持高效专注的状态对现代人来说也是一种年轻了再次感谢Swissplus对于商业就是这样的支持在show notes当中你也可以找到他们的618产品链接感兴趣的听友可以点击了解一下好 接下来我们就正式进入今天的节目这期节目的选题和撰稿还是来自于我们内容团队的常俊斐不过因为他最近的行程安排
[00:02:18] 我们又没有能跟他约上时间又错过了让他本人声音出道的机会没有想到我们这次带他聊的是一个很刺激的话题先问一下肖老师你最近吃过辣条吗谢邀了不能说最近我没有吃过辣条不如说我不太能够吃辣我倒是能吃辣但是很久没有吃过辣条了感觉是一种中年人只能望而心叹的小食品了不过最近倒是看到一个红通通的辣条品牌叫做麻辣王子他打了一个
[00:02:46] 蛮有争议的广告这个广告内容呢非常朴实物华核心的信息就是九个字只做正宗麻辣不做甜条感觉就是像那种
[00:02:56] 重庆火锅说我的底线就是不做鸳鸯锅一样的差不多虽然不知道甜条指的是什么但是我感觉甜条我应该还是能吃一吃的吧虽然都不太健康不像我们前面讲的补给那么健康你不要急着自信就是这里说的甜条呢它其实指的是另外一个辣条品牌就是味龙做的那种辣里面带点甜的辣条还是辣条还是辣条麻辣王子呢会在他们的产品上面特别说明最正宗的辣条一开始就是麻辣的
[00:03:25] 而且他们会把那种辣条发明人的照片和一些拿着辣椒和花椒的川菜大厨的映照一起映到他们的产品包装上面进一步强化这个暗示所以说这个是甜咸党争的弟弟叫做甜马党争差不多看起来是口味之争那更主要的肯定还是背后这两家辣条公司竞争像做甜条这个味龙呢它的整体影响力还是更大一些它在2022年完成了香港的上市目前市值是300多亿港元
[00:03:53] 而做麻辣条以正统字句这个麻辣王子呢这两年是在想尽办法冲击魏龙的领先地位我们查了资料才知道一个反直觉的事实就是辣条这个产品其实诞生至今不过20多年这是诞生很短的一个产品是很年轻啊
[00:04:10] 那很多人对它的认知可能就还停留在小时候学校旁边的小卖部里面形形色色的垃圾食品当中的一种没想到它现在已经正规化产业化甚至因为这个口味的偏好已经能够引发一个小小的商战了所以本期节目呢我们就来借机分析一下辣条在中国到底是怎么发展壮大的又是如何培育出两家针锋相对的公司的这里是商业就是这样
[00:04:42] 首先请袁老师给我们科普一下辣条的起源毕竟你是吃过的就因为我吃过所以叫我来补给我讲就有点太没有说服力了你来吧最早辣条是诞生在湖南岳阳的一个县叫平江县现在辣条公司的老板们比如说像魏龙和麻辣王子的创始人大部分都是平江人所以真的是一个土特产对土特产辣条的前身不是现在常见这种以面为质地的辣条
[00:05:12] 它是一种酱豆干所以豆制品那根据《岳阳日报》的介绍呢平江酱干是诞生于平江县的长寿街在清朝的康熙年间就被列为了宫廷贡品而从大豆基底转向面筋基底这个变化其实出现在非常晚一点的就是在1998年那确实就是二十多岁的寿命二十多岁的辣条啊
