Vol.21 企业家纷纷卸任CEO，这个职位不香了？
时长：00:30:58
来源：网易云音乐电台节目 · 商业就是这样 · Vol.21 企业家纷纷卸任CEO，这个职位不香了？

[00:00:06] 贝佐斯之前宣布卸任亚马逊的CEO的时候他在公开信里是这么说的亚马逊的CEO是一项沉重的责任非常消耗自己的时间和精力当你需要承担这样的责任时候很难把注意力放在其他事情上很多人看了这句话就觉得说贝佐斯是不是不当亚马逊的CEO就要去专心去做太空生意去搞蓝色起源了
[00:00:28] 其实贝佐斯也表示过他卸任亚马逊的CEO以后仍然会参加重要事项的决策这个其实就是他作为亚马逊董事长的工作了贝佐斯刚刚这个话其实就很有意思了他说还是会参与亚马逊的重要决策那么在具体的运行当中什么决策算是重要的决策呢这个参与有参与到什么样的程度其实就是一个比较微妙的事情了这里是商业就是这样
[00:01:07] 大家好,我是肖文杰。我是徐彬听。今天我们聊的话题是一个似乎不太需要聊的一件事情,就是一组大公司领导人的职务名称。其实大家都很熟悉,包括CEO、总裁、董事长、总经理、法人、代表、大股东、合伙人、创始人等等等等。我们的主要好奇就是这些职位、这些名称到底都意味着什么?
[00:01:31] 引发我们这个好奇的主要原因就是最近两年大公司的老板现任的新闻实在是有点太多了如果没有跟上这些新闻的话你对这些企业家的认识很有可能是需要刷新的话不多说我们先来试几个吧从简单到难第一个我来问肖老师刘赤平现在是腾讯的什么人我只知道他是马化腾之后腾讯的二号人物但他的title我是不知道的刘赤平的话现在是腾讯的总裁和执行董事他也是腾讯的股东之一
[00:02:00] 第二个问题就是梁建章现在是携程的什么人梁建章我只知道他现在是一个人口学家梁建章的话之前他比较重要的一个title是携程的CEO但是他因为要当人口学家所以很早就不当CEO了他现在是携程的董事局主席也是携程的股东之一当然他也是携程的创始人这个是废话对吧梁建章这个情况有点类似于唐岩唐岩是原来默默的老板他卸任
[00:02:28] 默默的CEO以后也是默默的董事局主席股东和创始人第三个的话我也想到一个就是贝索斯他是亚马逊的什么人贝索斯前一段时间是宣布要卸任CEO但是我们录节目的时候他还没有卸所以他现在是亚马逊的CEO创始人以及公司的大股东之后的话他的CEO职位会变成董事长也就是他会变成亚马逊的董事长创始人和大股东
[00:02:56] 第四个例子的话大家更加熟悉就是马云现在是阿里巴巴的什么人这个我感觉更加复杂是不是因为马云一共卸任了两次一次是CEO一次是董事局主席所以说他理论上在阿里的话现在的职位比较少他是阿里的合伙人和创始人以及大股东之一这个情况有点类似于前段时间卸任的黄峥黄峥目前只是拼多多的创始人和大股东也卸任了两次
[00:03:23] 就是说他没有一个我们比较熟悉的常规的职位了对的他跟原来的公司理论上已经没有什么关系了还有一个就是张一鸣张一鸣现在是字节跳动的什么人这个其实也是我们这次想聊这个话题的一个由头之一这个问题很复杂就是我们现在只知道张一鸣是字节跳动的创始人但是他已经辞去了字节跳动的CEO这个职位
