Vol.213 中国的二手车市场为什么很难做大做强？
时长：00:44:16
来源：网易云音乐电台节目 · 商业就是这样 · Vol.213 中国的二手车市场为什么很难做大做强？

[00:00:01] 大家好,我是肖文杰我是小雅这一期节目我们来聊一聊二手车我们这个节目一直说中国的汽车市场的销量如何如何但说实话这个汽车市场不是非常准确准确的说法其实我们之前聊的都是新车市场而整个汽车的流通其实还有另外半壁江山就是二手车
[00:00:22] 中国的二手车市场呢一直是一个很有趣的讨论的对象我自己对它有个总结啊就是它是一个一直未达其理想状态的一个市场就是所谓的underachieved的一个市场我觉得这个好像跟我的想象差别很大因为之前二手车有很多家大公司呀他们声响都很大呀而且感觉就是二手车这事情大家也不是说不能接受你怎么就觉得它没有达到你的预期呢
[00:00:50] 你刚讲这个点就很有意思啊我们来说一下为什么说它不成熟首先就是它规模呢其实很大它是一个万亿的市场你像2024年中国的二手车的总销量是1900多万辆销售额是超过了1万亿元可以说是一个支柱产业了
[00:01:07] 但与之相对的是它有非常多原始的一些面向比如说就像你刚刚说的虽然前几年听到过有很多大的公司但实际上它目前没有一个行业的巨头更不是说有几个巨头了同时呢它交易的过程当中仍然充满了一些不透明的或者是不信任的比较原始的一个部分说它不成熟的话我们其实可以来对比一下成熟市场是怎么样的最典型的例子的话成熟市场就是美国了首先就是它的规模
[00:01:33] 虽然我们前面说中国的二手车市场是个万亿的市场看上去绝对是已经很大了但它的二手车其实卖的不够多在美国的话二手车和新车每年的销售量的比值一般都是2.5比1也就是说卖出一辆新车每年还会卖出2.5辆的二手车比如说像2024年美国新车销售量是1500万辆二手车就接近4000万辆就是这样一个2.5的水平高的时候甚至要达到3比1
[00:02:01] 第二点的话就是在这个行业里面其实主要是一些大公司尤其是一些巨头占主导位置的比如说美国的二手车的销量有接近一半都是发生在一些授权的经销商也就是我们理解的CS店当中的还有很多是来自一些专门做二手车的大型的经销商比如说比较有名的牌子像CarMax此外它的车源其实主要也是来自一些大公司有的是经销商那边从消费者那边收到的一些已旧换新的车
[00:02:29] 还有很大的一部分就是一些租车公司他们这些租约到期的车就会卖给这些二手车的经销商所以他这个行业里边的买卖双方主要也就是一些大的企业或者大的平台为主听你这样说的话确实感觉跟中国或者说我之前想象还蛮不一样的也就是说如果中国的二手车市场真的很成熟的话它的规模或者它的量应该更多一些此外还有就是第三个关键的就是一个规范的一个程度
[00:02:55] 像在美国这样的市场的话二手车的整个买卖的过程当中它是有专门的认真的机构然后也有公众信用度非常高的一些定价的参考然后一些大型的经销商他们的所谓的品牌的美誉度也比较高消费者也形成了一个非常习惯的认知就是买卖二手车是很正常的一辆二手车在整个的生命周期里边轮转五六个车主也是非常正常的所以形成了一个非常成熟的我们说二手车的市场和文化
[00:03:20] 那中国的情况就是前两年或者说再早一点吧可能前十年的时候大家是突然意识到二手车是一个可以做的生意吗对正是因为有我们刚才讲的这样一个非成熟的市场和成熟市场的这个对比那就在大约是15年到17 18年这段时间吧很多的创业者或者是投资人就觉得我们很有机会进入这样一个又庞大又有些蛮荒的市场所以在那几年我不知道大家还有没有印象就是很多个
