Vol.214 芬太尼究竟是什么问题？
时长：00:38:31
来源：网易云音乐电台节目 · 商业就是这样 · Vol.214 芬太尼究竟是什么问题？

[00:00:01] 大家好,我是肖文杰,我是小样本期节目的由头是来自中美贸易谈判当中经常出现的一个名词芬太尼关注这一波中美贸易问题的朋友可能对这个词不是很陌生在4月的时候美国一度对中国加征了累计145%的关税这当中就有20%是所谓的芬太尼关税到了5月我们知道中美双方达成了一个日内瓦共识大幅的降低了互相这个关税
[00:00:28] 但是这20%的芬太尼关税仍然被美国保留了而中方也保留了对应的反制措施其实在特朗普的第一个总统任期里面芬太尼就成为了美国一个加征对华关税的重要的理由那在两国的具体的贸易政端里面其实主要出现都是一些很大很宽泛的名词什么对等关税啦贸易保护啦这种名词扔来扔去的
[00:00:51] 但是芬太尼这么一个具体的化学物质却变成了一个重要的议题那其实我们就是想搞清楚一个问题芬太尼问题到底是什么问题那简单搜索一下就会知道芬太尼是美国阿片类药物危机当中的一个部分一般认为这个危机是造始于1990年代那根据美国疾病控制与预防中心的数据呢从1999年到2022年这当中有超过50万人是死于
[00:01:19] 所谓阿片类药物的过量使用但是进一步研究我们就会发现这个问题很大程度上是一个美国特有的问题它的兴起于一个企业家家族就是塞克勒家族的生意是息息相关的这个家族曾经在美国乃至全球都是声名显赫的但如今是臭名昭著芬太尼的问题在这个危机的延长线上而中美贸易谈判所讨论的芬太尼问题本质上反映的是毒品这门生意之所以难以禁绝的一些根本性难题
[00:01:47] 那本期节目呢我们就会分成两个部分首先介绍一下这个阿片类药物危机的肇事者就是塞克勒家族是如何一步步让数以千万计的美国人对止痛药来上瘾的第二个部分呢我们再来看一看具体的芬太尼问题为什么那么难解因为这个话题确实比较敏感所以我们照例需要事先免责声明一下本期节目的素材依据以公开的官方信息研究报告新闻报道和专家的观点
[00:02:15] 请广大的听众严格遵守所在国家或地区的法律法规远离一切毒品
[00:02:45] 这里是商业就是这样
[00:02:48] 那首先我们先进入赛克勒家族的故事这一部分其实自从2019年针对这一家族的诉讼和批评越来越多关于他们的所作所为已经有非常多详细的报道甚至是作品了比如有一部美剧叫《成瘾伎俩》还有一本纪实文学叫《疼痛帝国》都是非常好的作品此外还有大量的媒体的深度报道我们这一部分内容的素材其实主要就是来自于这些报道和作品不过首先我们还是给大家做一些基础的名词解释首先
