Vol.217 玻尿酸和胶原蛋白为什么要打起来？
时长：00:33:57
来源：网易云音乐电台节目 · 商业就是这样 · Vol.217 玻尿酸和胶原蛋白为什么要打起来？

[00:00:01] 大家好,我是肖文杰我是小亚这期节目我们来聊一下护肤品故事的主角叫巨子生物它是国内功能护肤品的巨头公司而它最近遭遇了一场针对它核心产品的纷争使得这个公司的股价和业绩都受到了影响讲真啊,就护肤品这是我们两个人完全不熟的领域但之所以会讲这个话题纯粹是因为第一财经杂志的同事文思敏和许世宇做了一篇关于巨子生物的研报
[00:00:28] 我们读了之后就发现即便你对于他的产品不熟悉这也是一个颇为精彩值得探讨的产业故事所以我们就想从这篇言报出发来把整个故事捋一捋我们会把这篇报道的链接放在show notes里面然后因为是图文报道就会涵盖更多的数据那本期节目会更加侧重在讲故事和分析的层面那顺便照理声明因为涉及到上市公司本期节目仅作为行业讨论不构成任何投资建议
[00:00:56] 先简单介绍一下主角巨子生物和它所面临的争议是什么巨子生物成立于2000年到2022年它在港交所上市它是全球最大的重组胶原蛋白类产品的生产商之一旗下最主要的品牌是可妇美和可力精主要是销售各种以重组胶原蛋白为核心成分的功效护肤品
[00:01:20] 这次引发争议的就是如今巨子生物最主要的产品可赴美胶原棒今年5月一位医美领域的博主本名叫郝宇他发布了一个视频就指责这个胶原棒它实际的重组胶原蛋白的含量只有0.017%远低于它产品宣传的0.1%之后就是多轮的两方互相的质疑回应等等的又有一家公司叫做华西生物下场了
[00:01:48] 华西生物是国内医美护肤领域的另一个巨头也比巨子生物成名更早一些它旗下最著名的产品就是玻尿酸华西生物是公开支持了好语还披露自己和好语存在股权关联关系这个就使得事件一下子变成了两个同行之间的舆论竞争
[00:02:06] 最新的进展就是在舆论层面,巨子生物在6月23日发布了一个声明,说自己现有的检测方法,质量标准,还有标签标识是存在局限性的,需要优化。然后在7月10日,豪宇他的多个社交账号都被封禁了。而在商业层面,巨子生物的股价和业绩都受到了这次事件的影响,在事件爆发之前,他的股价其实正处在历史的最高点,此后是一度下跌了三成。
[00:02:34] 在我们录制的时候仍然只有最高点的四分之三左右而高盛等等券商的报告也调低了对于他全年销售额的预期当然具体的业绩数字要等他发布最新的财报才能确定
[00:02:48] 简单粗暴总结就是一个护肤行业的国内的巨头被他的同行在事实上做空了是的所以这期节目我们就会从巨子生物的发展历程来切入梳理一下这家公司所代表的所谓国产护肤品成分党的商业模式进而我们来试着解答一下华西生物和巨子生物为什么会打这场舆论战然后他们在真的到底是什么这里是商业就是这样
[00:03:20] 那我们就先了解一下巨子生物这家公司的发家过程吧那巨子生物的官网上它对自己的定义是全球重组胶原蛋白领导者所以要了解巨子生物这家公司我们首先都得弄清楚什么是胶原蛋白什么又是重组胶原蛋白
[00:03:38] 我们节目这个小课堂数理化生都要学一遍啊这学的还挺频繁的这年头不学这种无用的小知识都做不了节目了啊不过胶原蛋白我觉得其实这个名词大家不会很陌生啊我们有的时候吃个东西都会说这个里面富含胶原蛋白你要多吃一点等等的因为它确实在动物体内就是很普遍它遍布在像皮肤啊骨骼啊血管壁啊等等的组织当中其实按质量来算的话人体体内三分之一的蛋白质都是胶原蛋白
[00:04:08] 大约有三公斤它的主要作用抽象来说就是构建和维持各种器官组织的形态和结构强度并且为受损组织的修复提供材料就是我读了一段它的定义简单来说就是如果器官是一栋房子的话胶原蛋白就是这栋房子的建材对的是这个意思
[00:04:27] 那在1970年代的时候呢其实胶原蛋白就开始有医学上的应用了比如说心脏手术当中的人造血管还有手术后的创伤修复等等的这跟我们前面他说的这个作用其实都能对应得上啊而我们知道人体上最大的器官是什么呢就是皮肤所以人们很早就发现胶原蛋白可能对皮肤的修复有用那最早它是用于比如说烧伤之后的这个康复等等比较硬核的场景啊后来就逐渐的拓展到了医美的术后修复
[00:04:55] 但是这个传统的医用胶原蛋白其实有个比较大的问题就是它的提取方法那理论上它是从猪牛羊这些动物身上是比较好提取的就是靠吃猪体就可以补吗反正就是这种上面确实有很多的胶原蛋白但是实际上就是你这个提取的过程是比较复杂的还会有很多的问题比如说人体可能会有对这些动物的这个胶原蛋白有排异的反应甚至有一些病毒的残留或者致病的风险
[00:05:24] 比如说因为很多胶原蛋白过去是从牛身上提取的但是之前不是有蜂牛病流行的时期吗那就等于说这种来自动物来源的胶原蛋白其实用到人体上风险就比较大了对或者说是你要减少这种风险把它可控的话这个要求就比较高这就使得动物来源的胶原蛋白很难大规模的产业化生产所以它其实一直不是一个普及的商品
[00:05:49] 那说到这里呢重组胶原蛋白的价值就体现出来了所谓的重组胶原蛋白它的原理就是先找到能够产生胶原蛋白的一些基因然后呢把这些基因植入到一些特殊的细菌和酵母里面然后让后者能够产生出胶原蛋白然后再提取和纯化这样得到的呢就是所谓的重组胶原蛋白
[00:06:11] 等于就是原来需要靠提取现在是一个类似于生产的过程我写了一个程序然后放到一个产线上它就自动就出来了没错像那些细菌和酵母就可以理解为是一个胶原蛋白的工厂通过这种方式其实胶原蛋白就有可能成为一个工业化生产的原料了这个技术其实在1990年代就开始成型了到了21世纪初它逐渐的产业化而巨子生物就是在这个过程当中诞生的
[00:06:39] 它可以说是一个非常典型的从实验室到工厂的这样一个公司接下来我们简单介绍一下巨子生物的创始人他叫范黛蒂蒂就是女子旁那个蒂的蒂她是1996年出生于陕西省的一个农村一路求学她成为了中国首位的生物化工博士博士毕业之后范黛蒂回到了母校西北大学重点公关的项目就是重组胶原蛋白的生产
[00:07:05] 他就是一个完美的诠释了知识改变命运的
[00:07:34] 对就是他这个段经历确实非常的典型啊那这边要说到一个点就是从一开始巨子生物的产业化重点就放在了护肤领域因为我们前面提到教员蛋白其实有很多的应用场景嘛但是他一开始就放在了护肤和医美的这个领域然后从建立公司之后呢他从零开始建厂然后投入生产过了11年到了2011年的时候就有一个重要的节点产生了就是这个巨子生物旗下的可妇美品牌他的医用肤料产品拿到了谢字号
[00:08:04] 谢字号反正就是在很多关于医美相关的讨论里面就经常被作为一个重点提出来就是这个东西有没有谢字号其实差别很大那到底差别是什么呢我觉得它在商业层面有两个这样的意义一个就是渠道这所谓的谢字号呢就是你拿到了医疗器械的资质那有了这个资质之后呢你就得以进入医疗机构来销售你的产品那从而对于这个重组胶原蛋白这个产品来说它就可以切实的拿到这个医美术后修复这部分的这个市场的场景的这个应用
[00:08:33] 第二点我觉得更重要就是品牌因为谢字号就意味着更严格的审批对于消费者来说它就会形成你这是一个医用级产品的这样一个认知那就意味着可靠有效然后货真价实这个就能给可负美这个品牌带来非常高的溢价可负美的所谓医用肤料其实就是它的面膜
[00:08:55] 一张好像是三四十块然后相比的话SK-II那个前男友面膜大概是五六十块一张那更平价的面膜其实几块钱就可以买了对所以可复梅它作为一个新品牌一开始就建立了一个高端的品牌定位这个跟它拿到谢词号是紧密相关的包括它这个名字也起的医用肤料这个名字听上去就比面膜要专业很多了
[00:09:20] 对对对那我觉得这里边还有一个重要的市场趋势的关键词呢就是成分党也就是说在护肤领域消费者们这段时间其实是越来越在意这个具体的成分带来的实际的功效而非过去护肤品上面那些比较花哨的宣传话术啊或者是指认那个品牌等等的那么重组胶原蛋白就是这样一个被成分党们比较认可的这样一个新的成分确实成分党
[00:09:47] 我觉得不仅是中国的趋势全球也算是一个明确的消费趋势了你像有个牌子最近在中国打广告也打得蛮凶就是The ordinary那个牌子它其实整个牌子都是产品包装做像说明书一样的一个东西
[00:10:01] 对它主打就是自己就是卖的就是成分这些料那说到成分呢其实胶原蛋白本身在护肤领域并不是很新鲜啊甚至曾经是一个被质疑的成分
[00:10:12] 我们查了一下在2010年代之前其实国内就有很多口服胶原蛋白的产品当时他主要的说辞就是皮肤的衰老是因为胶原蛋白的流失所以口服胶原蛋白就可以延缓皮肤衰老就跟吃猪蹄是一个意思而那个时候其实就有很多媒体科普了说胶原蛋白实际上是个大分子它就没有办法被人体直接吸收
[00:10:35] 但是加上重组这两个字就可以重新讲故事并没有人知道重组胶原蛋白这个东西是不是大分子能不能直接吸收对吧对的而且从目前这个重组胶原蛋白市场不断扩张的这样一个趋势来看的话确实有很多消费者是比较认可它这样一个新的成分是有用的
[00:10:53] 那这个呢和这种就是医疗背景的专业的资质还是会相关的那说回我们前面提到的这个医疗渠道呢我觉得还要多提几句就是这个进入医疗渠道对于可赋美或者说是对于巨子生物来说实际上是真的非常重要的因为这里的渠道指的更多的是医美机构而我们知道过去十多年医美机构在中国也是快速扩张的我们看到2024年根据巨子生物的财报显示他自己就已经入驻了超过5000家医疗或医美机构
[00:11:22] 而这些机构呢过去几年迅速增长的一个业务呢就是轻医美比如说你简单的做个光子啊等等的那之后总是要这个术后的补水修复防晒然后配几张面膜的那这就使得所谓的这个医用辅料它的市场就非常的大而如果医美的消费者逐渐养成这种习惯之后呢他们也会把这个所谓医用辅料的使用场景从机构里面转向日常你的意思就是说其实这部分
[00:11:49] 等于说基于医美的亲的需求是吃掉了原先护肤品常见的一类场景对的那说的更直白一点就是所谓的亲医美其实覆盖了过去护肤品的一部分需求尤其是比较高价格的护肤品的那部分需求
[00:12:05] 前面我们等于复盘了巨子生物这家公司发家时的前半段核心是它在产品端的竞争力和护城河可以说这是一个比较典型的从实验室到市场凭借技术开辟新的市场并获得先发优势的一个过程自从可负美占着这个生态位以后巨子生物也因此开始快速的增长而这个增长的过程并不是完全凭借它的产品又是自然而然形成的尤其是在这两年它其实出现了一个新的很重要的推动力就是直播点上
[00:12:35] 没错我们看到2019年开始巨子生物就与李佳琪这样的大主播开始合作了而且他把大量的资源投入到了像天猫抖音电商上面的自己的D2C的店铺从2020年开始巨子生物的业绩也的确开始迅速的提升了我们看两个基本的数据一个是营收一个是规模净利润2020年它的营收是11.9亿元2024年已经达到了55.4亿元
[00:13:02] 规模净利润呢2020年是8.26亿元2024年是20.62亿元那你乍一听这两个数字呢都是很高速的增长对吗但是这里边其实有个邪律的差别就是营收的增幅是明显高于规模净利润的增幅的嗯对营收大概是翻了四倍不到一点然后规模净利润是翻了一倍多一点尤其是营收规模是明显变大但是它其实这个问题是赚钱的效率下降了
