Vol.22 快递不是好生意，但顺丰还是家好公司
时长：00:24:32
来源：网易云音乐电台节目 · 商业就是这样 · Vol.22 快递不是好生意，但顺丰还是家好公司

[00:00:07] 顺丰航空的总经理李胜在2015年的一个行业论坛上面说的一些数字中国的快递流通方向主要是从东到西还有就是从南到北然后反过来的部分经常是货源不足的中国又是一个地域范围非常广大的市场如果你用一个飞机点对点送货的话很容易出现一个问题就是说你在路上飞了很长时间但是去程的话机舱塞满了回程的话是空舱的很不划算
[00:00:35] 再比如说顺丰有一个很大的客户金拱门就是麦当劳他全年从这个客户身上获得的收入就有12.9亿元主要是什么业务呢就是那个30分钟必达的卖了送这部分同城集送的业务在顺丰的整个营收当中占比是很小的但是增速非常的快这里是商业就是这样
[00:01:02] 大家好,我是肖文杰,我是徐彬青今天我们聊一个跟大家日常生活密切相关的这个民生基础行业快递我们录这期节目的时候618才刚刚结束但是有可能放出来的时候这个话题已经不是那么应景了不过这个快递现在真的是每天都在我们生活当中要用到所以也不是很有所谓应景不应景了到底普及到一个什么程度呢我们看了一下国家邮政局发的2020年的行业公报里面有两个数字
[00:01:32] 第一个就是说去年整个中国的快递业务量是833.6亿件我没有说错是亿件同比还增长了31%这个增速也挺猛的另外一方面的话就是中国的消费者去年人均的快递使用量是59件也就是说一个星期差不多收一个快递怎么办我感觉我家完全不止这个数字你家有人帮你收快递就可以了而且这个数字还只是全国平均的一个数据
[00:01:59] 就考虑到这个丰姆里面还有大量快递触及不到的一些偏远地区的一些居民还有不太使用电商的老人小孩所以这个人均快递量的规模其实还是很惊人的讲起来这个一个月五件确实算不了什么就是有了拼多多以后可能一周五件都比较正常了正说也是有点原因的因为2020年10月的时候拼多多披露了一个也很惊人的数字他说自己公司平台上每天会产生超过7000万个包裹
[00:02:28] 然后这个数字的话是全国日均快递量的三分之一所以有吐槽就是说中国人快递越收越多要怪拼多多还是蛮有道理的当然了我们说快递的时候这个电商的这个快递只是当中的一部分对吧快递还有很多别的客户但是电商确实是这两年推动快递业务这个行业迅速增长的一个主要的一个需求这个我们后面也会展开来说这么多的快递堆在一起的话它就形成了一个巨大的市场
[00:02:56] 大概每年的规模有9000亿元感觉有可能过了两年之后就可能上万亿了是的大的市场的话往往能出大的公司比如说像中国就出了一个非常有名的铜路系快递集团比如说像元通中通运达都在其中然后还有就是我们今天要展开的一个很有意思的公司叫顺丰
[00:03:18] 我们这档节目一般不会在开头就下一个结论比如说这家公司好不好或者这个行业发展的好不好但是对于顺丰和快递行业我们今天是想先把结论给亮出来就是我们觉得快递这个行业目前在中国虽然很大而且增长还不慢但它算不上是个好生意但另一方面做这门生意的顺丰毫无疑问是中国最好的一个第三方的物流公司
[00:03:44] 无论是业务规模服务能力还是盈利水平上它都算得上是一个好公司对商业新闻比较熟悉的朋友的话可能会猜到我们说这个判断的背景或者说说话对象为什么在这个时候要提顺丰对吧因为今年的顺丰其实开年不是很顺这家公司的话是2017年选择在深圳以借壳上市的方式登陆了A股上市之后的话财报一直很好看收入和营收都是节节攀升的
[00:04:10] 结果在2021年的第一季度顺丰历史上第一次出现了亏损而且一亏就亏了10个亿这个逼得公司的创始人王卫出来道歉了还把公司的CFO给换掉了当时我们就看到很多评论说顺丰这个公司不行了还给出了很多原因比如说什么电子化的办公让顺丰少了很多大公司的客户他们过去都是靠顺丰来送文件送馄饨的现在顺丰没有这个生意了还有就是说快递整个这个行业不行了所以顺丰也跟着下沉等等的
