Vol.220 短视频神曲是怎样炼成的？
时长：00:32:01
来源：网易云音乐电台节目 · 商业就是这样 · Vol.220 短视频神曲是怎样炼成的？

[00:00:01] 大家好,我是湘文杰我是小样连着几期比较硬核的节目本期我们轻松一下来聊一个热门的话题就是短视频平台上的神曲新闻的由头是说在流媒体平台Spotify上面它整个7月的累计收听人数当中排名华语歌手第一名的是一位叫蓝老的说唱歌手他的代表作是《八方来财》和《大展宏图》
[00:00:29] 他这个排名第一啊是超过了常年霸榜的周杰伦而紧随周杰伦之后排名第三的呢又是一位叫做利比的歌手他的代表作呢叫跳楼机那实际上呢我们刚才讲到这两位歌手他们在spotify上面的听众数的排名呢只是他们当下火热的这个一个外溢效应因为他们真正的这些作品的主战场和成名地呢其实是抖音啊快手等等短视频的平台
[00:00:57] 前面我们讲到的那几个代表作如果大家熟悉的话其实都是今年短视频平台上最热门的歌曲之一过去几年其实常常听到某某歌特别火的这种说法但是说实话我都没有听过但你要把这个歌放出来呢我又觉得有点熟悉好像在我妈的手机里听到过所以这些其实主要都是在短视频平台上面流行的所以说这些歌也经常被大家称为短视频神曲
[00:01:20] 是的其实我自己觉得神曲这个称谓多少是带有一些贬义或者说是不屑的就是觉得这些歌只是一时的火热嘛然后有可能质量并不怎么样那我们这里面暂且不论艺术水平的问题因为对于普通的听众来说你当然可以觉得他好或者觉得不好每个人有每个人的喜好但是从商业的角度来看所谓的神曲他们从影响力上已经是音乐行业的主流了那显然
[00:01:45] 如果是从业者或者是观察者的话是不能简单的对这些歌曲嗤之以鼻的比如说蓝老最近公布了一个数字他的那个成品曲八方来财整个的累计的播放量已经超过了100亿次那这个活跃的程度显然无论如何都不能忽略了所以呢我们对他就有一个比较基础的好奇这些歌是怎么诞生的又是怎么活起来的
[00:02:09] 话说回来其实所谓的神曲是一直存在的就是在上古的采灵时代就有老鼠爱大米和两只蝴蝶嘛那广场舞的时代呢则是父皇传奇或者小苹果或者呢是前一段时间小朋友们经常唱的那个孤勇者这么看的话如今的神曲好像只是切换了一个平台不过这个平台的切换本身是非常重要的首先就是短视频平台的影响力已经全面超越了传统媒体所以说现在的流行音乐想要火呢
[00:02:37] 就要从制作的源头上就要适应短视频其次呢就是短视频的内容形态和分发机制也和传统的媒体完全不同所以这种为了短视频而生的音乐它的诞生方式也跟过去完全不一样那最近呢我就和同事文思敏陶子东和邢梦妮一起采访了音乐产业链条上的从业者
[00:03:01] 有大唱片公司的高管制作人真的唱歌的音乐人包括发行公司甚至一些音乐博主MV拍摄的团队等等我们就是想要了解或者说拆解一下刚才岳老师所说的完全不同的生产和发行的方式到底是指什么今天节目我们就想跟大家汇报一下或者分享一下我们采访的所得来聊一聊短视频时代神曲是怎样练成的这里是商业就是这样
[00:03:31] 小时你完成参与这个采访你准备怎么来展开这一整个话题呢我们最后采完了之后大致归纳了一下想分成制作和发行这两个层面来聊那所谓的制作呢讲的是比如说一首歌的旋律啊歌词啊演唱者编曲MV等等这些东西是怎么生产出来的然后是如何适应短视频的主要聊这个部分那所谓的发行呢就是这首歌在做出来之后是如何在短视频上面火起来的或者是传播推广开的
[00:04:01] 那另外呢这个话题的由头主要就是我们前面开头提到的两位歌手和他们的代表作一个就是蓝老还有就是利比以及他的跳楼机那所以呢我们这次采访的主要素材还是围绕着这些热门的作品的相关人士来的那要么先说一下制作的部分这个部分呢我们想以主要以跳楼机来举例吧或者以它作为一个线索来串因为跳楼机的出品方式索尼音乐大中华区
[00:04:28] 为了这个播客里面聊的方便我们后面有可能简单的称索尼或者索尼音乐但是这边它实际上有个具体的限定是指索尼音乐大中华区的业务我们知道索尼音乐的话其实是全球的三大唱片公司之一大家比较熟悉的像Beyonce或者是日本的一些有名的歌手米金玄师Lisa都是索尼音乐旗下的艺人但是近几年索尼音乐在中国范围里面传唱度最高的一些作品都是我们前面提到一些短视频上的爆款除了
[00:04:56] 利比的这个跳楼机是最近的一个例子以外还有一个大家有可能比较熟悉的代表作就是星辰大海说实话你说到跳楼机是索尼音乐出品的我第一个反应是因为在我们过去印象里面大的唱片公司其实主要都是跟一些知名的歌手挂钩的嘛那此前要说到他们跟短视频的关系呢感觉主要也就是把自己的曲库授权给短视频平台就是当BGM这样放
[00:05:23] 但你要说索尼音乐擅长开发短视频神曲我没有想到
[00:05:47] 因为目前的确在索尼音乐中国内部就是有一个专门的团队目的就是生产和开发短视频平台上的热门歌曲那这个团队呢叫热歌团队或者热歌体系叫Hitsong它成立还有一个明确的时间就是在2021年那所谓的热歌就Hitsong呢其实就是热门歌曲嘛这个其实也是行业里面对这个神曲更加常用的一个提法那接下来呢我们可能也会更加多的这么来说
[00:06:14] 还有一个专门的团队啊那讲到这里我就有两个问题第一个就是所谓的这个制造热门歌曲这个团队到底是什么意思就是热门是可以被制造出来的吗那第二个问题是为什么是在2021年做这个事情呢那这两个问题我觉得实际上是互相关联的就我先回答第二个为什么是2021年实际上是个明确的节点因为这一年索尼推出了我们前面提到的这个星辰大海这首歌我不知道大家有没有这个印象应该这个旋律如果大家去搜一下的话还是会比较熟悉的
[00:06:43] 演唱这首歌的歌手叫黄潇云他在唱这首歌之前其实没有十分出名的代表作但是没想到这首歌出来之后成为了当时短视频平台上可以说是现象级的一个歌曲啊就是你但凡在这段时间里边刷过短视频一定刷到过以这首歌作为BGM的视频那这个事情呢就给索尼音乐大中华区的CEO陈国威很大的冲击
[00:07:05] 因为当时他跟我们提到说这首歌其实是最早是一些合作伙伴推荐给他说你们要不要试试看做做看所以一开始他们有可能也没有抱着很明确的一个期望但是歌爆火了之后他就发现或者他归纳了一下就是内地的这个音乐市场和海外有一个显著的不同就是内地是可以真的做到歌带动人的而海外的主要还是人带动歌换句话说就是内地是真的会出现一首就不知名的歌手演唱的歌
[00:07:33] 突然一下子就红遍大江南北这种现象的你说海外是人带动歌但我感觉海外也还是会有那种新歌手一曲成名的现象总会有一个从无名到有名这个过程是的你说这个逻辑上是没有错的但我理解陈国威他说这个意思是从唱片公司的角度来说这两种现象其实代表了不同的制作音乐的重点就是他们
