Vol.224 被中国富豪和造车新势力选中的迈巴赫
时长：00:35:51
来源：网易云音乐电台节目 · 商业就是这样 · Vol.224 被中国富豪和造车新势力选中的迈巴赫

[00:00:02] 大家好,我是肖文杰。我是小雅。这期节目呢,我们来聊一个非常特别的汽车品牌,就是梅赛德斯麦巴赫。于老师,你对这个品牌第一印象是什么?我还能有什么第一印象?麦巴赫这个是我们能聊的品牌吗?你这个其实已经包含了很多中国人对这个品牌的印象,就是它是一个特别长的大轿车,然后有非常昂贵的价格,最奢华的配置等等的。
[00:00:28] 对于很多人来说其实麦巴赫就是某种程度上豪华车的一个图腾和象征而且这个说法不是很夸张啊就如果你最近几年关注一些国产车不少的品牌他们会推出自己的一些高端产品或者高端的品牌嘛那在介绍这些新产品的特性的时候呢他们总是会或多或少的致敬麦巴赫最典型的就是做那种上下双色的那种车漆的设计这个其实就是麦巴赫的一个经典的设计
[00:00:56] 感觉也不难理解就是一个新晋的豪华的品牌系列或者产品系列其实总是要或多少跟老大哥产生一点关联才能出现自己的水平但问题就是为什么他们泰的是麦巴赫因为如果从历史的角度来看的话它其实是一个非常特别的非典型的豪华车品牌就你别的不说和它齐名的你像劳斯莱斯宾利虽然也起起伏伏但基本上长时间保持着一个超豪华品牌的一个地位
[00:01:25] 并且是在持续的推出产品的而麦巴赫呢它的历史的这个起伏要大很多在过往它有两次特别耀眼的一个高光的时刻但是在这个高光的中间呢则有很长时间的一个沉寂期甚至有很多时间这个品牌是没有汽车在生产的中间甚至有一段时间是停产的吗对就是它没有这个产品的汽车出来的
[00:01:47] 这感觉就很特别了我们其实之前节目里也讲过广义的奢侈品其实需要很长时间积累才能维持一个自己的行业地位但是像你讲的麦巴赫它可以跨越很长时间的沉寂期甚至是真空期依然保有号召力我觉得这个是比较少见一个情况是的这一期节目我们就来聊一聊麦巴赫比较独特的品牌故事我们会分成三个部分第一部分就是20世纪初来讲讲他的创始故事也就是他的第一段高光
[00:02:15] 这是一个与汽车业大时代
[00:02:49] 那在进入第一部分创业史之前呢我有个问题想先请教一下肖老师你开头说我们今天聊的是梅塞德斯麦巴赫但是大多数时候呢我们好像只叫他麦巴赫这个到底该怎么叫呢而且话说回来还有个问题就是梅塞德斯到底是谁啊我知道现在奔驰的话好像官方名称也叫梅塞德斯奔驰两个梅塞德斯是一个梅塞德斯吗
[00:03:14] 你这两个问题呢我们恰好在第一个部分能解答一个啊然后在第三部分再解答另一个先说一个简单的结论啊就是从官方的名字来看目前的确应该完整的叫他梅赛德斯麦巴赫和梅赛德斯奔驰但是呢为了方便我们可能会简称麦巴赫和奔驰那要回答就是这个梅赛德斯是谁呢我们就要说到麦巴赫这个品牌的一个由来就是他的创始人名叫威廉麦巴赫所以说这个品牌就是由这个创始人的名字来的
[00:03:40] 那威廉曼巴赫是怎么样一个人呢一句话总结就是他是一个为机械而生的天才可以这么说
[00:03:47] 威廉·麦巴赫的童年是很不幸的他出生于1846年父亲是一位木匠但是在威廉8岁和10岁的时候他的母亲和父亲就先后去世了成为一位孤儿幸好一家慈善机构背景的学校就收留了他这所学校的校长我还查到他叫古斯塔夫·维尔纳他发现了这位少年有机械绘图的天赋就把他送到了学校下面的一个工程车间里面去做学徒
[00:04:13] 到了19岁的时候呢威廉已经成为了一名合格的机械设计师了那一年啊他的车间主任就发现了威廉麦巴赫的才华让他做自己的助手而这位主任呢也成了麦巴赫日后事业上面的一个贵人伯乐也是一生的朋友那他的名字呢就叫做戈特里布·戴姆勒戈特里布我不熟戴姆勒我好像听说过就这个名字应该也很熟是吧对现在我们知道奔驰所在所谓梅赛德斯奔驰集团
[00:04:41] 他过去的名字就叫戴姆勒集团大家应该有所耳闻的实际上就是威廉麦巴赫再加上戴姆勒以及另外一个很著名的汽车人叫卡尔本茨也就是奔驰这个Benz的这个名字的来源卡尔本茨这三个人呢都是德国汽车业或者说是汽车业的一个先驱那这三个人呢其实就是塑造了如今的梅赛德斯奔驰
[00:05:02] 卡尔本茨我们大家都知道就所谓发明了汽车的那个人实际上他是在1886年这一年戴姆勒和卡尔本茨这两个人各自独自在不同的地方发明了汽车卡尔是率先申请了三轮汽车的专利所以现在历史上公认的汽车发明者是卡尔简单来说本茨戴姆勒和麦巴赫他们是一个时代的人没错最后你会发现这个时代还有很多我们也比较熟悉的很伟大的名字
[00:05:29] 那我们先把这个话题聚焦到戴姆勒和威廉麦巴赫的这个故事他就发现比他小十多岁的这个年轻的机械设计师他的工程绘图的天赋非常的惊人那么就开始细心的培养他并且到了1869年的时候戴姆勒自己到另一家公司开始任职了就把麦巴赫带过去并且后来还让麦巴赫做这个公司的总设计师那个时候麦巴赫才23岁所以说那个时候就是天赋已经展现出来了
