Vol.235 拼好饭，便宜了谁？
时长：00:38:00
来源：网易云音乐电台节目 · 商业就是这样 · Vol.235 拼好饭，便宜了谁？

[00:00:01] 大家好 我是肖默杰我是小亚这一期节目我们又要来聊一个跟吃相关的话题就是拼好饭最近餐饮话题的密度确实高了一点其实我们原本的计划达美乐和拼好饭是连着两期节目考虑到这个一直在吃实在是太夯了所以当中插了一个LVMH调剂一下袁老师 聊了一个多小时堂堂法国第一市值的这个公司原来只是一个调剂这是错误了吧
[00:00:28] 没有办法确实餐饮业最近值得聊的话题还是太多了尤其是评价的应试其实原本寿司郎也在我们考虑讨论的范围内
[00:00:39] 不是挖坑我们只是提一下只是提一下说回正题拼好饭可能大家也都知道它是美团推出一个外卖的产品它最显眼的特点就是特别便宜比如说你可以点到10块钱的猪脚饭6块钱的盒饭套餐等等而且还是在一线城市对于大家平时的消费来说价格的吸引力确实很惊人了你点过拼好饭吗点过4块钱的coco奶茶这个确实非常方便因为确实它上面就会有很多
[00:01:08] 很多连锁品牌的这样一些单品价格会比平时点外卖要便宜很多我自己其实因为平时点外卖就比较少所以确实就是拼好饭
[00:01:19] 你还是试验一下4块钱的coco跟你在店里面喝到有没有区别这次我还是点了一个套餐的猪脚饭有什么区别吗比我们食堂的还是稍微略逊一筹但是这个价格确实过于美丽比我们食堂的便宜很多所以说我们从商业角度来说对于拼好饭最基本的一个号题就是它是怎么做到这整件事情又便宜又看上去还不错整个事情是怎么做到的
[00:01:46] 当然说此以外拼好饭作为一个产品呢还有很多值得观察的角度比如说从美团的角度来说拼好饭这个业务就是越来越重要这又是为什么还有就是从餐饮行业的角度来看拼好饭这样的模式对于参与其中的餐厅又会产生什么样的影响我们知道整个中国餐饮的客单价都是在走低的嘛那餐厅的利润越来越薄而拼好饭呢似乎是把这种趋势推向了一个新的极致那这期节目呢我们就来一起探究一下这个问题
[00:02:14] 那我们这期节目的内容会基于第一财经杂志最近一期关于餐饮业的专题报道同时再增加我们的记者叶宇晨崔硕以及肖赫对于相关商家的走访那聊到最后就会发现拼好饭可能不单单是一个吃饭的问题因为涉及到上市公司所以我们照例还是声明本期节目的内容仅作为行业讨论不构成任何投资建议这里是商业就是这样
[00:02:47] 那第一部分我们来先解决最基础的问题吧就是拼好饭为什么那么便宜我觉得可以先简单回顾一下拼好饭这个产品它的一个就是发展的一个时间线啊它其实是2020年美团开始内测的一个产品那因为疫情的影响它其实是到了2022年才正式的在无锡一个城市正式上线
[00:03:08] 到了2023年根据交银国际的一个研报来估算当年拼好饭的订单量大约是11.6亿单占美团全年的6%那时候查了一下美团大概一天做5000多万单的外卖拼好饭就是大概占其中的300万左右这么一个规模就这样一个数量的概念到了2024年其实拼好饭开始全面的铺开我觉得很多的讨论也是在那两年比较多到了2024年它覆盖了中国247个地级市
[00:03:38] 然后点过拼好饭的用户的人数是超过了1亿的到了2025年夏天外卖大战补贴大战美团的单日的外卖单量是冲到过1.5亿的在这一天当中拼好饭其实占比是超过了五分之一而拼好饭的商家在2025年已经超过了100万家等于说规模上面已经是明显的有提升了就相当于拼好饭已经变成美团一个重要的业务了是的
[00:04:03] 那么拼好饭到底是一个什么样的产品呢就如果大家有美团的APP的话现在可以打开来看一下它是首页上的一个一级的频道但是最早的时候它其实不是美团首页上面你可以直接点它是一个小程序就有点像快团团至于拼多多的感觉对就是那种感觉那个形态的话就是更多就是几个人我同时一起来点个菜就是字面意思的拼好饭就大家
[00:04:27] 共同来拼一个菜然后因为叫的份数比较多所以说这个价格会便宜一些就是传统的团购的逻辑就是每团起家的团购这件事情但现在的拼好饭已经不用拼了就你一个人自己点就可以了又是拼多多的逻辑就是不用一起拼是直接下单是的所以很多我们看到包括一些报道大家基本上有共识就是拼好饭就是外卖界的拼多多
[00:04:50] 目前而言拼好饭和日常点外卖最大的区别就是点一般的外卖是先选餐厅再选菜但是拼好饭的话你就是直接选一个菜你再点进那个拼好饭的一级链接里面你出来的就是一个菜品这就是他们两个最大的一个区别这些菜品一般而言就是其实不是很想用这个词就是所谓的爆款美团内部叫法叫爆品就是那些卖的最好的餐食
[00:05:17] 其实这些餐食特点也很明确就是高碳水然后多肉能够很快的去填饱你的肚子那种餐那我们节目开头提到这个薛老师点的猪脚饭这是一个很典型的代表之一那其实西餐的话就是汉堡也是个典型的对你点进去的话一般老师都会看到一个套餐那种什么什么什么饭也会看到汉堡这是都是标配了那就是选什么具体的单品或者说爆品上拼好饭这个事情是有一个什么
[00:05:43] 逻辑的在这个背后运行的吗这个其实是背后就是这个产品背后和传统的外卖不大一样的一个地方就是什么东西上拼好饭这个事情是由美团的人来负责的来决定的这不是商家决定我上什么东西那平时一个就是商家上了美团就是我这个店在上面注册了对吧然后我上什么菜品什么价格是我来在后台操作的但是拼好饭不是的是由美团来操作的
[00:06:07] 这个美团比如说一个在某个城市或者某个区域的一个运营的团队他们会根据此前这个地区点外卖的一些数据最重要的菜品是哪些比如说深圳最重要的就是猪脚饭然后如果是东北可能是麻辣烫对就这种类型然后他选出了这些单品之后接下来一个步骤就是定价他也会根据当地的一些数据当时比如说这个地方大家普遍能够接受的一个外卖的价格是怎么样的然后这个地区的客群的收入结构是怎么样的包括他们点一些
[00:06:35] 不是菜的东西比如说咖啡啊奶茶啊甚至一些别的就是非食品的东西它们的价格到底是怎么样最后他估算一个在这个基础上面这个消费者会觉得更便宜的价格是什么这么他们会定下一个价格的区间然后根据这个区间再去找能够做这个菜的商家让他们加入拼好饭那所以说你的结论就是拼好饭上出现这些爆款的这个菜品不仅菜品是由美团来定的就是连菜品的价格都是美团来定的吗至少是美团来主导的
[00:07:02] 比如说猪脚饭啊就是我们呃同时因为采到一些相关的例子就拼好饭的经理就会去找那些商家在这个之前呢他其实已经有个模型了就早上之前已经有模型了比如说他觉得你这个猪脚饭大致的成本是比如6块钱然后呢美团采购你这个那个猪脚饭呢是9块钱最后上架呢是10块9就是他大致有这样一个就是价格的一个模型估算了那么对于商家来说呢就是我就可以卖比平时更多的猪脚饭然后给你一些流量别的你就不用管了
[00:07:28] 他会拿着这一套方案先来跟你谈然后你可以看看你能不能接受接受就去做而且在运营的过程当中这个不是一个终点就是在运营的过程当中比如说你这个价格如果卖的这个拼好饭的量不是非常的多美团还会建议你继续往下调价格感觉就是
[00:07:44] 我们前面说的拼好饭就是外卖界的拼多多就因为你在拼多多买东西也是这么一个逻辑你看到其实是很多单品推给你然后这个单品价格可能是非常低或者非常诱人的之所以平台能让你看到这个产品就是因为它的价格非常的便宜它整个系统是为了低价来走的我们同事采访过一个北京的拼好饭的商家他就说他卖的一款套餐就是那种不是盒饭套餐这个价格的
[00:08:10] 敏感程度或者影响的这个因素有多么大的就是它从11块5降到9块9之后这个套餐短期内的销量翻了三倍就是从十位数降到个位数就会带来销量的明显上涨那其实对于商家来说做拼好饭就是做薄利多销而且做到极致的一个状态了其实有没有薄利都不好说这个我们放在后面聊对商家的影响的时候可以展开来说说但这个呢其实就是拼好饭变得便宜的前一半的原因
[00:08:38] 怎么知道前一半后一半原因是什么后一半的原因就是后一半的流程就是配送外卖平台和电商平台最大的区别之一就是其实外卖是一个很重的一个模式我们的同事之前写过一个美团的言报当时总股结过一句话我觉得还是比较清晰明了的叫做到店是广告生意到家是物流生意这里面的到店指的就是比如说美团或者点名上面可以领的那些套餐的券团购券优惠券那种的
[00:09:04] 然后最后你到那个店里面去核销了这个当中呢其实美团会当中会抽一些成嘛本质上他就是为这些商家去引流了这是一个广告所以说是广告就是把客拉过来的一个方式对那么到家呢指的主要就是外卖的这个业务那美团之所以能够在外卖这个市场站稳讲根占据一个领先的位置核心就是因为他掌握了两大资源一个是商家就是那些餐厅他可以说是供应商吧另一个呢就是一个起手的团队我们知道有750万人左右
[00:09:32] 这个实际上也就是我们所谓的物流的部分我们以美团2024财年的数据来看美团一单外卖的平均客单价是大约50元不到这个数字其实已经是比前几年要往下走一点了而一单外卖的配送的费用是4到5元这些钱其实大多数都是给骑手的美团当中拿的很少但如果你想想看在拼好饭里边配送费还是4到5块钱
[00:09:56] 到底是吃到是什么东西就不敢想了对如果你还是像那种就是平时我们点的时候感觉自己消费者其实没有花多少配送费的话那你其实那个菜品的价格就低得很惊人了或者的话就是你实际上是四到五块钱的话那你最后那个价格就不可能是他们拼好饭预设的十到十五元这个区间了那所以拼好饭那真正有个起来就是能够规模扩大真的能够实现这样一个低价的话还是因为美团在配送端推出了一个所谓的唱跑模式
[00:10:23] 什么叫唱跑模式名字听上去蛮帅的是吧实际上就是叫顺分车我理解啊就是你这个骑手跑一趟但这一趟里面呢我拎了好几个同样目的地的拼好饭的一个单子就是一个物流意义上的拼单对的那做到这一点呢其实主要就是靠美团的一些算法嘛他就会把同一个目的地的或者接近同一个目的地的这个几单都让一个骑手来完成你就是唱跑就这么一个意思
[00:10:46] 那另外还有一个点呢就是他也会希望这些拼好饭的商家最好也是集中在一个区域的那这样的话有去取这些餐的时候也是一个点那就是起送点和接送点都比较集中那么才有可能真的成为一个所谓的顺风蛋其实我们之前讲达美的中央厨房也讲到一点点这个物流里面的重要性就跟这个逻辑还是蛮通的一定要集中有个集中的点效率才是最高嘛其实包括现在我们看到很多地方那种楼下面会有外卖柜它也是一个集中嘛因为你其实送
[00:11:13] 上电梯然后转弯到不同的房间也是会花费很多时间的你集中在这一个点的话也是提升效率简单来说它就是把原来的多对多的一个配送关系基本上压缩成了单点对单点的效果因为过去其实大多数的外卖我们了解到它都是单点就单点一单就这样送的如果是采用这种畅跑的模式美团就可以使得拼好饭一单的配送费用降低到一两块钱
[00:11:38] 那在这个整个单价里面就显得就是没有那么重要或者就是其实和这个一单的客单价的这个占比就跟原来的普通外卖差不多了就可以接受了所以拼好饭才能够铺开来那这里就要问个问题就是传统的外卖一单里面你前面说配送费4到5块那可能对于骑手来说他已经觉得有点低了那好吃好无聊对这个
