Vol.24 什么是滴滴真正的问题？
时长：00:31:42
来源：网易云音乐电台节目 · 商业就是这样 · Vol.24 什么是滴滴真正的问题？

[00:00:07] 过去其实大多数的出租车公司都是在一个城市内运营的所以你其实很难看到一个跨省市的出租车的一个公司它是一个有区域性的一个公共服务但是滴滴的话就成功地让自己变成了一个全国范围内的出租车公司它甚至是跨越了国界比如说你在日本你也可以叫滴滴的车这个拉美只是现在海外业务滴滴一个主要的部分技术帮助滴滴打破了这个公共服务的区域性
[00:00:33] 除了说在绝大多数城市的话都被视作是公共交通的一部分所以它天生就跟整个城市的治理很有关系它跟政府和监管的关系非常近所以说滴滴这家公司目前遇到的所有监管层面的麻烦都是跟这种公共服务的属性密切相关的这里是商业就是这样
[00:00:59] 大家好,我是肖文杰,我是徐明清相信大家最近或多或少都看到过滴滴的新闻对吧,就是他在赴美上市之后遭遇了我们叫网络安全审查然后后面还有一系列的事情简单复述一下就是6月30号滴滴是非常低调地在美国纳斯达克上市了隔了一天,在7月2号的时候网信办就宣布了一个对滴滴开展网络安全审查的一个公告
[00:01:26] 然后在此期间滴滴系的所有APP都是暂时下架的也不接受新用户的注册围绕滴滴本身是有很多的新闻但是这些新闻背后的话还有很多的后续比如说最近政府又发了一个非常重要的文件是要加强对于证券市场的监管其中人们关注最多有一条消息就是说以后对于赴美上市的中概股要加强监管然后网信办又出了一个通知就是说以后掌握100万以上个人用户信息的APP
[00:01:55] 如果这个公司想去境外上市的话都要接受网络安全审查紧接着呢又有一些中概股被纳入了审查的名单还有一些公司就因此暂停了赴美上市的计划整个事情可以说是一场滴滴上市引发的地震这个不为过啊其实我们本来是不准备来聊这场地震的因为这个事件本身涉及的那几个核心的问题啊比如说网络安全审查也好中概股赴美上市的风险也好这个都是非常专业的事情而且有很多信息是不公开的
[00:02:24] 在这些问题上面我们作为记者也许可以多了解一些信息但我们感觉就是这些信息的增量不足以帮我们做出一个非常准确的判断也不值得我们分享给听众朋友们不过滴滴这家公司的话我们还是很想聊的因为我们发现的话很多评论是在借着滴滴的这个事情在信息还很模糊的情况下就把很多问题混淆在一起说有的人说是把网络安全审查和个人的用户信息保护混在一起来说
[00:02:52] 有的人是把滴滴四五年前跟官方媒体合作的一个数据新闻拿出来说是说滴滴是在监控政府机构的还有人说滴滴垄断啊大资本压榨司机这些都是很常见的一些说法了我们也不准备一条条去吐槽这些评论啊我们还是做我们比较习惯做的事情就是梳理一下滴滴到底是一家怎样的公司这个其实是一件可以做到的事情因为他现在有公开的招股书从中可以看到他现在面临的挑战还有他接下来的潜力到底在哪里
[00:03:20] 我们可以在一个商业的框架下面来观察一下他所面临的监管的风险到底是什么
[00:03:25] 首先我们先来看一下就是滴滴目前靠什么赚钱在招股书里面滴滴把他的业务笼统的分了三个部分这么叫中国出行业务海外出行业务和其他创新业务说实话这也太笼统了吧我们姑且就按照他这个笼统的这个分类来如果从营收的角度来看滴滴90%以上的营收都是靠他第一部分就是中国出行业务来提供的在利润上面就更依赖中国出行这一部分了
[00:03:51] 滴滴2019年和2020年都实现了经调整的这个利润转正就是他可以理解为算是赚钱了但是这部分的赚钱完全是靠着中国出行业务的利润率上升来实现的实际上海外的业务还有刚刚讲到的其他创新业务都是亏钱的我们都是中国人呢我们就看所谓的这个中国出行业务这个部分吧中国出行业务这个里面有五分之一的话被分叫其他出行业务我们先说这个
