Vol.242 商业航天靠什么赚钱？
时长：00:39:25
来源：网易云音乐电台节目 · 商业就是这样 · Vol.242 商业航天靠什么赚钱？

[00:00:01] 大家好 我是肖文杰我是小亚正式节目开始之前还是要汇报一下已经汇报过多次的一个好消息就是2026年的2月9日我们商业就是这样就要迎来了开播五周年在这一天我们将上线一期五周年的特别节目而这期节目我们想和你一起创作
[00:00:20] 这个想法由头来自于小宇宙平台去年年末盘点当中的一个统计它告诉我们商业就是这样的听友遍布全球1154座城市我还看到有听友来回复关于这个城市数字的问题说中国只有300多座地级市当然这个城市肯定是包括县级市还有全球的中国以外的一些城市这个数字确实我们觉得还是非常触动的因为我们认识的这个城市肯定没有1000多座那就意味着在很多未知的地方有很多的听友在听我们的声音
[00:00:49] 这很幸运啊这其实也引发我们的好奇在那些我们很陌生的城市里面一定也有很多有意思的商业现象而这些现象身处当地的你一定比我们更加熟悉所以呢我们想向所有的听友来征集投稿征集你所在的城市里边你觉得印象最深最有意思或者最独特的商业现象或事物可以是人商品商店品牌某一个现象或者某一个特别的规则等等都可以
[00:01:15] 另外如果可以的话我们还想听一下过去五年里面你认为对自己改变最大的件事情是什么这个事情呢可以跟商业有关也可以没有关系当然如果跟商业就是这样有关呢那我们就特别荣幸征集的方法呢是问卷征集的形式是文字我们会把问卷的链接和二维码放在节目的show notes里面
[00:01:35] 当然如果你想发送自己的声音我们也很欢迎声音的投稿方式呢是邮箱我们也会把邮箱的地址放在show notes里面为什么今天只有一个好消息呢是因为另一个好消息就是我们太好了过于好了我们现在是计划在1月31日在广州开启商业就是这样五周年的一个线下活动本来预留了180张票然后这个票已经卖完了对不起对然后非常感谢各位这个踊跃的支持啊然后我们的领导都说你这个票是不是卖便宜了
[00:02:03] 我们也没想到这么快的话听友都能够支持我们也有很多听友说能不能再多开一场或者是在别的城市再开我们正在考虑努力计划吧努力吧好 那我们就进入今天的正题今天的话题是来自于一系列新闻的首先是最近的就是说中国一次性向ITU申报了20万颗卫星的发射计划这个其实是一个创纪录数字有媒体评价说这个是中国商业航天的总动员
[00:02:32] 然后其实就导致一个非常明显的后续的效应就是相关股票的股价迅速地飙升是的第二个新闻就是25年的12月份中国的民营航天公司叫蓝舰它发射了一个朱雀三号火箭然后完成了一个试飞而且它尝试了一级火箭的回收任务取得了一个阶段性的进展
[00:02:51] 再有的第三条新闻就是25年的下半年开始传出SpaceX将在26年上市并且募资超过300亿美元这样的消息甚至有媒体说有的公司给他的估值是超过1.5万亿美元就跟特斯拉现在的这个市值差不多了这么贵为什么还要上市总之就是这些新闻家在一起就营造出了一个就所谓的景象或者是一个大的一个图景就是商业航天行业
