Vol.246 潘通凭什么靠颜色赚钱？
时长：00:41:57
来源：网易云音乐电台节目 · 商业就是这样 · Vol.246 潘通凭什么靠颜色赚钱？

[00:00:01] 大家好 我是肖文杰我是小亚这是我们秉武马年的第一期节目大家新年好对 新年好刘老师 春节怎么样在家看书呀 跟往年一样呀上海人的春节就是没这么好过的这么积极向上你呢我和家人去了另一个班为很浓的城市 深圳怎么 这是刚去完华南又去华南华南又见华南是是是深圳有一些挺不错的旅游的交通工具小朋友很喜欢交通工具所以去一下
[00:00:27] 没有听说过为了交通工具专门去一个城市的你可能是我认识的第一个人有些南方的更加旅游城市的那些城市你知道这个酒店的价格有多离谱吗听说了什么汕头的压度泉州的压度对然后潮汕的压度对就是巴黎的性价比汕头高好那我们言归正传超硬的甚至可以不加这一段好吧
[00:00:55] 那言归正传作为节后回来第一期节目呢这次想聊一个轻松愉快的话题其实也跟我们的一部分工作相关我们所在这个第一财经杂志呢其实从2008年就开始做
[00:01:08] 纸质杂志了然后头十年的做的是周刊2019年开始是月刊虽然现在各种轻巧的新媒体形态已经是绝对的主流了包括我们做的播客也是其中之一但是呢纸刊很多时候还是有一些比较独特的感受比如说杂志整体做一些排版一些复杂的视觉元素的呈现还有就是一些用纸用色的细节对的就一期杂志的这个发行除了前期记者的采访写作编辑的修改包括选题的策划等等很重要的一部分就是后期
[00:01:37] 比如说设计编误流程发行印刷等等的他们其实很大程度上决定了这期杂志长什么样然后什么时候能送到大家的手里边能够体会到一个怎样的感觉这当中其实有非常多细节的能耗
[00:01:52] 在商业印刷里北方跟南方的差异都会很大这个怎么说北方因为相对来说更干燥就比如说像读者一直反复诟病咱们的就是为什么你外封面永远比内文还小一截呢就露一个白边呢就这些事永远跟读者都解释不清楚因为是这样内文跟封面是分开印刷的
[00:02:20] 然后因为封面跟内文的用纸不一样它一缩完了它会有一定的抽障但是我们先装钉再裁切就是在装钉以后然后才上机裁切它有的时候纸的受水力缩障是不一样的它纸就可能缩了然后缩完了正好你看到就露一个白边了
[00:02:43] 跟大家隆重介绍一下刚才发生的这一位是我们第一财经杂志的总编辑助理徐儒老师其实徐儒老师的这个title我一直是搞不太清楚的我是最近刚刚翻了手边这本杂志才知道他现在生胎了但我就知道徐儒老师大家只要了解一下他是我们杂志的中流砥柱是我们在杂志社最依赖的人最依赖的亲人没有徐儒老师就没有第一财经杂志的制作每期的制作包括整个杂志的运营我觉得会瘫痪跟我们打钱都会瘫痪
[00:03:13] 对这样说我觉得一点不为过而且徐老师是从杂志创刊的2008年开始就一直在工作了非常非常资深的一位杂志的制作人员因为我们以前都是做记者这个岗位的其实对于杂志后期的很多技术细节都是一无所知这次也是跟徐老师请教了一下然后这次徐老师其实跟我提到一个点不知道肖老师有没有印象就是我们在2019年改阅刊的时候
